"Back","戻る"
"Password Help","パスワードヘルプ"
"Enter your email address.  You will receive an email with a link to reset your password.","Eメールアドレスを入力してください。パスワードをリセットするリンクを添付したEメールが届きます。"
"Email address","Eメールアドレス"
"Retrieve Password","パスワード再発行"
"Back to Sign in","サインインに戻る"
"Forgot your password?","パスワードをお忘れですか？"
"Reset a Password","パスワードリセット"
"Confirm New Password","新パスワード確認"
"Reset Password","パスワード再発行"
"Roles Resources","権限リソース"
"Resource Access","リソースアクセス"
"Custom","カスタム"
"All","全て"
"Resources","リソース"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","警告!\r\nユーザーが割り当てられているアクションを削除しようとしています。\r\nよろしいですか？"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","警告!\r\n以下のユーザーが割り当てられているアクションを削除しようとしています。\r\nよろしいですか？"
"Password Reset Confirmation for %name","%nameのパスワードリセット確認"
"%name,","%name,"
"There was recently a request to change the password for your account.","あなたのアカウントに対するパスワード再設定のリクエストが送信されました。"
"If you requested this change, reset your password here:","パスワードは下記のボタンをクリックするとリセットできます:"
"If you did not make this request, you can ignore this email and your password will remain the same.","もしお心当たりがない場合は、このメールを無視していただければパスワードは変更されません。"
"Thank you,","ありがとうございます、"
"New %changes for %user_name","%user_nameの新しい %changes"
"Hello,","こんにちは、"
"We have received a request to change the following information associated with your account at %store_name: %changes.","お客様のアカウントに関連付けられている以下の情報 ％store_name を変更するリクエストを受け取りました: %changes 。"
"If you have not authorized this action, please contact us immediately at %store_email","この操作を承認していない場合は、すぐに%store_emailまでご連絡ください。"
"or call us at %store_phone","または %store_phone にお電話ください"
"Thanks,","ありがとうございます、"
"All Users","すべてのユーザー"
"User Roles","権限"
"User Notification Template","ユーザー通知テンプレート"
"Email template chosen based on theme fallback when ""Default"" option is selected."," ""デフォルト""オプションが選択された時、Eメールのテンプレートはテーマの代替を元に選ばれます。 "
"Maximum Login Failures to Lockout Account","アカウントロックをするログイン失敗回数"
"We will disable this feature if the value is empty.","もし値が空ならばこの機能を無効にします。"
"Lockout Time (minutes)","ロックアウト時間 (分)"
"Password Lifetime (days)","パスワード有効期間 (日)"
"Password Change","パスワード変更"
"Unlock","ロック解除"
"ID","ID"
"Username","ユーザー名"
"Last login","最終ログイン"
"Failures","失敗"
"Unlocked","ロック解除済み"
"The password for your account has been successfully changed.","あなたのアカウントのパスワードが正常に変更されました。"
"If you did not request this change, please contact us.","この変更を要求していない場合はお問い合わせください。"
"Reset Password Template","リセットパスワードテンプレート"
"Administrator","管理者"
"New admin user '%user_name' created","新規の管理者ユーザー '%user_name' を作成しました"
"A new admin account was created for %first_name, %last_name using %email.","%emai を使用して %first_name %last_name の新しい管理者アカウントが作成されました。"
"The password entered for the current user is invalid. Verify the password and try again.","現在のユーザに対して入力されたパスワードは無効です。パスワードを確認して再度お試し下さい。"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","ログイン情報が正しくないか、あなたのアカウントは一時的に無効になっています。しばらく待ってやり直してください。"
"More permissions are needed to access this.","アクセスするにはさらに権限が必要です。"
"The password reset token is incorrect. Verify the token and try again.","パスワードのリセットトークンが正しくありません。トークンを確認して再度お試し下さい。"
"Your account is temporarily disabled. Please try again later.","あなたのアカウントは一時的にご利用できません。後で再度お試し下さい。"
"""User Name"" is required. Enter and try again.","”ユーザー名”が必要です。入力して再試行してください。"
"""First Name"" is required. Enter and try again.","”名”が必要です。入力して再試行してください。"
"""Last Name"" is required. Enter and try again.","”姓”が必要です。入力して再試行してください。"
