"Back","Zurück"
"Category Eav Attributes","Category Eav Attributes"
"Customer Address Eav Attributes","Customer Address Eav Attributes"
"Customer Eav Attributes","Customer Eav Attributes"
"Entity Types","Entity Types"
"ID","Id"
"Code","Code"
"Model","Model"
"Attribute Model","Attribute Model"
"Increment Model","Increment Model"
"Main Table","Main Table"
"Additional Attribute Table","Additional Attribute Table"
"New Eav Attributes","New Eav Attributes"
"Product Eav Attributes","Product Eav Attributes"
"Rma Item Eav Attributes","Rma Item Eav Attributes"
"User Defined Eav Attributes","User Defined Eav Attributes"
"Name","Name"
"Enabled","Aktiviert"
"Value","Wert"
"Scope","Geltungsbereich"
"Configuration","Konfiguration"
"Path","Pfad"
"Data from app/etc/env.php","Data from app/etc/env.php"
"Title","Titel"
"Group","Gruppe"
"Is Gateway","Is Gateway"
"Void","Aufheben"
"For Checkout","For Checkout"
"For Multishipping","For Multishipping"
"Capture Online","Capture Online"
"Partial Capture Online","Partial Capture Online"
"Refund Online","Refund Online"
"Partial Refund Online","Anteilige Erstattung (online)"
"Capture Offline","Capture Offline"
"Partial Capture Offline","Partial Capture Offline"
"Refund Offline","Erstattung (offline)"
"Partial Refund Offline","Anteilige Erstattung (offline)"
"Payments Functionality Matrix","Payments Functionality Matrix"
"Payment Methods","Zahlungsarten"
"Shipping Methods","Versandarten"
"Job Code","Job Code"
"Cron Expression","Cron Expression"
"Run Class","Run Class"
"Run Method","Run Method"
"Group Code","Group Code"
"All Configurable Cron Jobs","All Configurable Cron Jobs"
"All Global Cron Jobs","All Global Cron Jobs"
"Cron Schedules List","Cron Schedules List"
"Schedule Id","Schedule Id"
"Status","Status"
"Created At","Erstellt am"
"Scheduled At","Geplant um"
"Executed At","Ausgeführt um"
"Finished At","Beendet um"
"Core Configurable Cron Jobs","Core Configurable Cron Jobs"
"Core Global Cron Jobs","Core Global Cron Jobs"
"Cron Schedules by job code","Cron Schedules by job code"
"Count","Count"
"Cron Schedules by status code","Cron Schedules by status code"
"Status Code","Statuscode"
"Custom Configurable Cron Jobs","Custom Configurable Cron Jobs"
"Custom Global Cron Jobs","Custom Global Cron Jobs"
"Errors in Cron Schedules Queue","Errors in Cron Schedules Queue"
"Error","Fehler"
"Corrupted Categories Data","Corrupted Categories Data"
"Id","Id"
"Expected Children Count","Expected Children Count"
"Actual Children Count","Actual Children Count"
"Expected Level","Expected Level"
"Actual Level","Actual Level"
"Duplicate Categories By URL Key","Duplicate Categories By URL Key"
"URL key","URL-Schlüssel"
"Store","Shop"
"Duplicate Orders By Increment Id","Duplicate Orders By Increment Id"
"Increment Id","Increment Id"
"Customer Id","Kunden-ID"
"Duplicate Products By SKU","Duplicate Products By SKU"
"SKU","Artikelnummer"
"Duplicate Products By URL Key","Duplicate Products By URL Key"
"URL Key","URL-Bezeichner"
"Website","Webseite"
"Duplicate Users By Email","Duplicate Users By Email"
"Email","E-Mail"
"Type","Typ"
"Parent","Parent"
"Adminhtml Themes List","Adminhtml-Themen-Liste"
"Frontend Themes List","Frontend-Themenliste"
"Event Name","Ereignisname"
"Observer Class","Observer Class"
"Method","Method"
"All Admin Events","All Admin Events"
"All Crontab Events","All Crontab Events"
"All Doc Events","All Doc Events"
"All Frontend Events","All Frontend Events"
"All Global events","All Global events"
"All REST Events","All REST Events"
"All SOAP Events","All SOAP Events"
"Core Admin Events","Core Admin Events"
"Core Crontab Events","Core Crontab Events"
"Core Doc Events","Core Doc Events"
"Core Frontend Events","Core Frontend Events"
"Core Global Events","Core Global Events"
"Core REST Events","Core REST Events"
"Core SOAP Events","Core SOAP Events"
"Custom Admin Events","Custom Admin Events"
"Custom Crontab Events","Custom Crontab Events"
"Custom Doc Events","Custom Doc Events"
"Custom Frontend Events","Custom Frontend Events"
"Custom Global Events","Custom Global Events"
"Custom REST Events","Custom REST Events"
"Custom SOAP Events","Custom SOAP Events"
"Log Files","Protokolldateien"
"File","Datei"
"Size","Größe"
"Log Entries","Protokolleinträge"
"Last Update","Letzte Aktualisierung"
"Today's Top Debug Messages","Heutige Top Debug-Nachrichten"
"Message","Nachricht"
"Last Occurrence","Last Occurrence"
"Today's Top Exception Messages","Heutige Top Ausnahmemeldungen"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Heutige Top Systemnachrichten"
"Top Debug Messages","Top Debug Messages"
"Top Exception Messages","Top Exception Messages"
"Top System Messages","Top-Systemmeldungen"
"Store Views List","Liste der Store Views"
"Stores List","Stores List"
"Root Category","Hauptkategorie"
"Default Store View","Standard Store View"
"Websites List","Websites List"
"Is Default","Ist voreingestellt"
"Default Store","Standardshop"
"Websites Tree","Websites Tree"
"There was an error while loading system report data.","There was an error while loading system report data."
"General","Allgemein"
"Environment","Umgebung"
"Cannot save backup. The reason is: Utility lsof not found","Cannot save backup. The reason is: Utility lsof not found"
"Test error","Test error"
"Error message!","Fehlermeldung!"
"User Defined","Benutzerdefiniert"
"Entity Type Code","Entity Type Code"
"Source Model","Source Model"
"Backend Model","Backend Model"
"Frontend Model","Frontend Model"
"text","Text"
"Show Log","Protokoll anzeigen"
"Delete","Löschen"
"Delete ""%1""","Lösche ""%1"""
"Are you sure you want to delete a ""%1"" record?","Sind Sie sicher, dass Sie den Datensatz ""%1"" löschen möchten?"
"View","Anzeigen"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","Empty log"
"Backup ID: ","Backup ID: "
"Collapse","Collapse"
"Expand","Expand"
" (no data)"," (keine Daten)"
"Top","Nach oben"
"No data","No data"
"Support Data Collector","Support Data Collector"
"Support System Report","Support System Report"
"System Report","System Report"
"Data","Data"
"Modules","Module"
"Logs","Protokolle"
"Attributes","Attribute"
"Events","Ereignisse"
"Cron","Cron"
"Design","Design"
"Stores","Shops"
"New Backup","Neue Sicherung"
"Refresh Status","Status aktualisieren"
"Are you sure you want to delete selected item(s)?","Are you sure you want to delete selected item(s)?"
"Delete items","Elemente löschen"
"Code Dump","Code Dump"
"DB Dump","DB Dump"
"Choose Report Groups","Choose Report Groups"
"New Report","Neuer Bericht"
"Date Generated","Datum erzeugt"
"Report Groups","Report Groups"
"An item needs to be selected. Select and try again.","Ein Element muss ausgewählt werden. Treffen Sie eine Auswahl und versuchen Sie es erneut."
"All processes should be completed.","All processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
