"Back","戻る"
"Custom Global Cron Jobs","コアグローバルCronジョブ"
"Errors in Cron Schedules Queue","Cronスケジュールのエラーキュー"
"Error","エラー"
"Corrupted Categories Data","破損したカテゴリデータ"
"Id","Id"
"Expected Children Count","予想される子供の数"
"Actual Children Count","実際の子供の数"
"Expected Level","予想レベル"
"Actual Level","実際のレベル"
"Duplicate Categories By URL Key","URLキーによるカテゴリの重複"
"URL key","URL キー"
"Store","店舗"
"Duplicate Orders By Increment Id","増分IDで重複した注文"
"Increment Id","増分ID"
"Customer Id","顧客 Id"
"Duplicate Products By SKU","SKUによる製品の重複"
"SKU","商品番号"
"Duplicate Products By URL Key","URLキーによる商品の重複"
"URL Key","URLキー"
"Website","ウェブサイト"
"Duplicate Users By Email","電子メールによるユーザーの重複"
"Email","Eメール"
"Type","種別"
"Parent","ペアレント"
"Adminhtml Themes List","Adminhtmlのテーマリスト"
"Frontend Themes List","フロントエンドのテーマ一覧"
"Event Name","イベント名"
"Observer Class","オブザーバークラス"
"Method","メソッド"
"All Admin Events","すべての管理イベント"
"All Crontab Events","すべてのCrontabイベント"
"All Doc Events","すべてのドキュメントイベント"
"All Frontend Events","すべてのフロントエンドイベント"
"All Global events","すべてのグローバルイベント"
"All REST Events","すべてのRESTイベント"
"All SOAP Events","すべてのSOAPイベント"
"Core Admin Events","コア管理イベント"
"Core Crontab Events","コアCrontabイベント"
"Core Doc Events","コアDocイベント"
"Core Frontend Events","コアフロントエンドイベント"
"Core Global Events","コアグローバルイベント"
"Core REST Events","コアRESTイベント"
"Core SOAP Events","コアSOAPイベント"
"Custom Admin Events","カスタム管理イベント"
"Custom Crontab Events","カスタムCrontabイベント"
"Custom Doc Events","コアDocイベント"
"Custom Frontend Events","コアフロントエンドイベント"
"Custom Global Events","コアグローバルイベント"
"Custom REST Events","コアRESTイベント"
"Custom SOAP Events","コアSOAPイベント"
"Log Files","ログファイル"
"File","ファイル"
"Size","サイズ"
"Log Entries","ログエントリ"
"Last Update","最終更新"
"Today's Top Debug Messages","本日のトップデバッグメッセージ"
"Message","メッセージ"
"Last Occurrence","前回の発生"
"Today's Top Exception Messages","本日のトップ例外メッセージ"
"Stack Trace","スタックトレース"
"Today's Top System Messages","本日のトップシステムメッセージ"
"Top Debug Messages","トップのデバッグメッセージ"
"Top Exception Messages","トップ例外メッセージ"
"Top System Messages","トップシステムメッセージ"
"Store Views List","ストアビュー一覧"
"Stores List","ストア一覧"
"Root Category","ルートカテゴリ"
"Default Store View","標準のストアビュー"
"Websites List","ウェブサイトリスト"
"Is Default","標準"
"Default Store","標準の店舗"
"Websites Tree","ウェブサイトツリー"
"There was an error while loading system report data.","システムレポートデータの読み込み中にエラーが発生しました。"
"General","全般"
"Environment","環境"
"Cannot save backup. The reason is: Utility lsof not found","バックアップを保存できません。その理由は：ユーティリティlsofが見つかりません"
"Test error","テストエラー"
"Error message!","エラーメッセージ!"
"User Defined","ユーザー定義"
"Entity Type Code","エンティティタイプコード"
"Source Model","ソースモデル"
"Backend Model","バックエンドモデル"
"Frontend Model","フロントエンドモデル"
"text","テキスト"
"Show Log","ログ表示"
"Delete","削除"
"Delete ""%1""","削除 ""%1"""
"Are you sure you want to delete a ""%1"" record?","あなたは本当に ""%1""レコードを削除しますか？"
"View","表示"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","空のログ"
"Backup ID: ","バックエンド ID: "
"Collapse","畳む"
"Expand","拡張"
" (no data)"," (データがありません)"
"Top","トップ"
"No data","データなし"
"Support Data Collector","サポートデータコレクタ"
"Support System Report","サポートシステムレポート"
"System Report","システムレポート"
"Data","データ"
"Modules","モジュール"
"Logs","ログ"
"Attributes","属性"
"Events","イベント"
"Cron","クロン"
"Design","デザイン"
"Stores","店舗"
"New Backup","新しいバックアップ"
"Refresh Status","ステータスの更新"
"Are you sure you want to delete selected item(s)?","選択したアイテムを削除してもよろしいですか？"
"Delete items","商品削除"
"Code Dump","コードダンプ"
"DB Dump","DB ダンプ"
"Choose Report Groups","レポートグループの選択"
"New Report","新しいレポート"
"Date Generated","発生日"
"Report Groups","レポートグループ"
"An item needs to be selected. Select and try again.","商品を選択する必要があります。選択して再度お試し下さい。"
"All processes should be completed.","すべてのプロセスが完了している必要があります."
"The ""%1"" utility wasn't found. Verify the utility and try again.","""%1"" ユーティリティが見つかりませんでした。ユーティリティを確認して再度お試し下さい。"
"The ""%1"" utility is unknown. Verify the utility and try again.","""%1"" ユーティリティが不明です。ユーティリティを確認して再度お試し下さい。"
"The root category can't be set. Verify the category and try again.","ルートカテゴリを設定できません。カテゴリを確認して再度お試し下さい。"
