"Back","ආපසු"
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","ඔබ ඔබේ තේරීම් සිදු කළ පසු, ""Create"" බොත්තම ක්ලික් කරන්න. ඉන්පසු පද්ධති වාර්තාව උත්පාදනය වන තෙක් රැඳී සිටින්න. මෙය මිනිත්තු කිහිපයක් ගත විය හැක. මෙම පියවර සම්පූර්ණ වූ පසු ඔබට දැනුම් දීමක් ලැබෙනු ඇත."
"Create System Report","පද්ධති වාර්තාව සාදන්න"
"Unable to find a system report to delete.","මැකීමට පද්ධති වාර්තාවක් සොයා ගැනීමට නොහැකි විය."
"The system report has been deleted.","පද්ධති වාර්තාව මකා ඇත."
"An error occurred while deleting the system report. Please review log and try again.","පද්ධති වාර්තාව මකා දැමීමේදී දෝෂයක් ඇති විය. කරුණාකර ලොගය සමාලෝචනය කර නැවත උත්සාහ කරන්න."
"Requested system report no longer exists.","ඉල්ලූ පද්ධති වාර්තාව තවදුරටත් නොපවතී."
"Unable to read system report data to display.","සංදර්ශන කිරීමට පද්ධති වාර්තා දත්ත කියවීමට නොහැක."
"No groups were specified to generate system report.","පද්ධති වාර්තාව උත්පාදනය කිරීමට කණ්ඩායම් කිසිවක් සඳහන් කර නොමැත."
"The system report has been generated.","පද්ධති වාර්තාව ජනනය කර ඇත."
"An error occurred while the system report was being created. Please review the log and try again.","පද්ධති වාර්තාව නිර්මාණය කරමින් සිටියදී දෝෂයක් ඇති විය. කරුණාකර ලොගය සමාලෝචනය කර නැවත උත්සාහ කරන්න."
"System Reports","පද්ධති වාර්තා"
"An error occurred during mass deletion of system reports. Please review log and try again.","පද්ධති වාර්තා විශාල වශයෙන් මකා දැමීමේදී දෝෂයක් සිදු විය. කරුණාකර ලොගය සමාලෝචනය කර නැවත උත්සාහ කරන්න."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Cannot set root directory."
"Support Module doesn't support %s operation system","ආධාරක මොඩියුලය %s මෙහෙයුම් පද්ධතියට සහය නොදක්වයි"
"Unable to create backup due to php exec function is disabled","php exec ශ්‍රිතය අක්‍රිය කර ඇති නිසා උපස්ථයක් සෑදීමට නොහැක"
"Incomplete","අසම්පූර්ණයි"
"Complete","සම්පූර්ණයි"
"Failed","අසාර්ථකයි"
"Directory %s should have writable & readable permissions","නාමාවලිය %s හි ලිවිය හැකි සහ කියවිය හැකි අවසර තිබිය යුතුය"
"Windows","වින්ඩෝස්"
"OS X","OS X"
"Unknown Status","නොදන්නා තත්ත්‍වය"
"Processing ...","සකසමින්..."
"(now)","(දැන්)"
"[%1 minutes ago]","[විනාඩි%1 කට පෙර]"
"[%1 hours ago]","[පැය%1 කට පෙර]"
"[%1 days ago]","[දින%1 කට පෙර]"
"[%1 weeks ago]","[සති%1 කට පෙර]"
"[%1 months ago]","[මාස%1 කට පෙර]"
"[%1 years ago]","[වසර%1 කට පෙර]"
"And more...","සහ තවත්..."
"Column %1","තීරුව %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","පද්ධති වාර්තා දත්ත සකස් කිරීම: තනි පේළි මාදිලිය හඳුනාගෙන ඇති නමුත් දත්ත අසම්පූර්ණ විය හැක."
"Yes","ඔව්"
"No","නැත"
"All Eav Attributes","සියලුම Eav ගුණාංග"
"Category Eav Attributes","Eav ගුණාංග කාණ්ඩය"
"Customer Address Eav Attributes","පාරිභෝගික ලිපිනය Eav ගුණාංග"
"Customer Eav Attributes","පාරිභෝගික Eav ගුණාංග"
"Entity Types","ආයතන වර්ග"
"ID","හැඳුනුම්පත"
"Code","කේතය"
"Model","ආකෘතිය"
"Attribute Model","ගුණාංග ආකෘතිය"
"Increment Model","වර්ධක ආකෘතිය"
"Main Table","ප්රධාන වගුව"
"Additional Attribute Table","අතිරේක ගුණාංග වගුව"
"New Eav Attributes","නව Eav ගුණාංග"
"Product Eav Attributes","නිෂ්පාදන Eav ගුණාංග"
"Rma Item Eav Attributes","Rma අයිතමය Eav ගුණාංග"
"User Defined Eav Attributes","පරිශීලක අර්ථ දක්වා ඇති Eav ගුණාංග"
"Name","නම"
"Enabled","සබල කර ඇත"
"Value","වටිනාකම"
"Scope","විෂය පථය"
"Configuration","මානකරනය"
"Path","මාර්ගය"
"Data from app/etc/env.php","යෙදුම/etc/env.php වෙතින් දත්ත"
"Title","ශීර්ෂය"
"Group","සමූහය"
"Is Gateway","ගේට්වේ වේ"
"Void","ශුන්‍ය"
"For Checkout","පිටවීම සඳහා"
"For Multishipping","බහු නැව්ගත කිරීම සඳහා"
"Capture Online","අන්තර්ජාලයෙන් ග්‍රහණය කරගන්න"
"Partial Capture Online","අර්ධ ග්‍රහණ මාර්ගගතව"
"Refund Online","අන්තර්ජාලය හරහා මුදල් ආපසු ගෙවීම"
"Partial Refund Online","අර්ධ මුදල් ආපසු ගෙවීම මාර්ගගතව"
"Capture Offline","නොබැඳිව ග්‍රහණය කරන්න"
"Partial Capture Offline","අර්ධ ග්‍රහණ නොබැඳි"
"Refund Offline","නොබැඳි ලෙස ආපසු ගෙවීම"
"Partial Refund Offline","අර්ධ ආපසු ගෙවීම නොබැඳි"
"Payments Functionality Matrix","ගෙවීම් ක්‍රියාකාරීත්වය Matrix"
"Payment Methods","ගෙවීමේ ක්රමවේද"
"Shipping Methods","නැව්ගත කිරීමේ ක්රම"
"Job Code","රැකියා කේතය"
"Cron Expression","ක්රෝන් ප්රකාශනය"
"Run Class","පන්තිය ධාවනය කරන්න"
"Run Method","ධාවන ක්‍රමය"
"Group Code","කණ්ඩායම් කේතය"
"All Configurable Cron Jobs","සියලුම වින්‍යාසගත කළ හැකි ක්‍රෝන් රැකියා"
"All Global Cron Jobs","සියලුම ගෝලීය ක්‍රෝන් රැකියා"
"Cron Schedules List","Cron කාලසටහන් ලැයිස්තුව"
"Schedule Id","උපලේඛන හැඳුනුම්පත"
"Status","තත්ත්වය"
"Created At","දී නිර්මාණය කරන ලදී"
"Scheduled At","දී උපලේඛනගත කර ඇත"
"Executed At","දී ක්රියාත්මක කරන ලදී"
"Finished At","දී අවසන්"
"Core Configurable Cron Jobs","Core Configurable Cron Jobs"
"Core Global Cron Jobs","Core Global Cron රැකියා"
"Cron Schedules by job code","රැකියා කේතය මගින් Cron උපලේඛන"
"Count","ගණන් කරන්න"
"Cron Schedules by status code","තත්ව කේතය අනුව ක්‍රොන් කාලසටහන්"
"Status Code","තත්ව කේතය"
"Custom Configurable Cron Jobs","අභිරුචි වින්‍යාසගත කළ හැකි ක්‍රොන් රැකියා"
"Custom Global Cron Jobs","Custom Global Cron රැකියා"
"Errors in Cron Schedules Queue","Cron කාලසටහන් පෝලිමේ දෝෂ"
"Error","දෝෂයකි"
"Corrupted Categories Data","දූෂිත කාණ්ඩ දත්ත"
"Id","හැඳුනුම්පත"
"Expected Children Count","අපේක්ෂිත දරුවන්ගේ ගණන"
"Actual Children Count","සැබෑ ළමා ගණන"
"Expected Level","අපේක්ෂිත මට්ටම"
"Actual Level","සැබෑ මට්ටම"
"Duplicate Categories By URL Key","URL යතුර මගින් ප්‍රවර්ග අනුපිටපත් කරන්න"
"URL key","URL යතුර"
"Store","ගබඩා කරන්න"
"Duplicate Orders By Increment Id","වර්ධක හැඳුනුම්පත මගින් අනුපිටපත් ඇණවුම්"
"Increment Id","වර්ධක හැඳුනුම්පත"
"Customer Id","පාරිභෝගික හැඳුනුම් පත"
"Duplicate Products By SKU","SKU විසින් අනුපිටපත් නිෂ්පාදන"
"SKU","SKU"
"Duplicate Products By URL Key","URL යතුර මගින් නිෂ්පාදන අනුපිටපත් කරන්න"
"URL Key","URL යතුර"
"Website","වෙබ් අඩවිය"
"Duplicate Users By Email","ඊමේල් මගින් පරිශීලකයින් අනුපිටපත් කරන්න"
"Email","විද්යුත් තැපෑල"
"Type","ටයිප් කරන්න"
"Parent","දෙමාපිය"
"Adminhtml Themes List","Adminhtml තේමා ලැයිස්තුව"
"Frontend Themes List","ඉදිරිපස තේමා ලැයිස්තුව"
"Event Name","සිදුවීමේ නම"
"Observer Class","නිරීක්ෂක පන්තිය"
"Method","ක්රමය"
"All Admin Events","සියලුම පරිපාලක සිදුවීම්"
"All Crontab Events","සියලුම Crontab සිදුවීම්"
"All Doc Events","සියලුම Doc සිදුවීම්"
"All Frontend Events","සියලුම ඉදිරිපස සිදුවීම්"
"All Global events","සියලුම ගෝලීය සිදුවීම්"
"All REST Events","සියලුම REST සිදුවීම්"
"All SOAP Events","සියලුම SOAP සිදුවීම්"
"Core Admin Events","මූලික පරිපාලක සිදුවීම්"
"Core Crontab Events","Core Crontab සිදුවීම්"
"Core Doc Events","Core Doc සිදුවීම්"
"Core Frontend Events","Core Frontend සිදුවීම්"
"Core Global Events","මූලික ගෝලීය සිදුවීම්"
"Core REST Events","මූලික REST සිදුවීම්"
"Core SOAP Events","මූලික SOAP සිදුවීම්"
"Custom Admin Events","අභිරුචි පරිපාලක සිදුවීම්"
"Custom Crontab Events","අභිරුචි Crontab සිදුවීම්"
"Custom Doc Events","අභිරුචි ලේඛන සිදුවීම්"
"Custom Frontend Events","අභිරුචි ඉදිරිපස සිදුවීම්"
"Custom Global Events","අභිරුචි ගෝලීය සිදුවීම්"
"Custom REST Events","අභිරුචි REST සිදුවීම්"
"Custom SOAP Events","අභිරුචි SOAP සිදුවීම්"
"Log Files","ලොග් ගොනු"
"File","ගොනුව"
"Size","ප්රමාණය"
"Log Entries","ලොග් සටහන්"
"Last Update","අවසාන යාවත්කාලීන කිරීම"
"Today's Top Debug Messages","අද ඉහළම දෝශ නිරාකරණ පණිවිඩ"
"Message","පණිවුඩය"
"Last Occurrence","අවසාන සිදුවීම"
"Today's Top Exception Messages","අද ඉහළම ව්‍යතිරේක පණිවිඩ"
"Stack Trace","Stack Trace"
"Today's Top System Messages","අද ඉහළම පද්ධති පණිවිඩ"
"Top Debug Messages","ඉහළම දෝශ නිරාකරණ පණිවිඩ"
"Top Exception Messages","ඉහළම ව්‍යතිරේක පණිවිඩ"
"Top System Messages","ඉහළම පද්ධති පණිවිඩ"
"Store Views List","ගබඩා බැලීම් ලැයිස්තුව"
"Stores List","ගබඩා ලැයිස්තුව"
"Root Category","මූල කාණ්ඩය"
"Default Store View","පෙරනිමි ගබඩා දසුන"
"Websites List","වෙබ් අඩවි ලැයිස්තුව"
"Is Default","පෙරනිමි වේ"
"Default Store","පෙරනිමි වෙළඳසැල"
"Websites Tree","වෙබ් අඩවි ගස"
"There was an error while loading system report data.","පද්ධති වාර්තා දත්ත පූරණය කිරීමේදී දෝෂයක් ඇති විය."
"General","ජනරාල්"
"Environment","පරිසරය"
"Cannot save backup. The reason is: Utility lsof not found","උපස්ථය සුරැකිය නොහැක. හේතුව: Utility lsof හමු නොවීය"
"Test error","පරීක්ෂණ දෝෂය"
"Error message!","දෝෂ පණිවිඩයක්!"
"User Defined","පරිශීලක අර්ථ දක්වා ඇත"
"Entity Type Code","ආයතන වර්ග කේතය"
"Source Model","මූලාශ්ර ආකෘතිය"
"Backend Model","පසුපෙළ ආකෘතිය"
"Frontend Model","ඉදිරිපස ආකෘතිය"
"text","පෙළ"
"Show Log","ලොගය පෙන්වන්න"
"Delete","මකන්න"
"Delete ""%1""","""%1"" මකන්න"
"Are you sure you want to delete a ""%1"" record?","ඔබට ""%1"" වාර්තාවක් මැකීමට අවශ්‍ය බව විශ්වාසද?"
"View","දැක්ම"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","හිස් ලොගය"
"Backup ID: ","උපස්ථ ID: "
"Collapse","හකුළන්න"
"Expand","පුළුල් කරන්න"
" (no data)"," (දත්ත නැත)"
"Top","ඉහළට"
"No data","දත්ත නැත"
"Support Data Collector","සහාය දත්ත එකතු කරන්න"
"Support System Report","සහාය පද්ධති වාර්තාව"
"System Report","පද්ධති වාර්තාව"
"Data","දත්ත"
"Modules","මොඩියුල"
"Logs","සටහන්"
"Attributes","ගුණාංග"
"Events","සිදුවීම්"
"Cron","ක්රොන්"
"Design","නිර්මාණ"
"Stores","ගබඩා"
"New Backup","නව උපස්ථය"
"Refresh Status","තත්ත්වය නැවුම් කරන්න"
"Are you sure you want to delete selected item(s)?","ඔබට තෝරාගත් අයිතම(ය) මකා දැමීමට අවශ්‍ය බව විශ්වාසද?"
"Delete items","අයිතම මකන්න"
"Code Dump","කේත ඩම්ප්"
"DB Dump","DB ඩම්ප්"
"Choose Report Groups","වාර්තා කණ්ඩායම් තෝරන්න"
"New Report","නව වාර්තාව"
"Date Generated","ජනනය කළ දිනය"
"Report Groups","වාර්තා කණ්ඩායම්"
"An item needs to be selected. Select and try again.","අයිතමයක් තෝරා ගැනීමට අවශ්ය වේ. තෝරා නැවත උත්සාහ කරන්න."
"All processes should be completed.","සියලුම ක්රියාවලීන් සම්පූර්ණ කළ යුතුය."
"The ""%1"" utility wasn't found. Verify the utility and try again.","""%1"" උපයෝගීතාව හමු නොවිණි. උපයෝගීතාව තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" utility is unknown. Verify the utility and try again.","""%1"" උපයෝගීතාව නොදනී. උපයෝගීතාව තහවුරු කර නැවත උත්සාහ කරන්න."
"The root category can't be set. Verify the category and try again.","මූල කාණ්ඩය සැකසිය නොහැක. ප්‍රවර්ගය සත්‍යාපනය කර නැවත උත්සාහ කරන්න."
