"Back","Trở lại"
"All Eav Attributes","Tất cả các thuộc tính Eav"
"Category Eav Attributes","Thuộc tính Eav nhóm"
"Customer Address Eav Attributes","Thuộc tính địa chỉ Eav của Khách hàng"
"Customer Eav Attributes","Thuộc tính Eav Khách hàng"
"Entity Types","Loại thực thể"
"ID","ID"
"Code","Mã"
"Model","Mẫu"
"Attribute Model","Thuộc tính kiểu"
"Increment Model","Tăng mô hình"
"Main Table","Bảng Chính"
"Additional Attribute Table","Bảng thuộc tính thêm"
"New Eav Attributes","Thuộc tính Eav mới"
"Product Eav Attributes","Sản phẩm Eav thuộc tính"
"Rma Item Eav Attributes","Rma mục Eav thuộc tính"
"User Defined Eav Attributes","Người dùng xác định thuộc tính Eav"
"Name","Tên"
"Enabled","Cho phép"
"Value","Giá trị"
"Scope","Phạm vi"
"Configuration","Cấu hình"
"Path","Đường dẫn"
"Data from app/etc/env.php","Dữ liệu Lấy từ app/etc/env.php"
"Title","Tiêu đề"
"Group","Nhóm"
"Is Gateway","Là cửa ngõ"
"Void","Khoảng trống"
"For Checkout","Để thanh toán"
"For Multishipping","Cho đa vận chuyển"
"Capture Online","Chụp ảnh trực tuyến"
"Partial Capture Online","Chụp ảnh một phần trực tuyến"
"Refund Online","Hoàn lại tiền trực tuyến"
"Partial Refund Online","Một phần khoản hoàn lại trực tuyến"
"Capture Offline","Chụp hình ngoại tuyến"
"Partial Capture Offline","Chụp ảnh một phần trực tuyến"
"Refund Offline","Hoàn phí ngoại tuyến"
"Partial Refund Offline","Một phần khoản hoàn lại trực tuyến"
"Payments Functionality Matrix","Ma trận chức năng thanh toán"
"Payment Methods","Phương thức thanh toán"
"Shipping Methods","Phương thức vận chuyển"
"Job Code","Mã công việc"
"Cron Expression","Biểu hiện cron"
"Run Class","Chạy lớp"
"Run Method","Phương pháp chạy"
"Group Code","Nhóm mã"
"All Configurable Cron Jobs","Tất cả các công việc Cron cấu hình"
"All Global Cron Jobs","Tất cả các công việc Cron trên toàn cầu"
"Cron Schedules List","Cron lịch trình danh sách"
"Schedule Id","Lịch trình Id"
"Status","Trạng thái"
"Created At","Đã tạo vào"
"Scheduled At","Dự kiến tại"
"Executed At","Thực hiện tại"
"Finished At","Kết thúc lúc"
"Core Configurable Cron Jobs","Các công việc Cron cấu hình lõi"
"Core Global Cron Jobs","Các công việc Cron toàn cầu cốt lõi"
"Cron Schedules by job code","Cron lịch trình của mã công việc"
"Count","Bộ đếm"
"Cron Schedules by status code","Cron lịch bởi tình trạng mã"
"Status Code","Mã trạng thái"
"Custom Configurable Cron Jobs","Các công việc tùy chỉnh cấu hình Cron"
"Custom Global Cron Jobs","Tùy chỉnh toàn cầu Cron Jobs"
"Errors in Cron Schedules Queue","Lỗi trong Cron lịch hàng đợi"
"Error","Lỗi"
"Corrupted Categories Data","Nhóm bị hỏng dữ liệu"
"Id","Id"
"Expected Children Count","Dự kiến con số"
"Actual Children Count","Con số Thực tế"
"Expected Level","Dự kiến mức độ"
"Actual Level","Mức độ thực tế"
"Duplicate Categories By URL Key","Các nhóm trùng lặp bằng URL key"
"URL key","URL key"
"Store","Cửa hàng"
"Duplicate Orders By Increment Id","Đơn đặt hàng trùng lặp bằng cách tăng Id"
"Increment Id","Tăng Id"
"Customer Id","Id khách hàng"
"Duplicate Products By SKU","Các sản phẩm Lặp lại của mã sản phẩm"
"SKU","MÃ SẢN PHẨM"
"Duplicate Products By URL Key","Sản phẩm Trùng lặp bởi URL Key"
"URL Key","URL Key"
"Website","Trang web"
"Duplicate Users By Email","Lặp lại người dùng bằng Email"
"Email","Email"
"Type","Loại"
"Parent","Cấp trên"
"Adminhtml Themes List","Adminhtml chủ đề danh sách"
"Frontend Themes List","Frontend chủ đề danh sách"
"Event Name","Tên Sự kiện"
"Observer Class","Người quan sát loại"
"Method","Phương thức"
"All Admin Events","Tất cả sự kiện quản trị"
"All Crontab Events","Tất cả các sự kiện Crontab"
"All Doc Events","Tất cả các sự kiện Doc"
"All Frontend Events","Tất cả sự kiện Frontend"
"All Global events","Tất cả các sự kiện toàn cầu"
"All REST Events","Tất cả sự kiện REST"
"All SOAP Events","Tất cả các sự kiện SOAP"
"Core Admin Events","Lõi quản trị sự kiện"
"Core Crontab Events","Lõi Crontab sự kiện"
"Core Doc Events","Lõi Doc sự kiện"
"Core Frontend Events","Lõi sự kiện Frontend"
"Core Global Events","Sự kiện toàn cầu cốt lõi"
"Core REST Events","Lõi sự kiện REST"
"Core SOAP Events","Lõi sự kiện SOAP"
"Custom Admin Events","Admin tùy chỉnh Sự kiện"
"Custom Crontab Events","Tùy chỉnh Sự kiện Crontab"
"Custom Doc Events","Sự kiện tùy chỉnh Doc"
"Custom Frontend Events","Sự kiện tùy chỉnh Frontend"
"Custom Global Events","Tuỳ chỉnh các sự kiện toàn cầu"
"Custom REST Events","Tuỳ chỉnh sự kiện REST"
"Custom SOAP Events","Sự kiện tùy chỉnh SOAP"
"Log Files","Tập tin đăng nhập"
"File","Tệp"
"Size","Kích cỡ"
"Log Entries","Lối vào đăng nhập"
"Last Update","Lần Nâng Cấp Cuối"
"Today's Top Debug Messages","Tin nhắn debug nhiều nhất ngày hôm nay"
"Message","Tin nhắn"
"Last Occurrence","Lần xuất hiện cuối cùng"
"Today's Top Exception Messages","Tin nhắn ngoại lệ nhiều nhất ngày hôm nay"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Tin nhắn hệ thống nhiều nhất trong ngày"
"Top Debug Messages","Thông điệp gỡ lỗi hàng đầu"
"Top Exception Messages","Trường hợp tin nhắn ngoại lệ hàng đầu"
"Top System Messages","Hệ thống tin nhắn hàng đầu"
"Store Views List","Lưu trữ danh sách lượt xem"
"Stores List","Danh sách cửa hàng"
"Root Category","Mặt hàng gốc"
"Default Store View","Xem cửa hàng mặc định"
"Websites List","Danh sách các trang web"
"Is Default","Mặc định Is"
"Default Store","Cửa hàng mặc định"
"Websites Tree","Cây Trang web"
"There was an error while loading system report data.","Đã có lỗi trong khi tải dữ liệu báo cáo của hệ thống."
"General","Chung"
"Environment","Môi Trường"
"Cannot save backup. The reason is: Utility lsof not found","Không thể lưu bản sao lưu. Lý do là: Tiện ích lsof không tìm thấy"
"Test error","Kiểm tra lỗi"
"Error message!","Thông báo lỗi!"
"User Defined","Người dùng xác định"
"Entity Type Code","Thực thể loại mã"
"Source Model","Mô hình mã nguồn"
"Backend Model","Mô hình Backend"
"Frontend Model","Mô hình Frontend"
"text","văn bản"
"Show Log","Hiển thị đăng nhập"
"Delete","Xóa bỏ"
"Delete ""%1""","Xóa ""%1"""
"Are you sure you want to delete a ""%1"" record?","Bạn có chắc chắn muốn xóa ""%1"" bản ghi?"
"View","Hiển thị"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","đăng nhập trống"
"Backup ID: ","Sao lưu ID: "
"Collapse","Sụp đổ"
"Expand","Mở rộng"
" (no data)"," (không có dữ liệu)"
"Top","Phần trên"
"No data","Không có dữ liệu"
"Support Data Collector","Hỗ trợ dữ liệu sưu tập"
"Support System Report","Hỗ trợ hệ thống báo cáo"
"System Report","Hệ thống báo cáo"
"Data","Dữ liệu"
"Modules","Mô-đun"
"Logs","Nhật ký"
"Attributes","Thuộc tính"
"Events","Sự kiện"
"Cron","Cron"
"Design","Thiết kế"
"Stores","Cửa hàng"
"New Backup","Sao lưu mới"
"Refresh Status","Làm mới trạng thái"
"Are you sure you want to delete selected item(s)?","Bạn có chắc bạn không muốn xóa các sản phẩm đã chọn?"
"Delete items","Xóa bỏ sản phẩm"
"Code Dump","Mã Dump"
"DB Dump","DB Dump"
"Choose Report Groups","Chọn báo cáo nhóm"
"New Report","Báo cáo mới"
"Date Generated","Ngày được tạo ra"
"Report Groups","Báo cáo nhóm"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"All processes should be completed.","All processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
