"Back","Voltar"
"Failed","Falhou"
"Directory %s should have writable & readable permissions","Diretório %s deve ter permissões legíveis e graváveis"
"Windows","Janelas"
"OS X","Mac OS"
"Unknown Status","Status desconhecido"
"Processing ...","Processando..."
"(now)","(agora)"
"[%1 minutes ago]","[%1 minutos atrás]"
"[%1 hours ago]","[%1 horas atrás]"
"[%1 days ago]","[%1 dias atrás]"
"[%1 weeks ago]","[%1 semanas atrás]"
"[%1 months ago]","[%1 meses atrás]"
"[%1 years ago]","[%1 anos atrás]"
"And more...","E mais..."
"Column %1","Coluna %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparando dados de relatório do sistema: Detectado modo de única linha, mas dados podem estar incompletos."
"Yes","Sim"
"No","Não"
"All Eav Attributes","Todos os Atributos Eav"
"Category Eav Attributes","Atributos da categoria Eav"
"Customer Address Eav Attributes","Atributos de endereço Eav do cliente"
"Customer Eav Attributes","Atributos Eav do cliente"
"Entity Types","Tipos de entidade"
"ID","Id."
"Code","Código"
"Model","Modelo"
"Attribute Model","Modelo de atributo"
"Increment Model","Modelo de incremento"
"Main Table","Tabela principal"
"Additional Attribute Table","Tabela adicional de atributo"
"New Eav Attributes","Novos atributos Eav"
"Product Eav Attributes","Atributos de produto Eav"
"Rma Item Eav Attributes","Atributos de Eav Item Rma"
"User Defined Eav Attributes","Atributos Eav definidos pelo usuário"
"Name","Nome"
"Enabled","Habilitado"
"Value","Valor"
"Scope","Escopo"
"Configuration","Configuração"
"Path","Caminho"
"Data from app/etc/env.php","Dados de app/etc/env.php"
"Title","Título"
"Group","Grupo"
"Is Gateway","É Gateway"
"Void","Anular"
"For Checkout","Para fazer check-out"
"For Multishipping","Para envio múltiplo"
"Capture Online","Capturar on-line"
"Partial Capture Online","Captura parcial online"
"Refund Online","Reembolsado on-line"
"Partial Refund Online","Reembolso parcial on-line"
"Capture Offline","Capturar off-line"
"Partial Capture Offline","Captura parcial offline"
"Refund Offline","Restituido off-line"
"Partial Refund Offline","Reembolso parcial off-line"
"Payments Functionality Matrix","Matriz de funcionalidade de pagamentos"
"Payment Methods","Forma de pagamento"
"Shipping Methods","Métodos de envio"
"Job Code","Código de tarefa"
"Cron Expression","Expressão cron"
"Run Class","Executar classe"
"Run Method","Executar método"
"Group Code","Código de grupo"
"All Configurable Cron Jobs","Todas as tarefas Cron configuráveis"
"All Global Cron Jobs","Todas as tarefas Cron globais"
"Cron Schedules List","Lista de programação Cron"
"Schedule Id","Id do Agendamento"
"Status","Situação"
"Created At","Criado em"
"Scheduled At","Agendado em"
"Executed At","Executado em"
"Finished At","Finalizado em"
"Core Configurable Cron Jobs","Tarefas centrais configuráveis via Cron"
"Core Global Cron Jobs","Tarefas principais globais via Cron"
"Cron Schedules by job code","Tarefas Cron agendáveis via código"
"Count","Contagem"
"Cron Schedules by status code","Tarefas Cron agendáveis via status"
"Status Code","Código de status"
"Custom Configurable Cron Jobs","Tarefas personalizadas configuráveis via Cron"
"Custom Global Cron Jobs","Tarefas personalizadas globais via Cron"
"Errors in Cron Schedules Queue","Erros na fila de agendamentos Cron"
"Error","Erro"
"Corrupted Categories Data","Dados de Categorias Corrompidos"
"Id","Id"
"Expected Children Count","Esperado contagem de filhos"
"Actual Children Count","Contagem atual de filhos"
"Expected Level","Nível esperado"
"Actual Level","Nível atual"
"Duplicate Categories By URL Key","Categorias duplicadas pela chave de URL"
"URL key","Chave URL"
"Store","Loja"
"Duplicate Orders By Increment Id","Pedidos duplicados por incremento de ID"
"Increment Id","Id de incremento"
"Customer Id","Id do cliente"
"Duplicate Products By SKU","Duplicar produtos pela SKU"
"SKU","Código de Produto:"
"Duplicate Products By URL Key","Duplicar produtos pela Chave de URL"
"URL Key","Chave URL"
"Website","Site"
"Duplicate Users By Email","Usuários duplicados por E-mail"
"Email","E-mail"
"Type","Tipo"
"Parent","Antecessor"
"Adminhtml Themes List","Lista de temas Adminhtml"
"Frontend Themes List","Lista de Temas Frontend"
"Event Name","Nome do Evento"
"Observer Class","Classe Observadora"
"Method","Método"
"All Admin Events","Todos os Eventos do Admin"
"All Crontab Events","Todos os Eventos de Crontab"
"All Doc Events","Eventos Todos Documentos"
"All Frontend Events","Todos os Eventos de Front End"
"All Global events","Todos os eventos Globais"
"All REST Events","Todos eventos REST"
"All SOAP Events","Todos eventos SOAP"
"Core Admin Events","Eventos principais Admin"
"Core Crontab Events","Eventos de Crontab Principais"
"Core Doc Events","Eventos de Doc Principais"
"Core Frontend Events","Eventos de Frontend Principais"
"Core Global Events","Eventos Globais Principais"
"Core REST Events","Eventos REST Principais"
"Core SOAP Events","Eventos SOAP Principais"
"Custom Admin Events","Eventos Admin Personalizados"
"Custom Crontab Events","Eventos Crontab Personalizados"
"Custom Doc Events","Eventos Doc Personalizados"
"Custom Frontend Events","Eventos Frontend Personalizados"
"Custom Global Events","Eventos Globais Personalizados"
"Custom REST Events","Eventos REST Personalizados"
"Custom SOAP Events","Eventos SOAP Personalizados"
"Log Files","Arquivo de log"
"File","Arquivo"
"Size","Tamanho"
"Log Entries","Entradas de log"
"Last Update","Última atualização"
"Today's Top Debug Messages","Top Mensagens de Debug de Hoje"
"Message","Mensagem"
"Last Occurrence","Última Ocorrência"
"Today's Top Exception Messages","Top Mensagens de Exceção de Hoje"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Top Mensagens de Sistema de Hoje"
"Top Debug Messages","Principais Mensagens de Depuração"
"Top Exception Messages","Principais Mensagens de Exceção"
"Top System Messages","Principais Mensagens de Sistema"
"Store Views List","Lista de Visões de Loja"
"Stores List","Lista de lojas"
"Root Category","Categoria Principal"
"Default Store View","Frente de Loja Padrão"
"Websites List","Lista de Sites"
"Is Default","É o Padrão"
"Default Store","Loja Padrão"
"Websites Tree","Árvore de Websites"
"There was an error while loading system report data.","There was an error while loading system report data."
"General","Geral"
"Environment","Ambiente"
"Cannot save backup. The reason is: Utility lsof not found","Cannot save backup. The reason is: Utility lsof not found"
"Test error","Erro de teste"
"Error message!","Mensagem de erro!"
"User Defined","Definidos pelo usuário"
"Entity Type Code","Entity Type Code"
"Source Model","Modelo Fonte"
"Backend Model","Modelo Backend"
"Frontend Model","Modelo Frontend"
"text","texto"
"Show Log","Mostrar Log"
"Delete","Excluir"
"Delete ""%1""","Excluir ""%1"""
"Are you sure you want to delete a ""%1"" record?","Tem certeza que deseja excluir um registro de ""%1""?"
"View","Visualizar"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","Log vazio"
"Backup ID: ","ID de backup: "
"Collapse","Minimizar"
"Expand","Expandir"
" (no data)"," (sem Informação)"
"Top","Topo"
"No data","Sem Informação"
"Support Data Collector","Support Data Collector"
"Support System Report","Support System Report"
"System Report","Relatório do Sistema"
"Data","Dados"
"Modules","Módulos"
"Logs","Logs"
"Attributes","Atributos"
"Events","Eventos"
"Cron","Cron"
"Design","Design"
"Stores","Lojas"
"New Backup","Novo Backup"
"Refresh Status","Atualizar Status"
"Are you sure you want to delete selected item(s)?","Você tem certeza que deseja excluir o(s) item(ns) selecionado(s)?"
"Delete items","Excluir itens"
"Code Dump","Code Dump"
"DB Dump","DB Dump"
"Choose Report Groups","Choose Report Groups"
"New Report","Novo Relatório"
"Date Generated","Data de Geração"
"Report Groups","Relatório de grupos"
"An item needs to be selected. Select and try again.","Um item precisa ser selecionado. Selecione e tente novamente."
"All processes should be completed.","Todos os processos devem ser concluídos."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
