"Back","Terug"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Voorbereiden van systeemverslag gegevens: Enkele rij mode werd gededecteerd maar gegevens kunnen onvolledig zijn."
"Yes","Ja"
"No","Nee"
"All Eav Attributes","Alle kenmerken van de Eav"
"Category Eav Attributes","Categorie Eav kenmerken"
"Customer Address Eav Attributes","Klantadres EAV attributen"
"Customer Eav Attributes","Klant Eav kenmerken"
"Entity Types","Typen eenheden"
"ID","ID"
"Code","Interne naam"
"Model","Model"
"Attribute Model","Attribuutmodel"
"Increment Model","Increment Model"
"Main Table","Hoofdtabel"
"Additional Attribute Table","Extra kenmerk tabel"
"New Eav Attributes","Nieuwe kenmerken van de Eav"
"Product Eav Attributes","Eav productattributen"
"Rma Item Eav Attributes","RMA producte EAV attributen"
"User Defined Eav Attributes","Door de gebruiker gedefinieerde Eav kenmerken"
"Name","Naam"
"Enabled","Ingeschakeld"
"Value","Waarde"
"Scope","Bereik"
"Configuration","Configuratie"
"Path","Pad:"
"Data from app/etc/env.php","Gegevens van app/etc/env.php"
"Title","Titel"
"Group","Groep"
"Is Gateway","Gateway"
"Void","Nietig verklaard"
"For Checkout","Voor afhandeling"
"For Multishipping","Voor Multishipping"
"Capture Online","Betaling door betaalmethode verwerken"
"Partial Capture Online","Gedeeltelijke online vastleggen"
"Refund Online","Restitutie Online"
"Partial Refund Online","Gedeeltelijke terugbetaling Online"
"Capture Offline","Handmatig betaling verwerken"
"Partial Capture Offline","Gedeeltelijke off line vastleggen"
"Refund Offline","Handmatig terugbetalen"
"Partial Refund Offline","Gedeeltelijke terugbetaling off line"
"Payments Functionality Matrix","Betalingsfunctionaliteitmatrix"
"Payment Methods","Betaalmethodes"
"Shipping Methods","Verzendmethodes"
"Job Code","Taakcode"
"Cron Expression","Cron expressie"
"Run Class","Klasse uitvoeren"
"Run Method","Voer methode uit"
"Group Code","Groepscode"
"All Configurable Cron Jobs","Alle configureerbare Cron Jobs"
"All Global Cron Jobs","Alle globale Cron Jobs"
"Cron Schedules List","Cron schema's lijst"
"Schedule Id","Schema-Id"
"Status","status"
"Created At","Aangemaakt Op"
"Scheduled At","Gepland op"
"Executed At","Uitgevoerd op"
"Finished At","Eindigde op"
"Core Configurable Cron Jobs","Core configureerbare cron taken"
"Core Global Cron Jobs","Kern Global Cron Jobs"
"Cron Schedules by job code","Cron schema op taakcode"
"Count","Aantal"
"Cron Schedules by status code","Cron schema op statuscode"
"Status Code","Statuscode"
"Custom Configurable Cron Jobs","Aangepaste configureerbare crontaken"
"Custom Global Cron Jobs","Aangepaste Globale Cron Jobs"
"Errors in Cron Schedules Queue","Fouten in cron schema wachtrij"
"Error","Foutmelding"
"Corrupted Categories Data","Beschadigde categorieën gegevens"
"Id","Id"
"Expected Children Count","Verwacht aantal Children"
"Actual Children Count","Feitelijk aantal Children"
"Expected Level","Verwacht niveau"
"Actual Level","Werkelijk niveau"
"Duplicate Categories By URL Key","Dubbele categorieën op URL sleutel"
"URL key","URL sleutel"
"Store","Winkel"
"Duplicate Orders By Increment Id","Dubbele bestellingen op ophogend Id"
"Increment Id","Hoog ID op"
"Customer Id","Klant ID"
"Duplicate Products By SKU","Dubbele producten op art.nr."
"SKU","Art.nr."
"Duplicate Products By URL Key","Dubbele producten op URL sleutel"
"URL Key","URL sleutel"
"Website","Website"
"Duplicate Users By Email","Dubbele gebruikers op E-Mail"
"Email","E-mail"
"Type","Soort"
"Parent","Bovenliggende"
"Adminhtml Themes List","Lijst adminhtml Thema's"
"Frontend Themes List","Lijst Frontend thema's"
"Event Name","Gebeurtenisnaam"
"Observer Class","Waarnemersklasse"
"Method","Methode"
"All Admin Events","Alle Admin gebeurtenissen"
"All Crontab Events","Alle crontab gebeurtenissen"
"All Doc Events","Alle Doc gebeurtenissen"
"All Frontend Events","Alle Frontend gebeurtenissen"
"All Global events","Alle globale gebeurtenissen"
"All REST Events","Alle REST gebeurtenissen"
"All SOAP Events","Alle SOAP gebeurtenissen"
"Core Admin Events","Kern Admin gebeurtenissen"
"Core Crontab Events","Kern crontab gebeurtenissen"
"Core Doc Events","Kern Doc gebeurtenissen"
"Core Frontend Events","Kern Frontend gebeurtenissen"
"Core Global Events","Kern globale gebeurtenissen"
"Core REST Events","Kern REST gebeurtenissen"
"Core SOAP Events","Kern SOAP gebeurtenissen"
"Custom Admin Events","Aangepaste Admin gebeurtenissen"
"Custom Crontab Events","Aangepaste Crontab gebeurtenissen"
"Custom Doc Events","Aangepaste Doc gebeurtenissen"
"Custom Frontend Events","Aangepaste Frontend gebeurtenissen"
"Custom Global Events","Aangepaste globale gebeurtenissen"
"Custom REST Events","Aangepaste REST gebeurtenissen"
"Custom SOAP Events","Aangepaste SOAP gebeurtenissen"
"Log Files","Logbestanden"
"File","Bestand"
"Size","Grootte"
"Log Entries","Logboek aantekeningen"
"Last Update","Laatste wijziging"
"Today's Top Debug Messages","Top Debug Berichten van vandaag"
"Message","Bericht"
"Last Occurrence","Laatste exemplaar"
"Today's Top Exception Messages","Top Exceptie Berichten van vandaag"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Top Systeem Berichten van vandaag"
"Top Debug Messages","Top debugberichten"
"Top Exception Messages","Top Exceptie Berichten"
"Top System Messages","Top Systeemberichten"
"Store Views List","Winkelaanzichten overzicht"
"Stores List","Winkellijst"
"Root Category","Basis-categorie (root)"
"Default Store View","Standaard Winkelaanzicht"
"Websites List","Websites lijst"
"Is Default","Is standaard"
"Default Store","Standaard Winkel"
"Websites Tree","Websites Tree"
"There was an error while loading system report data.","Er is een fout opgetreden tijdens het laden van de systeem rapportgegevens."
"General","Algemeen"
"Environment","Omgeving"
"Cannot save backup. The reason is: Utility lsof not found","Back-up kan niet worden opgeslagen: Reden: Isof Utilty niet gevonden"
"Test error","Test fout"
"Error message!","Foutmelding!"
"User Defined","Door de gebruiker gedefinieerd"
"Entity Type Code","Type eenheidcode"
"Source Model","Bron model"
"Backend Model","Backend-model"
"Frontend Model","Frontend model"
"text","tekst"
"Show Log","Logboek tonen"
"Delete","Verwijder"
"Delete ""%1""","Verwijder ""%1"""
"Are you sure you want to delete a ""%1"" record?","Ben u zeker dat u ""%1"" rijen wilt verwijderen?"
"View","Bekijk"
"Are you sure you wan't to delete a ""%1"" record?","Ben u zeker dat u een ""%1"" rij wilt verwijderen?"
"Empty log","Log legen"
"Backup ID: ","Backup-ID: "
"Collapse","Inklappen"
"Expand","Uitklappen"
" (no data)"," (geen gegevens)"
"Top","Top"
"No data","Geen data"
"Support Data Collector","Support-gegevens verzamelaar"
"Support System Report","Systeemverslag ondersteuning"
"System Report","Systeemverslag"
"Data","Data"
"Modules","Modules"
"Logs","Log"
"Attributes","Attributen"
"Events","gebeurtenissen"
"Cron","Cron"
"Design","Ontwerp"
"Stores","Winkels"
"New Backup","Nieuwe back-up"
"Refresh Status","Status vernieuwen"
"Are you sure you want to delete selected item(s)?","Weet u zeker dat u de geselecteerde product(en) wilt verwijderen?"
"Delete items","Items verwijderen"
"Code Dump","Code Dump"
"DB Dump","DB Dump"
"Choose Report Groups","Kies verslag groepen"
"New Report","Nieuw rapport"
"Date Generated","Datum gegenereerd"
"Report Groups","Verslag-groepen"
"An item needs to be selected. Select and try again.","Een item moet worden geselecteerd. Selecteer en probeer het opnieuw."
"All processes should be completed.","Alle processen moeten voltooid zijn."
"The ""%1"" utility wasn't found. Verify the utility and try again.","De entiteit ""%1"" is niet gevonden. Controleer en probeer het opnieuw."
"The ""%1"" utility is unknown. Verify the utility and try again.","De entiteit ""%1"" is onbekend. Controleer en probeer het opnieuw."
"The root category can't be set. Verify the category and try again.","De hoofdcategorie kan niet worden ingesteld. Controleer de categorie en probeer het nogmaals."
