"Back","返回"
"Partial Capture Online","局部捕捉在线"
"Refund Online","网上退款"
"Partial Refund Online","部分退款在线"
"Capture Offline","捕获脱机"
"Partial Capture Offline","局部捕捉离线"
"Refund Offline","离线获取"
"Partial Refund Offline","部分退款离线"
"Payments Functionality Matrix","付款功能矩阵"
"Payment Methods","付款方式"
"Shipping Methods","送货方式"
"Job Code","作业代码"
"Cron Expression","Cron 表达式"
"Run Class","运行类"
"Run Method","运行方法"
"Group Code","组代码"
"All Configurable Cron Jobs","所有可配置的 Cron 作业"
"All Global Cron Jobs","所有全球 Cron 作业"
"Cron Schedules List","Cron 时间表列表"
"Schedule Id","日程计划 Id"
"Status","状态"
"Created At","创建于"
"Scheduled At","在预定"
"Executed At","在执行"
"Finished At","在完成"
"Core Configurable Cron Jobs","核心配置 Cron 作业"
"Core Global Cron Jobs","核心全球 Cron 作业"
"Cron Schedules by job code","Cron 时间表由作业代码"
"Count","计数"
"Cron Schedules by status code","Cron 时间表的状态代码"
"Status Code","状态代码"
"Custom Configurable Cron Jobs","自定义的可配置 Cron 作业"
"Custom Global Cron Jobs","自定义全球 Cron 作业"
"Errors in Cron Schedules Queue","错误在 Cron 调度队列"
"Error","错误"
"Corrupted Categories Data","损坏的类别数据"
"Id","ID"
"Expected Children Count","预期的儿童数"
"Actual Children Count","实际的儿童数"
"Expected Level","预期的水平"
"Actual Level","实际水平"
"Duplicate Categories By URL Key","通过URL键复制类别"
"URL key","URL 参数"
"Store","商店"
"Duplicate Orders By Increment Id","通过增量ID复制订单"
"Increment Id","增量 Id"
"Customer Id","客户 Id"
"Duplicate Products By SKU","复制产品的 SKU"
"SKU","商品编号SKU"
"Duplicate Products By URL Key","通过URL键复制类别"
"URL Key","网址"
"Website","网站"
"Duplicate Users By Email","重复的用户通过电子邮件"
"Email","邮箱"
"Type","类型"
"Parent","上级节点"
"Adminhtml Themes List","Adminhtml 主题列表"
"Frontend Themes List","前端的主题列表"
"Event Name","事件名称"
"Observer Class","观察者类"
"Method","方法"
"All Admin Events","管理员的所有事件"
"All Crontab Events","所有的 Crontab 事件"
"All Doc Events","所有文件事件"
"All Frontend Events","前端的所有事件"
"All Global events","全球的所有事件"
"All REST Events","其余的所有事件"
"All SOAP Events","SOAP 的所有事件"
"Core Admin Events","核心管理活动"
"Core Crontab Events","核心 Crontab 事件"
"Core Doc Events","核心 Doc 事件"
"Core Frontend Events","核心前端事件"
"Core Global Events","核心全球事件"
"Core REST Events","其他核心事件"
"Core SOAP Events","核心SOAP事件"
"Custom Admin Events","自定义管理事件"
"Custom Crontab Events","自定义 Crontab 事件"
"Custom Doc Events","自定义 Crontab 事件"
"Custom Frontend Events","自定义前端事件"
"Custom Global Events","全球的自定义事件"
"Custom REST Events","自定义其他事件"
"Custom SOAP Events","自定义SOAP事件"
"Log Files","日志文件"
"File","文件"
"Size","尺寸"
"Log Entries","日志条目"
"Last Update","最近更新"
"Today's Top Debug Messages","今天的热门调试消息"
"Message","信息"
"Last Occurrence","最后一个匹配项"
"Today's Top Exception Messages","今天的头等异常消息"
"Stack Trace","堆栈跟踪"
"Today's Top System Messages","今天的头等系统消息"
"Top Debug Messages","顶尖的调试消息"
"Top Exception Messages","最大的异常消息"
"Top System Messages","顶尖的系统消息"
"Store Views List","存储视图列表"
"Stores List","商店列表"
"Root Category","默认商店"
"Default Store View","默认存储视图"
"Websites List","网站列表"
"Is Default","为默认值"
"Default Store","默认存储"
"Websites Tree","网站树"
"There was an error while loading system report data.","加载系统报告数据时出错。"
"General","基本的"
"Environment","环境"
"Cannot save backup. The reason is: Utility lsof not found","无法保存备份。原因是：使用lsof没有发现"
"Test error","测试错误"
"Error message!","错误消息!"
"User Defined","用户自定义"
"Entity Type Code","实体类型代码"
"Source Model","源模型"
"Backend Model","后端模型"
"Frontend Model","前端模型"
"text","文本"
"Show Log","显示日志"
"Delete","删除"
"Delete ""%1""","删除""%1"""
"Are you sure you want to delete a ""%1"" record?","你确定你想要删除""%1""的记录?"
"View","查看"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","空的日志"
"Backup ID: ","备份 ID:"
"Collapse","崩溃"
"Expand","扩大"
" (no data)","(没有数据)"
"Top","返回页首"
"No data","没有数据"
"Support Data Collector","支持数据收集器"
"Support System Report","支持系统报告"
"System Report","系统报告"
"Data","数据"
"Modules","模块化"
"Logs","日志"
"Attributes","属性管理"
"Events","事件"
"Cron","Cron"
"Design","设计"
"Stores","商店"
"New Backup","新的备份"
"Refresh Status","刷新状态"
"Are you sure you want to delete selected item(s)?","你确定你想删除选定的项目?"
"Delete items","删除项目"
"Code Dump","代码转储"
"DB Dump","DB 转储"
"Choose Report Groups","选择报告组"
"New Report","新报告"
"Date Generated","生成日期"
"Report Groups","报告组"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"All processes should be completed.","All processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
