"Back","Назад"
"Cron Expression","Cron Expression"
"Run Class","Run Class"
"Run Method","Run Method"
"Group Code","Група Код"
"All Configurable Cron Jobs","Све Цонфигурабле Црон Јобс"
"All Global Cron Jobs","Све Глобал Црон Јобс"
"Cron Schedules List","Црон Сцхедулес Листа"
"Schedule Id","Распоред Ид"
"Status","Статус"
"Created At","Креирано"
"Scheduled At","Scheduled At"
"Executed At","Executed At"
"Finished At","Finished At"
"Core Configurable Cron Jobs","Core Configurable Cron Jobs"
"Core Global Cron Jobs","Core Global Cron Jobs"
"Cron Schedules by job code","Cron Schedules by job code"
"Count","Count"
"Cron Schedules by status code","Cron Schedules by status code"
"Status Code","Статус Код"
"Custom Configurable Cron Jobs","Custom Configurable Cron Jobs"
"Custom Global Cron Jobs","Custom Global Cron Jobs"
"Errors in Cron Schedules Queue","Errors in Cron Schedules Queue"
"Error","Грешка"
"Corrupted Categories Data","Цорруптед Категорије Дата"
"Id","Id"
"Expected Children Count","Expected Children Count"
"Actual Children Count","Actual Children Count"
"Expected Level","Expected Level"
"Actual Level","Actual Level"
"Duplicate Categories By URL Key","Дуплицате Категорије Бy УРЛ Кеy"
"URL key","УРЛ кључ"
"Store","Продавница"
"Duplicate Orders By Increment Id","Duplicate Orders By Increment Id"
"Increment Id","Increment Id"
"Customer Id","Купац Ид"
"Duplicate Products By SKU","Дуплицате Производи Бy СКУ"
"SKU","Шифра"
"Duplicate Products By URL Key","Дуплицате Производи Бy УРЛ Кеy"
"URL Key","УРЛ Кључ"
"Website","Wеб сајт"
"Duplicate Users By Email","Дуплицате Усерс Бy Е-пошта"
"Email","Е-пошта"
"Type","Тип"
"Parent","Parent"
"Adminhtml Themes List","Админхтмл Теме Листа"
"Frontend Themes List","Фронтенд Теме Листа"
"Event Name","Евент Назив"
"Observer Class","Observer Class"
"Method","Метода"
"All Admin Events","Све Админ Евентс"
"All Crontab Events","Све Цронтаб Евентс"
"All Doc Events","Све Доц Евентс"
"All Frontend Events","Све Фронтенд Евентс"
"All Global events","Све Глобал евентс"
"All REST Events","Све РЕСТ Евентс"
"All SOAP Events","Све СОАП Евентс"
"Core Admin Events","Core Admin Events"
"Core Crontab Events","Core Crontab Events"
"Core Doc Events","Core Doc Events"
"Core Frontend Events","Core Frontend Events"
"Core Global Events","Core Global Events"
"Core REST Events","Core REST Events"
"Core SOAP Events","Core SOAP Events"
"Custom Admin Events","Custom Admin Events"
"Custom Crontab Events","Custom Crontab Events"
"Custom Doc Events","Custom Doc Events"
"Custom Frontend Events","Custom Frontend Events"
"Custom Global Events","Custom Global Events"
"Custom REST Events","Custom REST Events"
"Custom SOAP Events","Custom SOAP Events"
"Log Files","Log Files"
"File","Датотека"
"Size","Величина"
"Log Entries","Log Entries"
"Last Update","Последња промена"
"Today's Top Debug Messages","Today's Top Debug Messages"
"Message","Порука"
"Last Occurrence","Последњи Оццурренце"
"Today's Top Exception Messages","Today's Top Exception Messages"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Тодаy'с Топ Систем Мессагес"
"Top Debug Messages","Top Debug Messages"
"Top Exception Messages","Top Exception Messages"
"Top System Messages","Топ Систем Мессагес"
"Store Views List","Продавница Виеwс Листа"
"Stores List","Продавнице Листа"
"Root Category","Роот категорија"
"Default Store View","Приказ подразумеване продавнице"
"Websites List","Wебситес Листа"
"Is Default","Је подразумевано"
"Default Store","Подразумевана продавница"
"Websites Tree","Websites Tree"
"There was an error while loading system report data.","There was an error while loading system report data."
"General","Опште"
"Environment","Окружење"
"Cannot save backup. The reason is: Utility lsof not found","Не може саве бацкуп. Тхе реасон ис: Утилитy лсоф није пронађено"
"Test error","Test error"
"Error message!","Порука о грешци!"
"User Defined","Кориснички дефинисане"
"Entity Type Code","Ентитy Тип Код"
"Source Model","Source Model"
"Backend Model","Backend Model"
"Frontend Model","Frontend Model"
"text","text"
"Show Log","Прикажи Лог"
"Delete","Обрисати"
"Delete ""%1""","Обриши ""%1"""
"Are you sure you want to delete a ""%1"" record?","Да ли сте сигурни да желите да обришете ""%1"" запис?"
"View","Преглед"
"Are you sure you wan't to delete a ""%1"" record?","Да ли сте сигурни да желите да обришете ""%1"" запис?"
"Empty log","Empty log"
"Backup ID: ","Резервна копија ИД:"
"Collapse","Collapse"
"Expand","Expand"
" (no data)","(но дата)"
"Top","Top"
"No data","Не дата"
"Support Data Collector","Подршка Дата Цоллецтор"
"Support System Report","Подршка Систем Репорт"
"System Report","Систем Репорт"
"Data","Data"
"Modules","Modules"
"Logs","Logs"
"Attributes","Атрибути"
"Events","Догађаји"
"Cron","Cron"
"Design","Дизајн"
"Stores","Продавнице"
"New Backup","Ново Резервна копија"
"Refresh Status","Refresh Status"
"Are you sure you want to delete selected item(s)?","Да ли сте сигурни желите да делете селецтед итем(с)?"
"Delete items","Обриши производе"
"Code Dump","Код Думп"
"DB Dump","DB Dump"
"Choose Report Groups","Изабери Репорт Гроупс"
"New Report","Ново Репорт"
"Date Generated","Датум Генератед"
"Report Groups","Report Groups"
"An item needs to be selected. Select and try again.","Морате одабрати артикл. Одаберите и покушајте поново."
"All processes should be completed.","Све процессес схоулд бе цомплетед."
"The ""%1"" utility wasn't found. Verify the utility and try again.","Услуга ""%1"" није пронађена. Проверите услугу и покушајте поново."
"The ""%1"" utility is unknown. Verify the utility and try again.","Услуга ""%1"" је непозната. Проверите услугу и покушајте поново."
"The root category can't be set. Verify the category and try again.","Тхе роот цатегорy цан'т бе сет. Верифy тхе цатегорy анд покушајте поново."
