"Back","Indietro"
"Directory %s should have writable & readable permissions","La directory %s deve disporre di permessi di scrittura e lettura"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Stato sconosciuto"
"Processing ...","Elaborazione..."
"(now)","(ora)"
"[%1 minutes ago]","[%1 minuti fa]"
"[%1 hours ago]","[%1 ore fa]"
"[%1 days ago]","[%1 giorni fa]"
"[%1 weeks ago]","[%1 settimane fa]"
"[%1 months ago]","[%1 mesi fa]"
"[%1 years ago]","[%1 anni fa]"
"And more...","E altro ancora..."
"Column %1","Colonna %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparazione dati del report di sistema: modalità di riga singola rilevata ma i dati potrebbero essere incompleti."
"Yes","Sì"
"No","No"
"All Eav Attributes","Tutti gli attributi Eav"
"Category Eav Attributes","Attributi Eav di categoria"
"Customer Address Eav Attributes","Attributi Eav indirizzo cliente"
"Customer Eav Attributes","Attributi Eav cliente"
"Entity Types","Tipi entità"
"ID","ID"
"Code","Codice"
"Model","Modello"
"Attribute Model","Modello attributo"
"Increment Model","Modello di incremento"
"Main Table","Tabella principale"
"Additional Attribute Table","Tabella attributi aggiuntivi"
"New Eav Attributes","Nuovi attributi Eav"
"Product Eav Attributes","Attributi Eav prodotto"
"Rma Item Eav Attributes","Attributi Eav elemento Rma"
"User Defined Eav Attributes","Attributi eav definiti dall'utente"
"Name","Nome"
"Enabled","Abilitato"
"Value","Valore"
"Scope","Ambito di applicazione"
"Configuration","Configurazione"
"Path","Percorso"
"Data from app/etc/env.php","Dati da app/etc/env.php"
"Title","Titolo"
"Group","Gruppo"
"Is Gateway","È il Gateway"
"Void","Vuoto"
"For Checkout","Per il Checkout"
"For Multishipping","Per la spedizione multipla"
"Capture Online","Acquisizione Online"
"Partial Capture Online","Acquisizione parziale online"
"Refund Online","Rimborso online"
"Partial Refund Online","Rimborso parziale online"
"Capture Offline","Acquisizione offline"
"Partial Capture Offline","Acquisizione parziale offline"
"Refund Offline","Rimborso offline"
"Partial Refund Offline","Rimborso parziale offline"
"Payments Functionality Matrix","Matrice funzionalità pagamenti"
"Payment Methods","Metodi di pagamento"
"Shipping Methods","Metodi di Spedizione"
"Job Code","Job Code"
"Cron Expression","Espressione Cron"
"Run Class","Esegui Classe"
"Run Method","Esegui Metodo"
"Group Code","Codice gruppo"
"All Configurable Cron Jobs","Tutti i cron jobs configurabili"
"All Global Cron Jobs","Tutti i cron jobs globali"
"Cron Schedules List","Elenco cron pianificati"
"Schedule Id","Id pianificazione"
"Status","Stato"
"Created At","Creato il"
"Scheduled At","Previsto alle"
"Executed At","Eseguiti alle"
"Finished At","Finito alle"
"Core Configurable Cron Jobs","Core configurabile Cron Jobs"
"Core Global Cron Jobs","Core Global Cron Jobs"
"Cron Schedules by job code","Cron pianificati da job code"
"Count","Conto"
"Cron Schedules by status code","Pianificazioni Cron per codice status"
"Status Code","Codice Status"
"Custom Configurable Cron Jobs","Custom Configurable Cron Jobs"
"Custom Global Cron Jobs","Custom Global Cron Jobs"
"Errors in Cron Schedules Queue","Errori nella coda cron pianificato"
"Error","Errore"
"Corrupted Categories Data","Categorie danneggiato dati"
"Id","Id"
"Expected Children Count","Bambini previsto Conto"
"Actual Children Count","Conteggio effettivo bambini"
"Expected Level","Livello previsto"
"Actual Level","Livello attuale"
"Duplicate Categories By URL Key","Duplicare le categorie di URL chiave"
"URL key","URL key"
"Store","Negozio"
"Duplicate Orders By Increment Id","Ordini duplicati dall'incremento Id"
"Increment Id","Increment Id"
"Customer Id","Id cliente"
"Duplicate Products By SKU","Prodotti duplicati per SKU"
"SKU","Cod.Art."
"Duplicate Products By URL Key","Prodotti duplicati di chiave URL"
"URL Key","Chiave URL"
"Website","Sito Web"
"Duplicate Users By Email","Duplicare gli utenti via Email"
"Email","Email"
"Type","Tipo"
"Parent","Genitore"
"Adminhtml Themes List","Elenco dei temi adminhtml"
"Frontend Themes List","Elenco dei temi frontend"
"Event Name","Nome dell'evento"
"Observer Class","Classe di osservatore"
"Method","Metodo"
"All Admin Events","Tutti gli eventi Admin"
"All Crontab Events","Tutti gli eventi Crontab"
"All Doc Events","Tutti gli eventi Doc"
"All Frontend Events","Tutti gli eventi Frontend"
"All Global events","Tutti gli eventi globali"
"All REST Events","Tutti gli eventi REST"
"All SOAP Events","Tutti gli eventi SOAP"
"Core Admin Events","Eventi Core Admin"
"Core Crontab Events","Eventi Core Crontab"
"Core Doc Events","Eventi Core Doc"
"Core Frontend Events","Eventi Core Frontend"
"Core Global Events","Eventi Core Global"
"Core REST Events","Eventi Core REST"
"Core SOAP Events","Eventi Core SOAP"
"Custom Admin Events","Eventi di Admin personalizzato"
"Custom Crontab Events","Eventi personalizzati Crontab"
"Custom Doc Events","Eventi personalizzati Doc"
"Custom Frontend Events","Eventi personalizzati Frontend"
"Custom Global Events","Eventi globali personalizzati"
"Custom REST Events","Eventi REST Personalizzati"
"Custom SOAP Events","Eventi SOAP Personalizzati"
"Log Files","File Log"
"File","File"
"Size","Dimensione"
"Log Entries","Voci Log"
"Last Update","Ultimo aggiornamento"
"Today's Top Debug Messages","Messaggi di Debug Top di oggi"
"Message","Messaggio"
"Last Occurrence","Ultima occorrenza"
"Today's Top Exception Messages","Messaggi di eccezione Top di oggi"
"Stack Trace","Analisi dello stack"
"Today's Top System Messages","Messaggi di sistema Top di oggi"
"Top Debug Messages","Messaggi di Debug superiore"
"Top Exception Messages","Messaggi di eccezione superiore"
"Top System Messages","Messaggi di sistema superiore"
"Store Views List","Elenco viste negozio"
"Stores List","Elenco Negozi"
"Root Category","Categoria di Root"
"Default Store View","Vista Negozio predefinita"
"Websites List","Elenco website"
"Is Default","È predefinito"
"Default Store","Negozio Predefinito"
"Websites Tree","Alberatura website"
"There was an error while loading system report data.","C'è stato un errore durante il caricamento dei dati del report di sistema."
"General","Generale"
"Environment","Ambiente"
"Cannot save backup. The reason is: Utility lsof not found","Non è possibile salvare il backup. La ragione è: utilità lsof non trovato"
"Test error","Errore test"
"Error message!","Messaggio di errore!"
"User Defined","Definito dall'utente"
"Entity Type Code","Codice tipo entità"
"Source Model","Model sorgente"
"Backend Model","Model Backend"
"Frontend Model","Model Frontend"
"text","testo"
"Show Log","Visualizza i Log"
"Delete","Elimina"
"Delete ""%1""","Elimina ""%1"""
"Are you sure you want to delete a ""%1"" record?","Sei sicuro di voler eliminare ""%1"" record?"
"View","Mostra"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","Log vuoto"
"Backup ID: ","ID backup: "
"Collapse","Comprimi"
"Expand","Espandi"
" (no data)"," (nessun dato)"
"Top","In alto"
"No data","Nessun dato"
"Support Data Collector","Support Data Collector"
"Support System Report","Report sistema di supporto"
"System Report","Reports di sistema"
"Data","Dati"
"Modules","Moduli"
"Logs","Logs"
"Attributes","Attributi"
"Events","Eventi"
"Cron","Cron"
"Design","Aspetto"
"Stores","Negozi"
"New Backup","Nuovo Backup"
"Refresh Status","Aggiorna Status"
"Are you sure you want to delete selected item(s)?","Sei sicuro di che voler eliminare gli elementi selezionati?"
"Delete items","Elimina elementi"
"Code Dump","Codice Dump"
"DB Dump","Dump DB"
"Choose Report Groups","Scegliere i gruppi di Report"
"New Report","Nuovo Report"
"Date Generated","Data di generazione"
"Report Groups","Gruppi Report"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"All processes should be completed.","All processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
