"Back","Kembali"
"Stores List","Daftar Toko"
"Root Category","Kategori akar"
"Default Store View","Tampilan Bawaan Toko"
"Websites List","Daftar Situs Web"
"Is Default","Bawaan"
"Default Store","Toko Bawaan"
"Websites Tree","Pohon Website"
"There was an error while loading system report data.","Terjadi kesalahan saat memuat data laporan sistem."
"General","Umum"
"Environment","Lingkungan Hidup"
"Cannot save backup. The reason is: Utility lsof not found","Tidak dapat menyimpan cadangan Alasannya adalah: Utilitas lsof tidak ditemukan"
"Test error","Menguji kesalahan"
"Error message!","Pesan kesalahan!"
"User Defined","Ditetapkan pengguna"
"Entity Type Code","Entitas jenis kode"
"Source Model","Model Sumber"
"Backend Model","Model Backend"
"Frontend Model","Model Frontend"
"text","teks"
"Show Log","Tampilkan Log"
"Delete","Hapus"
"Delete ""%1""","Hapus ""%1"""
"Are you sure you want to delete a ""%1"" record?","Yakin ingin menghapus ""%1"" rekaman?"
"View","Melihat"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","Log kosong"
"Backup ID: ","ID cadangan: "
"Collapse","Jatuh"
"Expand","Memperluas"
" (no data)"," (tidak ada data)"
"Top","Atas"
"No data","Tidak ada data"
"Support Data Collector","Dukung data kolektor"
"Support System Report","Laporan Sistem Pendukung"
"System Report","Laporan sistem"
"Data","Data"
"Modules","Modul"
"Logs","Log"
"Attributes","Atribut"
"Events","Acara"
"Cron","Cron"
"Design","Desain"
"Stores","Toko"
"New Backup","Cadangan Baru"
"Refresh Status","Refresh Status"
"Are you sure you want to delete selected item(s)?","Yakin ingin menghapus item yang dipilih(s)?"
"Delete items","Hapus item"
"Code Dump","Kode Dump"
"DB Dump","DB Dump"
"Choose Report Groups","Pilih Grup Laporan"
"New Report","Laporan baru"
"Date Generated","Tanggal Generated"
"Report Groups","Laporkan Kelompok"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"All processes should be completed.","All processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
