"Back","Geri"
"The system report has been deleted.","Sistem raporu silindi."
"An error occurred while deleting the system report. Please review log and try again.","Sistem raporu silinirken bir hata oluştu. Lütfen günlüğünü inceleyin ve tekrar deneyin."
"Requested system report no longer exists.","İstenen sistem raporu artık mevcut değil."
"Unable to read system report data to display.","Görüntülenecek sistem raporu verileri okunamıyor."
"No groups were specified to generate system report.","Sistem raporu oluşturmak için herhangi bir grup belirtilmedi."
"The system report has been generated.","Sistem raporu oluşturuldu."
"An error occurred while the system report was being created. Please review the log and try again.","Sistem raporu oluşturulurken bir hata oluştu. Lütfen günlüğü inceleyin ve tekrar deneyin."
"System Reports","Sistem Raporları"
"An error occurred during mass deletion of system reports. Please review log and try again.","Sistem raporlarının toplu silinmesi sırasında bir hata oluştu. Lütfen günlüğünü inceleyin ve tekrar deneyin."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Cannot set root directory."
"Support Module doesn't support %s operation system","Destek Modülü %s işletim sistemini desteklemiyor"
"Unable to create backup due to php exec function is disabled","Php exec işlevi nedeniyle devre dışı bırakılmış yedek oluşturulamaz"
"Incomplete","Tamamlanmamış"
"Complete","Tamamlandı"
"Failed","tamamlanamadı"
"Directory %s should have writable & readable permissions","%s dizini yazılabilir & okunabilir izinlere sahip olmalıdır"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Bilinmeyen Statü"
"Processing ...","İşleniyor ..."
"(now)","(şimdi)"
"[%1 minutes ago]","[%1 dakika önce]"
"[%1 hours ago]","[%1 saat önce]"
"[%1 days ago]","[%1 gün önce]"
"[%1 weeks ago]","[%1 hafta önce]"
"[%1 months ago]","[%1 ay önce]"
"[%1 years ago]","[%1 yıl önce]"
"And more...","Ve Dahası..."
"Column %1","Sütun %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Sistem raporu verilerini hazırlama: Tek Sıralı Mod Algılandı ancak veriler tamamlanmamış olabilir."
"Yes","Evet"
"No","Hayır"
"All Eav Attributes","Tüm Eav Özellikleri"
"Category Eav Attributes","Kategori Eav Özellikleri"
"Customer Address Eav Attributes","Müşteri Adresi Eav Özellikleri"
"Customer Eav Attributes","Müşteri Eav Özellikleri"
"Entity Types","Öğe Türleri"
"ID","No"
"Code","Kod"
"Model","Model"
"Attribute Model","Ürün Özellik Modeli"
"Increment Model","Arttırma Modeli"
"Main Table","Ana Tablo"
"Additional Attribute Table","Ek Özellik Tablosu"
"New Eav Attributes","Yeni Eav Özellikleri"
"Product Eav Attributes","Ürün Eav Özellikleri"
"Rma Item Eav Attributes","Rma Öğesi Eav Özellikleri"
"User Defined Eav Attributes","Kullanıcı Tanımlı Eav Özellikleri"
"Name","Adı"
"Enabled","Aktif edildi"
"Value","Değer"
"Scope","Kapsam"
"Configuration","Yapılandırma"
"Path","Yol"
"Data from app/etc/env.php","app/etc/env.php 'den gelen veriler"
"Title","Başlık"
"Group","Grup"
"Is Gateway","Ağ Geçidi mi"
"Void","İptal edildi"
"For Checkout","Ödeme için"
"For Multishipping","Çoklu Taşıma İçin"
"Capture Online","Çevrimiçi Tahsil Et"
"Partial Capture Online","Çevrimiçi Kısmi Çekim"
"Refund Online","Çevrimiçi İade"
"Partial Refund Online","Çevrimiçi Kısmi İade"
"Capture Offline","Çevrimdışı Tahsil Et"
"Partial Capture Offline","Çevrimdışı Kısmi Çekim"
"Refund Offline","Çevrimdışı İade"
"Partial Refund Offline","Çevrimdışı Kısmi İade"
"Payments Functionality Matrix","Ödemelerin İşlevsellik Matrisi"
"Payment Methods","Ödeme Yöntemleri"
"Shipping Methods","Teslimat Yöntemleri"
"Job Code","İş Kodu"
"Cron Expression","Cron İfadesi"
"Run Class","Bölümü çalıştır"
"Run Method","Çalıştırma Yöntemi"
"Group Code","Grup Kodu"
"All Configurable Cron Jobs","Tüm yapılandırılabilir Cron Jobs"
"All Global Cron Jobs","Dünya Çapında Tüm Cron İş İlanları"
"Cron Schedules List","Cron Programları Listesi"
"Schedule Id","Program Kimliği"
"Status","Durum"
"Created At","Oluşturulduğu Tarih"
"Scheduled At","'de zamanlanmış"
"Executed At","'de Çalıştırılan"
"Finished At","'de Biten"
"Core Configurable Cron Jobs","Çekirdek yapılandırılabilir Cron Jobs"
"Core Global Cron Jobs","Dünya Çapında Çekirdik Cron İş İlanları"
"Cron Schedules by job code","İş koduna göre Cron Zamanlamaları"
"Count","Sayılan"
"Cron Schedules by status code","Durum koduna göre Cron Zamanlamaları"
"Status Code","Durum Kodu"
"Custom Configurable Cron Jobs","Bütün özelleştirilebilir Cron Jobslar"
"Custom Global Cron Jobs","Dünya Çapında Özel Cron İşler"
"Errors in Cron Schedules Queue","Cron Zamanlamaları Sırasındaki Hatalar"
"Error","Hata"
"Corrupted Categories Data","Bozuk Kategoriler veri"
"Id","No"
"Expected Children Count","Beklenen Çocuk Sayısı"
"Actual Children Count","Gerçek Çocuk Sayısı"
"Expected Level","Beklenen Seviye"
"Actual Level","Gerçek Seviye"
"Duplicate Categories By URL Key","Yinelenen kategorilere göre URL anahtar"
"URL key","URL anahtarı"
"Store","Mağaza"
"Duplicate Orders By Increment Id","Artım Kimlikleri Tarafından Siparişler Çoğaltıldı"
"Increment Id","Artım Kimliği"
"Customer Id","Müşteri Kimliği"
"Duplicate Products By SKU","Duplicate Products By SKU"
"SKU","Ürün Kodu"
"Duplicate Products By URL Key","Ürünleri URL Anahtarına Göre Yineleyin"
"URL Key","Adres Anahtar Kelimesi"
"Website","Web sitesi"
"Duplicate Users By Email","Kullanıcıların e-postasını çoğaltmak"
"Email","E-posta"
"Type","Tip"
"Parent","Ebeveyn"
"Adminhtml Themes List","Adminhtml Tema Listesi"
"Frontend Themes List","Frontend Temaları Listesi"
"Event Name","Etkinlik adı"
"Observer Class","Gözlemci Sınıfı"
"Method","Yöntem"
"All Admin Events","Tüm Yönetici Etkinlikleri"
"All Crontab Events","Tüm Crontab Etkinlikleri"
"All Doc Events","Tüm etkinlik dökümanları"
"All Frontend Events","Tüm Cephe Olayları"
"All Global events","Tüm Küresel olaylar"
"All REST Events","Tüm REST Etkinlikleri"
"All SOAP Events","Tüm SOAP Olayları"
"Core Admin Events","Temel Yönetim Etkinlikleri"
"Core Crontab Events","Core Crontab Olayları"
"Core Doc Events","Temel Doküman Etkinlikleri"
"Core Frontend Events","Temel Ön Yüz Olayları"
"Core Global Events","Temel Global Olaylar"
"Core REST Events","Temel REST Etkinlikleri"
"Core SOAP Events","Çekirdek SOAP Olayları"
"Custom Admin Events","Özel Yönetici Etkinlikleri"
"Custom Crontab Events","Özel Crontab Etkinlikleri"
"Custom Doc Events","Özel Belge Olayları"
"Custom Frontend Events","Özel Frontend Olayları"
"Custom Global Events","Özel Küresel Etkinlikler"
"Custom REST Events","Özel Dinlenme Etkinlikleri"
"Custom SOAP Events","Özel SOAP Olayları"
"Log Files","Günlük Dosyaları"
"File","Dosya"
"Size","Boyut"
"Log Entries","Günlük Girişleri"
"Last Update","Son Güncelleme"
"Today's Top Debug Messages","Bugünün popüler hata ayıklama mesajları"
"Message","Mesaj"
"Last Occurrence","Son Oluşum"
"Today's Top Exception Messages","Bugünün Popüler İstisna Mesajları"
"Stack Trace","Yığın İzleme"
"Today's Top System Messages","Bugünün En İyi Sistem Mesajları"
"Top Debug Messages","En İyi Hata Ayıklama İletileri"
"Top Exception Messages","En İstisna Mesajları"
"Top System Messages","En İyi Sistem Mesajları"
"Store Views List","Mağaza Görünüm Listesi"
"Stores List","Mağaza Listesi"
"Root Category","Ana Kategori"
"Default Store View","Varsayılan Mağaza Görünümü"
"Websites List","İnternet sitesi listesi"
"Is Default","Varsayılan"
"Default Store","Varsayılan Mağaza"
"Websites Tree","Web sitesi ağacı"
"There was an error while loading system report data.","Sistem raporu verileri yüklenirken bir hata oluştu."
"General","Genel"
"Environment","Çevre"
"Cannot save backup. The reason is: Utility lsof not found","Yedekleme kaydedilemiyor. Sebebi: Yardımcı Isof bulunamadı"
"Test error","Test hatası"
"Error message!","Hata mesajı!"
"User Defined","Tanımlı kullanıcı"
"Entity Type Code","Varlık Tipi Kodu"
"Source Model","Kaynak Modeli"
"Backend Model","Arka Uç Modeli"
"Frontend Model","Ön Sayfa Modeli"
"text","metin"
"Show Log","Günlüğü Göster"
"Delete","Sil"
"Delete ""%1""","Sil ''%1''"
"Are you sure you want to delete a ""%1"" record?","""%1"" kaydını silmek istediğinizden emin misiniz?"
"View","Göster"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","Günlüğü boş"
"Backup ID: ","Yedek Kimliği: "
"Collapse","Düşüş"
"Expand","Büyüyüş"
" (no data)"," (veri yok)"
"Top","Üst"
"No data","Veri yok"
"Support Data Collector","Destek Veri Toplayıcısı"
"Support System Report","Destek Sistemi Raporu"
"System Report","Sistem Raporu"
"Data","Veri"
"Modules","Modüller"
"Logs","Kayıtlar"
"Attributes","Öznitelikler"
"Events","Etkinlikler"
"Cron","Cron"
"Design","Tasarım"
"Stores","Mağazalar"
"New Backup","Yeni yedekleme"
"Refresh Status","Durumu Yenile"
"Are you sure you want to delete selected item(s)?","Seçilen öğeyi(leri) silmek istediğinizden emin misiniz?"
"Delete items","Öğeleri sil"
"Code Dump","Kod Dökümü"
"DB Dump","Veritabanı Dökümü"
"Choose Report Groups","Rapor Gruplarını Seçin"
"New Report","Yeni rapor"
"Date Generated","Oluşturulan tarih"
"Report Groups","Rapor Grupları"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"All processes should be completed.","All processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
