"Back","بازگشت"
"New Eav Attributes","ایجاد ویژگی های Eav"
"Product Eav Attributes","ویژگی های محصول Eav"
"Rma Item Eav Attributes","ویژگی های مورد Rma Eav"
"User Defined Eav Attributes","ویژگی Eav توسط کاربر تعریف شده"
"Name","نام"
"Enabled","فعال"
"Value","مقدار"
"Scope","محدوده"
"Configuration","پیکربندی"
"Path","مسير"
"Data from app/etc/env.php","داده ها از app/etc/env.php"
"Title","عنوان"
"Group","گروه"
"Is Gateway","دروازه است"
"Void","باطل"
"For Checkout","برای پرداخت"
"For Multishipping","برای Multishipping"
"Capture Online","ضبط آنلاین"
"Partial Capture Online","ضبط آنلاین جزئی"
"Refund Online","بازپرداخت آنلاین"
"Partial Refund Online","بازپرداخت جزئی به صورت آنلاین"
"Capture Offline","ضبط آفلاین"
"Partial Capture Offline","ضبط آفلاین جزئی"
"Refund Offline","استرداد آفلاین"
"Partial Refund Offline","بازپرداخت جزئی به صورت آفلاین"
"Payments Functionality Matrix","ماتریس عملکرد پرداخت"
"Payment Methods","روش های پرداخت"
"Shipping Methods","روش‌های ارسال"
"Job Code","کد کار"
"Cron Expression","اصطلاح کرون"
"Run Class","اجرای کلاس"
"Run Method","اجرای روش"
"Group Code","کد گروه"
"All Configurable Cron Jobs","تمام تنظیمات Cron Jobs"
"All Global Cron Jobs","همه کارهای Global Cron"
"Cron Schedules List","لیست برنامه های Cron"
"Schedule Id","شناسه برنامه"
"Status","وضعيت"
"Created At","ايجاد شده در"
"Scheduled At","برنامه ریزی شده در"
"Executed At","اجرا کردن در"
"Finished At","در به پایان رسید"
"Core Configurable Cron Jobs","هسته قابل تنظیم Cron Jobs"
"Core Global Cron Jobs","هسته Global Cron Jobs"
"Cron Schedules by job code","برنامه های Cron توسط کد کار"
"Count","تعداد"
"Cron Schedules by status code","برنامه های Cron بر اساس کد وضعیت"
"Status Code","کد وضعیت"
"Custom Configurable Cron Jobs","سفارشی کردن تنظیم کرون جابز"
"Custom Global Cron Jobs","سفارشی کردن کرون جابز Global"
"Errors in Cron Schedules Queue","خطاها در صف برنامه Cron"
"Error","خطا"
"Corrupted Categories Data","اطلاعات دسته بندی خراب شده"
"Id","شناسه"
"Expected Children Count","تعداد فرزندان مورد انتظار"
"Actual Children Count","تعداد واقعی کودکان"
"Expected Level","سطح پیش بینی شده"
"Actual Level","سطح واقعی"
"Duplicate Categories By URL Key","دسته بندی های تکراری با کلید URL"
"URL key","کلید URL"
"Store","فروشگاه"
"Duplicate Orders By Increment Id","سفارشات تکراری توسط شناسه افزایش"
"Increment Id","شناسه افزایش"
"Customer Id","شناسه مشتری"
"Duplicate Products By SKU","محصولات SKU تکراری"
"SKU","کد محصول"
"Duplicate Products By URL Key","محصولات تکراری با کلید URL"
"URL Key","کلید URL"
"Website","وب سایت"
"Duplicate Users By Email","کاربران با ایمیل های تکراری"
"Email","ايميل"
"Type","نوع"
"Parent","والد"
"Adminhtml Themes List","لیست تم های Adminhtml"
"Frontend Themes List","فهرست تم ها ظاهر می شود"
"Event Name","نام رویداد"
"Observer Class","کلاس ناظر"
"Method","روش"
"All Admin Events","همه رویدادهای مدیریت"
"All Crontab Events","همه رویدادهای Crontab"
"All Doc Events","همه اسناد رویدادها"
"All Frontend Events","تمام وقایع Frontend"
"All Global events","همه رویدادهای Global"
"All REST Events","همه رویدادهای REST"
"All SOAP Events","همه رویدادهای SOAP"
"Core Admin Events","هسته رویدادهای مدیریتی"
"Core Crontab Events","رویدادهای Crontab Core"
"Core Doc Events","هسته رویدادهای اسناد"
"Core Frontend Events","هسته رویدادهای Frontend"
"Core Global Events","هسته رویدادهای Global"
"Core REST Events","هسته رویدادهای REST"
"Core SOAP Events","هسته رویدادهای SOAP"
"Custom Admin Events","سفارشی کردن رویدادهای مدیریتی"
"Custom Crontab Events","سفارشی کردن رویدادهای Crontab"
"Custom Doc Events","سفارشی کردن رویدادهای اسناد"
"Custom Frontend Events","سفارشی کردن رویدادهای Frontend"
"Custom Global Events","سفارشی کردن رویدادهای Global"
"Custom REST Events","سفارشی کردن رویدادهای REST"
"Custom SOAP Events","سفارشی کردن رویدادهای SOAP"
"Log Files","L Logفایل ها"
"File","فایل"
"Size","اندازه"
"Log Entries","Log ورودی ها"
"Last Update","آخرین به روز رسانی"
"Today's Top Debug Messages","پیام های اشکال زدایی بالا امروز"
"Message","پیام"
"Last Occurrence","آخرین رخداد"
"Today's Top Exception Messages","پیام های اضطراری بالا امروز"
"Stack Trace","تعقیب پشته"
"Today's Top System Messages","پیام های سیستم امروزه"
"Top Debug Messages","پیام های اشکال بالا"
"Top Exception Messages","پیام بالا استثنا"
"Top System Messages","پیغام های سیستم بالا"
"Store Views List","فهرست مشاهده فروشگاه
 "
"Stores List","لیست فروشگاه ها"
"Root Category","دسته ریشه"
"Default Store View","نمای فروشگاه پیش فرض"
"Websites List","لیست وب سایت ها"
"Is Default","پیش فرض است"
"Default Store","فروشگاه پیش فرض"
"Websites Tree","وب سایت های فهرست"
"There was an error while loading system report data.","هنگام بارگیری اطلاعات گزارش سیستم، خطایی روی داد."
"General","عمومی"
"Environment","محیط"
"Cannot save backup. The reason is: Utility lsof not found","پشتیبان گیری را نمی توان ذخیره کرد. دلیل این است: Utility Lsof یافت نشد"
"Test error","خطای تست"
"Error message!","پیام خطا!"
"User Defined","تعریف شده توسط کاربر"
"Entity Type Code","نوع کد موجود"
"Source Model","مدل منبع"
"Backend Model","مدل پنل مدیریت"
"Frontend Model","مدل فرانت‌اند"
"text","متن"
"Show Log","نمایش Log"
"Delete","حذف"
"Delete ""%1""","حذف%1"""
"Are you sure you want to delete a ""%1"" record?","آیا مطمئن هستید که می خواهید رکورد ""%1"" را حذف کنید?"
"View","مشاهده"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","Log خالی"
"Backup ID: ","شناسه نسخه پشتیبان: "
"Collapse","بستن"
"Expand","گسترش"
" (no data)"," (اطلاعاتی وجود ندارد)"
"Top","بالا"
"No data","هیچ داده ای"
"Support Data Collector","پشتیبانی از جمع کننده داده"
"Support System Report","گزارش سیستم پشتیبانی"
"System Report","گزارش سیستم"
"Data","داده"
"Modules","ماژول ها"
"Logs","رویدادها"
"Attributes","ویژگی‌ ها"
"Events","رویدادها"
"Cron","Cron"
"Design","طراحی"
"Stores","فروشگاه‌ها"
"New Backup","پشتیبان گیری جدید"
"Refresh Status","تازه کردن وضعیت"
"Are you sure you want to delete selected item(s)?","آیا مطمئن هستید که می خواهید مورد(های) انتخاب شده را حذف کنید?"
"Delete items","حذف موارد"
"Code Dump","رد کردن کد"
"DB Dump","تخلیه DB"
"Choose Report Groups","گروه گزارش را انتخاب کنید"
"New Report","گزارش جدید"
"Date Generated","تاریخ ایجاد شده"
"Report Groups","گزارش گروه ها"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"All processes should be completed.","All processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
