"Back","Atrás"
"File","Archivo"
"Size","Tamaño"
"Log Entries","Entradas del Registro"
"Last Update","Última Actualización"
"Today's Top Debug Messages","Mensajes de depuración destacados de hoy"
"Message","Mensaje"
"Last Occurrence","Última aparición"
"Today's Top Exception Messages","Mensajes de excepción destacados de hoy"
"Stack Trace","Registro de Pila"
"Today's Top System Messages","Mensajes del sistema destacados de hoy"
"Top Debug Messages","Mensajes de depuración principales"
"Top Exception Messages","Principales mensajes de excepción"
"Top System Messages","Mensajes de sistema principales"
"Store Views List","Lista de vistas de la tienda"
"Stores List","Lista de tiendas"
"Root Category","Categoría raíz"
"Default Store View","Vista de Tienda Predeterminada"
"Websites List","Lista de sitios web"
"Is Default","Es por defecto"
"Default Store","Almacén predeterminado"
"Websites Tree","Árbol de sitios web"
"There was an error while loading system report data.","Hubo un error al cargar los datos del informe del sistema."
"General","General"
"Environment","Entorno"
"Cannot save backup. The reason is: Utility lsof not found","No se puede guardar la copia de seguridad. La razón es: utilidad lsof no encontrada"
"Test error","Prueba de error"
"Error message!","¡Mensaje de error!"
"User Defined","Personalizado"
"Entity Type Code","Código de tipo de entidad"
"Source Model","Modelo de origen"
"Backend Model","Administración del sitio modelo"
"Frontend Model","Entrada Modelo"
"text","texto"
"Show Log","Mostar Registro"
"Delete","Borrar"
"Delete ""%1""","Eliminar ""%1"""
"Are you sure you want to delete a ""%1"" record?","¿Seguro que quieres eliminar un registro ""%1""?"
"View","Ver"
"Are you sure you wan't to delete a ""%1"" record?","¿Estás seguro de que deseas eliminar un registro ""%1""?"
"Empty log","Registro vacío"
"Backup ID: ","ID del backup: "
"Collapse","Colapsar"
"Expand","Expandir 	"
" (no data)"," (sin datos)"
"Top","Arriba"
"No data","No hay datos"
"Support Data Collector","Recopilador de datos de soporte"
"Support System Report","Informe de sistema de apoyo"
"System Report","Informe del sistema"
"Data","Datos"
"Modules","Módulos"
"Logs","Registros"
"Attributes","Atributos"
"Events","Eventos"
"Cron","Cron"
"Design","Diseño"
"Stores","Tiendas"
"New Backup","Nuevo Backup"
"Refresh Status","Actualizar estado"
"Are you sure you want to delete selected item(s)?","¿Seguro que quieres eliminar los elementos seleccionados?"
"Delete items","Eliminar elementos"
"Code Dump","Descarga de código"
"DB Dump","Descarga de BD"
"Choose Report Groups","Elegir grupos de informes"
"New Report","Informe nuevo"
"Date Generated","Fecha generada"
"Report Groups","Grupos de informes"
"An item needs to be selected. Select and try again.","Un elemento debe ser seleccionado. Seleccione y vuelva a intentarlo."
"All processes should be completed.","Todos los procesos deben ser completados."
"The ""%1"" utility wasn't found. Verify the utility and try again.","No se encontró la utilidad ""%1"". Verifique la utilidad y vuelva a intentarlo."
"The ""%1"" utility is unknown. Verify the utility and try again.","La utilidad ""%1"" es desconocida. Verifique la utilidad y vuelva a intentarlo."
"The root category can't be set. Verify the category and try again.","La categoría raíz no se puede establecer. Verifica la categoría y vuelve a intentarlo."
