"Back","חזור"
"An error occurred during mass deletion of system reports. Please review log and try again.","An error occurred during mass deletion of system reports. Please review log and try again."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Cannot set root directory."
"Support Module doesn't support %s operation system","Support Module doesn't support %s operation system"
"Unable to create backup due to php exec function is disabled","Unable to create backup due to php exec function is disabled"
"Incomplete","Incomplete"
"Complete","הושלמה"
"Failed","נכשל"
"Directory %s should have writable & readable permissions","Directory %s should have writable & readable permissions"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","סטטוס לא ידוע"
"Processing ...","Processing ..."
"(now)","(now)"
"[%1 minutes ago]","[לפני %1 דקות]"
"[%1 hours ago]","[לפני %1 שעות]"
"[%1 days ago]","[%1 days ago]"
"[%1 weeks ago]","[לפני %1 שבועות]"
"[%1 months ago]","[%1 months ago]"
"[%1 years ago]","[%1 years ago]"
"And more...","And more..."
"Column %1","Column %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparing system report data: Detected Single Row Mode but data may be incomplete."
"Yes","כן"
"No","לא"
"All Eav Attributes","All Eav Attributes"
"Category Eav Attributes","Category Eav Attributes"
"Customer Address Eav Attributes","Customer Address Eav Attributes"
"Customer Eav Attributes","Customer Eav Attributes"
"Entity Types","סוגי הישות"
"ID","מזהה"
"Code","קוד"
"Model","דגם"
"Attribute Model","Attribute Model"
"Increment Model","Increment Model"
"Main Table","טבלה ראשית"
"Additional Attribute Table","Additional Attribute Table"
"New Eav Attributes","New Eav Attributes"
"Product Eav Attributes","Product Eav Attributes"
"Rma Item Eav Attributes","Rma Item Eav Attributes"
"User Defined Eav Attributes","User Defined Eav Attributes"
"Name","שם"
"Enabled","פעיל"
"Value","ערך"
"Scope","טווח"
"Configuration","הגדרות תצורה"
"Path","נתיב"
"Data from app/etc/env.php","Data from app/etc/env.php"
"Title","כותרת"
"Group","Group"
"Is Gateway","Is Gateway"
"Void","ריק"
"For Checkout","For Checkout"
"For Multishipping","For Multishipping"
"Capture Online","Capture Online"
"Partial Capture Online","Partial Capture Online"
"Refund Online","Refund Online"
"Partial Refund Online","Partial Refund Online"
"Capture Offline","Capture Offline"
"Partial Capture Offline","Partial Capture Offline"
"Refund Offline","החזר במצב לא מקוון"
"Partial Refund Offline","Partial Refund Offline"
"Payments Functionality Matrix","Payments Functionality Matrix"
"Payment Methods","שיטות תשלום"
"Shipping Methods","שיטות המשלוח"
"Job Code","Job Code"
"Cron Expression","Cron Expression"
"Run Class","Run Class"
"Run Method","שיטת ריצה"
"Group Code","קוד קבוצה"
"All Configurable Cron Jobs","All Configurable Cron Jobs"
"All Global Cron Jobs","All Global Cron Jobs"
"Cron Schedules List","רשימת לוחות זמנים Cron"
"Schedule Id","Schedule Id"
"Status","סטטוס"
"Created At","נוצר ב-"
"Scheduled At","Scheduled At"
"Executed At","Executed At"
"Finished At","Finished At"
"Core Configurable Cron Jobs","Core Configurable Cron Jobs"
"Core Global Cron Jobs","Core Global Cron Jobs"
"Cron Schedules by job code","Cron Schedules by job code"
"Count","Count"
"Cron Schedules by status code","Cron Schedules by status code"
"Status Code","קוד סטטוס"
"Custom Configurable Cron Jobs","Custom Configurable Cron Jobs"
"Custom Global Cron Jobs","Custom Global Cron Jobs"
"Errors in Cron Schedules Queue","Errors in Cron Schedules Queue"
"Error","שגיאה"
"Corrupted Categories Data","Corrupted Categories Data"
"Id","Id"
"Expected Children Count","Expected Children Count"
"Actual Children Count","Actual Children Count"
"Expected Level","Expected Level"
"Actual Level","Actual Level"
"Duplicate Categories By URL Key","Duplicate Categories By URL Key"
"URL key","URL key"
"Store","חנות"
"Duplicate Orders By Increment Id","Duplicate Orders By Increment Id"
"Increment Id","Increment Id"
"Customer Id","Customer Id"
"Duplicate Products By SKU","Duplicate Products By SKU"
"SKU","מק''ט"
"Duplicate Products By URL Key","Duplicate Products By URL Key"
"URL Key","מזהה כתובת"
"Website","אתר"
"Duplicate Users By Email","Duplicate Users By Email"
"Email","דואר אלקטרוני"
"Type","סוג"
"Parent","אב"
"Adminhtml Themes List","Adminhtml Themes List"
"Frontend Themes List","Frontend Themes List"
"Event Name","שם האירוע"
"Observer Class","Observer Class"
"Method","Method"
"All Admin Events","All Admin Events"
"All Crontab Events","All Crontab Events"
"All Doc Events","All Doc Events"
"All Frontend Events","All Frontend Events"
"All Global events","כל האירועים הגלובלים"
"All REST Events","כל אירועי REST"
"All SOAP Events","כל אירועי SOAP"
"Core Admin Events","Core Admin Events"
"Core Crontab Events","Core Crontab Events"
"Core Doc Events","Core Doc Events"
"Core Frontend Events","Core Frontend Events"
"Core Global Events","Core Global Events"
"Core REST Events","Core REST Events"
"Core SOAP Events","Core SOAP Events"
"Custom Admin Events","Custom Admin Events"
"Custom Crontab Events","Custom Crontab Events"
"Custom Doc Events","Custom Doc Events"
"Custom Frontend Events","Custom Frontend Events"
"Custom Global Events","אירועים גלובליים מותאמים אישית"
"Custom REST Events","אירועים REST מותאמים אישית"
"Custom SOAP Events","אירועים SOAP מותאמים אישית"
"Log Files","Log Files"
"File","קובץ"
"Size","גודל"
"Log Entries","Log Entries"
"Last Update","עודכן לאחרונה"
"Today's Top Debug Messages","הבאגים העיקריים של היום"
"Message","הודעה"
"Last Occurrence","התרחשות אחרונה"
"Today's Top Exception Messages","ההודעות החריגים היומיות"
"Stack Trace","מעקב ערמות"
"Today's Top System Messages","הודעות המערכת הראשיות היומיות"
"Top Debug Messages","Top Debug Messages"
"Top Exception Messages","Top Exception Messages"
"Top System Messages","Top System Messages"
"Store Views List","רשימת מבטי חנות"
"Stores List","Stores List"
"Root Category","קטגורייה ראשית"
"Default Store View","תצוגת חנות ברירת מחדל"
"Websites List","Websites List"
"Is Default","ברירת מחדל"
"Default Store","חנות ברירת מחדל"
"Websites Tree","Websites Tree"
"There was an error while loading system report data.","There was an error while loading system report data."
"General","כללי"
"Environment","סביבה"
"Cannot save backup. The reason is: Utility lsof not found","Cannot save backup. The reason is: Utility lsof not found"
"Test error","שגיאת בדיקה"
"Error message!","הודעת שגיאה!"
"User Defined","הגדרת משתמש"
"Entity Type Code","Entity Type Code"
"Source Model","Source Model"
"Backend Model","Backend Model"
"Frontend Model","Frontend Model"
"text","text"
"Show Log","Show Log"
"Delete","מחק"
"Delete ""%1""","מחק ""%1"""
"Are you sure you want to delete a ""%1"" record?","Are you sure you want to delete a ""%1"" record?"
"View","הצגה"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","Empty log"
"Backup ID: ","Backup ID: "
"Collapse","Collapse"
"Expand","Expand"
" (no data)"," (no data)"
"Top","עליון"
"No data","No data"
"Support Data Collector","Support Data Collector"
"Support System Report","Support System Report"
"System Report","System Report"
"Data","Data"
"Modules","Modules"
"Logs","Logs"
"Attributes","תכונות"
"Events","אירועים"
"Cron","Cron"
"Design","עיצוב"
"Stores","חנויות"
"New Backup","New Backup"
"Refresh Status","Refresh Status"
"Are you sure you want to delete selected item(s)?","Are you sure you want to delete selected item(s)?"
"Delete items","מחיקת פריטים"
"Code Dump","Code Dump"
"DB Dump","DB Dump"
"Choose Report Groups","Choose Report Groups"
"New Report","New Report"
"Date Generated","Date Generated"
"Report Groups","Report Groups"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"All processes should be completed.","All processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
