"Back","Nazad"
"No groups were specified to generate system report.","Ne groups were specified to generate system report."
"The system report has been generated.","The system report je generated."
"An error occurred while the system report was being created. Please review the log and try again.","Došlo je do greške while the system report was being created. Please review the log and pokušajte ponovo."
"System Reports","Sistem Izveštaji"
"An error occurred during mass deletion of system reports. Please review log and try again.","Došlo je do greške during mass deletion of system reports. Please review log and pokušajte ponovo."
"Utility %1 not found","Utility %1 nije pronađeno"
"Unknown utility: %1","Nepoznat utility: %1"
"Cannot set root directory.","Ne može set root directory."
"Support Module doesn't support %s operation system","Podrška Module doesn't support %s operation system"
"Unable to create backup due to php exec function is disabled","Nije moguće create backup due to php exec function is disabled"
"Incomplete","Incomplete"
"Complete","Završeno"
"Failed","Nije uspelo"
"Directory %s should have writable & readable permissions","Directory %s should have writable & readable permissions"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Nepoznat Status"
"Processing ...","Obrađuje se ..."
"(now)","(now)"
"[%1 minutes ago]","[%1 minutes ago]"
"[%1 hours ago]","[%1 hours ago]"
"[%1 days ago]","[%1 days ago]"
"[%1 weeks ago]","[%1 weeks ago]"
"[%1 months ago]","[%1 months ago]"
"[%1 years ago]","[%1 years ago]"
"And more...","And more..."
"Column %1","Column %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparing system report data: Detected Single Row Mode but data may be incomplete."
"Yes","Da"
"No","Ne"
"All Eav Attributes","Sve Eav Attributes"
"Category Eav Attributes","Kategorija Eav Attributes"
"Customer Address Eav Attributes","Kupac Adresa Eav Attributes"
"Customer Eav Attributes","Kupac Eav Attributes"
"Entity Types","Entity Types"
"ID","ID"
"Code","Kod"
"Model","Model"
"Attribute Model","Atribut Model"
"Increment Model","Increment Model"
"Main Table","Main Table"
"Additional Attribute Table","Additional Atribut Table"
"New Eav Attributes","Novo Eav Attributes"
"Product Eav Attributes","Proizvod Eav Attributes"
"Rma Item Eav Attributes","Rma Item Eav Attributes"
"User Defined Eav Attributes","User Defined Eav Attributes"
"Name","Ime"
"Enabled","Omogućeno"
"Value","Vrednost"
"Scope","Opseg"
"Configuration","Konfiguracija"
"Path","Putanja"
"Data from app/etc/env.php","Data from app/etc/env.php"
"Title","Naslov"
"Group","Grupa"
"Is Gateway","Is Gateway"
"Void","Void"
"For Checkout","For Naplata"
"For Multishipping","For Multishipping"
"Capture Online","Naplata na mreži"
"Partial Capture Online","Partial Capture Online"
"Refund Online","Povraćaj Online"
"Partial Refund Online","Partial Povraćaj Online"
"Capture Offline","Capture Offline"
"Partial Capture Offline","Partial Capture Offline"
"Refund Offline","Povraćaj Offline"
"Partial Refund Offline","Partial Povraćaj Offline"
"Payments Functionality Matrix","Payments Functionality Matrix"
"Payment Methods","Plaćanje Methods"
"Shipping Methods","Način Dostave"
"Job Code","Job Kod"
"Cron Expression","Cron Expression"
"Run Class","Run Class"
"Run Method","Run Method"
"Group Code","Grupa Kod"
"All Configurable Cron Jobs","Sve Configurable Cron Jobs"
"All Global Cron Jobs","Sve Global Cron Jobs"
"Cron Schedules List","Cron Schedules Lista"
"Schedule Id","Raspored Id"
"Status","Status"
"Created At","Kreirano"
"Scheduled At","Scheduled At"
"Executed At","Executed At"
"Finished At","Finished At"
"Core Configurable Cron Jobs","Core Configurable Cron Jobs"
"Core Global Cron Jobs","Core Global Cron Jobs"
"Cron Schedules by job code","Cron Schedules by job code"
"Count","Count"
"Cron Schedules by status code","Cron Schedules by status code"
"Status Code","Status Kod"
"Custom Configurable Cron Jobs","Custom Configurable Cron Jobs"
"Custom Global Cron Jobs","Custom Global Cron Jobs"
"Errors in Cron Schedules Queue","Errors in Cron Schedules Queue"
"Error","Greška"
"Corrupted Categories Data","Corrupted Kategorije Data"
"Id","Id"
"Expected Children Count","Expected Children Count"
"Actual Children Count","Actual Children Count"
"Expected Level","Expected Level"
"Actual Level","Actual Level"
"Duplicate Categories By URL Key","Duplicate Kategorije By URL Key"
"URL key","URL ključ"
"Store","Prodavnica"
"Duplicate Orders By Increment Id","Duplicate Orders By Increment Id"
"Increment Id","Increment Id"
"Customer Id","Kupac Id"
"Duplicate Products By SKU","Duplicate Proizvodi By SKU"
"SKU","Šifra"
"Duplicate Products By URL Key","Duplicate Proizvodi By URL Key"
"URL Key","URL Ključ"
"Website","Web sajt"
"Duplicate Users By Email","Duplicate Users By E-pošta"
"Email","E-pošta"
"Type","Tip"
"Parent","Parent"
"Adminhtml Themes List","Adminhtml Teme Lista"
"Frontend Themes List","Frontend Teme Lista"
"Event Name","Event Naziv"
"Observer Class","Observer Class"
"Method","Metoda"
"All Admin Events","Sve Admin Events"
"All Crontab Events","Sve Crontab Events"
"All Doc Events","Sve Doc Events"
"All Frontend Events","Sve Frontend Events"
"All Global events","Sve Global events"
"All REST Events","Sve REST Events"
"All SOAP Events","Sve SOAP Events"
"Core Admin Events","Core Admin Events"
"Core Crontab Events","Core Crontab Events"
"Core Doc Events","Core Doc Events"
"Core Frontend Events","Core Frontend Events"
"Core Global Events","Core Global Events"
"Core REST Events","Core REST Events"
"Core SOAP Events","Core SOAP Events"
"Custom Admin Events","Custom Admin Events"
"Custom Crontab Events","Custom Crontab Events"
"Custom Doc Events","Custom Doc Events"
"Custom Frontend Events","Custom Frontend Events"
"Custom Global Events","Custom Global Events"
"Custom REST Events","Custom REST Events"
"Custom SOAP Events","Custom SOAP Events"
"Log Files","Log Files"
"File","Datoteka"
"Size","Veličina"
"Log Entries","Log Entries"
"Last Update","Poslednja promena"
"Today's Top Debug Messages","Today's Top Debug Messages"
"Message","Poruka"
"Last Occurrence","Poslednji Occurrence"
"Today's Top Exception Messages","Today's Top Exception Messages"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Today's Top Sistem Messages"
"Top Debug Messages","Top Debug Messages"
"Top Exception Messages","Top Exception Messages"
"Top System Messages","Top Sistem Messages"
"Store Views List","Prodavnica Views Lista"
"Stores List","Prodavnice Lista"
"Root Category","Root kategorija"
"Default Store View","Prikaz podrazumevane prodavnice"
"Websites List","Websites Lista"
"Is Default","Je podrazumevano"
"Default Store","Podrazumevana prodavnica"
"Websites Tree","Websites Tree"
"There was an error while loading system report data.","There was an error while loading system report data."
"General","Opšte"
"Environment","Okruženje"
"Cannot save backup. The reason is: Utility lsof not found","Ne može save backup. The reason is: Utility lsof nije pronađeno"
"Test error","Test error"
"Error message!","Poruka o grešci!"
"User Defined","Korisnički definisane"
"Entity Type Code","Entity Tip Kod"
"Source Model","Source Model"
"Backend Model","Backend Model"
"Frontend Model","Frontend Model"
"text","text"
"Show Log","Prikaži Log"
"Delete","Obrisati"
"Delete ""%1""","Obriši ""%1"""
"Are you sure you want to delete a ""%1"" record?","Da li ste sigurni da želite da obrišete ""%1"" zapis?"
"View","Pregled"
"Are you sure you wan't to delete a ""%1"" record?","Da li ste sigurni da želite da obrišete ""%1"" zapis?"
"Empty log","Empty log"
"Backup ID: ","Rezervna kopija ID:"
"Collapse","Collapse"
"Expand","Expand"
" (no data)","(no data)"
"Top","Top"
"No data","Ne data"
"Support Data Collector","Podrška Data Collector"
"Support System Report","Podrška Sistem Report"
"System Report","Sistem Report"
"Data","Data"
"Modules","Modules"
"Logs","Logs"
"Attributes","Atributi"
"Events","Događaji"
"Cron","Cron"
"Design","Dizajn"
"Stores","Prodavnice"
"New Backup","Novo Rezervna kopija"
"Refresh Status","Refresh Status"
"Are you sure you want to delete selected item(s)?","Da li ste sigurni želite da delete selected item(s)?"
"Delete items","Obriši proizvode"
"Code Dump","Kod Dump"
"DB Dump","DB Dump"
"Choose Report Groups","Izaberi Report Groups"
"New Report","Novo Report"
"Date Generated","Datum Generated"
"Report Groups","Report Groups"
"An item needs to be selected. Select and try again.","Morate odabrati artikl. Odaberite i pokušajte ponovo."
"All processes should be completed.","Sve processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","Usluga ""%1"" nije pronađena. Proverite uslugu i pokušajte ponovo."
"The ""%1"" utility is unknown. Verify the utility and try again.","Usluga ""%1"" je nepoznata. Proverite uslugu i pokušajte ponovo."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and pokušajte ponovo."
