"Back","Powrót"
"Unable to read system report data to display.","Nie można odczytać danych raportu systemu aby go wyświetlić."
"No groups were specified to generate system report.","Nie zostały określone grupy do wygenerowania raportu systemu."
"The system report has been generated.","Został wygenerowany raport systemu."
"An error occurred while the system report was being created. Please review the log and try again.","Wystąpił błąd podczas tworzenia raportu systemu. Przejrzyj logi i spróbuj ponownie."
"System Reports","Raport systemu"
"An error occurred during mass deletion of system reports. Please review log and try again.","Wystąpił błąd podczas masowego usuwania raportów systemu. Przejrzyj logi i spróbuj ponownie."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Cannot set root directory."
"Support Module doesn't support %s operation system","Moduł nie wspiera systemu operacyjnego %s"
"Unable to create backup due to php exec function is disabled","Nie można utworzyć kopii zapasowej z php exec funkcja jest wyłączona"
"Incomplete","Niekompletne"
"Complete","Zakończone"
"Failed","Nieudane"
"Directory %s should have writable & readable permissions","Katalog %s powinien mieć uprawnienia zapisu i odczytu"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Nieznany status"
"Processing ...","Przetwarzanie ..."
"(now)","(teraz)"
"[%1 minutes ago]","[%1 minut temu]"
"[%1 hours ago]","[%1 godzin temu]"
"[%1 days ago]","[%1 dni temu]"
"[%1 weeks ago]","[%1 tygodni temu]"
"[%1 months ago]","[%1 miesięcy temu]"
"[%1 years ago]","[%1 lat temu]"
"And more...","I więcej..."
"Column %1","Kolumny %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Przygotowanie systemu danych raportu: wykryto tryb pojedynczego wiersza, ale dane mogą być niepełne."
"Yes","Tak"
"No","Nie"
"All Eav Attributes","Wszystkie atrybuty Eav"
"Category Eav Attributes","Atrybuty Kategorii Eav"
"Customer Address Eav Attributes","Atrybuty adresu użytkownika Eav"
"Customer Eav Attributes","Atrybuty użytkownika Eav"
"Entity Types","Typ jednostki"
"ID","Identyfikator"
"Code","Kod"
"Model","Model"
"Attribute Model","Model cechy"
"Increment Model","Model obsługi przyrostu"
"Main Table","Główna tabela"
"Additional Attribute Table","Tabela dodatkowych cech"
"New Eav Attributes","Nowe cechy EAV"
"Product Eav Attributes","Cechy EAV produktu"
"Rma Item Eav Attributes","Rma produkt Eav atrybuty"
"User Defined Eav Attributes","Cechy EAV zdefiniowane przez użytkownika"
"Name","Nazwa"
"Enabled","Włączone"
"Value","Wartość"
"Scope","Zakres"
"Configuration","Konfiguracja"
"Path","Ścieżka"
"Data from app/etc/env.php","Dane z app/etc/env.php"
"Title","Tytuł"
"Group","Grupa"
"Is Gateway","Adres bramy"
"Void","Unieważniony"
"For Checkout","Dla Wysyłki"
"For Multishipping","Dla Multi wysyłki"
"Capture Online","Przechwyć online"
"Partial Capture Online","Częściowe przechwytywania Online"
"Refund Online","Zwróć online"
"Partial Refund Online","Częściowy zwrot Online"
"Capture Offline","Przechwyć offline"
"Partial Capture Offline","Częściowe przechwytywania w trybie Offline"
"Refund Offline","Zwróć offline"
"Partial Refund Offline","Częściowy zwrot w trybie Offline"
"Payments Functionality Matrix","Funkcjonalność Matrix Płatności"
"Payment Methods","Metody płatności"
"Shipping Methods","Metody dostawy"
"Job Code","Kod zadania"
"Cron Expression","Wyrażenie Cron"
"Run Class","Uruchom klasę"
"Run Method","Uruchom metodę"
"Group Code","Kod grupy"
"All Configurable Cron Jobs","Wszystkie konfigurowalne działania Crona"
"All Global Cron Jobs","Wszystkie globalne zadania Crona"
"Cron Schedules List","Harmonogram listy Crona"
"Schedule Id","Harmonogram Id"
"Status","Stan"
"Created At","Utworzono"
"Scheduled At","Zaplanowane w"
"Executed At","Wykonano"
"Finished At","Zakończono"
"Core Configurable Cron Jobs","Rdzeń konfigurowalnych działań Crona"
"Core Global Cron Jobs","Rdzeń globalnych zadań Crona"
"Cron Schedules by job code","Harmonogramy prac kodu Crona"
"Count","Licznik"
"Cron Schedules by status code","Harmonogram statusu kodu Crona"
"Status Code","Kod statusu"
"Custom Configurable Cron Jobs","Indywidualne konfigurowalne działania Crona"
"Custom Global Cron Jobs","Indywidualne globalne zadania Crona"
"Errors in Cron Schedules Queue","Błędy w planach kolejki Crona"
"Error","Błąd"
"Corrupted Categories Data","Uszkodzone kategorje danych"
"Id","ID"
"Expected Children Count","Przewidywana liczba dzieci"
"Actual Children Count","Aktualna liczba dzieci"
"Expected Level","Przewidywany poziom"
"Actual Level","Rzeczywisty poziom"
"Duplicate Categories By URL Key","Duplikuj kategorie po kluczu URL"
"URL key","Klucz URL"
"Store","Sklep"
"Duplicate Orders By Increment Id","Zduplikowane zamówienia przez przyrost Id"
"Increment Id","Identyfikator przyrostowy"
"Customer Id","Identyfikator klienta"
"Duplicate Products By SKU","Duplikuj produkty po SKU"
"SKU","SKU"
"Duplicate Products By URL Key","Duplikuj produkty po kluczu URL"
"URL Key","Klucz URL"
"Website","Witryna"
"Duplicate Users By Email","Duplikuj użytkowników po e-mailu"
"Email","E-mail"
"Type","Rodzaj"
"Parent","Rodzic"
"Adminhtml Themes List","Lista tematów Adminhtml"
"Frontend Themes List","Lista tematów frontend"
"Event Name","Nazwa zdarzenia"
"Observer Class","Klasa obserwatora"
"Method","Metoda"
"All Admin Events","Wszystkie zdarzenia administracyjne"
"All Crontab Events","Wszystkie wydarzenia Crontab"
"All Doc Events","Wydarzenia ""Cały dzień"""
"All Frontend Events","Wszystkie wydarzenia Frontend"
"All Global events","Wszystkie globalne zdarzenia"
"All REST Events","Wszystkie zdarzenia dla REST"
"All SOAP Events","Wszystkie zdarzenia protokołu SOAP"
"Core Admin Events","Rdzeń zdarzenia administracyjne"
"Core Crontab Events","Rdzeń wydarzenia Crontab"
"Core Doc Events","Rdzeń ""Cały dzień"""
"Core Frontend Events","Rdzeń wydarzenia Frontend"
"Core Global Events","Rdzeń wydarzenia Global"
"Core REST Events","Rdzeµ zdarzeń dla REST"
"Core SOAP Events","Rdzeń zdarzenia protokołu SOAP"
"Custom Admin Events","Zdarzenia niestandardowe Admin"
"Custom Crontab Events","Zdarzenia niestandardowe Crontab"
"Custom Doc Events","Zdarzenia niestandardowe Doc"
"Custom Frontend Events","Zdarzenia niestandardowe Frontend"
"Custom Global Events","Zdarzenia niestandardowe Global"
"Custom REST Events","Zdarzenia niestandardowe REST"
"Custom SOAP Events","Zdarzenia niestandardowe SOAP"
"Log Files","Pliki logów"
"File","Plik"
"Size","Rozmiar"
"Log Entries","Wpisy dziennika"
"Last Update","Ostatnia aktualizacja"
"Today's Top Debug Messages","Dzisiejsze, najważniejsze wiadomości debugowania"
"Message","Wiadomość"
"Last Occurrence","Ostatnie wystąpienie"
"Today's Top Exception Messages","Dzisiejsze, najważniejsze wiadomości wyjątków"
"Stack Trace","Zrzut stosu"
"Today's Top System Messages","Dzisiejsze, najważniejsze wiadomości systemowe"
"Top Debug Messages","Górny komunikaty Debugowania"
"Top Exception Messages","Wyjątek w górnej wiadomości"
"Top System Messages","Górne komunikaty systemowe"
"Store Views List","Lista widoku sklepu"
"Stores List","Lista sklepów"
"Root Category","Kategoria bazowa"
"Default Store View","Domyślny widok sklepu"
"Websites List","Lista stron internetowych"
"Is Default","Jest domyślny"
"Default Store","Domyślny sklep"
"Websites Tree","Drzewo stron internetowych"
"There was an error while loading system report data.","Wystąpił błąd podczas ładowania systemu danych raportu."
"General","Ogólne"
"Environment","Środowisko"
"Cannot save backup. The reason is: Utility lsof not found","Nie można zapisać kopii zapasowej. Powód: narzędzie lsof nie zostało znalezione"
"Test error","Błąd testowy"
"Error message!","Komunikat błędu!"
"User Defined","Zdefiniowane przez użytkownika"
"Entity Type Code","Typ kodu obiektu"
"Source Model","Model źródłowy"
"Backend Model","Model administracyjny"
"Frontend Model","Model interfejsu klienta"
"text","tekst"
"Show Log","Pokaż Log"
"Delete","Usuń"
"Delete ""%1""","Usuń ""%1"""
"Are you sure you want to delete a ""%1"" record?","Czy na pewno chcesz usunąć rekord ""%1""?"
"View","Zobacz"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","Brak logów"
"Backup ID: ","ID kopii zapasowej: "
"Collapse","Zwiń"
"Expand","Rozwiń"
" (no data)"," (brak danych)"
"Top","Na górze"
"No data","Brak danych"
"Support Data Collector","Support Data Collector"
"Support System Report","System wsparcia raportu"
"System Report","Raport systemu"
"Data","Dane"
"Modules","Moduły"
"Logs","Logi"
"Attributes","Cechy"
"Events","Zdarzenia"
"Cron","Cron"
"Design","Wygląd"
"Stores","Sklepy"
"New Backup","Nowa kopia zapasowa"
"Refresh Status","Odśwież Status"
"Are you sure you want to delete selected item(s)?","Czy na pewno chcesz usunąć wszystkie zaznaczone towary?"
"Delete items","Usuń pozycje"
"Code Dump","Kopia kodu"
"DB Dump","Kopia bazy danych"
"Choose Report Groups","Wybierz raport grupy"
"New Report","Nowy raport"
"Date Generated","Data wygenerowania"
"Report Groups","Raport grupy"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"All processes should be completed.","All processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
