"Add Scheduled Export","Añadir exportación programada"
"Scheduled Export","Exportación programada"
"New Scheduled Export","Nueva exportación programada"
"You saved the scheduled import.","Ha guardado la importación programada."
"You saved the scheduled report.","Ha guardado la importación programada."
"You deleted the scheduled import.","Hemos eliminado la importación programada."
"You deleted the scheduled export.","Hemos eliminado la importación programada."
"Are you sure you want to delete this scheduled import?","¿Está seguro que desea eliminar esta importación programada?"
"Are you sure you want to delete this scheduled export?","¿Está seguro que desea eliminar esta importación programada?"
"We were unable to save the cron expression.","Fuimos incapaces de guardar la expresión cron."
"Unable to delete the cron task.","No se puede borrar la tarea programada."
"Please correct the cron job task","Por favor corregir la tarea de cron"
"File has been not created","Archivo no ha sido creado"
"Something went wrong and the operation failed.","Algo salió mal y el error en la operación."
"We can't read the file source because the file name is empty.","No podemos leer la fuente de archivo porque el nombre del archivo está vacío."
"Connecting to server","Conectando con el servidor"
"Reading import file","Leyendo el archivo importado"
"We can't read the import file.","No podemos leer el archivo de importación."
"Save history file content ""%1""","Guardar el contenido del archivo historia ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","No se puede escribir el archivo \"%1\" en \"%2\" con el \"%3\" driver."
"Save file content","Guardar el contenido del archivo"
"Please correct the server type.","Por favor corrija el tipo de servidor."
"Import path %1 not exists","Ruta de importación %1 no existe"
"We can't read the file.","No podemos leer el archivo."
"We can't save the file history file.","No podemos guardar el archivo del historial."
"Unknown file format","Formato de archivo desconocido"
"Enabled","Habilitado"
"Disabled","Deshabilitado"
"Import","Importar"
"Export","Exportar"
"Daily","Diario"
"Weekly","Semanal"
"Monthly","Mensual"
"Local Server","Servidor local"
"Remote FTP","FTP remoto"
"Binary","Binario"
"ASCII","ASCII"
"Stop Import","Detener la importación"
"Continue Processing","Continuar procesando"
"Failed","Ha fallado"
"Successful","Exitoso"
"Pending","Pendiente"
"label","etiqueta"
"Can not open file","No se puede abrir el archivo"
"%store_name - Scheduled Export Failed","%store_name - exportación programada falló"
"%operation_name - Scheduled Export Failed","%operation_name - exportación programada no se pudo"
"Operation name:","Nombre de la operación:"
"Entity type:","Tipo de entidad:"
"File history path:","Ruta del archivo de historia:"
"Date & Time:","Fecha y hora:"
"Log trace:","Registro de seguimiento:"
"Scheduled Import/Export File History Cleanup Warnings","Advertencias de limpieza programado importar/exportar archivo historia"
"%store_name  - Scheduled Import Failed","%store_name - importación programada falló"
"%operation_name - Scheduled Import Failed","%operation_name - exportación programada no se pudo"
"Scheduled Import/Export File History Cleaning","Programa historia del archivo de importación y exportación de limpieza"
"Save Files, Days","Guardar archivos, días"
"Enable Scheduled File History Cleaning","Activar archivo programado historia limpieza"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"Delete","Eliminar"
"Are you sure you want to delete the selected scheduled imports/exports?","¿Está seguro que desea eliminar las programada las importaciones y exportaciones?"
"Change Status","Cambiar Estado"
"Operation","Operación"
"Last Run","Última ejecución"
"Last Outcome","Último resultado"
"Action","Acción"
"Edit","Editar"
"Run","Ejecutar"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","Para el tipo ""Servidor local"" usa una ruta de acceso relativa a la instalación de Magento, por ejemplo, var/exportación, importación/var, var/exportación/algún/dir"
