"Add Scheduled Export","Dodaj zaplanowany eksport"
"Reading import file","Czytanie pliku importu"
"We can't read the import file.","Nie można odczytać pliku importu."
"Save history file content ""%1""","Zapisywanie zawartości pliku historii ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","Nie mogliśmy zapisać pliku ""%1"" do ""%2"" ze sterownikiem ""%3""."
"Save file content","Zapisywanie zawartości pliku"
"Please correct the server type.","Popraw typ serwera."
"Import path %1 not exists","Ścieżka %1 nie istnieje"
"We can't read the file.","Nie można odczytać pliku."
"We can't save the file history file.","Nie można zapisać historii pliku."
"Unknown file format","Nieznany format pliku"
"Enabled","Włączone"
"Disabled","Wyłączone"
"Import","Importuj"
"Export","Eksportuj"
"Daily","Codziennie"
"Weekly","Co tydzień"
"Monthly","Co miesiąc"
"Local Server","Serwer lokalny"
"Remote FTP","Zdalny FTP"
"Binary","Binarny"
"ASCII","ASCII"
"Stop Import","Zatrzymaj Import"
"Continue Processing","Kontynuuj przetwarzanie"
"Failed","Nieudane"
"Successful","Zakończona pomyślnie"
"Pending","Oczekujący"
"label","etykieta"
"Can not open file","Nie można otworzyć pliku"
"%store_name - Scheduled Export Failed","%store_name - zaplanowany eksport nie powiódł się"
"%operation_name - Scheduled Export Failed","%operation_name - według harmonogramu exportu nie powiodło się"
"Operation name:","Nazwa operacji:"
"Entity type:","Typ jednostki:"
"File history path:","Ścieżka pliku historii:"
"Date & Time:","Data i czas:"
"Log trace:","Ślad błędu:"
"Scheduled Import/Export File History Cleanup Warnings","Ostrzeżenia czyszczenia plików historii zaplanowanych importów/eksportów"
"%store_name  - Scheduled Import Failed","%store_name - zaplanowany import nie powiódł się"
"%operation_name - Scheduled Import Failed","%operation_name - zaplanowany import nie powiódł się"
"Scheduled Import/Export File History Cleaning","Zaplanowane czyszczenie plików historii zaplanowanych importów/eksportów"
"Save Files, Days","Zapisz pliki, dni"
"Enable Scheduled File History Cleaning","Zezwól na zaplanowane czyszczenie plików historii"
"Error Email Recipient","Błąd e-mail: nieprawidłowy odbiorca"
"Error Email Sender","Błąd e-mail: nieprawidłowy nadawca"
"Error Email Template","Błąd w szablonie e-mail"
"Delete","Usuń"
"Are you sure you want to delete the selected scheduled imports/exports?","Czy jesteś pewien, że chcesz usunąć te zaplanowane importy / eksporty?"
"Change Status","Zmień status"
"Operation","Operacja"
"Last Run","Ostatnie uruchomienie"
"Last Outcome","Ostatni wynik"
"Action","Operacja"
"Edit","Edytuj"
"Run","Uruchom"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir"
