"Add Scheduled Export","Adicionar Exportação Programada"
"%operation_name - Scheduled Export Failed","%operation_name - Exportação agendada falhou"
"Operation name:","Nome da operação:"
"Entity type:","Tipo de entidade:"
"File history path:","Caminho do arquivo histórico:"
"Date & Time:","Data e hora:"
"Log trace:","Log de rastreamento:"
"Scheduled Import/Export File History Cleanup Warnings","Alerta de limpeza de arquivo de histórico de importação / Exportação"
"%store_name  - Scheduled Import Failed","%store_name  - A importação agendada falhou"
"%operation_name - Scheduled Import Failed","%operation_name - A importação agendada falhou"
"Scheduled Import/Export File History Cleaning","Agendamento da limpeza do arquivo de importação/Exportação"
"Save Files, Days","Salvar Arquivos, Dias"
"Enable Scheduled File History Cleaning","Habilitar o histórico do arquivo agendada limpeza"
"Error Email Recipient","Erro no recipiente do E-mail"
"Error Email Sender","Erro no Serviço de E-mail"
"Error Email Template","Erro no template de E-mail"
"Delete","Excluir"
"Are you sure you want to delete the selected scheduled imports/exports?","Você tem certeza de que quer excluir a importação/exportação agendada selecionada?"
"Change Status","Mudar Status"
"Operation","Operação"
"Last Run","Última execução"
"Last Outcome","Último resultado"
"Action","Ação"
"Edit","Editar"
"Run","Executar"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","Para o tipo ""Servidor Local"" use um caminho relativo da instalação do Magento, e.g. var/export, var/import, var/export/some/dir"
