"Add Scheduled Export","Zamanlanmış Dışaktarma Ekle"
"You deleted the scheduled import.","Zamanlanmış içe aktarmayı sildiniz."
"You deleted the scheduled export.","Planlanan dışa aktarmayı sildiniz."
"Are you sure you want to delete this scheduled import?","Bu zamanlanmış içe aktarmayı silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this scheduled export?","Bu planlanan dışa aktarmayı silmek istediğinizden emin misiniz?"
"We were unable to save the cron expression.","Cron ifadesini kurtaramadık."
"Unable to delete the cron task.","Cron görev silinemiyor."
"Please correct the cron job task","Lütfen cron görevini düzeltin"
"File has been not created","Dosya oluşturulmadı"
"Something went wrong and the operation failed.","Bir şeyler ters gitti ve operasyon başarısız oldu."
"We can't read the file source because the file name is empty.","Dosya adı boş olduğundan dosya kaynağını okuyamıyoruz."
"Connecting to server","Sunucuya baglanıyor"
"Reading import file","İçe aktarma dosyası okunuyor"
"We can't read the import file.","İçe aktarma dosyasını okuyamıyoruz."
"Save history file content ""%1""","Geçmiş dosyası içeriğini kaydet ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","""%3"" sürücüsüyle ""%2"" dosyasına ""%1"" dosyasını yazamadık."
"Save file content","Dosya içeriğini kaydet"
"Please correct the server type.","Lütfen sunucu türünü düzeltin."
"Import path %1 not exists","İçe aktarma yolu %1 mevcut değil"
"We can't read the file.","Dosyayı okuyamadık."
"We can't save the file history file.","Dosya geçmişi dosyasını kaydedemiyoruz."
"Unknown file format","Bilinmeyen dosya formatı"
"Enabled","Aktif edildi"
"Disabled","Kapalı"
"Import","Veri Al"
"Export","Ver"
"Daily","Günlük"
"Weekly","Haftalık"
"Monthly","Aylık"
"Local Server","Yerel Sunucu"
"Remote FTP","Uzak FTP"
"Binary","İkili"
"ASCII","ASCII"
"Stop Import","İçe Aktarmayı Durdur"
"Continue Processing","İşleme Devam Edin"
"Failed","tamamlanamadı"
"Successful","başarılı"
"Pending","Bekliyor"
"label","etiket"
"Can not open file","Dosya açılamıyor"
"%store_name - Scheduled Export Failed","%store_name-Zamanlanmış Dışa Aktarma Başarısız Oldu"
"%operation_name - Scheduled Export Failed","%operation_name-Zamanlanmış Dışa Aktarma Başarısız Oldu"
"Operation name:","Çalışma adı:"
"Entity type:","Varlık Tipi:"
"File history path:","Dosya geçmişi yolu:"
"Date & Time:","Tarih ve Saat:"
"Log trace:","Günlük izi:"
"Scheduled Import/Export File History Cleanup Warnings","Zamanlanmış İçe Aktarma/Verme Dosyası Geçmişi Temizleme Uyarıları"
"%store_name  - Scheduled Import Failed","%store_name - Zamanlanmış İçe Aktarma Başarısız Oldu"
"%operation_name - Scheduled Import Failed","%operation_name - Zamanlanmış Alma Başarısız Oldu"
"Scheduled Import/Export File History Cleaning","Planlı İçe Aktarma/Dışa Aktarma Dosya Geçmişi Temizliği"
"Save Files, Days","Dosyaları Kaydet, Günler"
"Enable Scheduled File History Cleaning","Zamanlanmış Dosya Geçmişini Temizleme'yi Etkinleştir"
"Error Email Recipient","Hata Bildirimi E-posta Alıcısı"
"Error Email Sender","Hata Bildirimi E-posta Göndericisi"
"Error Email Template","Hata Bildirimi E-posta Şablonu"
"Delete","Sil"
"Are you sure you want to delete the selected scheduled imports/exports?","Seçili zamanlanmış içe/dışa aktarmaları silmek istediğinizden emin misiniz?"
"Change Status","Durumu Değiştir"
"Operation","Operasyon"
"Last Run","Son Çalışma"
"Last Outcome","Son Sonuç"
"Action","Eylem"
"Edit","Düzenle"
"Run","Çalıştır"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir"
