"Add Scheduled Export","Добавяне на планиран експорт"
"Save history file content ""%1""","Запишете файл с история ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","Не може бъде записан файл ""%1"" в ""%2"" с ""%3"" драйвер."
"Save file content","Запишете съдържанието на сайта"
"Please correct the server type.","Коригирайте на типа на сървъра."
"Import path %1 not exists","Импортиран path %1 не съществува"
"We can't read the file.","Не може да прочете файла."
"We can't save the file history file.","Не може да запише файл с история."
"Unknown file format","Неизвестен файлов формат"
"Enabled","Активиран"
"Disabled","Забранен"
"Import","Импорт"
"Export","Експорт"
"Daily","Дневно"
"Weekly","Седмично"
"Monthly","Месечно"
"Local Server","Локален сървър"
"Remote FTP","Отдалечен FTP"
"Binary","Двоичен код"
"ASCII","ASCII"
"Stop Import","Спиране на импортирането"
"Continue Processing","Продължи обработката"
"Failed","Неуспешно"
"Successful","Успешно"
"Pending","Чакащ"
"label","етикет"
"Can not open file","Не може да се отвори файла"
"%store_name - Scheduled Export Failed","%store_name - планираното неуспешно"
"%operation_name - Scheduled Export Failed","%operation_name - планираното неуспешно"
"Operation name:","Име на операцията:"
"Entity type:","Тип стойност:"
"File history path:","Файла история:"
"Date & Time:","Дата & час:"
"Log trace:","Регистър log:"
"Scheduled Import/Export File History Cleanup Warnings","Разписание за импортиране/експортиране файл история чист предупреждения"
"%store_name  - Scheduled Import Failed","%store_name - планираното неуспешно"
"%operation_name - Scheduled Import Failed","%operation_name - планираното неуспешно"
"Scheduled Import/Export File History Cleaning","Насрочено за импортиране/експортиране почистване на файл с история"
"Save Files, Days","Записване на файлове, дни"
"Enable Scheduled File History Cleaning","Разреши планираното почистване на файловете с история"
"Error Email Recipient","Грешка в имейла на получателя"
"Error Email Sender","Грешка в имейл подателя"
"Error Email Template","Грешка в шаблона на имейла"
"Delete","Изтрий"
"Are you sure you want to delete the selected scheduled imports/exports?","Наистина ли искате да изтриете избрания график внос/износ?"
"Change Status","Промени статус"
"Operation","Операция"
"Last Run","Последно действие"
"Last Outcome","Последен резултат"
"Action","Действие"
"Edit","Редактирай"
"Run","Стартирай"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir"
