"Add Scheduled Export","Προσθέστε Προγραμματισμένη Εξαγωγή"
"We can't create directory ""%1""","Δεν μπορούμε δημιουργήσουμε καταλόγο ""%1"""
"The directory ""%1"" is not writable.","Ο κατάλογος ""%1"" δεν είναι εγγράψιμος."
"We can't delete ""%1"" because the directory is not writable.","Δεν μπορούμε να διαγράψουμε το ""%1"" επειδή ο κατάλογος δεν είναι εγγράψιμος."
"Scheduled Import","Προγραμματισμένη εισαγωγή"
"New Scheduled Import","Νέα προγραμματισμένη εισαγωγή"
"Scheduled Export","Προγραμματισμένη εξαγωγή"
"New Scheduled Export","Νέα προγραμματισμένη εξαγωγή"
"You saved the scheduled import.","Αποθηκεύσατε την προγραμματισμένη εισαγωγή."
"You saved the scheduled report.","Αποθηκεύσατε την προβλεπόμενη έκθεση."
"You deleted the scheduled import.","Διαγράψατε την προγραμματισμένη εισαγωγή."
"You deleted the scheduled export.","Διαγράψατε την προγραμματισμένη εξαγωγή."
"Are you sure you want to delete this scheduled import?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτήν την προγραμματισμένη εισαγωγή;"
"Are you sure you want to delete this scheduled export?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτό προγραμματισμένη εξαγωγή;"
"We were unable to save the cron expression.","Δεν είναι δυνατή η αποθήκευση της έκφρασης Cron."
"Unable to delete the cron task.","Δεν είναι δυνατό να διαγράψετε την εργασία cron."
"Please correct the cron job task","Παρακαλώ διορθώστε την cron εργασία έργου"
"File has been not created","Το αρχείο δεν έχει δημιουργηθεί"
"Something went wrong and the operation failed.","Κάτι πήγε στραβά και η λειτουργία απέτυχε."
"We can't read the file source because the file name is empty.","Δεν είναι δυνατή η ανάγνωση του αρχείου προέλευσης, επειδή το όνομα του αρχείου είναι κενό."
"Connecting to server","Σύνδεση στον διακομιστή"
"Reading import file","Ανάγνωση αρχείου εισαγωγής"
"We can't read the import file.","Δεν είναι δυνατή η ανάγνωση του αρχείο εισαγωγής."
"Save history file content ""%1""","Αποθήκευση περιεχομένου αρχείου ιστορικού ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","Δεν μπορούμε να γράφουμε το αρχείο ""%1"" στο ""%2"" με το ""%3"" πρόγραμμα οδήγησης."
"Save file content","Αποθηκεύστε το περιεχόμενο του αρχείου"
"Please correct the server type.","Παρακαλώ διορθώστε τον τύπο διακομιστή."
"Import path %1 not exists","Εισαγωγή διαδρομής %1 δεν υπάρχει"
"We can't read the file.","Δεν είναι δυνατή η ανάγνωση του στοιχείου."
"We can't save the file history file.","Δεν είναι δυνατή η αποθήκευση του αρχείου ιστορικού."
"Unknown file format","Μορφή αρχείου άγνωστη"
"Enabled","Ενεργό"
"Disabled","Απενεργοποιημένο"
"Import","Εισαγωγή"
"Export","Εξαγωγή"
"Daily","Καθημερινά"
"Weekly","Εβδομαδιαία"
"Monthly","Μηνιαία"
"Local Server","Τοπικός Διακομιστής"
"Remote FTP","Απομακρυσμένο FTP"
"Binary","Δυαδικό"
"ASCII","ASCII"
"Stop Import","Διακοπή Εισαγωγής"
"Continue Processing","Συνεχίστε την Επεξεργασία"
"Failed","Απέτυχε"
"Successful","Επιτυχής"
"Pending","Προς έγκριση"
"label","ετικέτα"
"Can not open file","Δεν μπορεί να ανοίξει το αρχείο"
"%store_name - Scheduled Export Failed","%store_name - προγραμματισμένη εξαγωγή απέτυχε"
"%operation_name - Scheduled Export Failed","%operation_name - προγραμματισμένη εξαγωγή απέτυχε"
"Operation name:","Όνομα λειτουργίας:"
"Entity type:","Τύπος Οντότητας:"
"File history path:","Διαδρομή αρχείου ιστορικου:"
"Date & Time:","Ημερομηνία & Ώρα:"
"Log trace:","Αρχείο καταγραφής ανίχνευσης:"
"Scheduled Import/Export File History Cleanup Warnings","Προειδοποιήσεις Εκκαθάρισης Αρχείου Ιστορικού Προγραμματισμένης Εισαγωγής/Εξαγωγής"
"%store_name  - Scheduled Import Failed","%store_name  - προγραμματισμένη εισαγωγή απέτυχε"
"%operation_name - Scheduled Import Failed","%operation_name - προγραμματισμένη εισαγωγή απέτυχε"
"Scheduled Import/Export File History Cleaning","Εκκαθάριση Αρχείου Ιστορικού Προγραμματισμένης Εισαγωγής/Εξαγωγής"
"Save Files, Days","Αποθήκευση Αρχείων, Ημέρες"
"Enable Scheduled File History Cleaning","Ενεργοποίηση Εκκαθάρισης Προγραμματισμένου Αρχείου Ιστορικού"
"Error Email Recipient","Παραλήπτης Email Σφάλματος"
"Error Email Sender","Αποστολέας Email Σφάλματος"
"Error Email Template","Προτύπο Email Σφάλματος"
"Delete","Διαγραφή"
"Are you sure you want to delete the selected scheduled imports/exports?","Είστε βέβαιοι ότι θέλετε να διαγράψετε τις επιλεγμένες προγραμματισμένες εισαγωγές/εξαγωγές;"
"Change Status","Αλλαγή Κατάστασης"
"Operation","Λειτουργία"
"Last Run","Τελευταία Εκτέλεση"
"Last Outcome","Τελευταία αποτελέσματα"
"Action","Ενέργεια"
"Edit","Επεξεργασία"
"Run","Εκτέλεση"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","Για τον τύπο ""Τοπικού διακομιστή"" χρησιμοποιείστε σχετική διαδρομή σε εγκατάσταση Magento, π.χ. η var/export, η var/import, η var/export/καποιος/φάκελος"
