"Add Scheduled Export","Añadir exportación programada"
"New Scheduled Export","Nueva exportación programada"
"You saved the scheduled import.","Ha guardado la importación programada."
"You saved the scheduled report.","Ha guardado el informe programado."
"You deleted the scheduled import.","Eliminó la importación programada."
"You deleted the scheduled export.","Eliminó la exportación programada."
"Are you sure you want to delete this scheduled import?","¿Está seguro que desea eliminar esta importación programada?"
"Are you sure you want to delete this scheduled export?","¿Está seguro que desea eliminar esta exportación programada?"
"We were unable to save the cron expression.","Fuimos incapaces de guardar la expresión cron."
"Unable to delete the cron task.","No se puede borrar la tarea programada."
"Please correct the cron job task","Por favor corregir la tarea de cron"
"File has been not created","Archivo no ha sido creado"
"Something went wrong and the operation failed.","Algo salió mal y la operación falló."
"We can't read the file source because the file name is empty.","No podemos leer el archivo fuente porque el nombre del archivo está vacío."
"Connecting to server","Conectando con el servidor"
"Reading import file","Leyendo el archivo importado"
"We can't read the import file.","No podemos leer el archivo de importación."
"Save history file content ""%1""","Guardar el contenido del archivo historial ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","No podemos escribir en el archivo ""%1"" a ""%2"" con el driver ""%3""."
"Save file content","Guardar el contenido del archivo"
"Please correct the server type.","Por favor corrija el tipo de servidor."
"Import path %1 not exists","Ruta de importación %1 no existe"
"We can't read the file.","No podemos leer el archivo."
"We can't save the file history file.","No podemos guardar el archivo de la historia."
"Unknown file format","Formato de archivo desconocido"
"Enabled","Habilitado"
"Disabled","Deshabilitada"
"Import","Importar"
"Export","Exportar"
"Daily","Diario"
"Weekly","Semanal"
"Monthly","Mensual"
"Local Server","Servidor local"
"Remote FTP","FTP remoto"
"Binary","Binario"
"ASCII","ASCII"
"Stop Import","Detener la importación"
"Continue Processing","Continuar procesando"
"Failed","Falló"
"Successful","Correcto"
"Pending","Pendiente"
"label","etiqueta"
"Can not open file","No se puede abrir el archivo"
"%store_name - Scheduled Export Failed","%store_name - exportación programada falló"
"%operation_name - Scheduled Export Failed","%operation_name - exportación programada fallo"
"Operation name:","Nombre de la operación:"
"Entity type:","Tipo de entidad:"
"File history path:","Ruta del archivo de historia:"
"Date & Time:","Fecha y hora:"
"Log trace:","Registro de seguimiento:"
"Scheduled Import/Export File History Cleanup Warnings","Advertencias de limpieza programada del Historial del Archivo Importar/Exportar"
"%store_name  - Scheduled Import Failed","%store_name - importación programada falló"
"%operation_name - Scheduled Import Failed","%operation_name - importación programada falló"
"Scheduled Import/Export File History Cleaning","Limpieza Programada del Archivo Importar/Exportar"
"Save Files, Days","Guardar archivos, días"
"Enable Scheduled File History Cleaning","Habilitar limpieza programada de historial de archivos"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"Delete","Borrar"
"Are you sure you want to delete the selected scheduled imports/exports?","¿Está seguro que desea eliminar las importaciones/exportaciones seleccionadas programadas?"
"Change Status","Cambiar Estado"
"Operation","Operación"
"Last Run","Última ejecución"
"Last Outcome","Último resultado"
"Action","Acción"
"Edit","Editar"
"Run","Ausführen"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","Para el Tipo ""Servidor local"", use la ruta relativa a la instalación de Magento, por ejemplo, var/export, var/import, var/export/some/dir"
