"Add Scheduled Export","උපලේඛනගත අපනයන එක් කරන්න"
"Something went wrong and the operation failed.","යමක් වැරදී ඇති අතර මෙහෙයුම අසාර්ථක විය."
"We can't read the file source because the file name is empty.","ගොනු නාමය හිස් බැවින් අපට ගොනු මූලාශ්‍රය කියවිය නොහැක."
"Connecting to server","සර්වරයට සම්බන්ධ වෙමින්"
"Reading import file","ආයාත ගොනුව කියවීම"
"We can't read the import file.","අපට ආනයන ගොනුව කියවිය නොහැක."
"Save history file content ""%1""","ඉතිහාස ගොනු අන්තර්ගතය සුරකින්න ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","අපට ""%3"" ධාවක සමඟ ගොනුව ""%1"" සිට ""%2"" දක්වා ලිවීමට නොහැකි විය."
"Save file content","ගොනු අන්තර්ගතය සුරකින්න"
"Please correct the server type.","කරුණාකර සේවාදායක වර්ගය නිවැරදි කරන්න."
"Import path %1 not exists","ආයාත මාර්ගය %1 නොපවතී"
"We can't read the file.","අපට ගොනුව කියවිය නොහැක."
"We can't save the file history file.","අපට ගොනු ඉතිහාස ගොනුව සුරැකිය නොහැක."
"Unknown file format","නොදන්නා ගොනු ආකෘතිය"
"Enabled","සබල කර ඇත"
"Disabled","ආබාධිතයි"
"Import","ආනයන"
"Export","අපනයන"
"Daily","දිනපතා"
"Weekly","සතිපතා"
"Monthly","මාසික"
"Local Server","දේශීය සේවාදායකය"
"Remote FTP","දුරස්ථ FTP"
"Binary","ද්විමය"
"ASCII","ASCII"
"Stop Import","ආනයනය නවත්වන්න"
"Continue Processing","සැකසීම දිගටම කරගෙන යන්න"
"Failed","අසාර්ථකයි"
"Successful","සාර්ථක"
"Pending","පොරොත්තුවෙන්"
"label","ලේබලය"
"Can not open file","ගොනුව විවෘත කළ නොහැක"
"%store_name - Scheduled Export Failed","%store_name - නියමිත අපනයනය අසාර්ථක විය"
"%operation_name - Scheduled Export Failed","%operation_name - නියමිත අපනයනය අසාර්ථක විය"
"Operation name:","මෙහෙයුමේ නම:"
"Entity type:","ආයතන වර්ගය:"
"File history path:","ගොනු ඉතිහාස මාර්ගය:"
"Date & Time:","දිනය වෙලාව:"
"Log trace:","ලඝු සටහන:"
"Scheduled Import/Export File History Cleanup Warnings","උපලේඛනගත ආනයන/අපනයන ගොනු ඉතිහාසය පිරිසිදු කිරීමේ අනතුරු ඇඟවීම්"
"%store_name  - Scheduled Import Failed","%store_name - නියමිත ආනයනය අසාර්ථක විය"
"%operation_name - Scheduled Import Failed","%operation_name - කාලසටහන්ගත ආනයනය අසාර්ථක විය"
"Scheduled Import/Export File History Cleaning","උපලේඛනගත ආනයන/අපනයන ගොනු ඉතිහාසය පිරිසිදු කිරීම"
"Save Files, Days","ගොනු, දින සුරකින්න"
"Enable Scheduled File History Cleaning","උපලේඛනගත ගොනු ඉතිහාසය පිරිසිදු කිරීම සබල කරන්න"
"Error Email Recipient","ඊමේල් ලබන්නාගේ දෝෂයකි"
"Error Email Sender","ඊමේල් යවන්නාගේ දෝෂයකි"
"Error Email Template","දෝෂ ඊමේල් සැකිල්ල"
"Delete","මකන්න"
"Are you sure you want to delete the selected scheduled imports/exports?","තෝරාගත් කාලසටහන්ගත ආයාත/අපනයන මැකීමට අවශ්‍ය බව ඔබට විශ්වාසද?"
"Change Status","තත්ත්වය වෙනස් කරන්න"
"Operation","මෙහෙයුම්"
"Last Run","අවසන් ධාවනය"
"Last Outcome","අවසාන ප්රතිඵලය"
"Action","කටයුතු"
"Edit","සංස්කරණය කරන්න"
"Run","දුවන්න"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir"
