"Add Scheduled Export","Tambahkan Dijadwal Ekspor"
"We cannot change status for all items.","Kami Tidak Bisa Mengubah Status Untuk Semuanya."
"You deleted a total of %1 record(s).","Anda Menghapus %1 catatan."
"We can't delete all the items right now.","Kami tidak dapat menghapus semua item sekarang juga."
"We can't save the scheduled operation right now.","Kami tidak dapat menyimpan operasi yang dijadwalkan sekarang juga."
"We can't create directory ""%1""","Kami tidak dapat membuat direktori ""% 1"""
"The directory ""%1"" is not writable.","Direktori ""% 1"" tidak dapat ditulis."
"We can't delete ""%1"" because the directory is not writable.","Kami tidak dapat menghapus ""% 1"" karena direktori tidak dapat ditulis."
"Scheduled Import","Jadwal Impor"
"New Scheduled Import","Jadwal Impor Terbaru"
"Scheduled Export","Scheduled Export"
"New Scheduled Export","New Scheduled Export"
"You saved the scheduled import.","You saved the scheduled import."
"You saved the scheduled report.","Anda menyimpan laporan terjadwal."
"You deleted the scheduled import.","Anda menghapus impor yang dijadwalkan."
"You deleted the scheduled export.","Anda menghapus ekspor terjadwal."
"Are you sure you want to delete this scheduled import?","Yakin ingin menghapus impor terjadwal ini?"
"Are you sure you want to delete this scheduled export?","Yakin ingin menghapus ekspor terjadwal ini?"
"We were unable to save the cron expression.","Kami tidak dapat menyimpan ekspresi cron."
"Unable to delete the cron task.","Tidak dapat menghapus tugas cron."
"Please correct the cron job task","Perbaiki tugas tugas cron"
"File has been not created","File belum dibuat"
"Something went wrong and the operation failed.","Ada yang tidak beres dan operasi gagal."
"We can't read the file source because the file name is empty.","Kita tidak bisa membaca file source karena nama filenya kosong."
"Connecting to server","Menghubungkan ke server"
"Reading import file","Membaca file impor"
"We can't read the import file.","Kami tidak bisa membaca file impor."
"Save history file content ""%1""","Simpan riwayat isi file ""% 1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","Kami tidak bisa menulis file ""%1"" ke ""%2"" dengan driver ""%3""."
"Save file content","Simpan konten file"
"Please correct the server type.","Perbaiki jenis servernya."
"Import path %1 not exists","Jalur impor % 1 tidak ada"
"We can't read the file.","Kita tidak bisa membaca file."
"We can't save the file history file.","Kami tidak dapat menyimpan file riwayat berkas."
"Unknown file format","Format file tidak dikenal"
"Enabled","Diaktifkan"
"Disabled","Dinonaktifkan"
"Import","Impor"
"Export","Ekspor"
"Daily","Harian"
"Weekly","Mingguan"
"Monthly","Bulanan"
"Local Server","Server Lokal"
"Remote FTP","FTP jarak jauh"
"Binary","Biner"
"ASCII","ASCII"
"Stop Import","Berhenti Impor"
"Continue Processing","Lanjutkan Pengolahan"
"Failed","Gagal"
"Successful","Sukses"
"Pending","Tertunda"
"label","label"
"Can not open file","Tidak bisa membuka berkas"
"%store_name - Scheduled Export Failed","%store_name - Ekspor Terjadwal Gagal"
"%operation_name - Scheduled Export Failed","%operation_name - Ekspor Terjadwal Gagal"
"Operation name:","Nama operasi:"
"Entity type:","Jenis entitas:"
"File history path:","Jalur riwayat berkas:"
"Date & Time:","Tanggal Waktu:"
"Log trace:","Log jejak:"
"Scheduled Import/Export File History Cleanup Warnings","Dijadwalkan Impor / Ekspor Sejarah File Cleanup Warnings"
"%store_name  - Scheduled Import Failed","%store_name - Impor Terjadwal Gagal"
"%operation_name - Scheduled Import Failed","% operation_name - Ekspor Terjadwal Gagal"
"Scheduled Import/Export File History Cleaning","Dijadwalkan Impor / Ekspor File Sejarah Pembersihan"
"Save Files, Days","Simpan File, Hari"
"Enable Scheduled File History Cleaning","Aktifkan Membersihkan Berkas Resmi"
"Error Email Recipient","Kesalahan Pada Penerimaan Email"
"Error Email Sender","Kesalahan Pada Pengiriman Email"
"Error Email Template","Kesalahan Email Template"
"Delete","Hapus"
"Are you sure you want to delete the selected scheduled imports/exports?","Apakah Anda Yakin Ingin Mengahapus Jadwal Impor/Ekspor yang sudah dipilih?"
"Change Status","Ubah Status"
"Operation","Operasi"
"Last Run","Aktivitas Terakhir"
"Last Outcome","Pemasukan Terakhir"
"Action","Tindakan"
"Edit","Ubah"
"Run","Menjalankan"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir"
