"Delete Rule","රීතිය මකන්න"
"Rule Name","රීතියේ නම"
"Description","විස්තර"
"Websites","වෙබ් අඩවි"
"Customer Groups","පාරිභෝගික කණ්ඩායම්"
"From","සිට"
"To","වෙත"
"Priority","ප්රමුඛත්වය"
"Actions","ක්රියාවන්"
"Apply","අයදුම් කරන්න"
"Discount Amount","වට්ටම් මුදල"
"Discard subsequent rules","ඊළඟ නීති ඉවතලන්න"
"Yes","ඔව්"
"No","නැත"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","නිර්වචනය නොකළ තත්ත්‍වයේ වර්ගය ""%1"" ඇතුළු විය."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","නිර්වචනය නොකළ SQL ක්‍රියාකරු ""%1"" සමත් විය. වලංගු ක්‍රියාකරුවන් වන්නේ: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","නිර්වචනය නොකළ රීති ක්‍රියාකරු ""%1"" සමත් විය. වලංගු ක්‍රියාකරුවන් වන්නේ: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","නිර්වචනය නොකළ රීති සමුච්චය ""%1"" සමත් විය. වලංගු ක්‍රියාකරුවන් වන්නේ: %2"
"The ""%1"" rule was unable to be saved. Please try again.","""%1"" රීතිය සුරැකීමට නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","""%1"" හැඳුනුම්පත සහිත රීතිය හමු නොවිණි. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" rule couldn't be removed.","""%1"" රීතිය ඉවත් කළ නොහැකි විය."
