"Invitations","ಆಹ್ವಾನಗಳು"
"Available to All","ಎಲ್ಲರಿಗೂ ಲಭ್ಯವಿದೆ"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status ""%1"".","You can't send an invitation with status ""%1""."
"Please enter a valid invitation email.","Please enter a valid invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","This invitation is not valid."
"Please correct the invitation email.","Please correct the invitation email."
"Invitation for same email address","Invitation for same email address"
"Not Sent","ರವಾನೆಯಾಗದ"
"Sent","ಕಳುಹಿಸಲಾಗಿದೆ"
"Accepted","ಅಂಗೀಕರಿಸಿದೆ"
"Discarded","ತಿರಸ್ಕರಿಸಿದೆ"
"Invitation Information","ಆಹ್ವಾನದ ಮಾಹಿತಿ"
"Send At","Send At"
"Invitation Message","ಆಹ್ವಾನದ ಸಂದೇಶ"
"Email","ಮಿಂಚೆ"
"Status","ಸ್ಥಿತಿ"
"Website","ಜಾಲ ತಾಣ"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Signed Up At","Signed Up At"
"Invitation URL","ಆಹ್ವಾನದ URL"
"Link","ಕೊಂಡಿ"
"Invitee Information","ಆಹ್ವಾನಿತರ ಮಾಹಿತಿ"
"Customer ID","ಗ್ರಾಹಕರ ID"
"Customer Group","ಗ್ರಾಹಕರ ಗುಂಪು"
"First Name","ಮೊದಲ ಹೆಸರು"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Sign Up At","Sign Up At"
"Inviter Information","Inviter Information"
"Admin","Admin"
"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"Invite your friends by entering their email addresses","Invite your friends by entering their email addresses"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add","ಸೇರಿಸಿ"
"Back to Invitations","ಆಹ್ವಾನಗಳಿಗೆ ಹಿಂದಿರುಗಿ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Enter Email","ಮಿಂಚೆ ನಮೂದಿಸಿ"
"You cannot send more invitations","You cannot send more invitations"
"There are no sent invitations.","There are no sent invitations."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","Please accept this invitation to join %store_name."
"%store_name offers limited time sales of products only to members.","%store_name offers limited time sales of products only to members."
"Please use the following link to create an account and view the deals:","Please use the following link to create an account and view the deals:"
"Private Sales","ಖಾಸಗಿ ಮಾರಾಟಗಳು"
"Invited Customers","ಆಹ್ವಾನಿಸಿದ ಗ್ರಾಹಕರು"
"Conversion","ಪರಿವರ್ತನೆ"
"Invitation Section","ಆಹ್ವಾನಗಳ ವಿಭಾಗ"
"Conversions","ಪರಿವರ್ತನೆಗಳು"
"Customer Invitation Email Sender","Customer Invitation Email Sender"
"Customer Invitation Email Template","Customer Invitation Email Template"
"Enable Invitations Functionality","Enable Invitations Functionality"
"Enable Invitations on Storefront","Enable Invitations on Storefront"
"Referred Customer Group","Referred Customer Group"
"New Accounts Registration","New Accounts Registration"
"Allow Customers to Add Custom Message to Invitation Email","Allow Customers to Add Custom Message to Invitation Email"
"Customer Invitations","ಗ್ರಾಹಕರ ಆಹ್ವಾನಗಳು"
"Discard Selected","ಆರಿಸಿದವುಗಳನ್ನು ತ್ಯಜಿಸಿ"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Send Selected","ಆರಿಸಿದವುಗಳನ್ನು ಕಳುಹಿಸಿ"
"ID","ID"
"Invitee","ಆಹ್ವಾನಿತರು"
"Registered","ನೋಂದಾಯಿತ"
"Valid Website","ಮಾನ್ಯವಾದ ಜಾಲತಾಣ"
"Name","ಹೆಸರು"
"Group","ಗುಂಪು"
"Invitations Sent","ಆಹ್ವಾನಗಳನ್ನು ಕಳುಹಿಸಿದೆ"
"Invitations Accepted","ಅಂಗೀಕರಿಸಿದ ಆಹ್ವಾನಗಳು"
"Accept Rate","ದರವನ್ನು ಅಂಗೀಕರಿಸಿ"
"Discard Rate","ದರವನ್ನು ತಿರಸ್ಕರಿಸಿ"
"Accepted and Purchased","ಅಂಗೀಕರಿಸಿದ ಮತ್ತು ಖರೀದಿಸಿದ"
"Conversion Rate","Conversion Rate"
"Invitation","ಆಹ್ವಾನ"
"The invitation code is incorrect. Verify the code and try again.","The invitation code is incorrect. Verify the code and try again."
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again."
"The incorrect store is specified. Verify the store and try again.","The incorrect store is specified. Verify the store and try again."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again."
"The encrypted code couldn't be generated.","The encrypted code couldn't be generated."
"An ID wasn't found for this invitation. Verify the invitation and try again.","An ID wasn't found for this invitation. Verify the invitation and try again."
"The invitation with the ""%1"" status can't be sent.","The invitation with the ""%1"" status can't be sent."
"A valid invitation email is missing. Enter and try again.","A valid invitation email is missing. Enter and try again."
"The proper website couldn't be identified","The proper website couldn't be identified"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
"This invitation is addressed to current customer ""%1"".","This invitation is addressed to current customer ""%1""."
