"Invitations","Покани"
"Invitation Message","Съобщение за покана"
"Email","Имейл"
"Status","Статус"
"Website","Уебсайт"
"Store View","Изглед на магазина"
"Signed Up At","Регистриран в"
"Invitation URL","Покана URL"
"Link","Връзка"
"Invitee Information","Поканвания информация"
"Customer ID","ИД на клиент"
"Customer Group","Клиентска група"
"First Name","Име"
"Last Name","Фамилия"
"Sign Up At","Регистрирай се в"
"Inviter Information","Информация за подателя на поканата"
"Admin","Админ"
"* Required Fields","* Задължителни полета"
"Invite your friends by entering their email addresses","Поканете приятелите си като въведете техните имейл адреси"
"Maximum %1 email addresses allowed.","Максимална %1 имейл адреси позволено."
"Add","Добави"
"Back to Invitations","Обратно към покани"
"Remove","Премахване"
"Enter Email","Въведете имейл"
"You cannot send more invitations","Не можете да изпратите още покани"
"There are no sent invitations.","Няма изпратени покани."
"%inviter_name invites you to join Private Sales Site","%inviter_name ви кани да се присъединят към  сайт за частни продажби"
"Invite to join Private Sales Site","Покани да се присъединят към  сайт за частни продажби"
"Please accept this invitation to join %store_name.","Моля да приемете тази покана да се присъедините към %store_name."
"%store_name offers limited time sales of products only to members.","%store_name предлага ограничена във времето продажба на продукти само за членове."
"Please use the following link to create an account and view the deals:","Моля, използвайте следния линк, за да създадете акаунт и да видите оферти:"
"Private Sales","Частни продажби"
"Invited Customers","Поканени клиенти"
"Conversion","Преобразуване"
"Invitation Section","Покана раздел"
"Conversions","Реализации"
"Customer Invitation Email Sender","Клиент покана имейл подател"
"Customer Invitation Email Template","Шаблон на имейл за покана на клиент"
"Enable Invitations Functionality","Разреши покани функционалност"
"Enable Invitations on Storefront","Разреши поканите за магазина"
"Referred Customer Group","По клиентска група"
"New Accounts Registration","Нови сметки за регистрация"
"Allow Customers to Add Custom Message to Invitation Email","Позволи на клиентите да добавите персонализирано съобщение за имейл покана"
"Customer Invitations","Клиент покани"
"Discard Selected","Отхвърляне на избраните"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Send Selected","Изпрати избрани"
"ID","ИД"
"Invitee","Поканен"
"Registered","Регистриран"
"Valid Website","Валиден сайт"
"Name","Име"
"Group","Група"
"Invitations Sent","Изпратени покани"
"Invitations Accepted","Приети покани"
"Accept Rate","Приеми оценка"
"Discard Rate","Отхвърли оценка"
"Accepted and Purchased","Приети и закупени"
"Conversion Rate","Коефицент на възвръщаемост"
"Invitation","Покана"
"The invitation code is incorrect. Verify the code and try again.","Некоректен код на покана. Проверете кода и опитайте пак."
"A customer ID group is missing. Enter a group and try again.","Липсва група на клиентски ID. Въведете група и опитайте пак."
"The incorrect store is specified. Verify the store and try again.","Посочен е некоректен магазин. Проверете магазина и опитайте отново."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","Въведен е невалиден складов кредит. Складовият кредит трябва да бъде по-малък от стойността на поръчката. Проверете и опитайте пак."
"The encrypted code couldn't be generated.","Не може да се генерира декриптиран код."
"An ID wasn't found for this invitation. Verify the invitation and try again.","Не е намерено ID за тази покана. Проверете поканата и опитайте пак."
"The invitation with the ""%1"" status can't be sent.","Покана със статус ""%1"" не може да се изпрати."
"A valid invitation email is missing. Enter and try again.","Липсва валиден имейл за покана. Въведете и опитайте отново."
"The proper website couldn't be identified","Не може да се идентифицира коректен сайт"
"An email wasn't specified. Enter the email and try again.","Не е посочен имейл. Задайте и опитайте пак."
"This invitation is addressed to current customer ""%1"".","Тази покана е адресирана до текущия клиент: ""%1""."
