"Invitations","Davetiyeler"
"Invited Customers Report","Davet Edilen Müşteriler Raporu"
"General Report","Genel rapor"
"Invitations Report","Davetiye Raporu"
"Invitation Report by Order Conversion Rate","Sipariş Dönüşüm Oranı ile Davetiye Raporu"
"Conversion Rate Report","Dönüşüm oranı raporu"
"The wrong customer account is specified.","Yanlış müşteri hesabı belirtildi."
"Please enter a correct confirmation key.","Lütfen doğru bir onay anahtarı girin."
"Bad request.","Hatalı istek."
"Your invitation is not valid. Please create an account.","Davetiyeniz geçerli değil. Lütfen bir hesap oluşturun."
"Your invitation is not valid. Please contact us at %1.","Davetiyeniz geçerli değil. Lütfen% 1 adresinden bizimle iletişime geçin."
"We can't save this customer.","Müşteri kaydedilemiyor."
"Page not found.","Sayfa bulunamadı."
"My Invitations","Davetiyelerim"
"Invalid Form Key. Please refresh the page.","Geçersiz Form Anahtarı. Lütfen sayfayı yenileyin."
"You sent the invitation for %1.","% 1 daveti gönderdiniz."
"Something went wrong while sending an email to %1.","Email gönderilirken bir şeyler ters gitti."
"We did not send %1 invitation(s) addressed to current customers.","Mevcut müşterilerimize gönderilen% 1 davetiye gönderilmedi."
"Send Invitations","Davetiyeleri Gönder"
"Max Invitations Allowed to be Sent at One Time","Bir defada Gönderilmesine İzin Verilen Maksimum Davetiyeler"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Lütfen ""%1"" parametresinin değerini düzeltin, aksi takdirde kaydedilen değeri kullanın."
"Same as Inviter","Davetliyle aynı"
"Default Customer Group from System Configuration","Sistem Yapılandırmasından Varsayılan Müşteri Grubu"
"By Invitation Only","Sadece davetiye ile"
"Available to All","Herkese Hazır"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status ""%1"".","You can't send an invitation with status ""%1""."
"Please enter a valid invitation email.","Please enter a valid invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","Bu davet geçerli değil."
"Please correct the invitation email.","Lütfen davet e-postasını düzeltin."
"Invitation for same email address","Aynı e-posta adresine davetiye"
"Not Sent","Gönderilmedi"
"Sent","Gönderildi"
"Accepted","Kabul Edildi"
"Discarded","Çıkartıldı"
"Invitation Information","Davet Bilgisi"
"Send At","Gönder"
"Invitation Message","Davet Mesajı"
"Email","E-posta"
"Status","Durum"
"Website","Web sitesi"
"Store View","Mağaza Görünümü"
"Signed Up At","Kaydoldu"
"Invitation URL","Davet"
"Link","Bağlantı"
"Invitee Information","Davet Bilgisi"
"Customer ID","Müşteri No"
"Customer Group","Müşteri Grupları"
"First Name","Adı"
"Last Name","Soyadı"
"Sign Up At","Hemen Kaydol"
"Inviter Information","Davet Bilgisi"
"Admin","Yönetim"
"* Required Fields","* Zorunlu Alan"
"Invite your friends by entering their email addresses","Arkadaşlarınızı e-posta adreslerini girerek davet edin"
"Maximum %1 email addresses allowed.","Maksimum% 1 e-posta adresine izin verilir."
"Add","Ekle"
"Back to Invitations","Davetiyele Geri Dön"
"Remove","Kaldır"
"Enter Email","E-posta girin"
"You cannot send more invitations","Daha fazla davetiye gönderemezsiniz"
"There are no sent invitations.","Gönderilen davetiye yok."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","% Mağaza_isim'e katılmak için lütfen bu davetiyeyi kabul edin."
"%store_name offers limited time sales of products only to members.","% mağaza_isim, yalnızca üyelere sınırlı zamanlı ürünler satmaktadır."
"Please use the following link to create an account and view the deals:","Bir hesap oluşturmak ve fırsatları görüntülemek için lütfen aşağıdaki bağlantıyı kullanın:"
"Private Sales","Özel Satışlar"
"Invited Customers","Davet Edilen Müşteriler"
"Conversion","Diyalog"
"Invitation Section","Davet Bölümü"
"Conversions","Dönüşümler"
"Customer Invitation Email Sender","Müşteri Daveti İçin E-postası Göndericisi"
"Customer Invitation Email Template","Müşteri Daveti E-postası Şablonu"
"Enable Invitations Functionality","Davetiyelerin İşlevselliğini Etkinleştirme"
"Enable Invitations on Storefront","Vitrindeki davetiyeleri etkinleştir"
"Referred Customer Group","Yönlendirilen Müşteri Grubu"
"New Accounts Registration","Yeni Hesap Kayıtları"
"Allow Customers to Add Custom Message to Invitation Email","Müşterilerin Davet E postasına Özel Mesaj Eklemesine İzin Ver"
"Customer Invitations","Müşteri Davetleri"
"Discard Selected","Seçilenleri İmha Et"
"Are you sure you want to do this?","Bu işlemi yapmak istediğinizden emin misiniz?"
"Send Selected","Seçilenleri gönder"
"ID","No"
"Invitee","Davetli"
"Registered","Kayıtlı"
"Valid Website","Geçerli internet sitesi"
"Name","Adı"
"Group","Grup"
"Invitations Sent","Gönderilen Davetiyeler"
"Invitations Accepted","Kabul Edilen Davetiyeler"
"Accept Rate","Oranı kabul et"
"Discard Rate","Atma Oranı"
"Accepted and Purchased","Kabul Edilen ve Satın Alınan"
"Conversion Rate","Dönüşüm oranı"
"Invitation","Davetiye"
"The invitation code is incorrect. Verify the code and try again.","The invitation code is incorrect. Verify the code and try again."
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again."
"The incorrect store is specified. Verify the store and try again.","The incorrect store is specified. Verify the store and try again."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again."
"The encrypted code couldn't be generated.","The encrypted code couldn't be generated."
"An ID wasn't found for this invitation. Verify the invitation and try again.","An ID wasn't found for this invitation. Verify the invitation and try again."
"The invitation with the ""%1"" status can't be sent.","The invitation with the ""%1"" status can't be sent."
"A valid invitation email is missing. Enter and try again.","A valid invitation email is missing. Enter and try again."
"The proper website couldn't be identified","The proper website couldn't be identified"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
"This invitation is addressed to current customer ""%1"".","This invitation is addressed to current customer ""%1""."
