"Invitations","Lời mời"
"Please correct the invitation email.","Xin vui lòng nhập chính xác email lời mời."
"Invitation for same email address","Lời mời cho cùng một địa chỉ email"
"Not Sent","Không gửi"
"Sent","Đã gửi"
"Accepted","Chấp nhận"
"Discarded","Bỏ đi"
"Invitation Information","Thông tin thư mời"
"Send At","Gửi lúc"
"Invitation Message","Tin nhắn lời mời"
"Email","Email"
"Status","Trạng thái"
"Website","Trang web"
"Store View","Xem cửa hàng"
"Signed Up At","Đã đăng ký tại"
"Invitation URL","Lời mời URL"
"Link","Liên kết"
"Invitee Information","Thông tin khách mời"
"Customer ID","Id khách hàng"
"Customer Group","Nhóm khách hàng"
"First Name","Tên"
"Last Name","Họ"
"Sign Up At","Đăng ký tại"
"Inviter Information","Thông tin khách mời"
"Admin","Quản trị"
"* Required Fields","* Bắt buộc"
"Invite your friends by entering their email addresses","Mời bạn bè của bạn bằng cách nhập địa chỉ email của họ"
"Maximum %1 email addresses allowed.","Địa chỉ email %1 tối đa cho phép."
"Add","Thêm"
"Back to Invitations","Quay lại lời mời"
"Remove","Loại bỏ"
"Enter Email","Nhập địa chỉ Email"
"You cannot send more invitations","Bạn không thể gửi thêm lời mời"
"There are no sent invitations.","Không có lời mời được gửi."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","Xin vui lòng chấp nhận lời mời này để tham gia %store_name."
"%store_name offers limited time sales of products only to members.","%store_name cung cấp giới hạn thời gian bán các sản phẩm cho các thành viên."
"Please use the following link to create an account and view the deals:","Xin vui lòng sử dụng liên kết sau đây để tạo một tài khoản và xem các thỏa thuận:"
"Private Sales","Kênh bán hàng riêng"
"Invited Customers","Khách mời"
"Conversion","Chuyển đổi"
"Invitation Section","Phần thư mời"
"Conversions","Chuyển đổi"
"Customer Invitation Email Sender","Người gửi Email mời khách hàng"
"Customer Invitation Email Template","Khách hàng lời mời Email mẫu"
"Enable Invitations Functionality","Phép lời mời chức năng"
"Enable Invitations on Storefront","Cho phép thư mời trên Storefront"
"Referred Customer Group","Giới thiệu nhóm khách hàng"
"New Accounts Registration","Đăng ký tài khoản mới"
"Allow Customers to Add Custom Message to Invitation Email","Cho phép khách hàng để thêm tin nhắn tuỳ chỉnh cho lời mời Email"
"Customer Invitations","Lời mời khách hàng"
"Discard Selected","Loại bỏ lựa chọn"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"Send Selected","Gửi chọn"
"ID","ID"
"Invitee","Khách mời"
"Registered","Đã đăng ký"
"Valid Website","Trang web hợp lệ"
"Name","Tên"
"Group","Nhóm"
"Invitations Sent","đã Gửi lời mời"
"Invitations Accepted","Lời mời được chấp nhận"
"Accept Rate","Chấp nhận tỷ lệ"
"Discard Rate","Loại bỏ các tỷ lệ"
"Accepted and Purchased","Chấp nhận và đã mua"
"Conversion Rate","Tỷ lệ chuyển đổi"
"Invitation","Invitation"
"The invitation code is incorrect. Verify the code and try again.","The invitation code is incorrect. Verify the code and try again."
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again."
"The incorrect store is specified. Verify the store and try again.","The incorrect store is specified. Verify the store and try again."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again."
"The encrypted code couldn't be generated.","The encrypted code couldn't be generated."
"An ID wasn't found for this invitation. Verify the invitation and try again.","An ID wasn't found for this invitation. Verify the invitation and try again."
"The invitation with the ""%1"" status can't be sent.","The invitation with the ""%1"" status can't be sent."
"A valid invitation email is missing. Enter and try again.","A valid invitation email is missing. Enter and try again."
"The proper website couldn't be identified","The proper website couldn't be identified"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
"This invitation is addressed to current customer ""%1"".","This invitation is addressed to current customer ""%1""."
