"Invitations","Convites"
"Something went wrong while sending an email to %1.","Algo correu mal ao enviar um email para %1."
"We did not send %1 invitation(s) addressed to current customers.","Não conseguimos enviar %1 convite(s) dirigidos aos clientes atuais."
"Send Invitations","Enviar Convites"
"Max Invitations Allowed to be Sent at One Time","Máx Convites que podem ser enviados De Uma Só Vez"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead."
"Same as Inviter","O Mesmo que o Convidante"
"Default Customer Group from System Configuration","Grupo de Clientes Pré-definido da Configuração do Sistema"
"By Invitation Only","Apenas Por Convite"
"Available to All","Disponível para Todos"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status ""%1"".","You can't send an invitation with status ""%1""."
"Please enter a valid invitation email.","Please enter a valid invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","Este convite não é válido."
"Please correct the invitation email.","Por favor corrija o email de convite."
"Invitation for same email address","Convite para o mesmo endereço de email"
"Not Sent","Não Enviada"
"Sent","Enviada"
"Accepted","Aceite"
"Discarded","Descartado"
"Invitation Information","Informação de Convite"
"Send At","Enviar"
"Invitation Message","Mensagem de Convite"
"Email","Correio electrónico"
"Status","Estado"
"Website","Site"
"Store View","Vista da Loja"
"Signed Up At","Inscrito em"
"Invitation URL","URL de Convite"
"Link","Link"
"Invitee Information","Informação do Convidado"
"Customer ID","ID do Cliente"
"Customer Group","Grupos de Clientes"
"First Name","Nome"
"Last Name","Sobrenome"
"Sign Up At","Inscrever Em"
"Inviter Information","Informação do Convidante"
"Admin","Administrador"
"* Required Fields","* Campos Obrigatórios"
"Invite your friends by entering their email addresses","Convide os seus amigos através dos seus endereços de email"
"Maximum %1 email addresses allowed.","São permitidos até %1 endereços de email."
"Add","Adicionar"
"Back to Invitations","Voltar aos Convites"
"Remove","Eliminar"
"Enter Email","Insira Email"
"You cannot send more invitations","Não pode enviar mais convites"
"There are no sent invitations.","Não existem convites enviados."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","Por favor aceite este convite para se juntar a %store_name."
"%store_name offers limited time sales of products only to members.","A %store_name oferece promoções de tempo limitado apenas aos utilizadores registados."
"Please use the following link to create an account and view the deals:","Por favor use o link seguinte para criar uma conta e ver os detalhes:"
"Private Sales","Promoções Privadas"
"Invited Customers","Clientes Convidados"
"Conversion","Conversão"
"Invitation Section","Secção de Convite"
"Conversions","Conversões"
"Customer Invitation Email Sender","Remetente de E-mail do Convite do Cliente"
"Customer Invitation Email Template","Template de E-mail do Convite do Cliente"
"Enable Invitations Functionality","Ativar Funcionalidade de Convites"
"Enable Invitations on Storefront","Ativar Convites na Loja"
"Referred Customer Group","Grupo de Clientes Referido"
"New Accounts Registration","Registo de Novas Contas"
"Allow Customers to Add Custom Message to Invitation Email","Permitir que os Clientes Adicionem uma Mensagem Personalizada ao Email de Convite"
"Customer Invitations","Convites de Clientes"
"Discard Selected","Rejeitar Selecionados"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Send Selected","Enviar Selecionados"
"ID","Id."
"Invitee","Convidado"
"Registered","Registado"
"Valid Website","Site Válido"
"Name","Nome"
"Group","Grupo"
"Invitations Sent","Convites Enviados"
"Invitations Accepted","Convites Aceites"
"Accept Rate","Taxa de Aceitação"
"Discard Rate","Taxa de Rejeição"
"Accepted and Purchased","Aceite e Comprado"
"Conversion Rate","Taxa de Conversão"
"Invitation","Convite"
"The invitation code is incorrect. Verify the code and try again.","The invitation code is incorrect. Verify the code and try again."
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again."
"The incorrect store is specified. Verify the store and try again.","The incorrect store is specified. Verify the store and try again."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again."
"The encrypted code couldn't be generated.","The encrypted code couldn't be generated."
"An ID wasn't found for this invitation. Verify the invitation and try again.","An ID wasn't found for this invitation. Verify the invitation and try again."
"The invitation with the ""%1"" status can't be sent.","The invitation with the ""%1"" status can't be sent."
"A valid invitation email is missing. Enter and try again.","A valid invitation email is missing. Enter and try again."
"The proper website couldn't be identified","The proper website couldn't be identified"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
"This invitation is addressed to current customer ""%1"".","This invitation is addressed to current customer ""%1""."
