"Invitations","ආරාධනා"
"Something went wrong while sending an email to %1.","%1වෙත විද්‍යුත් තැපෑලක් යවන අතරතුර යම් දෙයක් වැරදී ඇත."
"We did not send %1 invitation(s) addressed to current customers.","අපි වත්මන් පාරිභෝගිකයින් වෙත ආරාධනා %1 ක් එවා නැත."
"Send Invitations","ආරාධනා යවන්න"
"Max Invitations Allowed to be Sent at One Time","එක් වරකදී උපරිම ආරාධනා යැවීමට අවසර ඇත"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","කරුණාකර ""%1"" පරාමිතිය සඳහා අගය නිවැරදි කරන්න, එසේ නොමැතිනම් අපි ඒ වෙනුවට සුරකින ලද අගය භාවිතා කරන්නෙමු."
"Same as Inviter","ආරාධිතයා වගේමයි"
"Default Customer Group from System Configuration","පද්ධති වින්‍යාසයෙන් පෙරනිමි පාරිභෝගික කණ්ඩායම"
"By Invitation Only","ආරාධනයෙන් පමණි"
"Available to All","සැමට තිබේ"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status ""%1"".","You can't send an invitation with status ""%1""."
"Please enter a valid invitation email.","Please enter a valid invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","මෙම ආරාධනාව වලංගු නැත."
"Please correct the invitation email.","කරුණාකර ආරාධනා විද්‍යුත් තැපෑල නිවැරදි කරන්න."
"Invitation for same email address","එකම ඊමේල් ලිපිනය සඳහා ආරාධනා"
"Not Sent","යවා නැත"
"Sent","යවා ඇත"
"Accepted","පිළිගත්තා"
"Discarded","බැහැර කළා"
"Invitation Information","ආරාධනා තොරතුරු"
"Send At","වෙත යවන්න"
"Invitation Message","ආරාධනා පණිවිඩය"
"Email","විද්යුත් තැපෑල"
"Status","තත්ත්වය"
"Website","වෙබ් අඩවිය"
"Store View","ගබඩා දර්ශනය"
"Signed Up At","දී ලියාපදිංචි විය"
"Invitation URL","ආරාධනා URL"
"Link","සබැඳිය"
"Invitee Information","ආරාධිත තොරතුරු"
"Customer ID","පාරිභෝගික හැඳුනුම් පත"
"Customer Group","පාරිභෝගික කණ්ඩායම"
"First Name","මුල් නම"
"Last Name","අවසන් නම"
"Sign Up At","දී ලියාපදිංචි වන්න"
"Inviter Information","ආරාධිත තොරතුරු"
"Admin","පරිපාලක"
"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Invite your friends by entering their email addresses","ඔබේ මිතුරන්ට ඔවුන්ගේ විද්‍යුත් තැපැල් ලිපින ඇතුළත් කිරීමෙන් ආරාධනා කරන්න"
"Maximum %1 email addresses allowed.","උපරිම විද්‍යුත් තැපැල් ලිපින %1 කට අවසර දී ඇත."
"Add","එකතු කරන්න"
"Back to Invitations","ආරාධනා වෙත නැවත යන්න"
"Remove","ඉවත් කරන්න"
"Enter Email","ඊමේල් ඇතුලත් කරන්න"
"You cannot send more invitations","ඔබට තවත් ආරාධනා යැවිය නොහැක"
"There are no sent invitations.","යවන ලද ආරාධනා කිසිවක් නැත."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","%store_name හා සම්බන්ධ වීමට කරුණාකර මෙම ආරාධනය පිළිගන්න."
"%store_name offers limited time sales of products only to members.","%store_name සාමාජිකයින්ට පමණක් නිෂ්පාදන සීමිත කාල විකුණුම් පිරිනමයි."
"Please use the following link to create an account and view the deals:","ගිණුමක් සෑදීමට සහ ගනුදෙනු බැලීමට කරුණාකර පහත සබැඳිය භාවිතා කරන්න:"
"Private Sales","පුද්ගලික විකුණුම්"
"Invited Customers","ආරාධිත පාරිභෝගිකයින්"
"Conversion","පරිවර්තනය"
"Invitation Section","ආරාධනා අංශය"
"Conversions","පරිවර්තන"
"Customer Invitation Email Sender","පාරිභෝගික ආරාධනා ඊමේල් යවන්නා"
"Customer Invitation Email Template","පාරිභෝගික ආරාධනා ඊමේල් සැකිල්ල"
"Enable Invitations Functionality","ආරාධනා ක්‍රියාකාරීත්වය සබල කරන්න"
"Enable Invitations on Storefront","වෙළඳසැල් ඉදිරිපිට ආරාධනා සබල කරන්න"
"Referred Customer Group","යොමු කළ පාරිභෝගික කණ්ඩායම"
"New Accounts Registration","නව ගිණුම් ලියාපදිංචිය"
"Allow Customers to Add Custom Message to Invitation Email","ආරාධනා ඊමේල් වෙත අභිරුචි පණිවිඩයක් එක් කිරීමට පාරිභෝගිකයින්ට ඉඩ දෙන්න"
"Customer Invitations","පාරිභෝගික ආරාධනා"
"Discard Selected","තෝරාගත් ඉවත දමන්න"
"Are you sure you want to do this?","ඔබට මෙය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Send Selected","තෝරාගත් යවන්න"
"ID","හැඳුනුම්පත"
"Invitee","ආරාධිතයා"
"Registered","ලියාපදිංචි"
"Valid Website","වලංගු වෙබ් අඩවිය"
"Name","නම"
"Group","සමූහය"
"Invitations Sent","ආරාධනා යවා ඇත"
"Invitations Accepted","ආරාධනා පිළිගත්තා"
"Accept Rate","අනුපාතය පිළිගන්න"
"Discard Rate","ඉවතලන අනුපාතය"
"Accepted and Purchased","පිළිගෙන මිල දී ගෙන ඇත"
"Conversion Rate","පරිවර්තන අනුපාතය"
"Invitation","ආරාධනය"
"The invitation code is incorrect. Verify the code and try again.","ආරාධනා කේතය වැරදියි. කේතය තහවුරු කර නැවත උත්සාහ කරන්න."
"A customer ID group is missing. Enter a group and try again.","පාරිභෝගික හැඳුනුම් කණ්ඩායමක් අතුරුදහන්. කණ්ඩායමක් ඇතුළු කර නැවත උත්සාහ කරන්න."
"The incorrect store is specified. Verify the store and try again.","වැරදි ගබඩාව සඳහන් කර ඇත. ගබඩාව තහවුරු කර නැවත උත්සාහ කරන්න."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","ඇතුළත් කළ ගබඩා ණය වලංගු නොවේ. ගබඩා ණය ඇණවුම් ප්‍රමාණයට වඩා අඩු විය යුතුය. තහවුරු කර නැවත උත්සාහ කරන්න."
"The encrypted code couldn't be generated.","සංකේතනය කළ කේතය ජනනය කළ නොහැකි විය."
"An ID wasn't found for this invitation. Verify the invitation and try again.","මෙම ආරාධනාව සඳහා හැඳුනුම්පතක් හමු නොවීය. ආරාධනාව තහවුරු කර නැවත උත්සාහ කරන්න."
"The invitation with the ""%1"" status can't be sent.","""%1"" තත්ත්වය සහිත ආරාධනය යැවිය නොහැක."
"A valid invitation email is missing. Enter and try again.","වලංගු ආරාධනා ඊමේල් එකක් අස්ථානගත වී ඇත. ඇතුල් කර නැවත උත්සාහ කරන්න."
"The proper website couldn't be identified","නිසි වෙබ් අඩවිය හඳුනාගත නොහැකි විය"
"An email wasn't specified. Enter the email and try again.","විද්‍යුත් තැපෑලක් නිශ්චිතව දක්වා නැත. විද්‍යුත් තැපෑල ඇතුළු කර නැවත උත්සාහ කරන්න."
"This invitation is addressed to current customer ""%1"".","මෙම ආරාධනය වත්මන් පාරිභෝගික ""%1"" වෙත යොමු කෙරේ."
