"Invitations","uitnodigingen"
"The invitation code is incorrect. Verify the code and try again.","De uitnodigingscode is onjuist. Controleer de code en probeer het opnieuw."
"A customer ID group is missing. Enter a group and try again.","Een klantgroep-ID ontbreekt. Voer een groep in en probeer het opnieuw."
"The incorrect store is specified. Verify the store and try again.","De verkeerde winkel is opgegeven. Controleer de winkel en probeer het opnieuw."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","Het winkelkrediet dat werd ingevoerd was ongeldig. Winkelkrediet moet kleiner zijn dan het bestelbedrag. Controleer en probeer het opnieuw."
"The encrypted code couldn't be generated.","De gecodeerde code kan niet worden gegenereerd."
"An ID wasn't found for this invitation. Verify the invitation and try again.","Er is geen ID gevonden voor deze uitnodiging. Controleer de uitnodiging en probeer het opnieuw."
"The invitation with the ""%1"" status can't be sent.","De uitnodiging met de ""%1"" status kan niet worden verzonden."
"A valid invitation email is missing. Enter and try again.","Een geldige uitnodigingsmail ontbreekt. Probeer het opnieuw."
"The proper website couldn't be identified","De juiste website kon niet worden geïdentificeerd"
"An email wasn't specified. Enter the email and try again.","Er is geen e-mailadres opgegeven. Voer een e-mailadres in en probeer het opnieuw."
"This invitation is addressed to current customer ""%1"".","Deze uitnodiging is gericht aan huidige klant ""%1""."
