"Invitations","دعوتنامه ها"
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","این دعوتنامه معتبر نیست."
"Please correct the invitation email.","لطفا ایمیل دعوتنامه را اصلاح کنید."
"Invitation for same email address","دعوتنامه برای همان آدرس ایمیل"
"Not Sent","ارسال نشد"
"Sent","ارسال شد"
"Accepted","تأیید شد"
"Discarded","حذف شد"
"Invitation Information","اطلاعات دعوت نامه"
"Send At","ارسال به"
"Invitation Message","پیغام دعوتنامه"
"Email","ايميل"
"Status","وضعيت"
"Website","وب سایت"
"Store View","نمای فروشگاه"
"Signed Up At","ثبت نام در"
"Invitation URL","URL دعوتنامه"
"Link","لینک"
"Invitee Information","اطلاعات مدعو"
"Customer ID","شناسه مشتری"
"Customer Group","گروه مشتری"
"First Name","نام"
"Last Name","نام خانوادگی"
"Sign Up At","ثبت نام در"
"Inviter Information","اطلاعات دعوت کننده"
"Admin","مدير"
"* Required Fields","* زمينه هاي مورد نياز"
"Invite your friends by entering their email addresses","دوستانتان را با وارد کردن آدرس ایمیلشان دعوت کنید"
"Maximum %1 email addresses allowed.","حداکثر %1 آدرس ایمیل مجاز است."
"Add","اضافه کردن"
"Back to Invitations","بازگشت به دعوتنامه ها"
"Remove","برداشتن"
"Enter Email","ایمیل را وارد کنید"
"You cannot send more invitations","شما نمی توانید دعوتنامه های بیشتری ارسال کنید"
"There are no sent invitations.","هیچ دعوتنامه ای ارسال شده ای وجود ندارد."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","لطفا این دعوت را برای پیوستن به %store_name قبول کنید."
"%store_name offers limited time sales of products only to members.","%store_name فروش محدودی از محصولات را فقط برای اعضاء ارائه می دهد."
"Please use the following link to create an account and view the deals:","برای ایجاد یک حساب کاربری و مشاهده پیشنهادات، لطفا از لینک زیر استفاده کنید:"
"Private Sales","فروش خصوصی"
"Invited Customers","مشتریان مدعو"
"Conversion","تبدیل"
"Invitation Section","بخش دعوتنامه"
"Conversions","تبدیل ها"
"Customer Invitation Email Sender","فرستنده ایمیل دعوتنامه مشتری"
"Customer Invitation Email Template","قالب ایمیل دعوتنامه مشتری"
"Enable Invitations Functionality","فعالسازی عملکرد دعوتنامه ها"
"Enable Invitations on Storefront","فعالسازی دعوتنامه در نمای فروشگاه"
"Referred Customer Group","گروه مشتری ارجاع داده شده"
"New Accounts Registration","ثبت حساب های جدید"
"Allow Customers to Add Custom Message to Invitation Email","به مشتریان اجازه بده به ایمیل دعوتنامه، پیغام سفارشی اضافه کنند"
"Customer Invitations","دعوتنامه های مشتری"
"Discard Selected","حذف انتخاب شده"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Send Selected","ارسال انتخاب شده"
"ID","شناسه"
"Invitee","مدعو"
"Registered","ثبت نام شده"
"Valid Website","وب سایت معتبر"
"Name","نام"
"Group","گروه"
"Invitations Sent","دعوتنامه های ارسال شده"
"Invitations Accepted","دعوتنامه های پذیرفته شد"
"Accept Rate","ميزان قبول"
"Discard Rate","میزان نادیده گرفتن"
"Accepted and Purchased","پذیرفته شده و خریداری شده"
"Conversion Rate","نرخ تبدیل"
"Invitation","دعوتنامه"
"The invitation code is incorrect. Verify the code and try again.","The invitation code is incorrect. Verify the code and try again."
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again."
"The incorrect store is specified. Verify the store and try again.","The incorrect store is specified. Verify the store and try again."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again."
"The encrypted code couldn't be generated.","The encrypted code couldn't be generated."
"An ID wasn't found for this invitation. Verify the invitation and try again.","An ID wasn't found for this invitation. Verify the invitation and try again."
"The invitation with the ""%1"" status can't be sent.","The invitation with the ""%1"" status can't be sent."
"A valid invitation email is missing. Enter and try again.","A valid invitation email is missing. Enter and try again."
"The proper website couldn't be identified","The proper website couldn't be identified"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
"This invitation is addressed to current customer ""%1"".","This invitation is addressed to current customer ""%1""."
