"Invitations","Προσκλήσεις"
"Enable Invitations Functionality","Ενεργοποίηση της Λειτουργίας Προσκλήσεων"
"Enable Invitations on Storefront","Ενεργοποίηση Προσκλήσεων σε Βιτρίνα Καταστήματος"
"Referred Customer Group","Αναφερόμενη Ομάδα Πελατών"
"New Accounts Registration","Νέα Εγγραφή Λογαριασμών"
"Allow Customers to Add Custom Message to Invitation Email","Επιτρέψτε στους πελάτες να προσθέσουν προσαρμοσμένο μήνυμα στο Email πρόσκλησης"
"Customer Invitations","Προσκλήσεις του πελάτη"
"Discard Selected","Απόρριψη των επιλεγμένων"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"Send Selected","Αποστολή Επιλεγμένων"
"ID","ID"
"Invitee","Προσκεκλημένος"
"Registered","Εγγεγραμμένοι"
"Valid Website","Έγκυρη ιστοσελίδα"
"Name","Όνομα"
"Group","Ομάδα"
"Invitations Sent","Προσκλήσεις Στάλθηκαν"
"Invitations Accepted","Προσκλήσεις Αποδέχτηκαν"
"Accept Rate","Αποδοχή Ποσοστού"
"Discard Rate","Απόρριψη Ποσοστού"
"Accepted and Purchased","Αποδεκτά και Αγορασμένα"
"Conversion Rate","Ισοτιμία"
"Invitation","Πρόσκληση"
"The invitation code is incorrect. Verify the code and try again.","The invitation code is incorrect. Verify the code and try again."
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again."
"The incorrect store is specified. Verify the store and try again.","The incorrect store is specified. Verify the store and try again."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again."
"The encrypted code couldn't be generated.","The encrypted code couldn't be generated."
"An ID wasn't found for this invitation. Verify the invitation and try again.","An ID wasn't found for this invitation. Verify the invitation and try again."
"The invitation with the ""%1"" status can't be sent.","The invitation with the ""%1"" status can't be sent."
"A valid invitation email is missing. Enter and try again.","A valid invitation email is missing. Enter and try again."
"The proper website couldn't be identified","The proper website couldn't be identified"
"An email wasn't specified. Enter the email and try again.","Το email δεν καθορίστηκε. Εισάγετε το email και δοκιμάστε ξανά."
"This invitation is addressed to current customer ""%1"".","Αυτή η πρόσκληση απευθύνεται σε τρέχοντα πελάτη ""%1""."
