"Invitations","Inviti"
"Page not found.","Pagina non trovata."
"My Invitations","I miei inviti"
"Invalid Form Key. Please refresh the page.","Chiave form non valida. Si prega di aggiornare la pagina."
"You sent the invitation for %1.","Hai inviato l'invito per %1."
"Something went wrong while sending an email to %1.","Qualcosa è andato storto durante l'invio di una email a %1."
"We did not send %1 invitation(s) addressed to current customers.","Non abbiamo inviato %1 indirizzi inviti ai clienti attuali."
"Send Invitations","Inviare inviti"
"Max Invitations Allowed to be Sent at One Time","Gli inviti massimi permessi possono essere inviati una sola volta"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Correggi il valore del parametro ""%1"", altrimenti verrà utilizzato il valore salvato."
"Same as Inviter","Come l'invitante"
"Default Customer Group from System Configuration","Gruppo cliente predefinito dalla configurazione di sistema"
"By Invitation Only","Solo su invito"
"Available to All","Disponibile a tutti"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status ""%1"".","You can't send an invitation with status ""%1""."
"Please enter a valid invitation email.","Please enter a valid invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","Questo invito non è valido."
"Please correct the invitation email.","Correggi l'email di invito."
"Invitation for same email address","Inviti per stesso indirizzo email"
"Not Sent","Non Inviato"
"Sent","Inviato"
"Accepted","Accettato"
"Discarded","Scartato"
"Invitation Information","Informazioni invito"
"Send At","Invia a"
"Invitation Message","Messaggio di invito"
"Email","Email"
"Status","Stato"
"Website","Sito Web"
"Store View","Vista Negozio"
"Signed Up At","Iscritto a"
"Invitation URL","URL di invito"
"Link","Link"
"Invitee Information","Informazioni invitato"
"Customer ID","ID cliente"
"Customer Group","Gruppo Cliente"
"First Name","Nome"
"Last Name","Cognome"
"Sign Up At","Registrati su"
"Inviter Information","Informazioni dell'invitante"
"Admin","Amministratore"
"* Required Fields","* Campi obbligatori"
"Invite your friends by entering their email addresses","Invita i tuoi amici inserendo i loro indirizzi email"
"Maximum %1 email addresses allowed.","%1 indirizzi email massimi consentiti."
"Add","Aggiungi"
"Back to Invitations","Torna a inviti"
"Remove","Elimina"
"Enter Email","Inserisci email"
"You cannot send more invitations","Non è possibile inviare ulteriori inviti"
"There are no sent invitations.","Non ci sono inviti inviati."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","Accetta questo invito ad entrare su %store_name."
"%store_name offers limited time sales of products only to members.","%store_name offre vendite di prodotti a tempo limitato solo ai membri."
"Please use the following link to create an account and view the deals:","Utilizza il seguente link per creare un account e visualizzare le offerte:"
"Private Sales","Vendite private"
"Invited Customers","Utenti invitati"
"Conversion","Conversione"
"Invitation Section","Sezione di invito"
"Conversions","Conversazioni"
"Customer Invitation Email Sender","Mittente email invito cliente"
"Customer Invitation Email Template","Template email invito cliente"
"Enable Invitations Functionality","Abilita funzionalità di inviti"
"Enable Invitations on Storefront","Abilita inviti nel frontend"
"Referred Customer Group","Gruppo cliente riferito"
"New Accounts Registration","Registrazione nuovo account"
"Allow Customers to Add Custom Message to Invitation Email","Permetti ai clienti di aggiungere un messaggio personalizzato all'email di invito"
"Customer Invitations","Inviti del cliente"
"Discard Selected","Rifiuta selezionato"
"Are you sure you want to do this?","Sicuro di volerlo fare?"
"Send Selected","Invia selezionato"
"ID","ID"
"Invitee","Invitato"
"Registered","Registrato"
"Valid Website","Website valido"
"Name","Nome"
"Group","Gruppo"
"Invitations Sent","Inviti inviati"
"Invitations Accepted","Inviti accettati"
"Accept Rate","Accetta il tasso"
"Discard Rate","Rifiuta tasso"
"Accepted and Purchased","Accettato e acquistato"
"Conversion Rate","Tasso di conversione"
"Invitation","Invito"
"The invitation code is incorrect. Verify the code and try again.","The invitation code is incorrect. Verify the code and try again."
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again."
"The incorrect store is specified. Verify the store and try again.","The incorrect store is specified. Verify the store and try again."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again."
"The encrypted code couldn't be generated.","The encrypted code couldn't be generated."
"An ID wasn't found for this invitation. Verify the invitation and try again.","An ID wasn't found for this invitation. Verify the invitation and try again."
"The invitation with the ""%1"" status can't be sent.","The invitation with the ""%1"" status can't be sent."
"A valid invitation email is missing. Enter and try again.","A valid invitation email is missing. Enter and try again."
"The proper website couldn't be identified","The proper website couldn't be identified"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
"This invitation is addressed to current customer ""%1"".","This invitation is addressed to current customer ""%1""."
