"Invitations","Invitaciones"
"Customer Invitation Email Sender","Remitente de email de invitación de cliente"
"Customer Invitation Email Template","Plantilla de email de invitación al cliente"
"Enable Invitations Functionality","Habilitar la funcionalidad de invitaciones"
"Enable Invitations on Storefront","Permitir invitaciones en el Frontend"
"Referred Customer Group","Grupo de clientes referidos"
"New Accounts Registration","Registro de nuevas cuentas"
"Allow Customers to Add Custom Message to Invitation Email","Permiten a los clientes añadir mensaje personalizado a la invitación por correo electrónico"
"Customer Invitations","Invitaciones de cliente"
"Discard Selected","Descartar Seleccionadas"
"Are you sure you want to do this?","¿Seguro que quieres hacer esto?"
"Send Selected","Enviar seleccionado"
"ID","ID"
"Invitee","Invitado"
"Registered","Registrado"
"Valid Website","Sitio web válido"
"Name","Nombre"
"Group","Grupo"
"Invitations Sent","Invitaciones enviadas"
"Invitations Accepted","Invitaciones aceptadas"
"Accept Rate","Tasa de Aceptación"
"Discard Rate","Tasa de descarte"
"Accepted and Purchased","Aceptado y Comprado"
"Conversion Rate","Tasa de conversión"
"Invitation","Invitación"
"The invitation code is incorrect. Verify the code and try again.","The invitation code is incorrect. Verify the code and try again."
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again."
"The incorrect store is specified. Verify the store and try again.","The incorrect store is specified. Verify the store and try again."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again."
"The encrypted code couldn't be generated.","The encrypted code couldn't be generated."
"An ID wasn't found for this invitation. Verify the invitation and try again.","An ID wasn't found for this invitation. Verify the invitation and try again."
"The invitation with the ""%1"" status can't be sent.","The invitation with the ""%1"" status can't be sent."
"A valid invitation email is missing. Enter and try again.","A valid invitation email is missing. Enter and try again."
"The proper website couldn't be identified","The proper website couldn't be identified"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
"This invitation is addressed to current customer ""%1"".","This invitation is addressed to current customer ""%1""."
