"Invitations","Tekst zaproszenia do skomentowania"
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","To zaproszenie nie jest poprawne."
"Please correct the invitation email.","Proszę poprawić email zaproszenia."
"Invitation for same email address","Zaproszenie dla tego samego adresu e-mail"
"Not Sent","Nie wysłane"
"Sent","Wysłano"
"Accepted","Akceptowane"
"Discarded","Odrzucone"
"Invitation Information","Informacje o zaproszeniu"
"Send At","Wyślij na"
"Invitation Message","Wiadomość z zaproszeniem"
"Email","E-mail"
"Status","Stan"
"Website","Witryna"
"Store View","Widok sklepu"
"Signed Up At","Zarejestrowałem się w"
"Invitation URL","Adres URL zaproszenia"
"Link","Odnośnik"
"Invitee Information","Informacje zaproszenia"
"Customer ID","ID klienta"
"Customer Group","Grupa klienta"
"First Name","Imię"
"Last Name","Nazwisko"
"Sign Up At","Zarejestruj się w"
"Inviter Information","Informacje zaproszenia"
"Admin","Administrator"
"* Required Fields","* pola wymagane"
"Invite your friends by entering their email addresses","Zaproś znajomych poprzez wprowadzanie ich adresów e-mail"
"Maximum %1 email addresses allowed.","Dopuszczalne maksymalnie %1 adresów e-mail."
"Add","Dodaj"
"Back to Invitations","Wróć do zaproszenia"
"Remove","Usuń"
"Enter Email","Wprowadź adres E-mail"
"You cannot send more invitations","Nie można wysłać więcej zaproszeń"
"There are no sent invitations.","Brak wysłanych zaproszeń."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","Proszę przyjąć to zaproszenie by dołączyć do %store_name."
"%store_name offers limited time sales of products only to members.","%store_name oferuje ograniczony czas sprzedaży produktów tylko dla członków."
"Please use the following link to create an account and view the deals:","Użyj następującego linku, aby utworzyć konto i zobacz oferty:"
"Private Sales","Sprzedaż prywatna"
"Invited Customers","Zaproszeni Klienci"
"Conversion","Dyskusja"
"Invitation Section","Sekcja Zaproszenia"
"Conversions","Dyskusje"
"Customer Invitation Email Sender","Nadawca E-mail Zaproszenia Klienta"
"Customer Invitation Email Template","Szablon E-mail Zaproszenia Klienta"
"Enable Invitations Functionality","Włącz funkcję zaproszeń"
"Enable Invitations on Storefront","Włącz zaproszenia w Witrynie sklepowej"
"Referred Customer Group","Określonie grupy klientów"
"New Accounts Registration","Rejestracja nowego konta"
"Allow Customers to Add Custom Message to Invitation Email","Klienci mogli dodać niestandardowe wiadomości e-mail"
"Customer Invitations","Zaproszenia klienta"
"Discard Selected","Odrzuć wybrane"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Send Selected","Wyślij wybrane"
"ID","Identyfikator"
"Invitee","Zaproszony"
"Registered","Zarejestrowany"
"Valid Website","Ważne strony internetowej"
"Name","Nazwa"
"Group","Grupa"
"Invitations Sent","Zaproszenie zostało wysłane"
"Invitations Accepted","Akceptacja zaproszeń"
"Accept Rate","Zaakceptuj stawki"
"Discard Rate","Odrzuć stawki"
"Accepted and Purchased","Zaakceptowane i zakupione"
"Conversion Rate","Współczynnik konwersji"
"Invitation","Zaproszenie"
"The invitation code is incorrect. Verify the code and try again.","The invitation code is incorrect. Verify the code and try again."
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again."
"The incorrect store is specified. Verify the store and try again.","The incorrect store is specified. Verify the store and try again."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again."
"The encrypted code couldn't be generated.","The encrypted code couldn't be generated."
"An ID wasn't found for this invitation. Verify the invitation and try again.","An ID wasn't found for this invitation. Verify the invitation and try again."
"The invitation with the ""%1"" status can't be sent.","The invitation with the ""%1"" status can't be sent."
"A valid invitation email is missing. Enter and try again.","A valid invitation email is missing. Enter and try again."
"The proper website couldn't be identified","The proper website couldn't be identified"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
"This invitation is addressed to current customer ""%1"".","This invitation is addressed to current customer ""%1""."
