"Invitations","Kundennummer"
"Signed Up At","Angemeldet am"
"Invitation URL","Einladungs URL"
"Link","Link"
"Invitee Information","Information Eingeladener"
"Customer ID","Kunden-ID"
"Customer Group","Kundengruppe"
"First Name","Vorname"
"Last Name","Nachname"
"Sign Up At","Anmelden bei"
"Inviter Information","Information Einladender"
"Admin","Administrator"
"* Required Fields","* Pflichtfelder"
"Invite your friends by entering their email addresses","Laden Sie Ihre Freunde ein, indem Sie ihre E-Mail-Adressen eingeben"
"Maximum %1 email addresses allowed.","Maximal %1 E-Mail-Adressen erlaubt."
"Add","Hinzufügen"
"Back to Invitations","Zurück zu Einladungen"
"Remove","Entfernen"
"Enter Email","E-Mail eingeben"
"You cannot send more invitations","Sie können keine weiteren Einladungen senden"
"There are no sent invitations.","Es gibt keine gesendeten Einladungen."
"%inviter_name invites you to join Private Sales Site","%inviter_name läd Sie zur privaten Verkaufsseite ein"
"Invite to join Private Sales Site","Einladung zur privaten Verkaufs-Seite"
"Please accept this invitation to join %store_name.","Bitte akzeptieren Sie die Einladung, um %store_name beizutreten."
"%store_name offers limited time sales of products only to members.","%store_name bietet einen zeitlich begrenzten Ausverkauf für seine Kunden an"
"Please use the following link to create an account and view the deals:","Bitte verwenden Sie den folgenden Link, um ein Konto zu erstellen und die Deals zu sehen:"
"Private Sales","Private Verkäufe"
"Invited Customers","Eingeladene Kunden"
"Conversion","Konversion"
"Invitation Section","Einladungsbereich"
"Conversions","Konversionen"
"Customer Invitation Email Sender","Absender für Kundeneinladungs-E-Mail"
"Customer Invitation Email Template","Vorlage für Kundeneinladungs-E-Mail"
"Enable Invitations Functionality","Einladungsfunktionalität aktivieren"
"Enable Invitations on Storefront","Einladungen im Frontend aktivieren"
"Referred Customer Group","Referenzierte Kundengruppe"
"New Accounts Registration","Registrierung neuer Konten"
"Allow Customers to Add Custom Message to Invitation Email","Kunden erlauben, eine benutzerdefinierte Nachricht zur Einladungs-Mail hinzuzufügen"
"Customer Invitations","Kundeneinladungen"
"Discard Selected","Ausgewählte verwerfen"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Send Selected","Ausgewähltes senden"
"ID","Id"
"Invitee","Eingeladener"
"Registered","Registriert"
"Valid Website","Gültige Website"
"Name","Name"
"Group","Gruppe"
"Invitations Sent","Gesendete Einladungen"
"Invitations Accepted","Akzeptierte Einladungen"
"Accept Rate","Akzeptiert-Rate"
"Discard Rate","Verworfen-Rate"
"Accepted and Purchased","Akzeptiert und gekauft"
"Conversion Rate","Umrechnungskurs"
"Invitation","Einladung"
"The invitation code is incorrect. Verify the code and try again.","Der Einladungs-Code ist ungültig. Bitte überprüfen Sie den Code und versuchen Sie es erneut."
"A customer ID group is missing. Enter a group and try again.","Eine Kunden-ID Gruppe fehlt. Geben Sie eine Gruppe an und versuchen Sie es erneut."
"The incorrect store is specified. Verify the store and try again.","Der falsche Store wurde angegeben. Überprüfen Sie den Store und versuchen Sie es erneut."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","Das eingegebene Shop-Guthaben war ungültig. Das Shop-Guthaben muss kleiner sein als der Bestellbetrag. Überprüfen Sie dies und versuchen Sie es erneut."
"The encrypted code couldn't be generated.","Der entschlüsselte Code konnte nicht generiert werden."
"An ID wasn't found for this invitation. Verify the invitation and try again.","Es wurde keine ID für diese Einladung gefunden. Überprüfen Sie die Einladung und versuchen es erneut."
"The invitation with the ""%1"" status can't be sent.","Die Einladung mit dem Status ""%1"" kann nicht gesendet werden."
"A valid invitation email is missing. Enter and try again.","Es fehlt eine gültige Einladungsemail. Bitte eingeben und erneut versuchen."
"The proper website couldn't be identified","Die korrekte Website konnte nicht identifiziert werden."
"An email wasn't specified. Enter the email and try again.","Es wurde keine E-Mail-Adresse angegeben. Geben Sie die E-Mail-Adresse ein und versuchen Sie es erneut."
"This invitation is addressed to current customer ""%1"".","Diese Einladung ist an den aktuellen Kunden ""%1"" adressiert."
