"Banners","Bannere"
"Displays Specified or Promotion Dynamic Blocks","Afişează blocuri dinamice specificate sau de promovare"
"Dynamic Blocks to Display","Blocuri dinamice de afişat"
"Specified Dynamic Blocks","Blocuri dinamice specificate"
"Restrict by Dynamic Block Types","Restricționează de tipurile de bloc dinamic"
"Specify Dynamic Blocks","Specifică blocuri dinamice"
"Dynamic Block Template","Sablon bloc dinamic"
"Dynamic Block Inline Template","Sablon inline bloc dinamic"
"Name","Nume"
"Status Label","Etichetă status"
"General Information","Informații generale"
"Back","Înapoi"
"Enable Dynamic Block","Activează blocul dinamic"
"Use Default Value","Folosiți valoarea implicită"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Regulile prețului coșului vă permit să configurați promoții pentru produsele care se află în coșul de cumpărături."
"Add Cart Price Rules","Adaugă Reguli Preț Coș"
"Related Catalog Price Rule","Legate de regula prețului catalogului"
"Catalog price rules allows you to setup promotions for an items in catalog.","Regulile prețului catalogului vă permit să configurați promoții pentru un articol din catalog."
"Cancel","Anulați"
"Add Selected","Adaugă cele selectate"
"Remove","Eliminați"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Asiguraţi-vă că rotatorul de blocuri dinamice nu face referire la blocul dinamic în sine."
"Cart Price Rule Related","Regulă de preț coș asociată coșului"
"Catalog Price Rule Related","Reguli Pret Catalog Relationate"
