"Sign Out","സൈന്‍ ഔട്ട്‌"
"You saved the account information.","നിങ്ങൾ അക്കൗണ്ട് വിവരങ്ങൾ സേവ് ചെയ്തു."
"You did not sign in correctly or your account is temporarily disabled.","നിങ്ങൾ ശരിയായി പ്രവേശിച്ചിട്ടില്ല അല്ലെങ്കിൽ നിങ്ങളുടെ അക്കൗണ്ട് താൽക്കാലികമായി പ്രവർത്തനരഹിതമാക്കി."
"Password confirmation doesn't match entered password.","പാസ്‌വേഡ് സ്ഥിരീകരണം നൽകിയ പാസ്‌വേഡുമായി പൊരുത്തപ്പെടുന്നില്ല."
"The password doesn't match this account.","പാസ്‌വേഡ് ഈ അക്കൗണ്ടുമായി പൊരുത്തപ്പെടുന്നില്ല."
"Please correct the email address.","ഇമെയിൽ വിലാസം ശരിയാക്കുക."
"We're unable to send the password reset email.","പാസ്‌വേഡ് പുന സജ്ജമാക്കൽ ഇമെയിൽ അയയ്ക്കാൻ ഞങ്ങൾക്ക് കഴിയില്ല."
"Please enter your email.","നിങ്ങളുടെ ഇമെയിൽ നൽകുക."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","%1 മായി ബന്ധപ്പെട്ട ഒരു അക്കൗണ്ട് ഉണ്ടെങ്കിൽ, നിങ്ങളുടെ പാസ്‌വേഡ് പുന സജ്ജമാക്കുന്നതിന് ഒരു ലിങ്കുള്ള ഒരു ഇമെയിൽ നിങ്ങൾക്ക് ലഭിക്കും."
"My Account","എന്റെ അക്കൗണ്ട്"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","ഈ അക്കൗണ്ട് സ്ഥിരീകരിച്ചിട്ടില്ല. സ്ഥിരീകരണ ഇമെയിൽ വീണ്ടും അയയ്‌ക്കാൻ <a href=""%1""> ഇവിടെ ക്ലിക്കുചെയ്യുക</a>."
"An unspecified error occurred. Please contact us for assistance.","വ്യക്തമാക്കാത്ത ഒരു പിശക് സംഭവിച്ചു. സഹായത്തിനായി ഞങ്ങളെ ബന്ധപ്പെടുക."
"A login and a password are required.","ഒരു ലോഗിൻ, പാസ്‌വേഡ് എന്നിവ ആവശ്യമാണ്."
"New Password and Confirm New Password values didn't match.","പുതിയ പാസ്‌വേഡും സ്ഥിരീകരിക്കുക പുതിയ പാസ്‌വേഡ് മൂല്യങ്ങളും പൊരുത്തപ്പെടുന്നില്ല."
"Please enter a new password.","ഒരു പുതിയ പാസ്‌വേഡ് നൽകുക."
"You updated your password.","നിങ്ങളുടെ പാസ്‌വേഡ് അപ്‌ഡേറ്റുചെയ്‌തു."
"Something went wrong while saving the new password.","പുതിയ പാസ്വേഡ് സേവ് ചെയ്യുമ്പോൾ എന്തോ കുഴപ്പം സംഭവിച്ചു."
"You deleted the address.","നിങ്ങൾ വിലാസം ഇല്ലാതാക്കി."
"We can't delete the address right now.","ഞങ്ങൾക്ക് ഇപ്പോൾ വിലാസം ഇല്ലാതാക്കാൻ കഴിയില്ല."
"You saved the address.","നിങ്ങൾ അഡ്രസ് സേവ് ചെയ്തു."
"We can't save the address.","ഞങ്ങൾക്ക് ഈ അഡ്രസ് സേവ് ചെയ്യാൻ കഴിയില്ല."
"No customer ID defined.","ഉപഭോക്തൃ ഐഡിയൊന്നും നിർവചിച്ചിട്ടില്ല."
"Please correct the quote items and try again.","കോട്ട് ഐറ്റംസ് ശരിയാക്കി വീണ്ടും ശ്രമിക്കുക."
"You have revoked the customer's tokens.","നിങ്ങൾ ഉപഭോക്താവിന്റെ ടോക്കണുകൾ അസാധുവാക്കി."
"We can't find a customer to revoke.","അസാധുവാക്കാൻ ഞങ്ങൾക്ക് ഒരു ഉപഭോക്താവിനെ കണ്ടെത്താൻ കഴിയില്ല."
"Something went wrong while saving file.","ഫയൽ സേവ് ചെയ്യുമ്പോൾ എന്തോ കുഴപ്പം സംഭവിച്ചു."
"You deleted the customer group.","നിങ്ങൾ ഉപഭോക്തൃ ഗ്രൂപ്പ് ഇല്ലാതാക്കി."
"The customer group no longer exists.","ഉപഭോക്തൃ ഗ്രൂപ്പ് നിലവിലില്ല."
"Customers","ഉപഭോക്താക്കൾ"
"New Group","പുതിയ ഗ്രൂപ്പ്"
"New Customer Groups","പുതിയ ഉപഭോക്തൃ ഗ്രൂപ്പുകൾ"
"Edit Group","ഗ്രൂപ്പ് എഡിറ്റുചെയ്യുക"
"Edit Customer Groups","ഉപഭോക്തൃ ഗ്രൂപ്പുകൾ എഡിറ്റുചെയ്യുക"
"You saved the customer group.","നിങ്ങൾ ഉപഭോക്തൃ ഗ്രൂപ്പ് സേവ് ചെയ്തു."
"Please select customer(s).","ഉപഭോക്താവിനെ(കൾ) തിരഞ്ഞെടുക്കുക."
"Customer could not be deleted.","ഉപഭോക്താവിനെ ഇല്ലാതാക്കാൻ കഴിഞ്ഞില്ല."
"You deleted the customer.","നിങ്ങൾ ഉപഭോക്താവിനെ ഇല്ലാതാക്കി."
"Something went wrong while editing the customer.","ഉപഭോക്താവിനെ എഡിറ്റുചെയ്യുമ്പോൾ എന്തോ തെറ്റായി സംഭവിച്ചു."
"Manage Customers","ഉപഭോക്താക്കളെ നിയന്ത്രിക്കുക"
"Please correct the data sent.","Please correct the data sent."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"The customer will receive an email with a link to reset password.","The customer will receive an email with a link to reset password."
"Something went wrong while resetting customer password.","Something went wrong while resetting customer password."
"You saved the customer.","You saved the customer."
"Something went wrong while saving the customer.","Something went wrong while saving the customer."
"Page not found.","Page not found."
"Customer has been unlocked successfully.","Customer has been unlocked successfully."
"Online Customers","Online Customers"
"Customers Now Online","Customers Now Online"
"Please define Wish List item ID.","Please define Wish List item ID."
"Please load Wish List item.","Please load Wish List item."
"Login successful.","Login successful."
"Invalid login or password.","Invalid login or password."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","The account is locked."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Please enter a password with at most %1 characters."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","This customer already exists in this store."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Reset password token expired."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" is a required value."
"Global","Global"
"Per Website","Per Website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We can't share customer accounts globally when the accounts share identical email addresses on more than one website."
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"-- Please Select --","-- Please Select --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Admin"
"ALL GROUPS","ALL GROUPS"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","No such entity with %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Unable to create directory %1.","Unable to create directory %1."
"Destination folder is not writable or does not exists.","Destination folder is not writable or does not exists."
"Something went wrong while saving the file.","ഫയൽ സേവ് ചെയ്യുമ്പോൾ എന്തോ കുഴപ്പം സംഭവിച്ചു."
"Attribute object is undefined","ആട്രിബ്യൂട്ട് ഒബ്‌ജക്റ്റ് നിർവചിക്കപ്പെട്ടിട്ടില്ല"
"""%1"" invalid type entered.","""%1"" അസാധുവായ തരം നൽകി."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" ൽ അക്ഷരമാല അല്ലെങ്കിൽ അക്കങ്ങളല്ലാത്ത പ്രതീകങ്ങൾ അടങ്ങിയിരിക്കുന്നു."
"""%1"" is an empty string.","""%1"" ഒരു ശൂന്യമായ സ്‌ട്രിംഗാണ്."
"""%1"" contains non-numeric characters.","""%1"" ൽ അക്കങ്ങളല്ലാത്ത പ്രതീകങ്ങൾ അടങ്ങിയിരിക്കുന്നു."
"""%1"" contains non-alphabetic characters.","""%1"" ൽ അക്ഷരമാലയില്ലാത്ത പ്രതീകങ്ങൾ അടങ്ങിയിരിക്കുന്നു."
"""%1"" is not a valid email address.","""%1""സാധുവായ ഒരു ഈ-മെയിൽ വിലാസം അല്ല."
"""%1"" is not a valid hostname.","""%1"" സാധുവായ ഹോസ്റ്റ്നാമമല്ല."
"""%1"" uses too many characters.","""%1"" വളരെയധികം പ്രതീകങ്ങൾ ഉപയോഗിക്കുന്നു."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' ഒരു ഐപി വിലാസം പോലെ കാണപ്പെടുന്നു, അത് സ്വീകാര്യമായ ഫോർമാറ്റ് അല്ല."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","%value%'ഒരു ഡി‌എൻ‌എസ് ഹോസ്റ്റ്നാമം പോലെ കാണപ്പെടുന്നു, പക്ഷേ അസാധുവായ സ്ഥാനത്ത് ഒരു ഡാഷ് അടങ്ങിയിരിക്കുന്നു."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' ഒരു DNS ഹോസ്റ്റ്നാമം പോലെ കാണപ്പെടുന്നു, പക്ഷേ TLD '%tld%' എന്നതിനായുള്ള ഹോസ്റ്റ്നാമ സ്കീമയുമായി ഞങ്ങൾക്ക് ഇത് പൊരുത്തപ്പെടുത്താൻ കഴിയില്ല."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' ഒരു ഡി‌എൻ‌എസ് ഹോസ്റ്റ്നാമം പോലെ കാണപ്പെടുന്നു, പക്ഷേ ടി‌എൽ‌ഡി ഭാഗം എക്‌സ്‌ട്രാക്റ്റുചെയ്യാൻ കഴിയില്ല."
"'%value%' does not look like a valid local network name.","'%value%' സാധുവായ ഒരു പ്രാദേശിക നെറ്റ്‌വർക്ക് നാമമായി തോന്നുന്നില്ല."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' ഒരു പ്രാദേശിക നെറ്റ്‌വർക്ക് പേര് പോലെ കാണപ്പെടുന്നു, അത് സ്വീകാര്യമായ ഫോർമാറ്റല്ല."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' ഒരു ഡി‌എൻ‌എസ് ഹോസ്റ്റ്നാമമാണെന്ന് തോന്നുന്നു, പക്ഷേ തന്നിരിക്കുന്ന പ്യൂണിക്കോഡ് നൊട്ടേഷൻ ഡീകോഡ് ചെയ്യാൻ കഴിയില്ല."
"""%1"" is not a valid URL.","""%1""സാധുവായ ഒരു URL അല്ല."
"""%1"" is not a valid date.","""%1"" സാധുവായ തീയതിയല്ല."
"""%1"" does not fit the entered date format.","നൽകിയ തീയതി ഫോർമാറ്റിന് ""%1"" അനുയോജ്യമല്ല."
"Please enter a valid date between %1 and %2 at %3.","%3 ന്%1 നും%2 നും ഇടയിൽ സാധുവായ തീയതി നൽകുക."
"Please enter a valid date equal to or greater than %1 at %2.","%2 ന്%1 ന് തുല്യമോ വലുതോ ആയ സാധുവായ തീയതി നൽകുക."
"Please enter a valid date less than or equal to %1 at %2.","%2 ൽ %1 ന് കുറവോ തുല്യമോ ആയ സാധുവായ തീയതി നൽകുക."
"""%1"" is not a valid file extension.","""%1"" സാധുവായ ഫയൽ എക്സ്റ്റൻഷൻ അല്ല."
"""%1"" is not a valid file.","""%1"" സാധുവായ ഫയലല്ല."
"""%1"" exceeds the allowed file size.","""%1"" അനുവദനീയമായ ഫയൽ വലുപ്പത്തെ കവിയുന്നു."
"""%1"" is not a valid image format.","""%1"" ഒരു സാധുവായ ഇമേജ് ഫോർമാറ്റ് അല്ല."
"""%1"" width exceeds allowed value of %2 px.","""%1"" വീതി അനുവദനീയമായ %2 px കവിയുന്നു."
"""%1"" height exceeds allowed value of %2 px.","""%1"" ഉയരം അനുവദനീയമായ %2 px കവിയുന്നു."
"""%1"" length must be equal or greater than %2 characters.","""%1"" നീളം %2 പ്രതീകങ്ങളേക്കാൾ തുല്യമോ വലുതോ ആയിരിക്കണം."
"""%1"" length must be equal or less than %2 characters.","""%1"" നീളം തുല്യമോ %2 പ്രതീകങ്ങളിൽ കുറവോ ആയിരിക്കണം."
"label","ലേബല്‍"
"Please enter a customer email.","ഒരു ഉപഭോക്തൃ ഇമെയിൽ നൽകുക."
"A customer website ID must be specified when using the website scope.","വെബ്‌സൈറ്റ് സ്കോപ്പ് ഉപയോഗിക്കുമ്പോൾ ഒരു ഉപഭോക്തൃ വെബ്‌സൈറ്റ് ഐഡി വ്യക്തമാക്കണം."
"Customer Group","ഉപഭോക്തൃ ഗ്രൂപ്പ്"
"You can't delete group ""%1"".","നിങ്ങൾക്ക് ""%1"" ഗ്രൂപ്പ് ഇല്ലാതാക്കാൻ കഴിയില്ല."
"Customer Group already exists.","ഉപഭോക്തൃ ഗ്രൂപ്പ് ഇതിനകം നിലവിലുണ്ട്."
"Cannot delete group.","ഗ്രൂപ്പ് ഇല്ലാതാക്കാൻ കഴിയില്ല."
"Error during VAT Number verification.","വാറ്റ് നമ്പർ സ്ഥിരീകരണ സമയത്ത് പിശക്."
"PHP SOAP extension is required.","PHP SOAP വിപുലീകരണം ആവശ്യമാണ്."
"VAT Number is valid.","വാറ്റ് നമ്പർ സാധുവാണ്."
"Please enter a valid VAT number.","സാധുവായ വാറ്റ് നമ്പർ നൽകുക."
"Your VAT ID was successfully validated.","നിങ്ങളുടെ വാറ്റ് ഐഡി വിജയകരമായി സാധൂകരിച്ചു."
"You will be charged tax.","നിങ്ങളിൽ നിന്ന് നികുതി ഈടാക്കും."
"You will not be charged tax.","നിങ്ങളിൽ നിന്ന് നികുതി ഈടാക്കില്ല."
"The VAT ID entered (%1) is not a valid VAT ID.","നൽകിയ വാറ്റ് ഐഡി (%1) സാധുവായ വാറ്റ് ഐഡിയല്ല."
"Your Tax ID cannot be validated.","നിങ്ങളുടെ ടാക്സ് ഐഡി സാധൂകരിക്കാൻ കഴിയില്ല."
"If you believe this is an error, please contact us at %1","ഇതൊരു പിശകാണെന്ന് നിങ്ങൾ വിശ്വസിക്കുന്നുവെങ്കിൽ, ഞങ്ങളെ %1 ൽ ബന്ധപ്പെടുക"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue ഉള്ള അത്തരം എന്റിറ്റികളൊന്നുമില്ല"
"Male","പുരുഷന്‍"
"Female","Female"
"Not Specified","Not Specified"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Exception message"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","some error"
"frontend_label","frontend_label"
"NOT LOGGED IN","NOT LOGGED IN"
"Please enter the state/province.","Please enter the state/province."
"region is a required field.","region is a required field."
"regionId is a required field.","regionId is a required field."
"Label","Label"
"Select...","Select..."
"Edit","Edit"
"Visitor","Visitor"
"Customer","Customer"
"No item specified.","No item specified."
"Are you sure you want to remove this item?","Are you sure you want to remove this item?"
"Personal Information","Personal Information"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Account Lock:","Account Lock:"
"Confirmed email:","Confirmed email:"
"Account Created:","Account Created:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Default Billing Address","Default Billing Address"
"Sales Statistics","Sales Statistics"
"Web Site","Web Site"
"Store","Store"
"Store View","Store View"
"Lifetime Sales","Lifetime Sales"
"Average Sale","Average Sale"
"All Store Views","All Store Views"
"Change","Change"
"Manage Addresses","Manage Addresses"
"Default Shipping Address","Default Shipping Address"
"Contact Information","Contact Information"
"Change Password","Change Password"
"Newsletters","Newsletters"
"You are subscribed to ""General Subscription"".","You are subscribed to ""General Subscription""."
"or","or"
"Default Addresses","Default Addresses"
"Change Billing Address","Change Billing Address"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"Change Shipping Address","Change Shipping Address"
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"Additional Address Entries","Additional Address Entries"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","You have no other address entries in your address book."
"* Required Fields","* Required Fields"
"Address","Address"
"Street Address","Street Address"
"Street Address %1","Street Address %1"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default shipping address."
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Save Address"
"Go back","Go back"
"Please enter your email below and we will send you the confirmation link.","Please enter your email below and we will send you the confirmation link."
"Email","Email"
"Send confirmation link","Send confirmation link"
"Back to Sign In","Back to Sign In"
"Change Email","Change Email"
"Change Email and Password","Change Email and Password"
"Current Password","Current Password"
"New Password","New Password"
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm New Password","Confirm New Password"
"Save","Save"
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
"Reset My Password","Reset My Password"
"Registered Customers","Registered Customers"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
"Password","Password"
"Forgot Your Password?","Forgot Your Password?"
"Subscription option","Subscription option"
"General Subscription","General Subscription"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Address Information","Address Information"
"Sign-in Information","Sign-in Information"
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
"Set a New Password","Set a New Password"
"You have signed out and will go to our homepage in 5 seconds.","You have signed out and will go to our homepage in 5 seconds."
"New Customers","New Customers"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creating an account has many benefits: check out faster, keep more than one address, track orders and more."
"Company","Company"
"Fax","Fax"
"Gender","Gender"
