"Sign Out","Logg ut"
"""%1"" contains non-alphabetic characters.","""%1"" inneholder ikke-alfabetiske tegn."
"""%1"" is not a valid email address.","""%1"" er ikke en gyldig e-postadresse."
"""%1"" is not a valid hostname.","""%1"" er ikke et gyldig hostnavn."
"""%1"" uses too many characters.","""%1"" bruker for mange tegn."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' ser ut som en IP-adresse, som ikke er et akseptabelt format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' set ut som et DNS hostnavn, men inneholder en bindestrek i en ugyldig posisjon."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' ser ut som et DNS hostnavn, men vi klarer ikke matche den mot hostnavn skjema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' ser ut som et DNS hostnavn, men klarer ikke hente ut TLD delen."
"'%value%' does not look like a valid local network name.","'%value%' ser ikke ut til å være et gyldig lokalt nettverksnavn."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' ser ut som et lokalt nettverksnavn, som ikke er et akseptabelt format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' ser ut til å være et DNS hostnavn, men gitt punycode notasjon ikke kan dekodes."
"""%1"" is not a valid URL.","""%1"" er ikke en gyldig URL-adresse."
"""%1"" is not a valid date.","""%1"" er ikke en gyldig dato."
"""%1"" does not fit the entered date format.","""%1"" passer ikke det angitte datoformatet."
"Please enter a valid date between %1 and %2 at %3.","Angi en gyldig dato mellom %1 og %2 til %3."
"Please enter a valid date equal to or greater than %1 at %2.","Angi en gyldig dato lik eller større enn %1 til %2."
"Please enter a valid date less than or equal to %1 at %2.","Angi en gyldig dato mindre enn eller lik %1 til %2."
"""%1"" is not a valid file extension.","""%1"" er ikke en gyldig filutvidelse."
"""%1"" is not a valid file.","""%1"" er ikke en gyldig fil."
"""%1"" exceeds the allowed file size.","""%1"" overskrider den tillatte filstørrelsen."
"""%1"" is not a valid image format.","""%1"" er ikke et gyldig bildeformat."
"""%1"" width exceeds allowed value of %2 px.","""%1"" bredde overskrider tillat verdi av %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" høyde overskrider tillat verdi av %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" lengde må være lik eller større enn %2 tegn."
"""%1"" length must be equal or less than %2 characters.","""%1"" lengde må være lik eller mindre enn %2 tegn."
"label","etikett"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Kundegruppe"
"You can't delete group ""%1"".","Du kan ikke slette gruppen ""%1""."
"Customer Group already exists.","Kundegruppen finnes allerede."
"Cannot delete group.","Kan ikke slette gruppen."
"Error during VAT Number verification.","Feil under kontrollen av VAT nummer."
"PHP SOAP extension is required.","PHP SOAP utvidelse er nødvendig."
"VAT Number is valid.","VAT nummeret er ugyldig."
"Please enter a valid VAT number.","Vennligst skriv inn et gyldig VAT nummer."
"Your VAT ID was successfully validated.","Din VAT ID ble validert."
"You will be charged tax.","Du vil bli belastet for skatt."
"You will not be charged tax.","Du vil ikke bli belastet for skatt."
"The VAT ID entered (%1) is not a valid VAT ID.","Din VAT-ID (%1) er ikke en gyldig VAT-ID."
"Your Tax ID cannot be validated.","Din tax-ID kan ikke bli validert."
"If you believe this is an error, please contact us at %1","Hvis du tror dette er en feil, vennligst kontakt oss på %1"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Male","Mann"
"Female","Kvinne"
"Not Specified","Ikke spesifisert"
"Thank you for registering with","Takk for din registrering med"
"enter your billing address for proper VAT calculation","angi din faktureringsadresse for riktig mva-beregning"
"enter your shipping address for proper VAT calculation","angi mottakeradresse for riktig mva-beregning"
"Please enter new password.","Skriv inn et nytt passord."
"message","melding"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Unntak"
"InputException.","Input unntak."
"InputException","Input unntak"
"Exception message","Unntaksmelding"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","en feil har oppstått"
"frontend_label","frontend_etikett"
"NOT LOGGED IN","IKKE PÅLOGGET"
"Please enter the state/province.","Angi delstaten/området."
"region is a required field.","Region er et obligatorisk felt."
"regionId is a required field.","regionId is a required field."
"Label","Etikett"
"Select...","Velg..."
"Edit","Redigere"
"Visitor","Besøkende"
"Customer","Kunde"
"No item specified.","Ingen elementer er angitt."
"Are you sure you want to remove this item?","Er du sikker på at du vil fjerne denne varen?"
"Personal Information","Personopplysninger"
"Last Logged In:","Siste pålogget:"
"Last Logged In (%1):","Siste pålogget (%1):"
"Account Lock:","Konto låst:"
"Confirmed email:","Bekreftet epost:"
"Account Created:","Konto Oprettet:"
"Account Created on (%1):","Konto opprettet på (%1):"
"Account Created in:","Konto opprettet i:"
"Customer Group:","Kundegruppe:"
"Default Billing Address","Standard faktureringsadresse"
"Sales Statistics","Salgsstatistikk"
"Web Site","Webområde"
"Store","Butikk"
"Store View","Butikkvisning"
"Lifetime Sales","Total salg"
"Average Sale","Gjennomsnittlig salg"
"All Store Views","Alle butikkvisninger"
"Change","Endre"
"Manage Addresses","Administrere adresser"
"Default Shipping Address","Standard leveringsadresse"
"Contact Information","Kontaktinformasjon"
"Change Password","Endre passord"
"Newsletters","Nyhetsbrev"
"You are subscribed to ""General Subscription"".","Du abonnerer på ""Generelt abonnement""."
"or","eller"
"Default Addresses","Standard adresser"
"Change Billing Address","Endre faktureringsadresse"
"You have no default billing address in your address book.","Du har ingen standard faktureringsadresse i adresseboken."
"Change Shipping Address","Endre leveringsaddresse"
"You have no default shipping address in your address book.","Du har ingen standard leveringsadresse i adresseboken."
"Additional Address Entries","Alternative adresser"
"Delete Address","Slett adresse"
"You have no other address entries in your address book.","Du har ingen alternative adresseoppføringer i din adressebok."
"* Required Fields","* Nødvendige felt"
"Address","Adresse"
"Street Address","Gateadresse"
"Street Address %1","Gateadresse %1"
"VAT Number","Mva-nummer"
"City","By"
"State/Province","Stat/provins"
"Please select a region, state or province.","Velg en region, stat eller provins."
"Zip/Postal Code","Postnummer"
"Country","Land"
"It's a default billing address.","Aktiv som standard faktureringsadresse."
"Use as my default billing address","Bruk som standard faktureringsadresse"
"It's a default shipping address.","Aktiv som standard leveringsadresse."
"Use as my default shipping address","Bruk som standard leveringsadresse"
"Save Address","Lagre adresse"
"Go back","Tilbake"
"Please enter your email below and we will send you the confirmation link.","Inn Skriv din e-post nedenfor og vi vil sende deg bekreftelseslenken."
"Email","E-post"
"Send confirmation link","Sende bekreftelseslenke"
"Back to Sign In","Tilbake til å pålogging"
"Change Email","Endre E-post"
"Change Email and Password","Endre e-post og passord"
"Current Password","Nåværende passord"
"New Password","Nytt passord"
"Password Strength","Passordstyrke"
"No Password","Ikke noe passord"
"Confirm New Password","Bekreft nytt passord"
"Save","Lagre"
"Please enter your email address below to receive a password reset link.","Skriv inn din e-postadresse nedenfor for å motta en passordlink."
"Reset My Password","Tilbakestille passordet mitt"
"Registered Customers","Registrerte kunder"
"If you have an account, sign in with your email address.","Hvis du har en konto, logg inn med e-postadressen din."
"Password","Passord"
"Forgot Your Password?","Glemt passordet?"
"Subscription option","Abonnement alternativ"
"General Subscription","Generelt abonnement"
"Sign Up for Newsletter","Motta nyhetsbrev"
"Address Information","Adresseinformasjon"
"Sign-in Information","Påloggingsinformasjon"
"Confirm Password","Bekreft passord"
"Create an Account","Opprette en Konto"
"Set a New Password","Angi et nytt passord"
"You have signed out and will go to our homepage in 5 seconds.","Du har logget ut og blir sendt til hovedsiden om 5 sekunder."
"New Customers","Nye kunder"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Opprettelse av konto har mange fordeler: Raskere handel, registrer flere adresser, sjekk ordrestatus m.m."
"Company","Bedrift"
"Fax","Faks"
"Gender","Kjønn"
"Name","Navn"
"Tax/VAT number","Mva-nummer"
"Phone Number","Telefonnummer"
"Welcome to %store_name","Velkommen til %store_name"
"%name,","%name,"
"Welcome to %store_name.","Velkommen til %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","For å logge deg på nettstedet vårt, kan du bruke disse opplysningene i kassen eller på siden <a href=""%customer_url""> Min konto</a>:"
"Email:","E-Post:"
"Password:","Passord:"
"Password you set when creating account","Passordet du oppga når du opprettet kontoen"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Glemt passordet? Klikk <a href=""%reset_url"">her</a> for å tilbakestille det."
"When you sign in to your account, you will be able to:","Når du logger inn på kontoen din, vil du kunne:"
"Proceed through checkout faster","Fortsett gjennom kassen raskere"
"Check the status of orders","Kontrollere statusen for ordrer"
"View past orders","Vis tidligere ordrer"
"Store alternative addresses (for shipping to multiple family members and friends)","Lagre alternative adresser (for å kunne sende til familiemedlemmer og venner)"
"Please confirm your %store_name account","Bekreft din %store_name konto"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Du må bekrefte %customer_email e-post før du kan logge på (lenke er bare gyldig en gang):"
"Confirm Your Account","Bekreft din konto"
"Thank you for confirming your %store_name account.","Takk for at du bekreftet %store_name kontoen."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","For å logge inn på vår side og sette opp passord, klikk på <a href=""%create_password_url"">linken</a>:"
"Your %store_name email has been changed","Din %store_name e-post er endret"
"Hello,","Hei,"
"We have received a request to change the following information associated with your account at %store_name: email.","Vi har mottatt en forespørsel om å endre følgende informasjon knyttet til kontoen din hos %store_name: e-post."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Hvis du ikke har godkjent denne handlingen, vennligst kontakt oss umiddelbart på <a href=""mailto:%store_email""> %store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","eller ring oss på <a href=""tel:%store_phone""> %store_phone</a>"
"Thanks,<br>%store_name","Takk,<br>%store_name"
"Your %store_name email and password has been changed","Din %store_name kontoinformasjon er endret"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Vi har mottatt en forespørsel om å endre følgende informasjon knyttet til kontoen din hos %store_name: e-post, passord."
"Reset your %store_name password","Tilbakestill ditt %store_name passord"
"There was recently a request to change the password for your account.","Det var nylig en forespørsel om å endre passordet for din konto."
"If you requested this change, set a new password here:","Hvis du forespurte denne endringen, angi et nytt passord her:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Hvis du ikke har sendt denne forespørselen, kan du ignorere denne e-posten og passordet vil forbli det samme som før."
"Your %store_name password has been changed","Ditt %store_name passord er endret"
"We have received a request to change the following information associated with your account at %store_name: password.","Vi har mottatt en forespørsel om å endre følgende informasjon knyttet til kontoen din hos %store_name: passord."
"Checkout as a new customer","Sjekk ut som en ny kunde"
"Creating an account has many benefits:","Å oprette en konto har mange fordeler:"
"See order and shipping status","Se ordre og leveringsstatus"
"Track order history","Spore ordrehistorikk"
"Check out faster","Sjekk ut raskere"
"Checkout using your account","Sjekk ut ved hjelp av din konto"
"Email Address","E-postadresse"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Are you sure you want to delete this address?","Er du sikker på at du vil slette denne adressen?"
"Weak","Svak"
"Medium","Middels"
"Strong","Sterk"
"Very Strong","Veldig sterk"
"Guest checkout is disabled.","Gjeste checkout er deaktivert."
"All Customers","Alle kunder"
"Now Online","Pålogget nå"
"Customers Section","Kunde-delen"
"Customer Configuration","Kundekonfigurasjon"
"Account Sharing Options","Delingsalternativer for Konto"
"Share Customer Accounts","Dele kundekontoer"
"Create New Account Options","Opprette nye Konto alternativer"
"Enable Automatic Assignment to Customer Group","Aktiver automatisk tildeling til kundegruppe"
"Tax Calculation Based On","Skatteberegning basert på"
"Default Group","Standard gruppe"
"Group for Valid VAT ID - Domestic","Gruppe for gyldig MVA-ID - innenlands"
"Group for Valid VAT ID - Intra-Union","Gruppe for gyldig MVA-ID - intra Union"
"Group for Invalid VAT ID","Gruppe for ugyldig mva-ID"
"Validation Error Group","Gruppe for valideringsfeil"
"Validate on Each Transaction","Validere på hver transaksjon"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standardverdien for Deaktiver automatisk endringer basert på mva-ID"
"Show VAT Number on Storefront","Vis mva-nummer i butikk"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Standard e-post domene"
"Default Welcome Email","Standard velkomst e-post"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmal valgt basert på tema fallback når ""Default"" alternativet er valgt."
"Default Welcome Email Without Password","Standard velkomst epost uten passord"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","E-post avsender"
"Require Emails Confirmation","Påkrev E-post bekreftelse"
"Confirmation Link Email","E-post for bekreftelseslenke"
"Welcome Email","Velkomst e-post"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generer menneskelig-vennlig kunde-ID"
"Password Options","Passordalternativ"
"Forgot Email Template","Glemt e-postmal"
"Remind Email Template","Påminn e-postmal"
"Reset Password Template","Tilbakestill passord mal"
"Password Template Email Sender","Passord mal epost avsender"
"Recovery Link Expiration Period (hours)","Gjenopprettingslink utløpsperiode (timer)"
"Please enter a number 1 or greater in this field.","Skriv inn et tall større 0 i dette feltet."
"Number of Required Character Classes","Antall nødvendige character classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Antall forskjellige karakterklasser påkrevd i passord: små bokstaver, store bokstaver, sifre, spesialtegn."
"Minimum Password Length","Minimum passordlengde"
"Maximum Login Failures to Lockout Account","Maksimum antall innloggingsfeil for å låse konto"
"Use 0 to disable account locking.","Bruk 0 for å deaktivere låsing av konto."
"Lockout Time (minutes)","Utlåsningstid (minutter)"
"Enable Autocomplete on login/forgot password forms","Aktiver autofullfør på logg inn/glemt passord skjemaer"
"Account Information Options","Kontoinformasjon alternativer"
"Change Email Template","Bytt e-postmal"
"Change Email and Password Template","Endre e-postadresse og passord mal"
"Name and Address Options","Navn og adresse alternativer"
"Number of Lines in a Street Address","Antall linjer i en gateadresse"
"Valid range: 1-4","Gyldig område: 1-4"
"Show Prefix","Vis prefiks"
"The title that goes before name (Mr., Mrs., etc.)","Tittelen som går før navnet (Mr., fru, etc.)"
"Prefix Dropdown Options","Prefix dropdown alternativer"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semikolon (;) verdier atskilt.<br/>La stå tom for åpen tekstfeltet."
"Show Middle Name (initial)","Vis mellomnavn (første)"
"Always optional.","Alltid valgfritt."
"Show Suffix","Vis suffiks"
"The suffix that goes after name (Jr., Sr., etc.)","Suffikset som går etter navn (Jr., Sr., osv.)"
"Suffix Dropdown Options","Suffix dropwdown alternativer"
"Show Date of Birth","Vis fødselsdato"
"Show Tax/VAT Number","Vis mva-/ organisasjonsnummer"
"Show Gender","Vis kjønn"
"Show Telephone","Vis telefon"
"Show Company","Vis selskap"
"Show Fax","Vis faks"
"Login Options","Påloggingsvalg"
"Redirect Customer to Account Dashboard after Logging in","Omdiriger kunder til dashbord etter innlogging"
"Customer will stay on the current page if ""No"" is selected.","Kunde vil bli på nåværende side hvis ""nei"" er valgt."
"Address Templates","Adressemal"
"Online Customers Options","Online kunde alternativer"
"Online Minutes Interval","Online minutter interval"
"Leave empty for default (15 minutes).","La være tom for standard verdi (15 minutter)."
