"Sign Out","تسجيل الخروج"
"Please enter a valid date less than or equal to %1 at %2.","الرجاء إدخال تاريخ صحيح أقل من أو يساوي إلى %1 في %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" ليس ملف صالح."
"""%1"" exceeds the allowed file size.","""%1"" اكبر من حجم الملف المسموح به."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"label","التسمية"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","مجموعات العملاء"
"You can't delete group ""%1"".","لا يمكنك حذف مجموعة ""%1""."
"Customer Group already exists.","Customer Group already exists."
"Cannot delete group.","لا يمكن حذف مجموعة."
"Error during VAT Number verification.","Error during VAT Number verification."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"VAT Number is valid.","رقم ضريبة القيمة المضافة صحيح."
"Please enter a valid VAT number.","الرجاء إدخال رقم صحيح."
"Your VAT ID was successfully validated.","Your VAT ID was successfully validated."
"You will be charged tax.","You will be charged tax."
"You will not be charged tax.","You will not be charged tax."
"The VAT ID entered (%1) is not a valid VAT ID.","The VAT ID entered (%1) is not a valid VAT ID."
"Your Tax ID cannot be validated.","Your Tax ID cannot be validated."
"If you believe this is an error, please contact us at %1","If you believe this is an error, please contact us at %1"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Male","ذكر"
"Female","أنثى"
"Not Specified","غير محدد"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Exception message"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","خطأ ما"
"frontend_label","frontend_label"
"NOT LOGGED IN","غير مسجل الدخول"
"Please enter the state/province.","Please enter the state/province."
"region is a required field.","region is a required field."
"regionId is a required field.","regionId is a required field."
"Label","علامة"
"Select...","اختر..."
"Edit","تعديل"
"Visitor","زائر"
"Customer","زبون"
"No item specified.","ولا عنصر المحدد."
"Are you sure you want to remove this item?","هل أنت متأكد أنك تريد حذف هذا العنصر؟"
"Personal Information","المعلومات الشخصية"
"Last Logged In:","اخر تسجيل للدخول:"
"Last Logged In (%1):","اخر تسجيل للدخول (%1):"
"Account Lock:","Account Lock:"
"Confirmed email:","تأكيد البريد الإلكتروني:"
"Account Created:","انشاء حساب في:"
"Account Created on (%1):","انشاء حساب في (%1):"
"Account Created in:","انشاء حساب في :"
"Customer Group:","مجموعة العملاء:"
"Default Billing Address","عنوان الدفع الافتراضي"
"Sales Statistics","إحصائيات المبيعات"
"Web Site","موقع"
"Store","متجر"
"Store View","عرض المتجر"
"Lifetime Sales","مبيعات مدى الحياة"
"Average Sale","متوسط البيع"
"All Store Views","واجهه جميع المواقع"
"Change","تغير"
"Manage Addresses","إدارة العناوين"
"Default Shipping Address","عنوان الشحن الافتراضي"
"Contact Information","بيانات الاتصال"
"Change Password","تغيير كلمة المرور"
"Newsletters","النشرات البريدية"
"You are subscribed to ""General Subscription"".","You are subscribed to ""General Subscription""."
"or","أو"
"Default Addresses","العناوين الافتراضية"
"Change Billing Address","تغيير عنوان الدفع"
"You have no default billing address in your address book.","لا يوجد لديك عنوان فوتورة افتراضي في دفتر العناوين."
"Change Shipping Address","تغيير عنوان الشحن"
"You have no default shipping address in your address book.","لا يوجد لديك عنوان الشحن افتراضي في دفتر العناوين."
"Additional Address Entries","إدخالات عناوين إضافية"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","لا يوجد لديك عنوان اضافي مداخل في دفتر العناوين."
"* Required Fields","* حقول مطلوبة"
"Address","العنوان"
"Street Address","عنوان الشارع"
"Street Address %1","عنوان الشارع %1"
"VAT Number","رقم ضريبة القيمة المضافة"
"City","المدينة"
"State/Province","ولاية/محافظة"
"Please select a region, state or province.","من فضلك اختر منطقة، ولاية أو محافظة."
"Zip/Postal Code","الرمز البريدي"
"Country","الدولة"
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","استخدم كعنوان الدفع الافتراضي"
"It's a default shipping address.","It's a default shipping address."
"Use as my default shipping address","استخدم كعنوان الشحن الافتراضي"
"Save Address","حفظ عنوان"
"Go back","رجوع"
"Please enter your email below and we will send you the confirmation link.","الرجاء إدخال بريدك الإلكتروني أدناه، وسوف نرسل لك رسالة التاكيد."
"Email","البريد الإلكتروني"
"Send confirmation link","Send confirmation link"
"Back to Sign In","العودة لتسجيل الدخول"
"Change Email","تغيير البريد الإلكتروني"
"Change Email and Password","تغيير كلمة البريد الإلكتروني ولكمة المرور"
"Current Password","كلمة المرور الحالية"
"New Password","كلمة المرور الجديدة"
"Password Strength","قوة كلمة المرور"
"No Password","لا يوجد كلمة مرور"
"Confirm New Password","تأكيد كلمة المرور الجديدة"
"Save","حفظ"
"Please enter your email address below to receive a password reset link.","الرجاء إدخال عنوان بريدك الإلكتروني أدناه الحصول على رابط إعادة تعيين كلمة مرور."
"Reset My Password","إعادة تعيين كلمة المرور الخاصة بي"
"Registered Customers","الأعضاء المسجلين"
"If you have an account, sign in with your email address.","إذا كان لديك حساب، سجل الدخول باستخدام عنوان بريدك الإلكتروني."
"Password","كلمة المرور"
"Forgot Your Password?","هل نسيت كلمة المرور؟"
"Subscription option","قوائم النشرات البريدية"
"General Subscription","القائمة العامة"
"Sign Up for Newsletter","التسجيل في النشرة البريدية"
"Address Information","معلومات العنوان"
"Sign-in Information","بيانات الدخول"
"Confirm Password","تأكيد كلمة المرور"
"Create an Account","انشاء حساب"
"Set a New Password","تعيين كلمة مرور جديدة"
"You have signed out and will go to our homepage in 5 seconds.","تم تسجيل الخروج بنجاح. سيتم تحويلك للصفحة الرئيسية بعد ٥ ثوان."
"New Customers","عضو جديد"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","إنشاء حساب له فوائد عديدة: شراء أسرع، حفظ العناوين، متابعة الطلبات وأشياء أخرى."
"Company","الشركة"
"Fax","فاكس"
"Gender","النوع"
"Name","اسم"
"Tax/VAT number","Tax/VAT number"
"Phone Number","رقم الهاتف"
"Welcome to %store_name","مرحبا بك في %store_name"
"%name,","%name،"
"Welcome to %store_name.","مرحبا بك في %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","لتسجيل الدخول إلى موقعنا استخدم بيانات الدخول التالية للشراء أو لإدارة <a href=""%customer_url""> عضويتك</a>:"
"Email:","البريد الالكترونى:"
"Password:","الرقم السري:"
"Password you set when creating account","كلمة المرور التي قمت بتعيينها عند إنشاء الحساب"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","نسيت كلمة مرور حسابك؟ <a href=""%reset_url"">اضغط هنا</a> لإعادة تعيينها."
"When you sign in to your account, you will be able to:","عند تسجيل الدخول إلى حسابك، سوف تكون قادراً على:"
"Proceed through checkout faster","أكمل في الشراء الفوري"
"Check the status of orders","التحقق من حالة الطلب"
"View past orders","عرض الطلبات السابقة"
"Store alternative addresses (for shipping to multiple family members and friends)","حفظ عناوين بديلة (للشحن إلى العديد من أفراد العائلة والأصدقاء)"
"Please confirm your %store_name account","تاكيد حسابك في %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","يجب عليك تأكيد بريدك الإلكتروني %customer_email قبل أن تتمكن من تسجيل الدخول (الرابط صالح فقط لمرة واحدة):"
"Confirm Your Account","تأكيد حسابك"
"Thank you for confirming your %store_name account.","شكرا لك على تأكيد حسابك في %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","لتسجيل الدخول إلى موقعنا وتحديد كلمة المرور، <a href=""%customer_url"">اضغط هنا</a>:"
"Your %store_name email has been changed","Your %store_name email has been changed"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","We have received a request to change the following information associated with your account at %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","Your %store_name email and password has been changed"
"We have received a request to change the following information associated with your account at %store_name: email, password.","We have received a request to change the following information associated with your account at %store_name: email, password."
"Reset your %store_name password","إعادة تعيين كلمة المرور في %store_name"
"There was recently a request to change the password for your account.","تم طلب تغيير كلمة المرور مؤخراَ."
"If you requested this change, set a new password here:","إذا كنت انت من قام بهذا الطلب، اضغط على هذا الرابط:"
"If you did not make this request, you can ignore this email and your password will remain the same.","إذا لم تقم بإجراء هذا الطلب، يمكنك تجاهل هذه الرسالة وكلمة المرور سوف تبقى كما هي."
"Your %store_name password has been changed","Your %store_name password has been changed"
"We have received a request to change the following information associated with your account at %store_name: password.","We have received a request to change the following information associated with your account at %store_name: password."
"Checkout as a new customer","Checkout as a new customer"
"Creating an account has many benefits:","إنشاء حساب له فوائد عديدة:"
"See order and shipping status","متابعة الطلب وحالة الشحن"
"Track order history","الاطلاع على طلباتك السابقة"
"Check out faster","المضي في عملية اسرع"
"Checkout using your account","Checkout using your account"
"Email Address","البريد الإلكتروني"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Are you sure you want to delete this address?","هل أنت متأكد أنك تريد حذف هذا العنوان؟"
"Weak","ضعيف"
"Medium","متوسطة"
"Strong","قوي"
"Very Strong","قوي جداً"
"Guest checkout is disabled.","الشراء كزائر غير مفعلة في الوقت الحالي."
"All Customers","كافة العملاء"
"Now Online","Now Online"
"Customers Section","Customers Section"
"Customer Configuration","ضبط العميل"
"Account Sharing Options","خيارات مشاركة الحساب"
"Share Customer Accounts","مشاركة حساب العميل"
"Create New Account Options","خيارات إنشاء حساب جديد"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","المجموعة الافتراضية"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","البريد الإلكتروني الترحيبي الافتراضي"
"Email template chosen based on theme fallback when ""Default"" option is selected.","اختيار قالب البريد الإلكتروني استناداً إلى الثيم عند تحديد الخيار ""الإفتراضي""."
"Default Welcome Email Without Password","Default Welcome Email Without Password"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","مرسل البريد الإلكتروني"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","الرسالة الترحيبية"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","خيارات كلمة المرور"
"Forgot Email Template","نسيت البريد الالكتروني للقالب"
"Remind Email Template","Remind Email Template"
"Reset Password Template","قالب إعادة تعيين كلمة المرور"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","عمر الصلاحية لرابط الاسترداد (ساعات)"
"Please enter a number 1 or greater in this field.","الرجاء إدخال رقم 1 أو أكبر في هذا الحقل."
"Number of Required Character Classes","Number of Required Character Classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
"Minimum Password Length","اقل طول لكلمة المرور"
"Maximum Login Failures to Lockout Account","استنفاذ عدد مرات تسجيل الدخول الخاطئة لتأمين الحساب"
"Use 0 to disable account locking.","Use 0 to disable account locking."
"Lockout Time (minutes)","تأمين الوقت (بالدقائق)"
"Enable Autocomplete on login/forgot password forms","تفعيل الاكمال التلقائي في نموذج تسجيل الدخول/اعادة كلمة المرور"
"Account Information Options","Account Information Options"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Change Email and Password Template"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","عدد الخطوط في عنوان الشارع"
"Valid range: 1-4","Valid range: 1-4"
