"Sign Out","Déconnexion"
"Customer could not be deleted.","Le client ne peut pas être supprimé."
"You deleted the customer.","Vous avez supprimé le client."
"Something went wrong while editing the customer.","Une erreur s'est produite lors de l'édition du client."
"Manage Customers","Gérer les clients"
"Please correct the data sent.","Merci de corriger les données envoyées."
"A total of %1 record(s) were updated.","%1 enregistrement(s) ont été mis à jour."
"A total of %1 record(s) were deleted.","%1 enregistrement(s) ont été effacés."
"The customer will receive an email with a link to reset password.","Le client recevra un email avec un lien pour réinitialiser le mot de passe."
"Something went wrong while resetting customer password.","Une erreur s'est produite lors de la réinitialisation du mot de passe du client."
"You saved the customer.","Vous avez sauvegardé le client."
"Something went wrong while saving the customer.","Une erreur s'est produite lors de l'enregistrement des clients."
"Page not found.","Page introuvable."
"Customer has been unlocked successfully.","Le client a été débloqué avec succès."
"Online Customers","Clients en ligne"
"Customers Now Online","Clients en ligne"
"Please define Wish List item ID.","Veuillez spécifier l'ID de l'article dans la liste de souhaits."
"Please load Wish List item.","Veuillez charger l'article de la liste de souhaits."
"Login successful.","Connexion réussie."
"Invalid login or password.","Identifiant ou mot de passe non valide."
"""%1"" section source is not supported","""%1"" Source source non prise en charge"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 n'étend pas \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","Pas besoin de confirmer."
"Account already active","Le compte est actif"
"Invalid confirmation token","Jeton de confirmation invalide"
"The account is locked.","Le compte est verrouillé."
"This account is not confirmed.","Ce compte n'est pas confirmé."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Valeur non valide « % valeur » prévue le champ %fieldName. Valeurs possibles : %template1 ou %template2."
"Please enter a password with at most %1 characters.","Veuillez entrer un mot de passe d'au maximum %1 caractères."
"Please enter a password with at least %1 characters.","Veuillez entrer un mot de passe au moins %1 caractères."
"The password can't begin or end with a space.","Le mot de passe ne peut pas commencer ou se terminer avec un espace."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum de différentes classes de caractères de mot de passe est %1. Classes de caractères : minuscules, majuscules, chiffres, caractères spéciaux."
"Password cannot be the same as email address.","Le mot de passe ne peut pas être identique à l'adresse e-mail."
"This customer already exists in this store.","Ce client existe déjà dans ce magasin."
"A customer with the same email already exists in an associated website.","Les clients ayant le même e-mail existent déjà sur des sites Web connexes."
"Invalid value of ""%value"" provided for the %fieldName field.","Valeur non valide ""%value"" fournie pour le champ ""%fieldName""."
"%fieldName is a required field.","%fieldName est un champ obligatoire."
"Reset password token mismatch.","Réinitialiser le mot de passe d'incompatibilité de jeton."
"Reset password token expired.","La réinitialisation du mot de passe a expiré."
"Please correct the transactional account email type.","Corrigez le type d'e-mail du compte transactionnel."
"""%1"" is a required value.","""%1"" est une valeur obligatoire."
"Global","Global"
"Per Website","Par site web"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Nous ne pouvons pas partager les comptes clients globalement lorsque les comptes partagent des adresses email identiques sur plus d'un site Web."
"Billing Address","Adresse de facturation"
"Shipping Address","Adresse de livraison"
"-- Please Select --","-- Faites un choix --"
"Please enter a valid password reset token.","Veuillez entrer le jeton de réinitialisation de mot de passe correct."
"The password can not begin or end with a space.","Les mots de passe ne peuvent pas démarrer ou se terminer avec des espaces."
"Admin","Administration"
"ALL GROUPS","TOUS LES GROUPES"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Pas d’entité avec %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Le fichier ne peut pas être enregistré dans le dossier de destination."
"Unable to create directory %1.","Impossible de créer le répertoire %1."
"Destination folder is not writable or does not exists.","Le dossier de destination ne peut pas être écrit ou n'existe pas."
"Something went wrong while saving the file.","Une erreur s'est produite lors de l'enregistrement du fichier."
"Attribute object is undefined","L'objet attribut est indéfini"
"""%1"" invalid type entered.","""%1"" est une entrée non valide."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contient des caractères non alphabétiques ou non numériques."
"""%1"" is an empty string.","""%1"" est une chaîne vide."
"""%1"" contains non-numeric characters.","""%1"" contient des caractères non numériques."
"""%1"" contains non-alphabetic characters.","""%1"" contient des caractères non alphabétiques."
"""%1"" is not a valid email address.","""%1"" n'est pas un email valide."
"""%1"" is not a valid hostname.","""%1"" n'est pas un nom d'hôte valide."
"""%1"" uses too many characters.","""%1"" utilise trop de caractères."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' ressemble à une adresse IP, ce qui n'est pas un format acceptable."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' ressemble à un nom d'hôte DNS mais contient un trait d'union à une position incorrecte."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' ressemble à un nom d’hôte DNS, mais nous ne pouvons pas le faire correspondre avec le schéma de nom d’hôte pour TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' ressemble à un nom d’hôte DNS, mais ne peut pas extraire une partie TLD."
"'%value%' does not look like a valid local network name.","'%value%' ne ressemble pas à un nom de réseau local valide."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' ressemble à un nom de réseau local, ce qui n’est pas un format acceptable."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' semble être un nom d'hôte de DNS, mais la notation punycode donnée ne peut pas être décodée."
"""%1"" is not a valid URL.","""%1"" n'est pas une URL valide."
"""%1"" is not a valid date.","""%1"" n'est pas une date valide."
"""%1"" does not fit the entered date format.","""%1"" ne correspond pas au format de date entré."
"Please enter a valid date between %1 and %2 at %3.","Veuillez entrer une date valide entre %1 et %2 à %3."
"Please enter a valid date equal to or greater than %1 at %2.","Veuillez entrer une date valide égale ou supérieure de %1 à %2."
"Please enter a valid date less than or equal to %1 at %2.","Veuillez entrer une date valide inférieure ou égale de %1 à %2."
"""%1"" is not a valid file extension.","""%1"" n'est pas une extension de fichier valide."
"""%1"" is not a valid file.","""%1"" n'est pas un fichier valide."
"""%1"" exceeds the allowed file size.","""%1"" excède la taille maxi autorisée pour les fichiers."
"""%1"" is not a valid image format.","""%1"" n'a pas un format d'image valide."
"""%1"" width exceeds allowed value of %2 px.","La largeur de ""%1"" excède la valeur de %2 px."
"""%1"" height exceeds allowed value of %2 px.","La hauteur de ""%1"" excède la valeur de %2 px."
"""%1"" length must be equal or greater than %2 characters.","La longueur de ""%1"" doit être supérieure ou égale à %2 caractères."
"""%1"" length must be equal or less than %2 characters.","La longueur de ""%1"" doit être égale ou inférieure à %2 caractères."
"label","Libellé"
"Please enter a customer email.","Veuillez entrer le courriel du client."
"A customer website ID must be specified when using the website scope.","L'ID du site Web du client doit être spécifié lors de l'utilisation de la couverture du site Web."
"Customer Group","Groupe de clients"
"You can't delete group ""%1"".","Vous ne pouvez pas supprimer le groupe ""%1""."
"Customer Group already exists.","Le groupe de clients existe déjà."
"Cannot delete group.","Impossible de supprimer le groupe."
"Error during VAT Number verification.","Erreur pendant la vérification du numéro de TVA."
"PHP SOAP extension is required.","L'extension SOAP de PHP est requise."
"VAT Number is valid.","Le numéro de TVA est valide."
"Please enter a valid VAT number.","Veuillez saisir un numéro de TVA valide."
"Your VAT ID was successfully validated.","Votre numéro de TVA a bien été validé."
"You will be charged tax.","La TVA vous sera appliquée."
"You will not be charged tax.","La TVA ne vous sera pas appliquée."
"The VAT ID entered (%1) is not a valid VAT ID.","Le numéro de TVA saisi (%1) n'est pas un numéro de TVA valide."
"Your Tax ID cannot be validated.","Votre numéro de TVA ne peut pas être validé. Assurez-vous qu'il ne comporte pas de code pays."
"If you believe this is an error, please contact us at %1","Si vous pensez qu'il s'agit d'une erreur, contactez-nous au %1"
"No such entity with %fieldName = %fieldValue","Pas d’entité ayant %fieldName = %fieldValue"
"Male","Homme"
"Female","Femme"
"Not Specified","Non spécifié"
"Thank you for registering with","Merci de vous être inscrit"
"enter your billing address for proper VAT calculation","entrez votre adresse de facturation pour le bon calcul de la TVA"
"enter your shipping address for proper VAT calculation","entrez votre adresse de livraison pour le bon calcul de la TVA"
"Please enter new password.","Veuillez entrer un nouveau mot de passe."
"message","Message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Message d’exception"
"Validator Exception","Exception de validateur"
"Localized Exception","Exception localisées"
"some error","une erreur"
"frontend_label","frontend_label"
"NOT LOGGED IN","NON CONNECTÉ"
"Please enter the state/province.","Veuillez renseigner le département."
"region is a required field.","région est obligatoire."
"regionId is a required field.","regionId est un champ obligatoire."
"Label","Libellé"
"Select...","Sélectionner..."
"Edit","Éditer"
"Visitor","Visiteur"
"Customer","Client"
"No item specified.","Aucun article spécifié."
"Are you sure you want to remove this item?","Êtes-vous sûr(e) de vouloir retirer cet article ?"
"Personal Information","Informations personnelles"
"Last Logged In:","Dernière connexion le :"
"Last Logged In (%1):","Dernière connexion (%1) :"
"Account Lock:","Clé de compte :"
"Confirmed email:","Email confirmé :"
"Account Created:","Compte créé :"
"Account Created on (%1):","Compte créé le (%1) :"
"Account Created in:","Compte créé dans :"
"Customer Group:","Groupe de clients :"
"Default Billing Address","Adresse de facturation par défaut"
"Sales Statistics","Statistiques de ventes"
"Web Site","Site Web"
"Store","Magasin"
"Store View","Vue magasin"
"Lifetime Sales","Ventes depuis le début"
"Average Sale","Ventes moyennes"
"All Store Views","Toutes les vues magasin"
"Change","Modifier"
"Manage Addresses","Gérer les adresses"
"Default Shipping Address","Adresse de livraison par défaut"
"Contact Information","Informations de contact"
"Change Password","Modifier le mot de passe"
"Newsletters","Newsletters"
"You are subscribed to ""General Subscription"".","Vous êtes abonné à 'Abonnement général'."
"or","ou"
"Default Addresses","Adresses par défaut"
"Change Billing Address","Modifier l'adresse de facturation"
"You have no default billing address in your address book.","Vous n'avez pas d'adresse de facturation par défaut dans votre carnet d'adresses."
"Change Shipping Address","Modifier l'adresse de facturation"
"You have no default shipping address in your address book.","Vous n'avez pas d'adresse de livraison par défaut dans votre carnet d'adresses."
"Additional Address Entries","Saisie d'adresses supplémentaires"
"Delete Address","Effacer l'adresse"
"You have no other address entries in your address book.","Vous n'avez aucune autre adresse dans votre carnet d'adresses."
"* Required Fields","* Champs obligatoires"
"Address","Adresse"
"Street Address","Adresse"
"Street Address %1","Adresse %1"
"VAT Number","N° de TVA"
"City","Ville"
"State/Province","État/Région"
"Please select a region, state or province.","Merci de sélectionner une région, une état ou une province."
"Zip/Postal Code","Code postal"
"Country","Pays"
"It's a default billing address.","C'est l'adresse de facturation par défaut."
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"It's a default shipping address.","C'est l'adresse de livraison par défaut."
"Use as my default shipping address","Utiliser comme adresse de <strong>livraison</strong> par défaut"
"Save Address","Sauvegarder l'adresse"
"Go back","Retour"
"Please enter your email below and we will send you the confirmation link.","Veuillez entrer votre email ci-dessous et nous vous enverrons un lien de confirmation."
"Email","Email"
"Send confirmation link","Envoyer un lien de confirmation"
"Back to Sign In","Retourner à la connexion"
"Change Email","Changer l'email"
"Change Email and Password","Changer l'email et le mot de passe"
"Current Password","Mot de passe actuel"
"New Password","Nouveau mot de passe"
"Password Strength","Sécurité du mot de passe"
"No Password","Pas de mot de passe"
"Confirm New Password","Confirmer le nouveau mot de passe"
"Save","Sauvegarder"
"Please enter your email address below to receive a password reset link.","Veuillez entrer votre adresse email ci-dessous pour recevoir le lien de réinitialisation du mot de passe."
"Reset My Password","Réinitialiser mon mot de passe"
"Registered Customers","Clients enregistrés"
"If you have an account, sign in with your email address.","Si vous avez un compte, connectez-vous avec votre adresse e-mail."
"Password","Mot de passe"
"Forgot Your Password?","Mot de passe oublié ?"
"Subscription option","Options d'abonnement"
"General Subscription","Abonnements"
"Sign Up for Newsletter","Abonnez-vous à la newsletter"
"Address Information","Informations d'adresse"
"Sign-in Information","Informations de connexion"
"Confirm Password","Confirmer le mot de passe"
"Create an Account","Créer un compte"
"Set a New Password","Définir un nouveau mot de passe"
"You have signed out and will go to our homepage in 5 seconds.","Vous vous êtes déconnecté(e) et vous serez redirigé(e) vers la page d'accueil dans 5 secondes."
"New Customers","Nouveaux clients"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Créer un compte a de nombreux avantages : commander plus rapidement, enregistrer plusieurs adresses, suivre vos commandes et plus encore."
"Company","Société"
"Fax","Fax"
"Gender","Sexe"
"Name","Nom"
"Tax/VAT number","Numéro de TVA intracommunautaire"
"Phone Number","Numéro de téléphone"
"Welcome to %store_name","Bienvenue sur %store_name"
"%name,","%name,"
"Welcome to %store_name.","Bienvenue sur %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pour vous connecter à notre site, utiliser ces informations d'identification lors de votre commande ou sur la page <a href=""%customer_url""> Mon compte</a> :"
"Email:","Email :"
"Password:","Mot de passe :"
"Password you set when creating account","Mot de passe défini lors de la création de compte"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Mot de passe oublié ? Cliquez <a href=""%reset_url""> ici</a> pour le réinitialiser."
"When you sign in to your account, you will be able to:","Lorsque vous vous connecterez à votre compte, vous serez en mesure de :"
"Proceed through checkout faster","Effectuer votre commande plus rapidement"
"Check the status of orders","Suivre le statut de vos commandes"
"View past orders","Voir votre historique de commandes"
"Store alternative addresses (for shipping to multiple family members and friends)","Enregistrer d'autres adresses (pour expédier à la famille ou des amis)"
"Please confirm your %store_name account","Confirmez votre %store_name compte"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Vous devez confirmer votre email %customer_email avant de pouvoir vous connecter (le lien n'est valable qu'une seule fois) :"
"Confirm Your Account","Confirmez votre compte"
"Thank you for confirming your %store_name account.","Merci pour la confirmation de votre compte %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Pour vous connecter à notre site et définir un mot de passe, cliquez sur ce <a href=""%create_password_url"">lien</a>:"
"Your %store_name email has been changed","L'adresse email de %store_name a été modifiée"
"Hello,","Bonjour,"
"We have received a request to change the following information associated with your account at %store_name: email.","Nous avons reçu une demande pour modifier les informations suivantes associées à votre compte sur %store_name : e-mail."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Si vous n’avez pas autorisé cette action, merci de nous contacter immédiatement à <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","ou appelez-nous au <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Merci,<br>L'équipe de %store_name"
"Your %store_name email and password has been changed","L'adresse email de %store_name et son mot de passe ont été modifiés"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Nous avons reçu une demande pour modifier les informations suivantes associées à votre compte sur %store_name : e-mail, mot de passe."
"Reset your %store_name password","Réinitialiser votre mot de passe %store_name"
"There was recently a request to change the password for your account.","Nous avons reçu une demande de changement de mot de passe pour votre compte."
"If you requested this change, set a new password here:","Si vous avez demandé ce changement, définir un nouveau mot de passe ici :"
"If you did not make this request, you can ignore this email and your password will remain the same.","Si vous n'avez pas fait cette demande, vous pouvez ignorer cet e-mail et votre mot de passe restera le même."
"Your %store_name password has been changed","Le mot de passe de %store_name a été modifié"
"We have received a request to change the following information associated with your account at %store_name: password.","Nous avons reçu une demande pour modifier les informations suivantes associées à votre compte sur %store_name : le mot de passe."
"Checkout as a new customer","Commander en tant que nouveau client"
"Creating an account has many benefits:","Créer un compte a de nombreux avantages :"
"See order and shipping status","Voir la commande et suivre l'expédition"
"Track order history","Suivre l'historique des commandes"
"Check out faster","Commander plus rapidement"
"Checkout using your account","Commandez en utilisant votre compte"
"Email Address","Adresse mail"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Are you sure you want to delete this address?","Êtes-vous sûr(e) de vouloir effacer cette adresse ?"
"Weak","Prédictible"
"Medium","Standard"
"Strong","Sécurisé"
"Very Strong","Très sécurisé"
"Guest checkout is disabled.","Le passage de commande est désactivé pour les visiteurs."
"All Customers","Tous les clients"
"Now Online","Maintenant en ligne"
"Customers Section","Section clients"
"Customer Configuration","Configuration client"
"Account Sharing Options","Options de partage de compte"
"Share Customer Accounts","Partager les comptes clients"
"Create New Account Options","Options de création de nouveaux comptes"
"Enable Automatic Assignment to Customer Group","Activer l'assignation automatique à un groupe clients"
"Tax Calculation Based On","Calcul de taxe basé sur"
"Default Group","Groupe par défaut"
"Group for Valid VAT ID - Domestic","Groupe pour un numéro de TVA valide - National"
"Group for Valid VAT ID - Intra-Union","Groupe pour un numéro de TVA valide - Intra-Union"
"Group for Invalid VAT ID","Groupe pour un numéro de TVA invalide"
"Validation Error Group","Groupe d'erreur de validation"
"Validate on Each Transaction","Valider à chaque transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valeur par défaut lorsque les changements automatiques de groupe basés sur le numéro de TVA sont désactivés"
"Show VAT Number on Storefront","Afficher le numéro de TVA sur le frontend"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Pour afficher le numéro de TVA dans le frontend, réglez l'option d'affichage du numéro de TVA dans le frontend à Oui."
"Default Email Domain","Domaine de mail par défaut"
"Default Welcome Email","Email d'accueil par défaut"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le gabarit d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée."
"Default Welcome Email Without Password","Email de bienvenue par défaut sans mot de passe"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Cet e-mail sera envoyé au lieu de l’E-mail de bienvenue par défaut, si un client a été créé sans mot de passe. < br / > < br / &gt; modèle d’E-mail sur le thème fallback lorsque « Par défaut » est coché."
"Email Sender","Expéditeur du mail"
"Require Emails Confirmation","Nécessite la confirmation par email"
"Confirmation Link Email","Email de lien de confirmation"
"Welcome Email","Email de bienvenue"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Cet e-mail sera envoyé au lieu de l’E-mail de bienvenue par défaut, après confirmation du compte. < br / > < br / &gt; modèle d’E-mail sur le thème fallback lorsque « Par défaut » est coché."
"Generate Human-Friendly Customer ID","Générer un ID client facile à lire"
"Password Options","Options de mot de passe"
"Forgot Email Template","Gabarit du mail d'oubli"
"Remind Email Template","Gabarit d'email de rappel"
"Reset Password Template","Réinitialiser le gabarit de mot de passe"
"Password Template Email Sender","Expéditeur de l'email du gabarit de mot de passe"
"Recovery Link Expiration Period (hours)","Durée avant expiration (en heure) du lien de récupération"
"Please enter a number 1 or greater in this field.","Veuillez saisir un nombre supérieur ou égal à 1."
"Number of Required Character Classes","Nombre de classes de caractères requises"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Le nombre de classes de caractères différentes requises dans le mot de passe : Lettre Petite, Majuscules, Chiffres, Caractères spéciaux."
"Minimum Password Length","Longueur minimale du mot de passe"
"Maximum Login Failures to Lockout Account","Nombre d'échecs maximum pour le verrouillage du compte"
"Use 0 to disable account locking.","Utilisez 0 pour désactiver le verrouillage de compte."
"Lockout Time (minutes)","Verrouillage après une période d'inactivité (en minutes)"
