"Sign Out","Kijelentkezés"
"Sign Up for Newsletter","Iratkozzon fel hírlevelünkre"
"Address Information","Címadatok"
"Sign-in Information","Bejelentkezési adatok"
"Confirm Password","Jelszó megerősítése"
"Create an Account","Felhasználó létrehozása"
"Set a New Password","Állítson be egy új jelszót"
"You have signed out and will go to our homepage in 5 seconds.","Ön kijelentkezett. 5 másodperc múlva átirányítjuk honlapunkra."
"New Customers","Új vásárlók"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Új fiók létrehozásának számos előnye van: gyorsabb vásárlás, akár több cím mentése, megrendeléseit nyomon követheti, stb."
"Company","Cég"
"Fax","Faxszám"
"Gender","Nem"
"Name","Név"
"Tax/VAT number","Tax/VAT number"
"Phone Number","Telefonszám"
"Welcome to %store_name","Üdvözlet a %store_name webáruházban"
"%name,","%név"
"Welcome to %store_name.","Üdvözlet a %store_name webáruházban."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","A bejelentkezéshez használja ezeket az adatokat fizetés közben vagy a <a href=""%customer_url"">Saját fiók</a> oldalon:"
"Email:","E-mail:"
"Password:","Jelszó:"
"Password you set when creating account","Jelszó beállítva a felhasználói fiók létrehozásakor"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Elfelejtette a jelszavát? <a href=""%reset_url"">Kattintson ide</a> a visszaállításhoz."
"When you sign in to your account, you will be able to:","Ha bejelentkezel a felhasználói fiókodba, képes leszel:"
"Proceed through checkout faster","Gyorsabb vásárlásra"
"Check the status of orders","Rendelések állapotának ellenőrzésére"
"View past orders","Korábbi rendelések megtekintésére"
"Store alternative addresses (for shipping to multiple family members and friends)","További címek tárolására (szállítás családtagoknak, vagy barátoknak)"
"Please confirm your %store_name account","Kérjük, erősítse meg a %store_name fiókját"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Meg kell erősítenie regisztrációját a %customer_email e-mailben, mielőtt bejelentkezik. (az aktiváló link csak egyszer érvényes):"
"Confirm Your Account","Fiók megerősítése"
"Thank you for confirming your %store_name account.","Köszönjük, hogy megerősítette a %store_name fiókját."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Ahhoz, hogy bejelentkezzen weboldalunkra és beállíthasson egy jelszót, kattintson <a href=""%create_password_url"">erre a linkre</a>:"
"Your %store_name email has been changed","A %store_name email megváltoztatva"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","Kérvény érkezett hozzánk az Ön következő fiókadatainak megváltoztatására: %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Ha ezt a műveletet nem Ön engedélyezte, kérjük lépjen kapcsolatba velünk azonnal <a href=""mailto:%store_email"">%store_email</a> e-mail címen."
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","A %store_name email és jelszó megváltoztatva"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Kérvény érkezett hozzánk az Ön következő fiókadatainak megváltoztatására: %store_name: email, jelszó."
"Reset your %store_name password","Az Ön %store_name jelszavának visszaállítása"
"There was recently a request to change the password for your account.","Nemrég kérelmezték a fiók jelszavának megváltoztatását."
"If you requested this change, set a new password here:","Ha Ön kérte ezt a változtatást, adja meg az új jelszavát itt:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Ha nem Ön kérvényezte a változtatást, nyugodtan figyelmen kívül hagyhatja ezt az e-mailt, a jelszó változatlan marad."
"Your %store_name password has been changed","Az Ön %store_name jelszava megváltozott"
"We have received a request to change the following information associated with your account at %store_name: password.","Kérvény érkezett hozzánk az Ön következő fiókadatainak megváltoztatására: %store_name: password."
"Checkout as a new customer","Fizetés mint új vásárló"
"Creating an account has many benefits:","A fiók létrehozásának rengeteg előnye van:"
"See order and shipping status","A rendelési és szállítási állapot megtekintése"
"Track order history","Rendelés történet nyomonkövetése"
"Check out faster","Gyorsabb fizetés"
"Checkout using your account","Fizetés az Ön fiókjának használatával"
"Email Address","Email cím"
"Are you sure you want to do this?","Biztos benne, hogy végrehajtja a műveletet?"
"Are you sure you want to delete this address?","Biztos, hogy törli ezt a címet?"
"Weak","Gyenge"
"Medium","Közepes"
"Strong","Erős"
"Very Strong","Nagyon erős"
"Guest checkout is disabled.","Vendég vásárlás letiltva."
"All Customers","Összes vásárló"
"Now Online","Most online"
"Customers Section","Ügyfél szakasz"
"Customer Configuration","Vevő beállítás"
"Account Sharing Options","Fiók megosztási lehetőségek"
"Share Customer Accounts","Ügyfél fiók megosztás"
"Create New Account Options","Új fiók létrehozásának lehetóségei"
"Enable Automatic Assignment to Customer Group","Vevőcsoport automatikus hozzárendelésének engedélyezése"
"Tax Calculation Based On","Adó kiszámítása"
"Default Group","Alapértelmezett csoport"
"Group for Valid VAT ID - Domestic","Érvényes adószám csoportja - Belföldi"
"Group for Valid VAT ID - Intra-Union","Érvényes adószám csoport - Unión belüli"
"Group for Invalid VAT ID","Érvénytelen adószám csoport"
"Validation Error Group","Adószám ellenőrzési hiba csoport"
"Validate on Each Transaction","Ellenőrzés minden tranzakciónál"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Az adószám alapján történő vevőcsoport váltás alapértelmezett értéke"
"Show VAT Number on Storefront","Adószám megjelenítése a boltban"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Ahhoz, hogy az adószám megjelenjen a bolt nézetben, állítsa az Adószám megjelenítése a boltban értékét Igenre."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Alapértelmezett üdvözlő E-mail üzenet"
"Email template chosen based on theme fallback when ""Default"" option is selected.","A kiválasztott email sablon alapján a tartalék téma amikor az ""Alapértelmezett"" opció van kiválasztva."
"Default Welcome Email Without Password","Alapértelmezett üdvözlő e-mail jelszó nélkül"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Email feladója"
"Require Emails Confirmation","E-mail megerősítés szükséges"
"Confirmation Link Email","Megerősítő link e-mail"
"Welcome Email","Üdvözlő e-mail"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Emberbarát ügyfélazonosító létrehozása"
"Password Options","Jelszó beállítások"
"Forgot Email Template","Elfelejtett e-mail sablon"
"Remind Email Template","Emlékeztető e-mail sablon"
"Reset Password Template","Jelszó visszaállítás saboln"
"Password Template Email Sender","Jelszó sablon e-mail feladó"
"Recovery Link Expiration Period (hours)","Helyreállítási Link lejárati idő (óra)"
"Please enter a number 1 or greater in this field.","Ebben a mezőben adjon meg egy számot, ami 1 vagy annál nagyobb."
"Number of Required Character Classes","Szükséges karakter típusok száma"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","A jelszóban kötelezően szereplő karakter típusok száma: kisbetű, nagybetű szám, speciális karakter."
"Minimum Password Length","A jelszó minimális hossza"
"Maximum Login Failures to Lockout Account","Hibás bejelentkezések maximális száma a fiók zárolásáig"
"Use 0 to disable account locking.","Adjon meg 0 értéket a fiók zárolás kikapcsolásához."
"Lockout Time (minutes)","Zárolási idő (perc)"
"Enable Autocomplete on login/forgot password forms","Az automatikus szövegkiegészítés bekapcsolása a bejelentkezésnél és az elfelejtett jelszónál"
"Account Information Options","Account Information Options"
"Change Email Template","E-mail Sablon Megváltoztatása"
"Change Email and Password Template","E-mail cím és Jelszó sablon megváltoztatása"
"Name and Address Options","Név és cím beállítások"
