"Sign Out","Izrakstīties"
"The VAT ID is valid. The current Customer Group will be used.","The VAT ID is valid. The current Customer Group will be used."
"The VAT ID is valid but no Customer Group is assigned for it.","The VAT ID is valid but no Customer Group is assigned for it."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Based on the VAT ID, the customer belongs to the Customer Group %s."
"Something went wrong while validating the VAT ID.","Something went wrong while validating the VAT ID."
"The customer would belong to Customer Group %s.","The customer would belong to Customer Group %s."
"There was an error detecting Customer Group.","There was an error detecting Customer Group."
"Validate VAT Number","Validate VAT Number"
"Date of Birth","Date of Birth"
"Done","Done"
"Prev","Prev"
"Next","Next"
"Today","Today"
"Bad request.","Nepareizs pieprasījums."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation."
"Thank you for registering with %1.","Thank you for registering with %1."
"Please check your email for confirmation key.","Please check your email for confirmation key."
"This email does not require confirmation.","This email does not require confirmation."
"Wrong email.","Nepareizs e-pasts."
"Your password reset link has expired.","Your password reset link has expired."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"We can't save the customer.","We can't save the customer."
"Please make sure your passwords match.","Please make sure your passwords match."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation."
"You saved the account information.","You saved the account information."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"Password confirmation doesn't match entered password.","Password confirmation doesn't match entered password."
"The password doesn't match this account. Verify the password and try again.","The password doesn't match this account. Verify the password and try again."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"We're unable to send the password reset email.","We're unable to send the password reset email."
"Please enter your email.","Lūdzu, ievadiet savu e-pastu."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ja vien ir kāds profils saistīts ar %1 epasta adresi, jūs saņemsiet elektronisku vēstuli ar saiti uz paroles maiņas formu."
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"A login and a password are required.","A login and a password are required."
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"Please enter a new password.","Please enter a new password."
"You updated your password.","Jūs atjauninājāt savu paroli."
"Something went wrong while saving the new password.","Something went wrong while saving the new password."
"You deleted the address.","You deleted the address."
"We can't delete the address right now.","We can't delete the address right now."
"No files for upload.","No files for upload."
"Address not found.","Address not found."
"You saved the address.","You saved the address."
"We can't save the address.","We can't save the address."
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Page not found.","Lapa nav atrasta."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"You have revoked the customer's tokens.","You have revoked the customer's tokens."
"We can't find a customer to revoke.","We can't find a customer to revoke."
"Something went wrong while saving file.","Something went wrong while saving file."
"You deleted the customer group.","You deleted the customer group."
"The customer group no longer exists.","The customer group no longer exists."
"Customers","Klienti"
"New Group","New Group"
"New Customer Groups","New Customer Groups"
"Edit Group","Labot grupu"
"Edit Customer Groups","Edit Customer Groups"
"You saved the customer group.","You saved the customer group."
"Please select customer(s).","Please select customer(s)."
"Customer could not be deleted.","Customer could not be deleted."
"You deleted the customer.","You deleted the customer."
"Something went wrong while editing the customer.","Something went wrong while editing the customer."
"Manage Customers","Manage Customers"
"Please correct the data sent.","Izlabojiet nosūtītos datus."
"A total of %1 record(s) were updated.","Kopā atjaunots %1 ieraksts(i)."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"The customer will receive an email with a link to reset password.","The customer will receive an email with a link to reset password."
"Something went wrong while resetting customer password.","Something went wrong while resetting customer password."
"The Store View selected for sending Welcome email from is not related to the customer's associated website.","The Store View selected for sending Welcome email from is not related to the customer's associated website."
"You saved the customer.","You saved the customer."
"Something went wrong while saving the customer.","Something went wrong while saving the customer."
"Customer has been unlocked successfully.","Customer has been unlocked successfully."
"Online Customers","Online Customers"
"Customers Now Online","Customers Now Online"
"Please define Wish List item ID.","Please define Wish List item ID."
"Please load Wish List item.","Please load Wish List item."
"Login successful.","Login successful."
"Invalid login or password.","Invalid login or password."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface"
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"The account is locked.","The account is locked."
"This account isn't confirmed. Verify and try again.","This account isn't confirmed. Verify and try again."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Please enter a password with at most %1 characters."
"The password needs at least %1 characters. Create a new password and try again.","The password needs at least %1 characters. Create a new password and try again."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Parolē jābūt vismaz %1 dažādu veidu simboliem: mazie burti, lielie burti, cipari, speciālie simboli."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
"This customer already exists in this store.","This customer already exists in this store."
"A customer with the same email address already exists in an associated website.","A customer with the same email address already exists in an associated website."
"The store view is not in the associated website.","The store view is not in the associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"Provided customer ID ""%customer_id"" isn't related to current customer address.","Provided customer ID ""%customer_id"" isn't related to current customer address."
"""%1"" is a required value.","""%1"" is a required value."
"Global","Globāls"
"Per Website","Per Website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We can't share customer accounts globally when the accounts share identical email addresses on more than one website."
"Billing Address","Norēķinu Adrese"
"Shipping Address","Piegādes adreses"
"-- Please Select --","-- Lūdzu, izvēlieties --"
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"Admin","Administrators"
"ALL GROUPS","VISAS GRUPAS"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","No such entity with %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Unable to create directory %1.","Unable to create directory %1."
"Destination folder is not writable or does not exists.","Destination folder is not writable or does not exists."
"Something went wrong while saving the file.","Something went wrong while saving the file."
"Reset password token expired.","Reset password token expired."
"No such entity with rp_token = %value","No such entity with rp_token = %value"
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" uses too many characters.","""%1"" uses too many characters."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' looks like an IP address, which is not an acceptable format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' looks like a DNS hostname but contains a dash in an invalid position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' looks like a DNS hostname but cannot extract TLD part."
"'%value%' does not look like a valid local network name.","'%value%' does not look like a valid local network name."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' looks like a local network name, which is not an acceptable format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"Could not delete customer group website with ID: %1","Could not delete customer group website with ID: %1"
"Could not save customer group website to exclude with ID: %1","Could not save customer group website to exclude with ID: %1"
"label","birka"
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"The specified customer group id does not exist.","The specified customer group id does not exist."
"Customer Group","Klientu grupa"
"You can't delete group ""%1"".","You can't delete group ""%1""."
"Could not save customer group website to exclude from customer group: ""%1""","Could not save customer group website to exclude from customer group: ""%1"""
"Could not retrieve excluded customer group websites by customer group: ""%1""","Could not retrieve excluded customer group websites by customer group: ""%1"""
"Could not retrieve all excluded customer group websites.","Could not retrieve all excluded customer group websites."
"Could not delete customer group with its excluded websites.","Could not delete customer group with its excluded websites."
"Could not delete customer group excluded website by id.","Could not delete customer group excluded website by id."
"Customer Group already exists.","Customer Group already exists."
"Cannot delete group.","Cannot delete group."
"The session has expired, please login again.","The session has expired, please login again."
"Something went wrong.","Something went wrong."
"Error during VAT Number verification.","Error during VAT Number verification."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"VAT Number is valid.","PVN reģistrācijas numurs ir derīgs."
"Please enter a valid VAT number.","Please enter a valid VAT number."
"Your VAT ID was successfully validated.","Your VAT ID was successfully validated."
"You will be charged tax.","Jums būs jāmaksā nodoklis."
"You will not be charged tax.","Jums nebūs jāmaksā nodoklis."
"The VAT ID entered (%1) is not a valid VAT ID.","The VAT ID entered (%1) is not a valid VAT ID."
"Your Tax ID cannot be validated.","Your Tax ID cannot be validated."
"If you believe this is an error, please contact us at %1","If you believe this is an error, please contact us at %1"
"This website is excluded from customer's group.","This website is excluded from customer's group."
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Male","Vīrietis"
"Female","Sieviete"
"Not Specified","Not Specified"
"NoSuchEntityException","NoSuchEntityException"
"EmailNotConfirmedException","EmailNotConfirmedException"
"AuthenticationException","AuthenticationException"
"UserLockedException","UserLockedException"
"InputException","InputException"
"Exception message","Exception message"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","nenoteikta kļūda"
"Street","Street"
"frontend_label","frontend_label"
"NOT LOGGED IN","NOT LOGGED IN"
"File with an extension php is protected and cannot be uploaded","File with an extension php is protected and cannot be uploaded"
"Please enter the state/province.","Please enter the state/province."
"region is a required field.","region is a required field."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Customer does not exist","Customer does not exist"
"Something went wrong","Something went wrong"
"Label","Label"
"Select...","Izvēlēties..."
"Edit","Labot"
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Visitor","Visitor"
"Customer","Klients"
"No item specified.","Nav norādīts produkts."
"Are you sure you want to remove this item?","Vai tiešām vēlaties nodzēst šo produktu?"
"Personal Information","Personal Information"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Account Lock:","Account Lock:"
"Confirmed email:","Confirmed email:"
"Account Created:","Account Created:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Default Billing Address","Norēķinu adrese pēc noklusējuma"
"Sales Statistics","Sales Statistics"
"Web Site","Mājas lapa"
"Store","Veikals"
"Lifetime Sales","Darbības laikā pārdotais"
"Average Sale","Average Sale"
"All Store Views","Visi veikala skati"
"Change","Mainīt"
"Manage Addresses","Pārvaldīt adreses"
"Default Shipping Address","Piegādes adrese pēc noklusējuma"
"Account Information","Konta informācija"
"Contact Information","Kontaktinformācija"
"Change Password","Mainīt paroli"
"Newsletters","Jaunumi"
"You are subscribed to ""General Subscription"".","Esat pieteicies jaunumu saņemšanai ""Noklusētajā"" sarakstā."
"or","vai"
"My Account","Mans konts"
"Default Addresses","Noklusējuma adrese"
"Change Billing Address","Mainīt Rēķina Adresi"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"Change Shipping Address","Mainīt piegādes adresi"
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"* Required Fields","* obligātie lauki"
"Address","Adrese"
"Street Address: Line %1","Street Address: Line %1"
"Street Address %1","Street Address %1"
"City","Pilsēta"
"It's a default billing address.","Tā ir noklusētā rēķinu adrese."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","Tā ir noklusētā piegādes adrese."
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Saglabāt adresi"
"Go back","Go back"
"Additional Address Entries","Citas adreses"
"Additional addresses","Additional addresses"
"First Name","Vārds"
"Last Name","Uzvārds"
"Street Address","Adrese"
"Country","Valsts"
"State","State"
"Zip/Postal Code","Pasta indekss"
"Phone","Phone"
"Actions","Actions"
"You have no other address entries in your address book.","You have no other address entries in your address book."
"Please enter your email below and we will send you the confirmation link.","Please enter your email below and we will send you the confirmation link."
"Email","E-pasts"
"Send confirmation link","Send confirmation link"
"Back to Sign In","Back to Sign In"
"Change Email","Change Email"
"Change Email and Password","Change Email and Password"
"Current Password","Pašreizējā parole"
"New Password","Jauna parole"
"Password Strength","Paroles stiprums"
"No Password","Nav paroles"
"Confirm New Password","Apstipriniet jauno paroli"
"Please enter your email address below to receive a password reset link.","Lūdzu, ievadiet savu e-pasta adresi, lai saņemtu e-pastu ar saiti uz paroles nomaiņas formu."
"Reset My Password","Atjaunot paroli"
"Registered Customers","Reģistrētiem klientiem"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
"Password","Parole"
"Forgot Your Password?","Aizmirsāt paroli?"
"Subscription option","Subscription option"
"General Subscription","General Subscription"
"Sign Up for Newsletter","Pieteikties jaunumu saņemšanai"
"Address Information","Address Information"
"Please select a region, state or province.","Izvēlieties reģionu, štatu vai novadu."
"Sign-in Information","Sign-in Information"
"Confirm Password","Apstiprināt paroli"
"Create an Account","Reģistrēties"
"Set a New Password","Izviedot jaunu paroli"
"You have signed out and will go to our homepage in 5 seconds.","Tu esi izrakstījies un tiksi pārvirzīts uz sākumlapu aptuveni pēc 5 sekundēm."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Jums ir jāapstiprina jūsu profils. Lūdzu pārbaudiet savu e-pastu un nospiediet uz apstriprinājuma saites vai <a href=""%1"">nospiediet šeit</a> lai iegūtu jaunu saiti."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"New Customers","Jauni klienti"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Reģistrētiem klientiem ir vairākas priekšrocības: atvieglota, ātrāka pasūtījumu noformēšana, vairāku adrešu saglabāšana, pirkumu vēsture un citas priekšrocības."
"Company","Kompānija"
"Fax","Fakss"
"Name","Vārds"
"Phone Number","Tālruņa numurs"
"Welcome to %store_name","Laipni lūgti %store_name"
"%name,","%name,"
"Welcome to %store_name.","Laipni lūgti %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Lai pieslēgtos sistēmai, lietojiet šos datus iepērkoties <a href=""%customer_url"">Mans konts</a> sadaļā:"
"Email:","E-pasts:"
"Password:","Parole:"
"Password you set when creating account","Parole, ko ievadījāt izveidojot kontu"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Aizmirsāt paroli? <a href=""%reset_url"">Atjaunot paroli</a>."
"When you sign in to your account, you will be able to:","Pieslēdzoties kontam Jūs varēsiet:"
"Proceed through checkout faster","Ātrāk noformēt pasūtījumu"
"Check the status of orders","Pārbaudīt pasūtījumu statusu"
"View past orders","Apskatīt iepriekšējos pasūtījumus"
"Store alternative addresses (for shipping to multiple family members and friends)","Saglabāt vairākas piegādes adreses (lai piegādātu vairākiem ģimenes locekļiem un draugiem)"
"Please confirm your %store_name account","Please confirm your %store_name account"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","You must confirm your %customer_email email before you can sign in (link is only valid once):"
"Confirm Your Account","Confirm Your Account"
"Thank you for confirming your %store_name account.","Thank you for confirming your %store_name account."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","Your %store_name email has been changed"
"We have received a request to change the following information associated with your account at %store_name: email.","We have received a request to change the following information associated with your account at %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>"
"Your %store_name email and password has been changed","Your %store_name email and password has been changed"
"We have received a request to change the following information associated with your account at %store_name: email, password.","We have received a request to change the following information associated with your account at %store_name: email, password."
"Reset your %store_name password","Reset your %store_name password"
"There was recently a request to change the password for your account.","There was recently a request to change the password for your account."
"If you requested this change, set a new password here:","If you requested this change, set a new password here:"
"If you did not make this request, you can ignore this email and your password will remain the same.","If you did not make this request, you can ignore this email and your password will remain the same."
"Your %store_name password has been changed","Your %store_name password has been changed"
"We have received a request to change the following information associated with your account at %store_name: password.","We have received a request to change the following information associated with your account at %store_name: password."
"Checkout as a new customer","Checkout as a new customer"
"Creating an account has many benefits:","Reģistrētiem klientiem ir vairākas priekšrocības:"
"See order and shipping status","See order and shipping status"
"Track order history","Track order history"
"Check out faster","Check out faster"
"Checkout using your account","Checkout using your account"
"Email Address","E-pasta adrese"
"Show Password","Show Password"
"Are you sure you want to do this?","Vai tiešām vēlaties to darīt?"
"Sorry, there has been an error processing your request. Please try again later.","Sorry, there has been an error processing your request. Please try again later."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"Weak","Vāja"
"Medium","Vidēja"
"Strong","Stipra"
"Very Strong","Ļoti stipra"
"Invalid date","Invalid date"
"The Date of Birth should not be greater than today.","The Date of Birth should not be greater than today."
"Guest checkout is disabled.","Pirkuma noformēšana viesiem ir izslēgta."
"All Customers","Visi klienti"
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Now Online","Now Online"
"Customers Section","Customers Section"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Noklusētā grupa"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-pasta šablons izvēlēts balstoties uz iepriekšējās tēmas, ja ir izvēlēta ""noklusētā"" opcija."
"Default Welcome Email Without Password","Default Welcome Email Without Password"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","E-pasta sūtītājs"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Recovery Link Expiration Period (hours)"
"Please enter a number 1 or greater in this field.","Ievadiet ciparu 1 vai lielāku šajā laukā."
"Number of Required Character Classes","Number of Required Character Classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
"Minimum Password Length","Minimum Password Length"
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"Use 0 to disable account locking.","Use 0 to disable account locking."
