"Sign Out","Atsijungti"
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"Additional Address Entries","Papildomi Adresai"
"Delete Address","Ištrinti adresą"
"You have no other address entries in your address book.","Jūsų adresų knygoje nėra kitų adresų įrašų."
"* Required Fields","* Privalomi laukai"
"Address","Adresas"
"Street Address","Adresas"
"Street Address %1","Adresas %1"
"VAT Number","PVM mokėtojo kodas"
"City","Miestas"
"State/Province","Rajonas/apskritis"
"Please select a region, state or province.","Prašome pasirinkti regioną, valstiją arba provinciją."
"Zip/Postal Code","Pašto kodas"
"Country","Šalis"
"It's a default billing address.","Tai yra pagrindinis atsiskaitymo adresas."
"Use as my default billing address","Naudoti kaip pagrindinį atsiskaitymo adresą"
"It's a default shipping address.","Tai yra pagrindinis pristatymo adresas."
"Use as my default shipping address","Naudoti kaip pagrindinį pristatymo adresą"
"Save Address","Išsaugoti adresą"
"Go back","Atgal"
"Please enter your email below and we will send you the confirmation link.","Please enter your email below and we will send you the confirmation link."
"Email","El. paštas"
"Send confirmation link","Send confirmation link"
"Back to Sign In","Back to Sign In"
"Change Email","Keisti el.paštą"
"Change Email and Password","Keisti el. pašto adresą ir slaptažodį"
"Current Password","Dabartinis slaptažodis"
"New Password","Naujas slaptažodis"
"Password Strength","Slaptažodžio sudėtingumas"
"No Password","Jokio slaptažodžio"
"Confirm New Password","Patvirtinti naują slaptažodį"
"Save","Išsaugoti"
"Please enter your email address below to receive a password reset link.","Įveskite savo el. paštą, norėdami gauti slaptažodžio atstatymo nuorodą."
"Reset My Password","Atstatyti slaptažodį"
"Registered Customers","Registruotiems klientams"
"If you have an account, sign in with your email address.","Jeigu jau turite susikurę paskyrą, prisijunkite naudodami savo el. pašto adresą."
"Password","Slaptažodis"
"Forgot Your Password?","Pamiršote slaptažodį?"
"Subscription option","Prenumeratos"
"General Subscription","Bendra Prenumerata"
"Sign Up for Newsletter","Užsisakykite naujienlaiškį"
"Address Information","Address Information"
"Sign-in Information","Prisijungimo informacija"
"Confirm Password","Patvirtinkite slaptažodį"
"Create an Account","Sukurti paskyrą"
"Set a New Password","Nustatyti naują slaptažodį"
"You have signed out and will go to our homepage in 5 seconds.","Išsiregistravote. Už 5 sekundžių būsite nukreipti į pradinį puslapį."
"New Customers","Naujiems klientams"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Paskyros sukūrimas turi daug privalumų: greitesnis atsiskaitymas, galimybe įvesti daugiau nei vieną pristatymo adresą, sekti užsakymus ir dar daugiau."
"Company","Įmonė"
"Fax","Faksas"
"Gender","Gender"
"Name","Vardas"
"Tax/VAT number","PVM mokėtojo kodas"
"Phone Number","Telefono numeris"
"Welcome to %store_name","Sveiki atvykę į %store_name"
"%name,","%name,"
"Welcome to %store_name.","Welcome to %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:"
"Email:","El. paštas:"
"Password:","Slaptažodis:"
"Password you set when creating account","Slaptažodis kurį nurodėte registruojantis"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Pamiršote savo slaptažodį? Spustelėkite <a href=""%reset_url""> čia</a> norėdami jį atkurti."
"When you sign in to your account, you will be able to:","When you sign in to your account, you will be able to:"
"Proceed through checkout faster","Proceed through checkout faster"
"Check the status of orders","Check the status of orders"
"View past orders","View past orders"
"Store alternative addresses (for shipping to multiple family members and friends)","Store alternative addresses (for shipping to multiple family members and friends)"
"Please confirm your %store_name account","Please confirm your %store_name account"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","You must confirm your %customer_email email before you can sign in (link is only valid once):"
"Confirm Your Account","Patvirtinkite savo paskyrą"
"Thank you for confirming your %store_name account.","Thank you for confirming your %store_name account."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","Your %store_name email has been changed"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","We have received a request to change the following information associated with your account at %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","Your %store_name email and password has been changed"
"We have received a request to change the following information associated with your account at %store_name: email, password.","We have received a request to change the following information associated with your account at %store_name: email, password."
"Reset your %store_name password","Reset your %store_name password"
"There was recently a request to change the password for your account.","There was recently a request to change the password for your account."
"If you requested this change, set a new password here:","If you requested this change, set a new password here:"
"If you did not make this request, you can ignore this email and your password will remain the same.","If you did not make this request, you can ignore this email and your password will remain the same."
"Your %store_name password has been changed","Your %store_name password has been changed"
"We have received a request to change the following information associated with your account at %store_name: password.","We have received a request to change the following information associated with your account at %store_name: password."
"Checkout as a new customer","Checkout as a new customer"
"Creating an account has many benefits:","Creating an account has many benefits:"
"See order and shipping status","See order and shipping status"
"Track order history","Track order history"
"Check out faster","Check out faster"
"Checkout using your account","Checkout using your account"
"Email Address","El. paštas"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure you want to delete this address?","Jūs įsitikinęs, kad norite ištrinti šį adresą?"
"Weak","Silpnas"
"Medium","Vidutinis"
"Strong","Stiprus"
"Very Strong","Labai stiprus"
"Guest checkout is disabled.","Guest checkout is disabled."
"All Customers","All Customers"
"Now Online","Now Online"
"Customers Section","Customers Section"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Default Welcome Email Without Password","Default Welcome Email Without Password"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Email Sender"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Recovery Link Expiration Period (hours)"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Number of Required Character Classes","Number of Required Character Classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
"Minimum Password Length","Minimum Password Length"
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"Use 0 to disable account locking.","Use 0 to disable account locking."
"Lockout Time (minutes)","Lockout Time (minutes)"
"Enable Autocomplete on login/forgot password forms","Enable Autocomplete on login/forgot password forms"
"Account Information Options","Account Information Options"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Change Email and Password Template"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Visada neprivaloma."
"Show Suffix","Show Suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Show Date of Birth"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show Gender","Show Gender"
"Show Telephone","Show Telephone"
"Show Company","Show Company"
"Show Fax","Show Fax"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","Customer Notification"
"Assign a Customer Group","Assign a Customer Group"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Customer Grid"
"Rebuild Customer grid index","Rebuild Customer grid index"
"Group","Group"
"Add New Customer","Add New Customer"
"Are you sure to delete selected customers?","Are you sure to delete selected customers?"
"Delete items","Delete items"
"Subscribe to Newsletter","Subscribe to Newsletter"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Unsubscribe from Newsletter","Unsubscribe from Newsletter"
"Phone","Telefonas"
"ZIP","ZIP"
"Customer Since","Customer Since"
"Confirmed email","Confirmed email"
"Account Created in","Account Created in"
"Tax VAT Number","Tax VAT Number"
"Billing Firstname","Billing Firstname"
"Billing Lastname","Mokėtojo pavardė"
"Account Lock","Account Lock"
"First Name","Vardas"
"Last Name","Pavardė"
"Last Activity","Last Activity"
"Type","Tipas"
"Customer Information","Customer Information"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
"Disable Automatic Group Change Based on VAT ID","Disable Automatic Group Change Based on VAT ID"
"Send Welcome Email From","Send Welcome Email From"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
"Addresses","Addresses"
"Account Dashboard","Paskyros skydelis"
"Edit Account Information","Redaguoti paskyros informaciją"
"Password forgotten","Pamirštas slaptažodis"
"My Dashboard","Valdymo skydelis"
"You are signed out","Atsijungėte"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don't subscribe to our newsletter.","Jūs nesate užsiprenumeravę mūsų naujienlaiškio."
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Invalid input","Invalid input"
"Confirm your new password.","Patvirtinkite naują slaptažodį."
"Something went wrong while changing the password.","Something went wrong while changing the password."
"Please enter the first name.","Prašome įvesti vardą."
"Please enter the last name.","Įveskite pavardę."
"Please enter the street.","Please enter the street."
"Please enter the city.","Please enter the city."
"Please enter the phone number.","Please enter the phone number."
