"Sign Out","Αποσύνδεση"
"You deleted the address.","Διαγράψατε τη διεύθυνση."
"We can't delete the address right now.","Αδύνατη η διαγραφή της διεύθυνσης αυτή τη στιγμή."
"You saved the address.","Η διεύθυνση αποθηκεύτηκε."
"We can't save the address.","Δεν ήταν δυνατή η αποθηκεύση της διεύθυνσης."
"No customer ID defined.","Δεν ορίστηκε ID πελάτη."
"Please correct the quote items and try again.","Διορθώστε τα στοιχεία παράθεσης και προσπαθήστε ξανά."
"You have revoked the customer's tokens.","Έχετε ανακαλέσει τα διακριτικά του πελάτη."
"We can't find a customer to revoke.","Δεν βρέθηκε πελάτης για ανάκληση."
"Something went wrong while saving file.","Κάτι πήγε στραβά κατά την αποθήκευση αρχείου."
"You deleted the customer group.","Έχετε διαγράψει την ομάδα πελατών."
"The customer group no longer exists.","Η ομάδα του πελάτη δεν υπάρχει πλέον."
"Customers","Πελάτες"
"New Group","Νέα ομάδα"
"New Customer Groups","Νέα Ομάδα Πελατών"
"Edit Group","Επεξεργασία ομάδας"
"Edit Customer Groups","Επεξεργασία Ομάδας Πελατών"
"You saved the customer group.","Αποθηκεύσατε την ομάδα πελατών."
"Please select customer(s).","Παρακαλώ επιλέξτε πελάτης(ες)."
"Customer could not be deleted.","Δεν ήταν δυνατή η διαγραφή του πελάτη."
"You deleted the customer.","Διαγράψατε τον πελάτη."
"Something went wrong while editing the customer.","Κάτι πήγε στραβά κατά την επεξεργασία του πελάτη."
"Manage Customers","Διαχειριστείτε τους πελάτες"
"Please correct the data sent.","Παρακαλώ διορθώστε τα απεσταλμένα δεδομένα."
"A total of %1 record(s) were updated.","Συνολικά %1 εγγραφή(ές) ενημερώθηκαν."
"A total of %1 record(s) were deleted.","Συνολικά %1 εγγραφη(ές) διαγράφηκαν."
"The customer will receive an email with a link to reset password.","Ο πελάτης θα λάβει ένα email με ένα σύνδεσμο για επαναφορά του κωδικού πρόσβασης."
"Something went wrong while resetting customer password.","Κάτι πήγε στραβά κατά την επαναφορά του κωδικού πρόσβασης του πελάτη."
"You saved the customer.","Αποθηκεύσατε τον πελάτη."
"Something went wrong while saving the customer.","Κάτι πήγε στραβά κατά την αποθήκευση του πελάτη."
"Page not found.","Η σελίδα δεν βρέθηκε."
"Customer has been unlocked successfully.","Πελάτης έχει ξεκλειδωθεί με επιτυχία."
"Online Customers","Πελάτες σε Σύνδεση"
"Customers Now Online","Πελάτες Τώρα Online"
"Please define Wish List item ID.","Παρακαλούμε προσδιορίστε ένα ID στοιχείου Λίστας Επιθυμιών."
"Please load Wish List item.","Παρακαλούμε φορτώστε το στοιχείο της λίστας επιθυμιών."
"Login successful.","Επιτυχημένη Σύνδεση."
"Invalid login or password.","Μη έγκυρες πληροφορίες σύνδεσης ή κωδικός πρόσβασης."
"""%1"" section source is not supported","πηγή τμήματος ""%1"" δεν υποστηρίζεται"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","Το %1 δεν επεκτείνει το \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","Καμία επιβεβαίωση δεν απαιτείται."
"Account already active","Ήδη ενεργός λογαριασμός"
"Invalid confirmation token","Μη έγκυρο διακριτικό επιβεβαίωσης"
"The account is locked.","Ο λογαριασμός έχει κλειδωθεί."
"This account is not confirmed.","Αυτός ο λογαριασμός δεν έχει επιβεβαιωθεί."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Παρακαλώ εισάγετε έναν κωδικό πρόσβασης το πολύ με %1 χαρακτήρες."
"Please enter a password with at least %1 characters.","Παρακαλώ εισάγετε έναν κωδικό πρόσβασης με τουλάχιστον %1 χαρακτήρες."
"The password can't begin or end with a space.","Ο κωδικός πρόσβασης δεν μπορεί να αρχίζει ή να τελειώνει με ένα κενό χαρακτήρα."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Το ελάχιστο διαφορετικών κατηγοριών χαρακτήρων στο κωδικό πρόσβασης είναι %1. Κατηγορίες χαρακτήρων: πεζά γράμματα, κεφαλαία γράμματα, ψηφία, ειδικοί χαρακτήρες."
"Password cannot be the same as email address.","Ο Κωδικός πρόσβασης δεν μπορεί να είναι ο ίδιος με τη διεύθυνση ηλεκτρονικού ταχυδρομείου."
"This customer already exists in this store.","Σε αυτό το κατάστημα υπάρχει ήδη αυτός ο πελάτης."
"A customer with the same email already exists in an associated website.","Ένας πελάτης με την ίδια διεύθυνση email υπάρχει ήδη σε αυτόν τον ιστότοπο."
"Invalid value of ""%value"" provided for the %fieldName field.","Μη έγκυρη τιμή του ""%value"" δόθηκε για το πεδίο %fieldName."
"%fieldName is a required field.","%fieldName είναι ένα απαιτούμενο πεδίο."
"Reset password token mismatch.","Αποτυχία διακριτικού Επαναφοράς κωδικού."
"Reset password token expired.","Το Διακριτικό Επαναφοράς κωδικού πρόσβασης έχει λήξει."
"Please correct the transactional account email type.","Παρακαλώ διορθώστε το τύπο email λογαριασμού συναλλαγών."
"""%1"" is a required value.","""%1"" είναι μια απαιτούμενη τιμή."
"Global","Παγκόσμια"
"Per Website","Ανά ιστοσελίδα"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Δεν είναι δυνατός ο διαμοιρασμός λογαριασμών πελατών από κοινού όταν οι λογαριασμοί μοιράζονται ίδιες διευθύνσεις email σε περισσότερες από μία ιστοσελίδες."
"Billing Address","Διεύθυνση Χρέωσης"
"Shipping Address","Διεύθυνση Αποστολής"
"-- Please Select --","--Παρακαλώ επιλέξτε--"
"Please enter a valid password reset token.","Παρακαλώ εισάγετε έναν έγκυρο διακριτικό επαναφοράς κωδικού πρόσβασης."
"The password can not begin or end with a space.","Ο κωδικός πρόσβασης δεν μπορεί να αρχίζει και να τελειώνει με ένα κενό χαρακτήρα."
"Admin","Διαχείριση"
"ALL GROUPS","ΟΛΕΣ ΟΙ ΟΜΑΔΕΣ"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Καμία τέτοια οντότητα με %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Δεν μπορεί να αποθηκευτεί το αρχείο στο φάκελο προορισμού."
"Unable to create directory %1.","Δεν είναι δυνατή η δημιουργία καταλόγου %1."
"Destination folder is not writable or does not exists.","Ο φάκελος προορισμού δεν είναι εγγράψιμος ή δεν υπάρχει."
"Something went wrong while saving the file.","Κάτι πήγε στραβά κατά την αποθήκευση του αρχείου."
"Attribute object is undefined","Αντικείμενο χαρακτηριστικό δεν έχει οριστεί"
"""%1"" invalid type entered.","μη έγκυρος τύπος ""%1"" εισάχθηκε."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" περιέχει μη-αλφαβητικούς ή μη αριθμητικούς χαρακτήρες."
"""%1"" is an empty string.","""%1"" είναι μια κενή συμβολοσειρά."
"""%1"" contains non-numeric characters.","""%1"" περιέχει μη αριθμητικούς χαρακτήρες."
"""%1"" contains non-alphabetic characters.","""%1"" περιέχει μη-αλφαβητικούς χαρακτήρες."
"""%1"" is not a valid email address.","""%1"" δεν είναι μια έγκυρη διεύθυνση email."
"""%1"" is not a valid hostname.","""%1"" δεν είναι έγκυρο όνομα κεντρικού υπολογιστή."
"""%1"" uses too many characters.","""%1"" χρησιμοποιεί πάρα πολλούς χαρακτήρες."
"'%value%' looks like an IP address, which is not an acceptable format.","""%value%"" μοιάζει με μια διεύθυνση IP, η οποία δεν έχει αποδεκτή μορφή."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' μοιάζει με ένα όνομα κεντρικού υπολογιστή DNS, αλλά περιέχει μια παύλα σε μια μη έγκυρη θέση."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' μοιάζει με ένα όνομα κεντρικού υπολογιστή DNS, αλλά δεν ταιριάζει με το σχήμα ονόματος κεντρικού υπολογιστή για το TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' μοιάζει με ένα όνομα κεντρικού υπολογιστή DNS, αλλά δεν είναι δυνατή η εξαγωγή τμήματος TLD."
"'%value%' does not look like a valid local network name.","'%value%' δεν μοιάζει με ένα έγκυρο όνομα τοπικού δικτύου."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' μοιάζει με ένα όνομα τοπικού δικτύου, το οποίο δεν αποτελεί αποδεκτή μορφή."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' φαίνεται να είναι ένα όνομα κεντρικού υπολογιστή DNS, αλλά δεν μπορούν να αποκωδικοποιηθούν τα δεδομένα σημειογραφίας punycode."
"""%1"" is not a valid URL.","«%1» δεν είναι μια έγκυρη διεύθυνση URL."
"""%1"" is not a valid date.","""%1"" δεν είναι έγκυρη ημερομηνία."
"""%1"" does not fit the entered date format.","""%1"" δεν ταιριάζει τη μορφή ημερομηνίας που έχει εισαχθεί."
"Please enter a valid date between %1 and %2 at %3.","Παρακαλούμε εισάγετε μια έγκυρη ημερομηνία μεταξύ %1 και %2 σε %3."
"Please enter a valid date equal to or greater than %1 at %2.","Παρακαλώ εισάγετε μια έγκυρη ημερομηνία ίση ή μεγαλύτερη από %1 σε %2."
"Please enter a valid date less than or equal to %1 at %2.","Παρακαλώ εισάγετε μια έγκυρη ημερομηνία λιγότερη ή ίση με %1 στο %2."
"""%1"" is not a valid file extension.","«%1» δεν είναι μια έγκυρη επέκταση αρχείου."
"""%1"" is not a valid file.","""%1"" δεν είναι ένα έγκυρο αρχείο."
"""%1"" exceeds the allowed file size.","""%1"" υπερβαίνει το επιτρεπόμενο μέγεθος."
"""%1"" is not a valid image format.","""%1"" δεν είναι μια έγκυρη μορφή εικόνας."
"""%1"" width exceeds allowed value of %2 px.","""%1"" πλάτος υπερβαίνει τις επιτρεπόμενες τιμές του %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" ύψος υπερβαίνει τις επιτρεπόμενες τιμές του %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" μήκος πρέπει να είναι ίσο ή μεγαλύτερο από %2 χαρακτήρες."
"""%1"" length must be equal or less than %2 characters.","""%1"" μήκος πρέπει να είναι ίσο ή μικρότερο από %2 χαρακτήρες."
"label","ετικέτα"
"Please enter a customer email.","Παρακαλώ εισάγετε ένα email πελάτη."
"A customer website ID must be specified when using the website scope.","Το ID ιστοσελίδας πελάτη πρέπει να καθοριστεί κατά τη χρήση του πεδίου εφαρμογής της ιστοσελίδας."
"Customer Group","Ομάδα Πελατών"
"You can't delete group ""%1"".","Δεν είναι δυνατή η διαγραφή της ομάδας ""%1""."
"Customer Group already exists.","H Ομάδα Πελατών, υπάρχει ήδη."
"Cannot delete group.","Δεν είναι δυνατή η διαγραφή της ομάδας."
"Error during VAT Number verification.","Σφάλμα κατά την επαλήθευση του ΑΦΜ."
"PHP SOAP extension is required.","Απαιτείται η επέκταση PHP SOAP."
"VAT Number is valid.","Το ΑΦΜ δεν είναι έγκυρο."
"Please enter a valid VAT number.","Παρακαλώ εισάγετε ένα έγκυρο ΑΦΜ."
"Your VAT ID was successfully validated.","Το ΑΦΜ σας επικυρώθηκε επιτυχώς."
"You will be charged tax.","Θα χρεωθείτε φόρο."
"You will not be charged tax.","Δεν θα χρεωθείτε φόρο."
"The VAT ID entered (%1) is not a valid VAT ID.","Το ΑΦΜ που εισάγατε (%1) δεν είναι ένα έγκυρο ΑΦΜ."
"Your Tax ID cannot be validated.","Δεν μπορεί να επικυρωθεί το ID Φόρου σας."
"If you believe this is an error, please contact us at %1","Αν πιστεύετε ότι αυτό είναι ένα σφάλμα, παρακαλώ επικοινωνήστε μαζί μας στο %1"
"No such entity with %fieldName = %fieldValue","Καμία τέτοια οντότητα με %fieldName = %fieldValue"
"Male","Άνδρας"
"Female","Γυναίκα"
"Not Specified","Μη Καθορισμένο"
"Thank you for registering with","Ευχαριστούμε που εγγραφήκατε στο"
"enter your billing address for proper VAT calculation","εισάγετε τη διεύθυνση χρέωσής σας για σωστό υπολογισμό ΦΠΑ"
"enter your shipping address for proper VAT calculation","εισάγετε τη διεύθυνση αποστολής σας για τον κατάλληλο υπολογισμό Φόρου"
"Please enter new password.","Παρακαλώ εισάγετε ένα νέο κωδικό πρόσβασης."
"message","μήνυμα"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Εξαίρεση"
"InputException.","Εξαίρεση Εισαγωγής."
"InputException","Εξαίρεση Εισαγωγής"
"Exception message","Μήνυμα εξαίρεσης"
"Validator Exception","Εξαίρεση Προγράμματος Επικύρωσης"
"Localized Exception","Εξαίρεση με Τοπική ρύθμιση"
"some error","κάποιο λάθος"
"frontend_label","frontend_label"
"NOT LOGGED IN","ΔΕΝ ΕΙΣΤΕ ΣΥΝΔΕΔΕΜΕΝΟΙ"
"Please enter the state/province.","Παρακαλούμε εισάγετε το νομό/επαρχία."
"region is a required field.","τμήμα είναι υποχρεωτικό πεδίο."
"regionId is a required field.","id τμήματος είναι υποχρεωτικό πεδίο."
"Label","Ετικέτα"
"Select...","Επιλέξτε..."
"Edit","Επεξεργασία"
"Visitor","Επισκέπτης"
"Customer","Πελάτης"
"No item specified.","Δεν καθορίστηκε είδος."
"Are you sure you want to remove this item?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτό το είδος;"
"Personal Information","Προσωπικές Πληροφορίες"
"Last Logged In:","Τελευταία Σύνδεση Στις:"
"Last Logged In (%1):","Τελευταία Σύνδεση Στις (%1):"
"Account Lock:","Κλείδωμα του Λογαριασμού:"
"Confirmed email:","Επιβεβαιωμένο email:"
"Account Created:","Ο Λογαριασμός Δημιουργήθηκε Στις:"
"Account Created on (%1):","Ο Λογαριασμός Δημιουργήθηκε Στις (%1):"
"Account Created in:","Ο Λογαριασμός Δημιουργήθηκε Στις:"
"Customer Group:","Ομάδα Πελατών:"
"Default Billing Address","Προεπιλεγμένη Διεύθυνση Χρέωσης"
"Sales Statistics","Στατιστικά Πωλήσεων"
"Web Site","Ιστοσελίδα"
"Store","Κατάστημα"
"Store View","Προβολή Καταστήματος"
"Lifetime Sales","Όλες οι Πωλήσεις"
"Average Sale","Μέσος όρος πώλησης"
"All Store Views","Όλες οι Προβολές Καταστήματος"
"Change","Αλλαγή"
"Manage Addresses","Διαχείριση Διευθύνσεων"
"Default Shipping Address","Προεπιλεγμένη Διεύθυνση Αποστολής"
"Contact Information","Στοιχεία Επικοινωνίας"
"Change Password","Αλλαγή Κωδικού Πρόσβασης"
"Newsletters","Ενημερωτικά Δελτία"
"You are subscribed to ""General Subscription"".","Μπορείτε να εγγραφείτε στην ""Γενική συνδρομή""."
"or","ή"
"Default Addresses","Προεπιλεγμένες Διευθύνσεις"
"Change Billing Address","Αλλάξτε τη Διεύθυνση Χρέωσης"
"You have no default billing address in your address book.","Δεν έχετε καμία προεπιλεγμένη διεύθυνση χρέωσης στο βιβλίο διευθύνσεών σας."
"Change Shipping Address","Αλλάξτε τη Διεύθυνση Αποστολής"
"You have no default shipping address in your address book.","Δεν έχετε καμία προεπιλεγμένη διεύθυνση αποστολής στο βιβλίο διευθύνσεών σας."
"Additional Address Entries","Επιπλέον Καταχωρήσεις Διευθύνσεων"
"Delete Address","Διαγραφή Διεύθυνσης"
"You have no other address entries in your address book.","Δεν έχετε καμία άλλη καταχώρηση διευθύνσεων στο βιβλίο διευθύνσεών σας."
"* Required Fields","* Απαιτούμενα πεδία"
"Address","Διεύθυνση"
"Street Address","Διεύθυνση"
"Street Address %1","Διεύθυνση %1"
"VAT Number","Α.Φ.Μ."
"City","Πόλη"
"State/Province","Νομός/επαρχία"
"Please select a region, state or province.","Παρακαλώ επιλέξτε μια περιοχή, χώρα ή περιφέρεια."
"Zip/Postal Code","Ταχυδρομικός κώδικας"
"Country","Χώρα"
"It's a default billing address.","Είναι μια προεπιλεγμένη διεύθυνση χρέωσης."
"Use as my default billing address","Χρησιμοποιήσετε ως προεπιλογή μου τη διεύθυνση χρέωσης"
"It's a default shipping address.","Είναι μια προεπιλεγμένη διεύθυνση αποστολής."
"Use as my default shipping address","Χρησιμοποιήσετε ως προεπιλογή μου τη διεύθυνση αποστολής"
"Save Address","Αποθήκευση διεύθυνσης"
"Go back","Επιστροφή"
"Please enter your email below and we will send you the confirmation link.","Παρακαλούμε εισάγετε το email σας παρακάτω και θα σας στείλουμε το σύνδεσμο επιβεβαίωσης."
"Email","Email"
"Send confirmation link","Στείλτε το σύνδεσμο επιβεβαίωσης"
"Back to Sign In","Πίσω στη Σύνδεση"
"Change Email","Αλλαγή Email"
"Change Email and Password","Αλλαγή Email και Κωδικού Πρόσβασης"
"Current Password","Τρέχον Κωδικός Πρόσβασης"
"New Password","Νέος κωδικός"
"Password Strength","Ισχύς Κωδικού Πρόσβασης"
"No Password","Δεν υπάρχει Κωδικός Πρόσβασης"
"Confirm New Password","Επιβεβαίωση Νέου Κωδικού Πρόσβασης"
"Save","Αποθήκευση"
"Please enter your email address below to receive a password reset link.","Παρακαλώ εισάγετε το email σας παρακάτω για να λάβετε έναν σύνδεσμο επαναφοράς του κωδικού πρόσβασης."
"Reset My Password","Επαναφορά του Κωδικού Πρόσβασης"
"Registered Customers","Εγγεγραμμένοι Πελάτες"
"If you have an account, sign in with your email address.","Εάν έχετε λογαριασμό, συνδεθείτε με τη διεύθυνση του email σας."
"Password","Κωδικός πρόσβασης"
