"Sign Out","Odhlásit se"
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Podle DIČ by měl zákazník patřit do skupiny zákazníků %s."
"Something went wrong while validating the VAT ID.","Při ověřování DIČ nastala chyba."
"The customer would belong to Customer Group %s.","Zákazník by měl patřit do skupiny zákazníků %s."
"There was an error detecting Customer Group.","Při detekování skupiny zákazníků nastala chyba."
"Validate VAT Number","Ověřit DIČ (VAT ID)"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","Datum narození"
"Bad request.","Chybný požadavek."
"This confirmation key is invalid or has expired.","Tento potvrzující klíč je neplatný nebo jeho platnost vypršela."
"There was an error confirming the account","Při potvrzování účtu nastala chyba"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Jste-li registrovaný plátce DPH, klikněte <a href=""%1"">zde</a> a zadejte svoji doručovací adresu kvůli správnému výpočtu DPH."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Jste-li registrovaný plátce DPH, klikněte <a href=""%1"">zde</a> a zadejte vaši fakturační adresu kvůli správnému výpočtu DPH prosím."
"Thank you for registering with %1.","Děkujeme vám za registraci v %1."
"Please check your email for confirmation key.","Potvrzující klíč naleznete ve své e-mailové schránce."
"This email does not require confirmation.","Tento e-mail nevyžaduje žádné potvrzení."
"Wrong email.","Špatný e-mail."
"Your password reset link has expired.","Platnost odkazu pro obnovu hesla vypršela."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Váš účet musíte potvrdit. Na e-mail byla odeslána zpráva s potvrzujícím odkazem. Chcete-li zaslat nový odkaz, <a href=""%1"">klikněte zde</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Účet s touto e-mailovou adresou již existuje. Pokud si jste jisti, že je to váš e-mail, <a href=""%1"">kliknutím zde</a> získáte heslo a přístup ke svému účtu."
"We can't save the customer.","Zákazníka nelze uložit."
"Please make sure your passwords match.","Zkontrolujte, že se zadaná hesla shodují."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Jste-li registrovaný plátce DPH, klikněte <a href=""%1"">zde</a> a zadejte vaši doručovací adresu kvůli správnému výpočtu DPH prosím."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Jste-li registrovaný plátce DPH, klikněte <a href=""%1"">zde</a> a zadejte vaši fakturační adresu kvůli správnému výpočtu DPH prosím."
"Account Information","Údaje účtu"
"You saved the account information.","Nastavení účtu bylo uloženo."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","Heslo a potvrzení hesla se neshodují."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","E-mail pro obnovu hesla nelze odeslat."
"Please enter your email.","Zadejte svoji e-mailovou adresu."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Existuje-li účet s e-mailovou adresou %1, obdržíte zprávu s odkazem pro obnovu hesla."
"My Account","Můj účet"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Tento účet není potvrzen. <a href=""%1"">Kliknutím zde</a> bude potvrzující e-mail znovu odeslán."
"An unspecified error occurred. Please contact us for assistance.","Došlo k nespecifikované chybě. Kontaktujte nás prosím."
"A login and a password are required.","Přihlašovací jméno a heslo jsou povinné."
"New Password and Confirm New Password values didn't match.","Nové heslo a potvrzení nového hesla se neshodují."
"Please enter a new password.","Zadejte nové heslo prosím."
"You updated your password.","Vaše heslo bylo změněno."
"Something went wrong while saving the new password.","Při ukládání nového hesla nastala chyba."
"You deleted the address.","Adresa byla odstraněna."
"We can't delete the address right now.","Adresu momentálně nelze odstranit."
"You saved the address.","Adresa byla uložena."
"We can't save the address.","Adresu nelze uložit."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","Tokeny zákazníka byly zrušeny."
"We can't find a customer to revoke.","Zákazníka ke zrušení nelze najít."
"Something went wrong while saving file.","Při ukládání souboru nastala chyba."
"You deleted the customer group.","Skupina zákazníků byla odstraněna."
"The customer group no longer exists.","Skupina zákazníků již neexistuje."
"Customers","Zákazníci"
"New Group","Nová skupina"
"New Customer Groups","Nová skupina zákazníků"
"Edit Group","Upravit skupinu"
"Edit Customer Groups","Upravit skupiny zákazníků"
"You saved the customer group.","Skupina zákazníků byla uložena."
"Please select customer(s).","Vyberte zákazníky."
"Customer could not be deleted.","Zákazníka nelze odstranit."
"You deleted the customer.","Zákazník byl odstraněn."
"Something went wrong while editing the customer.","Při úpravách zákazníka nastala chyba."
"Manage Customers","Správa zákazníků"
"Please correct the data sent.","Opravte zaslaná data prosím."
"A total of %1 record(s) were updated.","Bylo upraveno celkem %1 záznam(ů)."
"A total of %1 record(s) were deleted.","Bylo odstraněno celkem %1 záznamů."
"The customer will receive an email with a link to reset password.","Zákazník obdrží e-mail s odkazem pro obnovu hesla."
"Something went wrong while resetting customer password.","Při obnově hesla zákazníka nastala chyba."
"You saved the customer.","Zákazník byl uložen."
"Something went wrong while saving the customer.","Při ukládání zákazníka nastala chyba."
"Page not found.","Stránka nebyla nalezena."
"Customer has been unlocked successfully.","Zákazník byl úspěšně odemčen."
"Online Customers","On-line zákazníci"
"Customers Now Online","Online zákazníci"
"Please define Wish List item ID.","Určete ID položky oblíbených prosím."
"Please load Wish List item.","Nahrajte oblíbenou položku."
"Login successful.","Přihlášení úspěšné."
"Invalid login or password.","Neplatné přihlašovací jméno nebo heslo."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 nerozšiřuje \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","Účet je uzamčen."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Neplatná hodnota ""%value"" získaná z údaje %fieldName. Možné hodnoty: %template1 nebo %template2."
"Please enter a password with at most %1 characters.","Zadejte heslo obsahující alespoň %1 znaků."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Heslo musí obsahovat alespoň %1 druhy znaků. Druhy znaků jsou: malá písmena, velká písmena, číslice, speciální znaky."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","Tento zákazník již v tomto obchodu existuje."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Pro pole %fieldName je hodnota ""%value"" neplatná."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Platnost tokenu obnovy hesla vypršela."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" je povinný údaj."
"Global","Globální"
"Per Website","Na web"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Účty zákazníků nelze sdílet globálně, když používají stejné e-mailové adresy na více než jednom webu."
"Billing Address","Fakturační adresa"
"Shipping Address","Doručovací adresa"
"-- Please Select --","-- Vyberte --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Admin"
"ALL GROUPS","VŠECHNY SKUPINY"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Entita s %fieldName = %fieldValue, %field2Name = %field2Value neexistuje"
"File can not be saved to the destination folder.","Soubor nelze uložit do cílové složky."
"Unable to create directory %1.","Nelze vytvořit adresář: %1."
"Destination folder is not writable or does not exists.","Dočasná složka Joomla buď není zapisovatelná nebo neexistuje."
"Something went wrong while saving the file.","Při ukládání souboru nastala chyba."
"Attribute object is undefined","Objektu atributu není definován"
"""%1"" invalid type entered.","Zadán neplatný typ ""%1""."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" neobsahuje pouze abecední nebo číselné znaky."
"""%1"" is an empty string.","""%1"" je prázdný řetězec."
"""%1"" contains non-numeric characters.","""%1"" obsahuje nečíselné znaky."
"""%1"" contains non-alphabetic characters.","""%1"" obsahuje neabecední znaky."
"""%1"" is not a valid email address.","""%1"" není platná e-mailová adresa."
"""%1"" is not a valid hostname.","""%1"" není platný název hostitele."
"""%1"" uses too many characters.","""%1"" obsahuje příliš mnoho znaků."
"'%value%' looks like an IP address, which is not an acceptable format.","""%value%"" vypadá jako IP adresa, která ovšem nemá přijatelný formát."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' vypadá jako DNS hostitele, ale obsahuje pomlčku na nepřípustném místě."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' vypadá jako DNS hostitele, ale nelze najít shodu TLD '%tld%' v seznamu známých hodnot schémat."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' vypadá jako DNS hostitele, ale část TLD nelze extrahovat."
"'%value%' does not look like a valid local network name.","'%value%' nevypadá jako platný lokální síťový název."
"'%value%' looks like a local network name, which is not an acceptable format.","""%value%"" vypadá jako lokální síťový název, který ovšem nemá přijatelný formát."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' vypadá jako DNS hostitele, ale punycode zápis nelze dekódovat."
"""%1"" is not a valid URL.","""%1"" není platná URL adresa."
"""%1"" is not a valid date.","""%1"" není platné datum."
"""%1"" does not fit the entered date format.","""%1"" neodpovídá zadanému formátu data."
"Please enter a valid date between %1 and %2 at %3.","Zadejte prosím platné datum mezi %1 a %2 v %3."
"Please enter a valid date equal to or greater than %1 at %2.","Zadejte prosím platné datum stejné nebo následující po %1 v %2."
"Please enter a valid date less than or equal to %1 at %2.","Zadejte prosím platné datum stejné nebo předcházející datu %1 v %2."
"""%1"" is not a valid file extension.","""%1"" není platná přípona souboru."
"""%1"" is not a valid file.","""%1"" není platný soubor."
"""%1"" exceeds the allowed file size.","""%1"" překračuje povolenou velikost souboru."
"""%1"" is not a valid image format.","""%1"" není platný formát obrázku."
"""%1"" width exceeds allowed value of %2 px.","""%1"" šířka přesahuje povolenou hodnotu %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" výška přesahuje povolenou hodnotu %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" délka musí být rovna nebo větší než %2 znaků."
"""%1"" length must be equal or less than %2 characters.","""%1"" délka musí být rovna nebo menší než %2 znaků."
"label","označení"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Zákaznická skupina"
"You can't delete group ""%1"".","Nelze odstranit skupinu ""%1""."
"Customer Group already exists.","Skupina zákazníků již existuje."
"Cannot delete group.","Skupinu nelze odstranit."
"Error during VAT Number verification.","Při ověřování DIČ nastala chyba."
"PHP SOAP extension is required.","Je vyžadováno rozšíření PHP SOAP."
"VAT Number is valid.","DIČ je platné."
"Please enter a valid VAT number.","Zadejte platné DIČ prosím."
"Your VAT ID was successfully validated.","Vaše DIČ bylo úspěšně ověřeno."
"You will be charged tax.","DPH bude účtováno."
"You will not be charged tax.","DPH nebude účtováno."
"The VAT ID entered (%1) is not a valid VAT ID.","Zadané DIČ (%1) není platné."
"Your Tax ID cannot be validated.","Vaše DIČ nelze ověřit."
"If you believe this is an error, please contact us at %1","Pokud se domníváte, že jde o chybu, kontaktujte nás prosím na %1"
"No such entity with %fieldName = %fieldValue","Entita s %fieldName = %fieldValue neexistuje"
"Male","Muž"
"Female","Žena"
"Not Specified","Nezadáno"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Zpráva výjimky"
"Validator Exception","Výjimka validátoru"
"Localized Exception","Výjimka lokalizace"
"some error","nějaká chyba"
"frontend_label","oznaceni_obchodu"
"NOT LOGGED IN","NEPŘIHLÁŠEN"
"Please enter the state/province.","Zadejte kraj / region prosím."
"region is a required field.","Region je povinné pole."
"regionId is a required field.","regionId is a required field."
"Label","Štítek"
"Select...","Zvolit..."
"Edit","Upravit"
"Visitor","Návštěvník"
"Customer","Zákazník"
"No item specified.","Nebyla určena žádná položka."
"Are you sure you want to remove this item?","Skutečně chcete tuto položku odebrat?"
"Personal Information","Osobní údaje"
"Last Logged In:","Poslední přihlášení:"
"Last Logged In (%1):","Poslední přihlášení (%1):"
"Account Lock:","Uzamčení účtu:"
"Confirmed email:","Potvrzený e-mail:"
"Account Created:","Účet vytvořen:"
"Account Created on (%1):","Účet vytvořen v (%1):"
"Account Created in:","Účet vytvořený v:"
"Customer Group:","Skupina zákazníků:"
"Default Billing Address","Výchozí fakturační adresa"
"Sales Statistics","Prodejní statistiky"
"Web Site","Web"
"Store","Obchod"
"Store View","Zobrazení obchodu"
"Lifetime Sales","Celkový obrat"
"Average Sale","Průměrná objednávka"
"All Store Views","Všechna zobrazení obchodu"
"Change","Změnit"
"Manage Addresses","Správa adres"
"Default Shipping Address","Výchozí doručovací adresa"
"Contact Information","Kontaktní informace"
"Change Password","Změnit heslo"
"Newsletters","Newslettery"
"You are subscribed to ""General Subscription"".","Odebíráte newsletter."
"or","nebo"
"Default Addresses","Výchozí adresy"
"Change Billing Address","Změnit fakturační adresu"
"You have no default billing address in your address book.","V adresáři nemáte žádnou výchozí fakturační adresu."
"Change Shipping Address","Změnit doručovací adresu"
"You have no default shipping address in your address book.","V adresáři nemáte nastavenu výchozí doručovací adresu."
"Additional Address Entries","Další adresy"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","V adresáři nemáte žádné jiné adresy."
"* Required Fields","* Povinný údaj"
"Address","Adresa"
"Street Address","Ulice"
"Street Address %1","Ulice %1"
"VAT Number","DIČ"
"City","Město"
"State/Province","Kraj / region"
"Please select a region, state or province.","Zvolte kraj / region prosím."
"Zip/Postal Code","PSČ"
"Country","Země"
"It's a default billing address.","Toto je výchozí fakturační adresa."
"Use as my default billing address","Použít jako výchozí fakturační adresu"
"It's a default shipping address.","Toto je výchozí doručovací adresa."
"Use as my default shipping address","Použít jako výchozí doručovací adresu"
"Save Address","Uložit adresu"
"Go back","Jít zpět"
"Please enter your email below and we will send you the confirmation link.","Zadejte svůj e-mail, na který Vám bude zaslána zpráva s odkazem pro potvrzení."
"Email","E-mail"
"Send confirmation link","Zaslat potvrzující odkaz"
"Back to Sign In","Zpět na přihlášení"
"Change Email","Změnit e-mailovou adresu"
"Change Email and Password","Změnit e-mail a heslo"
"Current Password","Současné heslo"
"New Password","Nové heslo"
"Password Strength","Síla hesla"
"No Password","Žádné heslo"
"Confirm New Password","Potvrzení nového hesla"
"Save","Uložit"
"Please enter your email address below to receive a password reset link.","Zadejte svůj e-mail, bude Vám zaslána zpráva s odkazem na změnu hesla."
"Reset My Password","Obnovit heslo"
"Registered Customers","Registrovaní zákazníci"
"If you have an account, sign in with your email address.","Pokud již máte účet, přihlaste se pomocí své e-mailové adresy."
"Password","Heslo"
"Forgot Your Password?","Zapomněli jste heslo?"
"Subscription option","Nastavení odběru"
"General Subscription","Obecný zpravodaj"
"Sign Up for Newsletter","Přihlásit se k odběru newsletteru"
"Address Information","Informace o adrese"
"Sign-in Information","Přihlašovací údaje"
"Confirm Password","Potvrdit heslo"
"Create an Account","Vytvořit účet"
"Set a New Password","Nastavit nové heslo"
"You have signed out and will go to our homepage in 5 seconds.","Odhlášení proběhlo úspěšně, během 5 vteřin dojde k přesměrování na úvodní stránku."
"New Customers","Noví zákazníci"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Registrace přináší řadu výhod: rychlejší proces objednání, uložení více adres, sledování stavu objednávky a další..."
"Company","Společnost"
"Fax","Fax"
"Gender","Pohlaví"
"Name","Jméno"
"Tax/VAT number","Tax/VAT number"
"Phone Number","Telefonní číslo"
"Welcome to %store_name","Vítejte v %store_name"
"%name,","%name,"
"Welcome to %store_name.","Vítejte v %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Tyto přihlašovací údaje použijte k přihlášení na naše stránky v průběhu dokončení objednávky nebo na <a href=""%customer_url"">Můj účet</a> stránce:"
"Email:","E-mail:"
"Password:","Heslo:"
"Password you set when creating account","Heslo, které jste zadali při registraci"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zapoměli jste své heslo? Kliknutím <a href=""%reset_url"">zde</a> jej obnovíte."
"When you sign in to your account, you will be able to:","Po přihlášení k vašemu účtu můžete provádět následující:"
"Proceed through checkout faster","Rychlejší proces dokončení objednávky"
"Check the status of orders","Zkontrolovat stav objednávek"
"View past orders","Zobrazit předchozí objednávky"
"Store alternative addresses (for shipping to multiple family members and friends)","Používání alternativních adres (pro doručování dalším členům rodiny či přátelům)"
"Please confirm your %store_name account","Potvrďte svůj %store_name účet"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Před přihlášením musíte svůj e-mail %customer_email potvrdit (odkaz je platný pouze jednou):"
"Confirm Your Account","Potvrďte svůj účet"
"Thank you for confirming your %store_name account.","Děkujeme za potvrzení vašeho účtu %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","K přihlášení na náš web a nastavení hesla klikněte na tento <a href=""%create_password_url"">odkaz</a>:"
"Your %store_name email has been changed","Vaše emailová adresa v obchodu %store_name byla změněna"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","Obdrželi jsme požadavek na změnu následujících údajů spojené s vaším účtem v %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Pokud k této činnosti nemáte oprávnění, kontaktujte nás ihned prosím na <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","Vaše emailová adresa a heslo v obchodu %store_name byly změněny"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Obdrželi jsme požadavek na změnu následujících údajů spojené s vaším účtem v %store_name: e-mail, heslo."
"Reset your %store_name password","Obnovení hesla pro %store_name"
"There was recently a request to change the password for your account.","Byl zaslán požadavek na změnu hesla k účtu."
"If you requested this change, set a new password here:","Pokud jste žádali o změnu hesla, zde zadejte vaše nové:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Pokud jste o změnu nežádali, tuto zprávu můžete ignorovat a vaše heslo zůstane stejné."
"Your %store_name password has been changed","Vaše heslo v %store_name bylo změněno"
"We have received a request to change the following information associated with your account at %store_name: password.","Obdrželi jsme požadavek na změnu následujících údajů spojené s vaším účtem v %store_name: heslo."
"Checkout as a new customer","Zaplatit jako nový zákazník."
"Creating an account has many benefits:","Registrace přináší řadu výhod:"
"See order and shipping status","Sledování stavu objednávky"
"Track order history","Sledování historie objednávek"
"Check out faster","Rychlejší proces objednání"
"Checkout using your account","Zaplatit prostřednictvím vašeho účtu."
"Email Address","E-mailová adresa"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Are you sure you want to delete this address?","Skutečně chcete tuto adresu odstranit?"
"Weak","Slabé"
"Medium","Střední"
"Strong","Silné"
"Very Strong","Velmi silné"
"Guest checkout is disabled.","Pokladna je pro hosty vypnuta."
"All Customers","Všichni zákazníci"
"Now Online","Nyní Online"
"Customers Section","Sekce zákazníci"
"Customer Configuration","Nastavení zákazníka"
"Account Sharing Options","Nastavení sdílení účtů"
"Share Customer Accounts","Sdílet účty zákazníků"
"Create New Account Options","Nastavení nového účtu"
"Enable Automatic Assignment to Customer Group","Zapnout automatické přiřazení skupiny zákazníků"
"Tax Calculation Based On","Výpočet DPH na základě"
"Default Group","Výchozí skupina"
"Group for Valid VAT ID - Domestic","Skupina pro platné DIČ - vnitrostátní"
"Group for Valid VAT ID - Intra-Union","Skupina pro platné DIČ - uvnitř EU"
"Group for Invalid VAT ID","Skupina pro neplatné DIČ"
"Validation Error Group","Skupina při chybném ověření DIČ"
"Validate on Each Transaction","Ověřovat při každé transakci"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Výchozí hodnota pro Vypnout automatickou změnu skupiny podle DIČ"
"Show VAT Number on Storefront","Zobrazit DIČ v obchodě"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Chcete-li v obchodě zobrazit údaj pro DIČ, nastavte Zobrazit DIČ v obchodě na hodnotu Ano."
"Default Email Domain","Výchozí doména e-mailu"
"Default Welcome Email","Výchozí uvítací e-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová předloha je postavena na záložním tématu."
"Default Welcome Email Without Password","Výchozí uvítací e-mail bez hesla"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Tato zpráva bude odeslána místo výchozího uvítacího e-mailu, pokud byl zákazník vytvořen bez hesla. <br /><br />
                        Je-li zvolena volba ""Výchozí"", e-mailová šablona je založena na záložním tématu."
"Email Sender","E-mail odesílatele"
"Require Emails Confirmation","Vyžadovat potvrzení e-mailu"
"Confirmation Link Email","E-mail s potvrzujícím odkazem"
"Welcome Email","Uvítací e-mail"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Tato zpráva bude odeslána místo výchozího uvítacího e-mailu, následně po potvrzení účtu. <br /><br />
                        Je-li zvolena volba ""Výchozí"", e-mailová šablona je založena na záložním tématu."
"Generate Human-Friendly Customer ID","Generovat přívětivé ID zákazníka"
"Password Options","Nastavení hesla"
"Forgot Email Template","Šablona e-mailu zapomenutého hesla"
"Remind Email Template","Šablona e-mailu připomenutí"
"Reset Password Template","Šablona e-mailu obnovy hesla"
"Password Template Email Sender","Odesílatel e-mailů hesla"
"Recovery Link Expiration Period (hours)","Platnost odkazu obnovy hesla (hodiny)"
"Please enter a number 1 or greater in this field.","Do tohoto údaje zadejte číslo 1 nebo větší."
"Number of Required Character Classes","Počet požadovaných druhů znaků"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Počet odlišných druhů znaků hesla. Druhy znaků jsou: malá písmena, velká písmena, číslice, speciální znaky."
"Minimum Password Length","Minimální délka hesla"
"Maximum Login Failures to Lockout Account","Počet chybných pokusů o přihlášení do uzamčení účtu"
"Use 0 to disable account locking.","Chcete-li zamykání účtů zakázat, zadejte 0."
"Lockout Time (minutes)","Doba uzamčení (minuty)"
"Enable Autocomplete on login/forgot password forms","Zapnout automatické dokončování formulářů pro přihlášení / zapomenuté heslo"
"Account Information Options","Volby nastavení účtu"
"Change Email Template","Změna e-mailové šablony"
"Change Email and Password Template","Změna šablony e-mailu a hesla"
"Name and Address Options","Nastavení jména a adresy"
"Number of Lines in a Street Address","Počet řádků ulice"
"Valid range: 1-4","Platný rozsah: 1-4"
"Show Prefix","Zobrazit titul před"
"The title that goes before name (Mr., Mrs., etc.)","Oslovení (pan, paní) nebo titul před jménem (Ing., MUDr., atp.)"
"Prefix Dropdown Options","Volby rozbalovacího výběru titulů"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Hodnoty oddělené středníkem (;).<br/>Ponechte prázdné pro volné textové pole."
"Show Middle Name (initial)","Zobrazit prostřední jméno"
"Always optional.","Vždy volitelné."
"Show Suffix","Zobrazit titul za"
"The suffix that goes after name (Jr., Sr., etc.)","Přípona za jménem (CSc., Ph.D., atp.)"
"Suffix Dropdown Options","Volby rozbalovacího výběru titulů"
"Show Date of Birth","Zobrazit datum narození"
