"Sign Out","Log ud"
"Days in Wish List","Days in Wish List"
"Unlock","Lås op"
"No","Nej"
"Yes","Ja"
"Delete File","Slet fil"
"Download"," Download"
"Delete Image","Slet billede"
"View Full Size","View Full Size"
"Website","Website"
"Subscribed","Subscribed"
"Last Updated At","Last Updated At"
"All countries","Alle lande"
"Customer Groups","Kundegrupper"
"Add New Customer Group","Tilføje nye kundegruppe"
"Save Customer Group","Gem kundegruppe"
"Delete Customer Group","Slet kundegruppe"
"New Customer Group","Ny kundegruppe"
"Edit Customer Group ""%1""","Rediger kundegruppe ""%1"""
"Group Information","Gruppeoplysninger"
"Group Name","Gruppenavn"
"Maximum length must be less then %1 characters.","Maksimumlængden skal være kortere end %1 tegn."
"Tax Class","Momsklasse"
"The customer is now assigned to Customer Group %s.","The customer is now assigned to Customer Group %s."
"Would you like to change the Customer Group for this order?","Vil du gerne ændre kundegruppen for denne ordre?"
"The VAT ID is valid.","CVR nummeret er gyldigt."
"The VAT ID entered (%s) is not a valid VAT ID.","Det indtastet CVR nummer (%s) er ikke et gyldigt CVR nummer."
"The VAT ID is valid. The current Customer Group will be used.","The VAT ID is valid. The current Customer Group will be used."
"The VAT ID is valid but no Customer Group is assigned for it.","The VAT ID is valid but no Customer Group is assigned for it."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Based on the VAT ID, the customer belongs to the Customer Group %s."
"Something went wrong while validating the VAT ID.","Something went wrong while validating the VAT ID."
"The customer would belong to Customer Group %s.","The customer would belong to Customer Group %s."
"There was an error detecting Customer Group.","There was an error detecting Customer Group."
"Validate VAT Number","Valider CVR-nummer"
"Date of Birth","Fødselsdag"
"Done","Done"
"Prev","Prev"
"Next","Next"
"Today","Today"
"Bad request.","Bad request."
"This confirmation key is invalid or has expired.","Denne bekræftelse nøgle er ugyldig eller er udløbet."
"There was an error confirming the account","Der opstod en fejl under bekræftelsen af kontoen"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Hvis du er en registreret moms kunde klik <a href=""%1"">her</a> for at angive din leveringsadresse, så der kan laves en korrekt momsberegning."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Hvis du er en registreret moms kunde klik <a href=""%1"">her</a>, for at angive din faktureringssadresse så der kan laves en korrekt momsberegning."
"Thank you for registering with %1.","Tak for din registrering med %1."
"Please check your email for confirmation key.","Tjek venligst din e-mail for bekræftelse nøgle."
"This email does not require confirmation.","Denne e-mail kræver ikke bekræftelse."
"Wrong email.","Forkert e-mail."
"Your password reset link has expired.","Dit link til nulstilling af adgangskode er udløbet."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"We can't save the customer.","Vi kan ikke gemme kunden."
"Please make sure your passwords match.","Kontroller at dine adgangskoder stemmer overens."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Hvis du er en registreret moms kunde klik <a href=""%1"">her</a> for at angive din leveringsadresse så der kan laves en korrekt momsberegning."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Hvis du er en registreret moms kunde klik <a href=""%1"">her</a> for at angive din faktureringssadresse så der kan laves en korrekt momsberegning."
"You saved the account information.","Du gemte kontooplysningerne."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"Password confirmation doesn't match entered password.","Kodeords bekræftelsen stemmer ikke overens med det indtastede kodeord."
"The password doesn't match this account. Verify the password and try again.","The password doesn't match this account. Verify the password and try again."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"We're unable to send the password reset email.","Vi kan ikke sende password reset e-mail."
"Please enter your email.","Indtast venligst din e-mail."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Hvis der er en konto, der er knyttet til %1 vil du modtage en e-mail med et link for at nulstille din adgangskode."
"An unspecified error occurred. Please contact us for assistance.","Der opstod en uspecificeret fejl. Kontakt os for hjælp."
"A login and a password are required.","Der kræves et login og en adgangskode."
"New Password and Confirm New Password values didn't match.","Ny adgangskode og bekræft ny adgangskode værdier stemmer ikke overens."
"Please enter a new password.","Angiv en ny adgangskode."
"You updated your password.","Du har opdateret din adgangskode."
"Something went wrong while saving the new password.","Noget gik galt under lagringen af det nye adgangskode."
"You deleted the address.","Du har slettet adressen."
"We can't delete the address right now.","We can't delete the address right now."
"No files for upload.","No files for upload."
"Address not found.","Address not found."
"You saved the address.","Du gemte adressen."
"We can't save the address.","Vi kan ikke gemme adressen."
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Page not found.","Siden blev ikke fundet."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"You have revoked the customer's tokens.","You have revoked the customer's tokens."
"We can't find a customer to revoke.","We can't find a customer to revoke."
"Something went wrong while saving file.","Noget gik galt under lagring af fil."
"You deleted the customer group.","Du har slettet kundegruppen."
"The customer group no longer exists.","Kundegruppen eksisterer ikke længere."
"Customers","Kunder"
"New Group","Ny gruppe"
"New Customer Groups","Nye kundegrupper"
"Edit Group","Ret gruppe"
"Edit Customer Groups","Rediger kundegruppe"
"You saved the customer group.","Du gemte kundegruppen."
"Please select customer(s).","Vælg venligst kunde(r)."
"Customer could not be deleted.","Kunden kunne ikke slettes."
"You deleted the customer.","Du har slettet kunden."
"Something went wrong while editing the customer.","Noget gik galt under redigeringen af kunden."
"Manage Customers","Administrer kunder"
"Please correct the data sent.","Venligst korrigere data, der sendes."
"A total of %1 record(s) were updated.","Ialt %1 post(er) blev opdateret."
"A total of %1 record(s) were deleted.","Ialt %1 post(er) blev slettet."
"The customer will receive an email with a link to reset password.","Kunden vil modtage en e-mail med et link til nulstilling af adgangskoden."
"Something went wrong while resetting customer password.","Noget gik galt under nulstilling af kundens kodeord."
"The Store View selected for sending Welcome email from is not related to the customer's associated website.","The Store View selected for sending Welcome email from is not related to the customer's associated website."
"You saved the customer.","Du gemte kunden."
"Something went wrong while saving the customer.","Something went wrong while saving the customer."
"Customer has been unlocked successfully.","Kunden er blevet låst op succesfuldt."
"Online Customers","Online kunder"
"Customers Now Online","Kunder online nu"
"Please define Wish List item ID.","Please define Wish List item ID."
"Please load Wish List item.","Please load Wish List item."
"Login successful.","Login succesfuld."
"Invalid login or password.","Ugyldig login eller adgangskode."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface"
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"The account is locked.","Kontoen er låst."
"This account isn't confirmed. Verify and try again.","This account isn't confirmed. Verify and try again."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Indtast en adgangskode med maximum %1 tegn."
"The password needs at least %1 characters. Create a new password and try again.","The password needs at least %1 characters. Create a new password and try again."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum af forskellige klasser af tegn i adgangskoden er %1. Klasser af tegn: små bogstaver, store bogstaver, cifre og specialtegn."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
"This customer already exists in this store.","This customer already exists in this store."
"A customer with the same email address already exists in an associated website.","A customer with the same email address already exists in an associated website."
"The store view is not in the associated website.","The store view is not in the associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Ugyldig værdi for ""%value"" for feltet %fieldName."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"""%1"" is a required value.","""%1"" is a required value."
"Global","Global"
"Per Website","Per Website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We can't share customer accounts globally when the accounts share identical email addresses on more than one website."
"Billing Address","Faktureringsadresse"
"Shipping Address","Leveringsadresse"
"-- Please Select --","-- Vælg venligst --"
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"Admin","Admin"
"ALL GROUPS","ALLE GRUPPER"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","No such entity with %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Filen kan ikke gemmes i destinationsmappen."
"Unable to create directory %1.","Unable to create directory %1."
"Destination folder is not writable or does not exists.","Destination folder is not writable or does not exists."
"Something went wrong while saving the file.","Something went wrong while saving the file."
"Reset password token expired.","Nulstil adgangskode grundet forældelse."
"No such entity with rp_token = %value","No such entity with rp_token = %value"
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" indeholder ikke-alfabetiske eller ikke-numeriske tegn."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" indeholder ikke-numeriske tegn."
"""%1"" contains non-alphabetic characters.","""%1"" indeholder ikke-alfabetiske tegn."
"""%1"" is not a valid email address.","""%1"" er ikke en gyldig e-mailadresse."
"""%1"" is not a valid hostname.","""%1"" er ikke et gyldigt værtsnavn."
"""%1"" uses too many characters.","""%1"" bruger alt for mange tegn."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' ligner en IP-adresse ikke er en acceptabel format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' ligner en DNS-værtsnavn, men indeholder en bindestreg i en ugyldig placering."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' ligner en DNS-værtsnavn, men vi kan ikke matche det mod hostname skema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' ligner en DNS-værtsnavn, men kan ikke udtrække TLD del."
"'%value%' does not look like a valid local network name.","'%value%' ligner ikke en gyldig lokale netværksnavn."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' ligner en lokale netværksnavn, der ikke er et acceptabelt format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' synes at være en DNS-værtsnavn, men givet punycode notation kan ikke afkodes."
"""%1"" is not a valid URL.","""%1"" er ikke en gyldig URL-adresse."
"""%1"" is not a valid date.","""%1"" er ikke en gyldig dato."
"""%1"" does not fit the entered date format.","""%1"" passer ikke det angivne datoformat."
"Please enter a valid date between %1 and %2 at %3.","Indtast en gyldig dato mellem %1 og %2 på %3."
"Please enter a valid date equal to or greater than %1 at %2.","Indtast en gyldig dato lig med eller større end %1 på %2."
"Please enter a valid date less than or equal to %1 at %2.","Indtast en gyldig dato, mindre end eller lig %1 på %2."
"""%1"" is not a valid file extension.","""%1"" er ikke en gyldig filendelse."
"""%1"" is not a valid file.","""%1"" er ikke en gyldig fil."
"""%1"" exceeds the allowed file size.","""%1"" overstiger den tilladte filstørrelse."
"""%1"" is not a valid image format.","""%1"" er ikke et gyldigt billedformat."
"""%1"" width exceeds allowed value of %2 px.","""%1"" bredde overstiger tilladte værdi af %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" højde overstiger tilladte værdi af %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" længde skal være lig med eller større end %2 tegn."
"""%1"" length must be equal or less than %2 characters.","""%1"" længde skal være lig eller mindre end %2 tegn."
"label","etikette "
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"The specified customer group id does not exist.","The specified customer group id does not exist."
"Customer Group","Kundegruppe"
"You can't delete group ""%1"".","Du kan ikke slette gruppen ""%1""."
"Customer Group already exists.","Kundegruppe findes allerede."
"Cannot delete group.","Kan ikke slette gruppen."
"Something went wrong.","Something went wrong."
"Error during VAT Number verification.","Fejl under verifikation af CVR-nummer."
"PHP SOAP extension is required.","PHP SOAP udvidelse er påkrævet."
"VAT Number is valid.","CVR-nummeret er gyldigt."
"Please enter a valid VAT number.","Angiv et gyldigt CVR-nummer."
"Your VAT ID was successfully validated.","Dit CVR nummer er valideret succesfuldt."
"You will be charged tax.","Du vil blive opkrævet moms."
"You will not be charged tax.","Du vil ikke blive opkrævet moms."
"The VAT ID entered (%1) is not a valid VAT ID.","Det angivne CVR nummer (%1) er ikke et gyldigt CVR nummer."
"Your Tax ID cannot be validated.","Din moms-ID kan ikke valideres."
"If you believe this is an error, please contact us at %1","Hvis du mener dette er en fejl bedes du kontakte os på %1"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Male","Mand"
"Female","Kvinde"
"Not Specified","Ikke angivet"
"NoSuchEntityException","NoSuchEntityException"
"EmailNotConfirmedException","EmailNotConfirmedException"
"AuthenticationException","AuthenticationException"
"UserLockedException","UserLockedException"
"InputException","InputException"
"Exception message","Undtagelsesbesked"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","en fejl"
"Street","Street"
"frontend_label","frontend_label"
"NOT LOGGED IN","NOT LOGGED IN"
"Please enter the state/province.","Angiv stat/region."
"region is a required field.","region is a required field."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Customer does not exist","Customer does not exist"
"Something went wrong","Something went wrong"
"Label","Etiket"
"Select...","Vælg..."
"Edit","Redigér"
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Visitor","Besøgende"
"Customer","Kunde"
"No item specified.","Ingen vare angivet."
"Are you sure you want to remove this item?","Er du sikker på at du vil fjerne dette element?"
"Personal Information","Personlig informationer"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Account Lock:","Account Lock:"
"Confirmed email:","Bekræftet e-mail:"
"Account Created:","Konto oprettet:"
"Account Created on (%1):","Konto oprettet på (%1):"
"Account Created in:","Konto oprettet i:"
"Customer Group:","Kundegruppe:"
"Default Billing Address","Standard faktureringsadresse"
"Sales Statistics","Salgsstatistik"
"Web Site","Hjemmeside"
"Store","Butik"
"Lifetime Sales","Totalt salg"
"Average Sale","Average Sale"
"All Store Views","Alle butiks visninger"
"Change","Skift"
"Manage Addresses","Administrer adresser"
"Default Shipping Address","Standard leveringsadresse"
"Account Information","Konto Information"
"Contact Information","Kontaktinformation"
"Change Password","Skift kodeord"
"Newsletters","Nyhedsbreve"
"You are subscribed to ""General Subscription"".","You are subscribed to ""General Subscription""."
"or","eller"
"My Account","Min Konto"
"Default Addresses","Standard adresser"
"Change Billing Address","Skift faktureringsadresse"
"You have no default billing address in your address book.","Du har ingen standard faktureringsadresse."
"Change Shipping Address","Skift forsendelsesadresse"
"You have no default shipping address in your address book.","Du har ingen standard forsendelsesadresse i din adressebog."
"* Required Fields","* Påkrævede felter"
"Address","Adresse"
"Street Address: Line %1","Street Address: Line %1"
"Street Address %1","Gade/vejnavn %1"
"City","By"
"It's a default billing address.","Det er en standard faktureringsadresse."
"Use as my default billing address","Brug som min standard faktureringsadresse"
"It's a default shipping address.","Det er en standard forsendelsesadresse."
"Use as my default shipping address","Brug som min standard forsendelsesadresse"
"Save Address","Gem adresse"
"Go back","Gå tilbage"
"Additional Address Entries","Yderligere adresser"
"Additional addresses","Additional addresses"
"First Name","Fornavn"
"Last Name","Efternavn"
"Street Address","Gade/vejnavn"
"Country","Land"
"State","State"
"Zip/Postal Code","Postnummer"
"Phone","Telefon"
"Actions","Actions"
"You have no other address entries in your address book.","Du har ikke gemt nogle adresser."
"Please enter your email below and we will send you the confirmation link.","Indtast venligst din e-mail adresse nedenfor og vi vil sende dig et bekræftelseslink."
"Email","E-mail"
"Send confirmation link","Send bekræftelseslink"
"Back to Sign In","Tilbage til log på"
"Change Email","Skift email"
"Change Email and Password","Skift e-mail og adgangskode"
"Current Password","Nuværende adgangskode"
"New Password","Ny adgangskode"
"Password Strength","Styrken af adgangskoden"
"No Password","Ingen adgangskode"
"Confirm New Password","Bekræft ny adgangskode"
"Please enter your email address below to receive a password reset link.","Indtast din e-mail adresse nedenfor for at modtage et link til nulstilling af adgangskode."
"Reset My Password","Nulstil adgangskode"
"Registered Customers","Eksisterende kunde"
"If you have an account, sign in with your email address.","Hvis du har allerede har en konto, login med din email adresse."
"Password","Kodeord"
"Forgot Your Password?","Glemt din adgangskode?"
"Subscription option","Abonnementsmulighed"
"General Subscription","Generel abonnement"
"Sign Up for Newsletter","Tilmeld nyhedsbrev"
"Address Information","Adresseoplysninger"
"Please select a region, state or province.","Vælg en region, stat eller provins."
"Sign-in Information","Login-oplysninger"
"Confirm Password","Bekræft kodeord"
"Create an Account","Opret en konto"
"Set a New Password","Indtast nyt kodeord"
"You have signed out and will go to our homepage in 5 seconds.","Du har logget ud og vil automatisk gå til vores hjemmeside om 5 sekunder."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Denne konto er ikke bekræftet. <a href=""%1"">klik her</a> for at sende bekræftelses e-mail."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Du skal bekræfte din konto. Tjek venligst din e-mail for bekræftelse link eller <a href=""%1"">klik her</a> for et nyt link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Der er allerede en konto med denne e-mail-adresse. Hvis du er sikker på, at er det din e-mail-adresse, <a href=""%1"">klik her</a> for at få din adgangskode og få adgang til din konto."
"New Customers","Nye kunder"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Der er mange fordele ved at oprette en konto: Hurtigere købsproces, gemme flere adresser, ordrehistorik m. m."
"Company","Firma"
"Fax","Fax"
"Name","Navn"
"Phone Number","Telefonnummer"
"Welcome to %store_name","Velkommen til %store_name"
"%name,","%name,"
"Welcome to %store_name.","Velkommen til %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","For at logge på vores webshop, skal du bruge disse oplysninger i checkout forløbet eller på <a href=""%customer_url"">login siden</a>:"
"Email:","E-mail:"
"Password:","Adgangskode:"
"Password you set when creating account","Adgangskode du angav da du oprettede kontoen"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Har du glemt din adgangskode? Klik <a href=""%reset_url""> her</a> til at nulstille den."
"When you sign in to your account, you will be able to:","Når du logger på din konto vil du være i stand til at:"
"Proceed through checkout faster","Kom gennem betalingsprocessen hurtigere"
"Check the status of orders","Kontrollere status for ordrer"
"View past orders","Se tidligere ordrer"
"Store alternative addresses (for shipping to multiple family members and friends)","Gem alternative adresser (for forsendelse til flere familiemedlemmer og venner)"
"Please confirm your %store_name account","Bekræft venligst din %store_name konto"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Du skal bekræfte din %customer_email e-mail, før du kan logge på (link er kun gyldig én gang):"
"Confirm Your Account","Bekræft din konto"
"Thank you for confirming your %store_name account.","Tak for at du bekræftede din %store_name konto."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","For at logge på vores websted og angive en adgangskode, skal du klikke på <a href=""%create_password_url""> linket</a>:"
"Your %store_name email has been changed","Din %store_name e-mail er blevet ændret"
"We have received a request to change the following information associated with your account at %store_name: email.","Vi har modtaget en anmodning om at ændre de følgende oplysninger i forbindelse med din konto på %store_name: e-mail."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Hvis du ikke har godkendt denne handling, skal du kontakte os straks på <a href=""mailto:%store_email""> %store_email</a>"
"Your %store_name email and password has been changed","Din %store_name e-mail og adgangskode er blevet ændret"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Vi har modtaget en anmodning om at ændre de følgende oplysninger i forbindelse med din konto på %store_name: e-mail, adgangskode."
"Reset your %store_name password","Nulstil din %store_name adgangskode"
"There was recently a request to change the password for your account.","Der var for nylig en anmodning om at ændre adgangskoden til din konto."
"If you requested this change, set a new password here:","Hvis du har anmodet om denne ændring skal du angive en ny adgangskode her:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Hvis du ikke du bad om denne anmodning kan du ignorere denne e-mail og adgangskoden vil forblive den samme."
"Your %store_name password has been changed","%store_name adgangskode er blevet ændret"
"We have received a request to change the following information associated with your account at %store_name: password.","Vi har modtaget en anmodning om at ændre følgende oplysninger i forbindelse med din konto på %store_name: password."
"Checkout as a new customer","Bestil som ny kunde"
"Creating an account has many benefits:","Oprettelse af en konto har mange fordele:"
"See order and shipping status","Se ordre og leveringsstatus"
"Track order history","Følg dine ordrer"
"Check out faster","Bestil hurtigere"
"Checkout using your account","Logind og bestil"
"Email Address","E-mail adresse"
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"Sorry, there has been an error processing your request. Please try again later.","Sorry, there has been an error processing your request. Please try again later."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Are you sure you want to delete this address?","Er du sikker på, at du vil slette denne adresse?"
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"Weak","Svag"
"Medium","Medium"
"Strong","Stærk"
"Very Strong","Meget stærk"
"Invalid date","Invalid date"
"The Date of Birth should not be greater than today.","The Date of Birth should not be greater than today."
"Guest checkout is disabled.","Gæste checkout er deaktiveret."
"All Customers","Alle kunder"
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Now Online","Now Online"
"Customers Section","Customers Section"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail skabelon valgt baseret på temaets fallback når ""Standard"" indstilling er markeret."
"Default Welcome Email Without Password","Default Welcome Email Without Password"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","E-mail afsender"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Velkomst e-mail"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Indstillinger for adgangskode"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Nulstil adgangskode skabelon"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Udløbsperiode for genskabelseslink (timer)"
"Please enter a number 1 or greater in this field.","Indtast 1 eller større i dette felt."
"Number of Required Character Classes","Antallet af nødvendige karakter klasser"
