"Sign Out","Çıkış"
"The VAT ID is valid but no Customer Group is assigned for it.","KDV numarası geçerli, ancak herhangi bir müşteri grubu için atanır."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Vergi kimliğine göre, müşteri %s müşteri grubuna dahildir."
"Something went wrong while validating the VAT ID.","Vergi kimliği doğrulanırken bir şeyler ters gitti."
"The customer would belong to Customer Group %s.","Müşteri, %s müşteri grubuna dahildir."
"There was an error detecting Customer Group.","Müşteri Grubu tespit edilirken bir hata oluştu."
"Validate VAT Number","Vergi Numarasını Doğrula"
"Customer Login","Müşteri E-posta Adresi"
"Create New Customer Account","Yeni Müşteri Hesabı"
"Date of Birth","Doğum Tarihi"
"Bad request.","Hatalı istek."
"This confirmation key is invalid or has expired.","Bu doğrulama anahtarı geçersiz veya süresi dolmuş."
"There was an error confirming the account","Hesabı doğrularken bir hata oluştu"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Kayıtlı bir vergi ödeyicisi iseniz, uygun vergi hesaplaması ve gönderim adresini girmek için lütfen tıklayın <a href=""%1"">here</a>."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Kayıtlı bir KDV müşteri iseniz, fatura adresi girerek ilgili KDV hesaplanması için lütfen <a href=""%1""> buraya</a> tıklayınız."
"Thank you for registering with %1.","Kayıt olduğunuz için teşekkür ederiz %1."
"Please check your email for confirmation key.","Lütfen onay anahtarınız için e-posta adresinizi kontrol ediniz."
"This email does not require confirmation.","Bu e-posta adresi için doğrulamaya gerek yoktur."
"Wrong email.","Hatalı e-posta."
"Your password reset link has expired.","Şifre sıfırlama bağlantısının kullanım süresi doldu."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Hesabınızı onaylamanız gerekiyor. Lütfen e-postanızda onay bağlantısı olup olmadığını kontrol edin veya yeni bir bağlantı için <a href=""%1""> click here </a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Bu e-posta adresine zaten sahip bir hesap var. E-posta adresinizden eminseniz, şifrenizi almak ve hesabınıza erişmek için <a href=""%1""> click here </a>."
"We can't save the customer.","Müşteri kaydedilemiyor."
"Please make sure your passwords match.","Lütfen şifrelerinizin uyuştuğundan emin olun."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Kayıtlı bir vergi ödeyicisi iseniz, uygun vergi hesaplaması ve gönderim adresini girmek için lütfen tıklayın <a href=""%1"">here</a>."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Kayıtlı bir KDV müşteri iseniz, fatura adresi girerek ilgili KDV hesaplanması için lütfen <a href=""%1""> buraya</a> tıklayınız."
"Account Information","Hesap Bilgisi"
"You saved the account information.","Hesap bilgileriniz kaydedildi."
"You did not sign in correctly or your account is temporarily disabled.","Doğru şekilde oturum açmadınız veya hesap geçici olarak devre dışı bırakıldı."
"Password confirmation doesn't match entered password.","Şifre onayı, girilen parola ile eşleşmiyor."
"The password doesn't match this account.","Parola bu hesapla eşleşmiyor."
"Please correct the email address.","Lütfen e-posta adresini düzeltin."
"We're unable to send the password reset email.","Parola sıfırlama e-postası gönderilemedi."
"Please enter your email.","Lütfen e-posta adresinizi giriniz."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Sizinle ilişkili bir hesap varsa %1, şifrenizi sıfırlamak için bağlantı içeren bir e-posta alacaksınız."
"My Account","Hesabım"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Bu hesap doğrulanmamıştır. Onay e-postasını tekrar göndermek için <a href=""%1"">Click here</a>."
"An unspecified error occurred. Please contact us for assistance.","Belirlenemeyen bir hata meydana geldi. Yardım almak için lütfen bizimle iletişime geçin."
"A login and a password are required.","Kullanıcı adı ve şifre zorunludur."
"New Password and Confirm New Password values didn't match.","Yeni Parola ve Yeni Parolayı Onaylama değerleri eşleşmedi."
"Please enter a new password.","Lütfen yeni bir parola girin."
"You updated your password.","Parolanızı güncellediniz."
"Something went wrong while saving the new password.","Yeni şifreyi kaydederken bir sorun oluştu."
"You deleted the address.","Adresinizi sildin."
"We can't delete the address right now.","Şu anda adres silinemiyor."
"You saved the address.","Adresinizi kaydettiniz."
"We can't save the address.","Adres kaydedilemiyor."
"No customer ID defined.","Müşteri kimliği tanımlanamadı."
"Please correct the quote items and try again.","Lütfen teklif öğelerini düzeltin ve tekrar deneyin."
"You have revoked the customer's tokens.","Müşterinin simgelerini iptal ettiniz."
"We can't find a customer to revoke.","İptal etmek için bir müşteri bulamıyoruz."
"Something went wrong while saving file.","Dosya kaydedilirken bir hata oluştu."
"You deleted the customer group.","Müşteri grubunu sildiniz."
"The customer group no longer exists.","Müşteri grubu artık yok."
"Customers","Müşteriler"
"New Group","Yeni Grup"
"New Customer Groups","Yeni Müşteri Grupları"
"Edit Group","Grubu Düzenle"
"Edit Customer Groups","Müşteri Gruplarını Düzenle"
"You saved the customer group.","Müşteri grubunu kaydettiniz."
"Please select customer(s).","Lütfen müşteri(leri) seçiniz."
"Customer could not be deleted.","Müşteri silinemedi."
"You deleted the customer.","Müşteriyi siz sildiniz."
"Something went wrong while editing the customer.","Müşteriyi düzenlerken bir sorun oluştu."
"Manage Customers","Müşterileri Yönet"
"Please correct the data sent.","Hatalı girişleri düzeltiniz."
"A total of %1 record(s) were updated.","Toplam %1 kayıt(lar) güncellendi."
"A total of %1 record(s) were deleted.","Toplam %1 kayıt(lar) silindi."
"The customer will receive an email with a link to reset password.","Müşteri, şifre sıfırlama bağlantısı olan bir e-posta alacaktır."
"Something went wrong while resetting customer password.","Müşteri şifresini sıfırlarken bir hata oluştu."
"You saved the customer.","Müşteriyi kaydettiniz."
"Something went wrong while saving the customer.","Müşteriyi kaydederken bir şeyler ters gitti."
"Page not found.","Sayfa bulunamadı."
"Customer has been unlocked successfully.","Müşteri kilidi başarıyla kaldırıldı."
"Online Customers","Çevrimiçi Müşteriler"
"Customers Now Online","Müşteriler Şimdi Çevrimiçi"
"Please define Wish List item ID.","Lütfen İstek Listesi ürün kimliğini tanımlayın."
"Please load Wish List item.","Lütfen İstek Listesi ürününü yükleyin."
"Login successful.","Giriş başarılı."
"Invalid login or password.","Geçersiz giriş veya şifre."
"""%1"" section source is not supported","''%1'' Bölüm kaynağı desteklenmiyor"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 şunu genişletmiyor: \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","Onay gerekli değil."
"Account already active","Hesap zaten aktif"
"Invalid confirmation token","Geçersiz doğrulama simgesi"
"The account is locked.","Hesap kilitli."
"This account is not confirmed.","Hesap doğrulanmadı."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","%FieldName alanı için geçersiz değer olan ""%value"" değeri sağlandı. Olası değerler:%template1 veya %template2."
"Please enter a password with at most %1 characters.","Lütfen, %1 karakterli bir parola girin."
"Please enter a password with at least %1 characters.","Lütfen en az %1 karakterli bir şifre girin."
"The password can't begin or end with a space.","Şifrenin başında veya sonunda boşluk kullanılamaz."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Paroladaki farklı karakter sınıflarının alt değeri %1'idir. Karakter sınıfları: Küçük Harf, Büyük Harf, Rakamlar, Özel Karakterler."
"Password cannot be the same as email address.","Şifre e-posta adresiyle aynı olamaz."
"This customer already exists in this store.","Bu müşteri mağazada zaten var."
"A customer with the same email already exists in an associated website.","Aynı e-postaya sahip bir müşteri, ilişkili web sitesinde zaten mevcut."
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldName alanı için geçersiz ""%value"" değeri."
"%fieldName is a required field.","%fieldName zorunlu bir alandır."
"Reset password token mismatch.","Şifre simgesi uyumsuzluğunu sıfırlayın."
"Reset password token expired.","Şifre sıfırlama simgesinin süresi doldu."
"Please correct the transactional account email type.","Lütfen işlem hesabının e-posta türünü düzeltin."
"""%1"" is a required value.","''%1'' gerekli bir değerdir."
"Global","Genel"
"Per Website","Websitesi Başına"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Hesaplar birden fazla web sitesinde aynı e-posta adreslerini paylaştığında müşteri hesaplarını genel olarak paylaşamayız."
"Billing Address","Fatura Adresi"
"Shipping Address","Teslimat Adresi"
"-- Please Select --","-- Lütfen Seçiniz --"
"Please enter a valid password reset token.","Lütfen geçerli bir şifre sıfırlama simgesi girin."
"The password can not begin or end with a space.","Parola, boşlukla başlayamaz veya boşlukla bitemez."
"Admin","Yönetim"
"ALL GROUPS","TÜM GRUPLAR"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Böyle bir varlık yok %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Dosya hedef klasöre kaydedilemiyor."
"Unable to create directory %1.","Dizin oluşturulamadı %1."
"Destination folder is not writable or does not exists.","Hedef klasör yazılabilir değil veya yok."
"Something went wrong while saving the file.","Dosyayı kaydederken bir hata oluştu."
"Attribute object is undefined","Özellik nesnesi tanımlanmadı"
"""%1"" invalid type entered.","''%1'' geçersiz tür girildi."
"""%1"" contains non-alphabetic or non-numeric characters.","''%1'' alfabetik olmayan veya sayısal olmayan karakterler içeriyor."
"""%1"" is an empty string.","''%1'' boş bir dizedir."
"""%1"" contains non-numeric characters.","""%1"" sayısal olmayan karakterler içeriyor."
"""%1"" contains non-alphabetic characters.","""%1"" alfabetik olmayan karakterler içeriyor."
"""%1"" is not a valid email address.","""%1"" geçerli bir e-posta adresi değil."
"""%1"" is not a valid hostname.","''%1'' geçerli bir ana makine adı değil."
"""%1"" uses too many characters.","""%1"" çok fazla karakter kullanıyor."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' kabul edilemeyen bir formatta IP adresine benziyor."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' DNS ana makinesi adına benziyor, ancak geçersiz konumda bir çizgi içeriyor."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' DNS ana makine adına benziyor, ancak TLD '%tld%' için ana bilgisayar şemasıyla eşleşemiyoruz."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' DNS ana makine adına benziyor ancak TLD bölümünü ayıklayamıyor."
"'%value%' does not look like a valid local network name.","'%value%' geçerli bir yerel ağ adı gibi görünmüyor."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' kabul edilebilir bir format olmayan yerel ağ adına benziyor."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' DNS ana makinesi adı gibi görünüyor, ancak verilen zayıf kod gösterimi çözülmüyor."
"""%1"" is not a valid URL.","""%1"" geçerli bir URL değil."
"""%1"" is not a valid date.","""%1"" geçerli bir tarih değil."
"""%1"" does not fit the entered date format.","""%1"" girilen tarih biçimi uygun değil."
"Please enter a valid date between %1 and %2 at %3.","%3 'de %1 ile %2 arasında geçerli bir tarih girin."
"Please enter a valid date equal to or greater than %1 at %2.","%2 değerine eşit veya %1 'den büyük geçerli bir tarih girin."
"Please enter a valid date less than or equal to %1 at %2.","Lütfen % 2 de % 1'e eşit veya daha düşük geçerli bir tarih girin."
"""%1"" is not a valid file extension.","''%1'' geçerli bir dosya uzantısı değil."
"""%1"" is not a valid file.","''%1'' geçerli bir dosya değil."
"""%1"" exceeds the allowed file size.","''%1'' izin verilen dosya boyutunu aşıyor."
"""%1"" is not a valid image format.","""%1"" geçerli bir resim biçimi değil."
"""%1"" width exceeds allowed value of %2 px.","''%1'' genişliği izin verilen %2 px değerini aşıyor."
"""%1"" height exceeds allowed value of %2 px.","''%1'' yüksekliği izin verilen %2 px değerini aşıyor."
"""%1"" length must be equal or greater than %2 characters.","''%1'' uzunluğu, %2 karakterden daha büyük veya eşit olmalıdır."
"""%1"" length must be equal or less than %2 characters.","''%1'' uzunluğu %2 karakterden daha az veya eşit olmalıdır."
"label","etiket"
"Please enter a customer email.","Lütfen bir müşteri e-postası girin."
"A customer website ID must be specified when using the website scope.","Web sitesi kullanılırken müşteri kimliği belirtilmelidir."
"Customer Group","Müşteri Grupları"
"You can't delete group ""%1"".","""%1"" Grubu silemezsin."
"Customer Group already exists.","Müşteri Grubu zaten var."
"Cannot delete group.","Grup silinemiyor."
"Error during VAT Number verification.","VERGİ Numarası doğrulanırken hata."
"PHP SOAP extension is required.","PHP SOAP eklentisi zorunludur."
"VAT Number is valid.","VERGİ Numarası geçerli."
"Please enter a valid VAT number.","Lütfen geçerli bir VERGİ numarası giriniz."
"Your VAT ID was successfully validated.","Vergi numaranız başarıyla doğrulandı."
"You will be charged tax.","Siparişinize vergi eklenecek."
"You will not be charged tax.","Siparişinize vergi eklenmeyecek."
"The VAT ID entered (%1) is not a valid VAT ID.","(%1) olarak girilen VERGİ KİMLİĞİ geçerli bir VERGİ KİMLİĞİ değildir."
"Your Tax ID cannot be validated.","Vergi numaranız doğrulanamadı."
"If you believe this is an error, please contact us at %1","Bunun bir hata olduğunu düşünüyorsanız, lütfen bizimle %1 'den iletişime geçiniz"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue ile böyle bir giriş yok"
"Male","Erkek"
"Female","Kadın"
"Not Specified","Belirtilmemiş"
"Thank you for registering with","İle kaydolduğunuz için teşekkür ederiz"
"enter your billing address for proper VAT calculation","KDV'nin doğru hesaplanabilmesi için fatura adresinizi girin"
"enter your shipping address for proper VAT calculation","uygun VERGİ hesaplaması için sevkiyat adresinizi giriniz"
"Please enter new password.","Lütfen yeni bir şifre girin."
"message","mesaj"
"NoSuchEntityException","BöyleBirGirişİstisnasıYok"
"Exception","İstisna"
"InputException.","Girdiİstisnası."
"InputException","Girdiİstisnası"
"Exception message","İstisna mesajı"
"Validator Exception","İstisna Doğrulayıcısı"
"Localized Exception","Yerelleşmiş Olan İstisna"
"some error","Bazı hatalar"
"frontend_label","başlangıç_etiketi"
"NOT LOGGED IN","GİRİŞ YAPILMADI"
"Please enter the state/province.","Lütfen Şehir giriniz."
"region is a required field.","bölge zorunlu bir alandır."
"regionId is a required field.","bölgeKimliği zorunlu bir alandır."
"Label","Etiket"
"Select...","Seçiniz..."
"Edit","Düzenle"
"Visitor","Ziyaretçi"
"Customer","Müşteri"
"No item specified.","Ürün seçilmedi."
"Are you sure you want to remove this item?","Bu öğeleri silmek istediğinizden emin misiniz?"
"Personal Information","Kişisel Bilgi"
"Last Logged In:","Son Giriş:"
"Last Logged In (%1):","(%1) 'de Son Giriş:"
"Account Lock:","Hesap Kilidi:"
"Confirmed email:","E-posta Onaylandı:"
"Account Created:","Hesap Oluştu:"
"Account Created on (%1):","(%1) 'de Oluşturulan Hesap:"
"Account Created in:","Hesap Oluşturuldu:"
"Customer Group:","Müşteri Grubu:"
"Default Billing Address","Varsayılan Fatura Adresi"
"Sales Statistics","Satış İstatistikleri"
"Web Site","İnternet sitesi"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Lifetime Sales","Ömürboyu Satışlar"
"Average Sale","Satış Ortalaması"
"All Store Views","Tüm Mağaza Görünümleri"
"Change","Değiştir"
"Manage Addresses","Adresleri Yönet"
"Default Shipping Address","Varsayılan Teslimat Adresi"
"Contact Information","İletişim Bilgisi"
"Change Password","Şifre Değiştir"
"Newsletters","Duyurular"
"You are subscribed to ""General Subscription"".","""Genel Abonelik"" e abone oldunuz."
"or","veya"
"Default Addresses","Varsayılan Adresler"
"Change Billing Address","Fatura adresi değiştir"
"You have no default billing address in your address book.","Adres defterinizde birincil fatura adresiniz yok."
"Change Shipping Address","Teslimat Adresini Değiştir"
"You have no default shipping address in your address book.","Adres defterinizde birincil teslimat adresiniz yok."
"Additional Address Entries","Ek Adres Girişleri"
"Delete Address","Adresi Sil"
"You have no other address entries in your address book.","Adres defterinizde başka adres girişi bulunmuyor."
"* Required Fields","* Zorunlu Alan"
"Address","Adres"
"Street Address","Adres"
"Street Address %1","Sokak Adresi %1"
"VAT Number","Vergi Numarası"
"City","Şehir"
"State/Province","Eyalet/Şehir"
"Please select a region, state or province.","Lütfen bir bölge, eyalet veya şehir seçiniz."
"Zip/Postal Code","Zip/Posta Kodu"
"Country","Ülke"
"It's a default billing address.","Bu varsayılan bir fatura adresidir."
"Use as my default billing address","Varsayılan Fatura Adresim Olarak Kullan"
"It's a default shipping address.","Bu varsayılan bir sevkiyat adresidir."
"Use as my default shipping address","Varsayılan Teslimat Adresim Olarak Kullan"
"Save Address","Adresi Kaydet"
"Go back","Geri dön"
"Please enter your email below and we will send you the confirmation link.","Lütfen aşağıya e-posta adresinizi girin ve size onay linki göndereceğiz."
"Email","E-posta"
"Send confirmation link","Onay Linki Gönder"
"Back to Sign In","Oturum Açmak için geri dön"
"Change Email","E-posta değiştir"
"Change Email and Password","E-posta ve Şifre değiştir"
"Current Password","Mevcut Şifre"
"New Password","Yeni Şifre"
"Password Strength","Parola Güvenlik Düzeyi"
"No Password","Şifre yok"
"Confirm New Password","Yeni Şifreyi Onayla"
"Save","Kaydet"
"Please enter your email address below to receive a password reset link.","Parola sıfırlama bağlantısı almak için lütfen e-posta adresinizi aşağıya giriniz."
"Reset My Password","Parolamı Sıfırla"
"Registered Customers","Kayıtlı Müşteriler"
"If you have an account, sign in with your email address.","Eğer bir hesabınız varsa, e-posta adresinizle oturum açın."
"Password","Şifre"
"Forgot Your Password?","Şifrenizi mi Unuttunuz?"
"Subscription option","Abonelik seçeneği"
"General Subscription","Genel Abonelik"
"Sign Up for Newsletter","Duyuru Servisine Abone Ol"
"Address Information","Adres Bilgisi"
"Sign-in Information","Oturum-açma Bilgisi"
"Confirm Password","Yeni Şifre (Tekrar)"
"Create an Account","Bir Hesap Oluştur"
"Set a New Password","Yeni bir Parola Oluştur"
"You have signed out and will go to our homepage in 5 seconds.","Çıkış yaptınız, 5 saniye içinde anasayfaya yönlendirileceksiniz."
"New Customers","Yeni Müşteriler"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Hesap oluşturarak siparişinizi daha hızlı tamamlayabilir, birden fazla adres kaydedebilir, siparişlerinizi takip edebilir ve bunun gibi bir çok işlemi daha kolay yapabilirsiniz."
"Company","Şirket"
"Fax","Faks"
"Gender","Cinsiyet"
"Name","Adı"
"Tax/VAT number","Vergi/Vatandaşlık numarası"
"Phone Number","Telefon Numarası"
"Welcome to %store_name","%store_name 'ye Hoşgeldiniz"
"%name,","%isim,"
"Welcome to %store_name.","%store_name 'ye Hoşgeldiniz."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Oturum açmak için <a href=""%customer_url"">Hesabım</a> a girin veya satın alma sayfasına devam edin:"
"Email:","E-posta:"
"Password:","Şifre:"
"Password you set when creating account","Hesap oluşturulurken belirlediğiniz parola"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Hesap şifrenizi mi unuttunuz? Sıfırlamak için <a href=""%reset_url"">buraya</a> tıklayın."
"When you sign in to your account, you will be able to:","Hesabınızda oturum açtığınız zaman, şunları yapabileceksiniz:"
"Proceed through checkout faster","Ödemeye hızlı bir şekilde geçin"
"Check the status of orders","Sipariş durumunu denetleyin"
"View past orders","Geçmiş siparişleri görüntüleyin"
"Store alternative addresses (for shipping to multiple family members and friends)","Alternatif adresleri sakla (birden fazla aile üyelerine ve arkadaşlarına kargo için)"
"Please confirm your %store_name account","Lütfen doğrulayın %store_name account"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Oturum açabilmeniz için %customer_email e-postanızı onaylamanız gerekir (bağlantı yalnızca bir kez geçerlidir):"
"Confirm Your Account","Hesabını onayla"
"Thank you for confirming your %store_name account.","Teyit için teşekkür ederiz %store_name account."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Sitemize giriş yapmak ve bir şifre oluşturmak için, <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","%store_name e-postanız değiştirildi"
"Hello,","Merhaba,"
"We have received a request to change the following information associated with your account at %store_name: email.","Hesabınızla ilişkili aşağıdaki bilgileri %store_name: e-postasında değiştirme isteği aldık."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Bu işleme yetkiniz yoksa, lütfen <a href=""mailto:%store_email"">%store_email</a>adresinden bizimle iletişime geçin"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","veya <a href=""tel:%store_phone"">%store_phone</a> adresinden bizi arayın"
"Thanks,<br>%store_name","Teşekkürler,<br>%store_name"
"Your %store_name email and password has been changed","%store_name e-postanız ve parolanız değiştirildi"
"We have received a request to change the following information associated with your account at %store_name: email, password.","%store_name üzerindeki hesabınızla ilişkili aşağıdaki bilgileri değiştirmek istediğinize dair bir talep aldık: e-posta, parola."
"Reset your %store_name password","%store_name parolanızı sıfırlayın"
"There was recently a request to change the password for your account.","Kısa bir süre önce hesabınız için parola değiştirme isteği geldi."
"If you requested this change, set a new password here:","Bu değişikliği istediyseniz, buradan yeni bir parola belirleyiniz:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Bu isteği siz yapmadıysanız, bu e-postayı yok sayabilirsiniz ve parolanız aynı kalacaktır."
"Your %store_name password has been changed","Sizin %store_name parolanız değiştirildi"
"We have received a request to change the following information associated with your account at %store_name: password.","%store_name üzerindeki hesabınızla ilişkili aşağıdaki bilgileri değiştirmek istediğinize dair bir talep aldık: parola."
"Checkout as a new customer","Yeni bir müşteri olarak ödeme"
"Creating an account has many benefits:","Bir hesap oluşturmanın bir çok avantajı vardır:"
"See order and shipping status","Sipariş ve sevkiyat durumunu görüntüleyin"
"Track order history","Sipariş geçmişini takip edin"
"Check out faster","Hızlı kontrol etme"
"Checkout using your account","Kendi hesabınızı kullanarak ödeme"
"Email Address","E-posta Adresiniz"
"Are you sure you want to do this?","Bu işlemi yapmak istediğinizden emin misiniz?"
"Are you sure you want to delete this address?","Bu adresi silmek istediğinizden emin misiniz?"
"Weak","Zayıf"
"Medium","Orta"
"Strong","Güçlü"
"Very Strong","Çok güçlü"
"Guest checkout is disabled.","Misafir hesabı ile ödeme devredışı."
"All Customers","Tüm Müşteriler"
"Now Online","Şimdi online"
"Customers Section","Müşteriler Bölümü"
"Customer Configuration","Müşteri Yapılandırma"
"Account Sharing Options","Hesap Paylaşma Seçenekleri"
"Share Customer Accounts","Müşteri Hesaplarını Paylaş"
"Create New Account Options","Yeni Hesap Seçenekleri Ekle"
"Enable Automatic Assignment to Customer Group","Müşteri Grubuna Otomatik Atamayı Aktif et"
"Tax Calculation Based On","Vergi Hesaplama Yöntemi"
"Default Group","Varsayılan Grup"
"Group for Valid VAT ID - Domestic","Geçerli VAT No için Grup - Bölgesel"
"Group for Valid VAT ID - Intra-Union","Geçerli VAT No için Grup - Ulusal"
"Group for Invalid VAT ID","Hatalı VAT için Grup"
"Validation Error Group","Doğrulama Hata Grubu"
"Validate on Each Transaction","Her işlemde yeniden doğrula"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Vergi Numarasına göre otomatik olarak müşteri grubu değiştirme özelliğinin iptali için Varsayılan Değer"
"Show VAT Number on Storefront","VERGİ Numarasını Vitrinde göster"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","VERGİ numarasını Vitrinde göstermek için, VERGİ Numarasını Vitrinde Göster seçeneğini Evet olarak ayarlayın."
"Default Email Domain","Varsayılan E-posta Domaini"
"Default Welcome Email","Varsayılan Karşılama E-postası"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-posta şablonu, ""Varsayılan"" seçeneği seçildiğinde temanın geri düşümü temel alınarak seçildi."
"Default Welcome Email Without Password","Parolasız Girişlerde Varsayılan Hoşgeldiniz E-postası"
