"Sign Out","Terminar Sessão"
"Group Name","Nome do Grupo"
"Maximum length must be less then %1 characters.","O comprimento máximo deve ser inferior a %1 caracteres."
"Tax Class","Classe de Impostos"
"The customer is now assigned to Customer Group %s.","O cliente está agora associado ao Grupo de Cliente %s."
"Would you like to change the Customer Group for this order?","Gostaria de alterar o Grupo de Cliente para esta encomenda?"
"The VAT ID is valid.","O ID de IVA é válido."
"The VAT ID entered (%s) is not a valid VAT ID.","O ID de IVA inserido (%s) não é um ID válido."
"The VAT ID is valid. The current Customer Group will be used.","O NIF é válido. Será usado o Grupo de Cliente atual."
"The VAT ID is valid but no Customer Group is assigned for it.","O NIF é válido mas não está associado a nenhum Grupo de Cliente."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Com base no NIF, o cliente pertence ao Grupo de Cliente %s."
"Something went wrong while validating the VAT ID.","Algo correu mal durante a validação do NIF."
"The customer would belong to Customer Group %s.","O cliente iria pertencer ao Grupo de Cliente %s."
"There was an error detecting Customer Group.","Ocorreu um erro na deteção do Grupo de Cliente."
"Validate VAT Number","Validar NIF"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","Data de Nascimento"
"Bad request.","Pedido Inválido."
"This confirmation key is invalid or has expired.","Esta chave de confirmação é inválida ou expirou."
"There was an error confirming the account","Ocorreu um erro ao confirmar a conta"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Se já é um cliente com NIF registado, clique <a href=""%1"">aqui</a> para introduzir a sua morada de envio para efetuar o cálculo de IVA."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Se já é um cliente com NIF registado, clique <a href=""%1"">aqui</a> para introduzir a sua morada de faturação para efetuar o cálculo de IVA."
"Thank you for registering with %1.","Obrigado por se registar na %1."
"Please check your email for confirmation key.","Por favor verifique se já recebeu no seu email a chave de confirmação."
"This email does not require confirmation.","Este e-mail não requer confirmação."
"Wrong email.","Email errado."
"Your password reset link has expired.","O seu link para repor a palavra-passe expirou."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Tem de confirmar o seu registo. Por favor procure no seu e-mail o link de confirmação ou <a href=""%1"">clique aqui</a> para pedir um novo link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Já existe uma conta com este endereço de e-mail. Se tem certeza que este é o seu endereço de e-mail, <a href=""%1"">clique aqui</a> para obter sua senha e entrar na sua conta."
"We can't save the customer.","Não conseguimos gravar o cliente."
"Please make sure your passwords match.","Por favor certifique-se que ambas as palavras-passe coincidem."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Se já é um cliente com NIF registado, clique <a href=""%1"">aqui</a> para introduzir a sua morada de envio para efetuar o cálculo de IVA."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Se já é um cliente com NIF registado, clique <a href=""%1"">aqui</a> para introduzir a sua morada de faturação para efetuar o cálculo de IVA."
"Account Information","Informações da Conta"
"You saved the account information.","Gravou a informação da conta."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","A confirmação da palavra-passe não corresponde à palavra-passe inserida."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","Não conseguimos enviar o email para repor a palavra-passe."
"Please enter your email.","Por favor introduza o seu email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Se houver uma conta associada com %1 irá receber um email com um link para repor a sua palavra-passe."
"My Account","A Minha conta"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Esta conta não está confirmada. <a href=""%1"">Clique aqui</a> para reenviar o email de confirmação."
"An unspecified error occurred. Please contact us for assistance.","Ocorreu um erro não especificado. Por favor contacte-nos para receber assistência."
"A login and a password are required.","É necessário um nome de utilizador e uma palavra-passe."
"New Password and Confirm New Password values didn't match.","Os valores Nova Palavra-passe e Confirmar Nova Palavra-passe não correspondem."
"Please enter a new password.","Por favor insira a nova palavra-passe."
"You updated your password.","Atualizou a sua palavra-passe."
"Something went wrong while saving the new password.","Algo correu mal ao gravar a nova palavra-passe."
"You deleted the address.","Apagou a morada."
"We can't delete the address right now.","De momento não é possível apagar a morada."
"You saved the address.","Gravou a morada."
"We can't save the address.","Não é possível gravar a morada."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","Revogou os tokens do cliente."
"We can't find a customer to revoke.","Não conseguimos encontrar um cliente para revogar."
"Something went wrong while saving file.","Algo correu mal ao gravar o ficheiro."
"You deleted the customer group.","Apagou o grupo de clientes."
"The customer group no longer exists.","O grupo de clientes já não existe."
"Customers","Clientes"
"New Group","Novo Grupo"
"New Customer Groups","Novos grupos de cliente"
"Edit Group","Editar Grupo"
"Edit Customer Groups","Editar Grupos de Clientes"
"You saved the customer group.","Gravou o grupo de clientes."
"Please select customer(s).","Seleccionar cliente(s)."
"Customer could not be deleted.","O cliente não pode ser removido."
"You deleted the customer.","Apagou o cliente."
"Something went wrong while editing the customer.","Algo correu mal durante a edição do cliente."
"Manage Customers","Gerir clientes"
"Please correct the data sent.","Por favor, corrija os dados enviados."
"A total of %1 record(s) were updated.","Um total de %1 registo(s) foram atualizados."
"A total of %1 record(s) were deleted.","Um total de %1 registo(s) foram apagados."
"The customer will receive an email with a link to reset password.","O cliente irá receber um email com um link para repor a palavra-passe."
"Something went wrong while resetting customer password.","Algo correu mal ao repor a palavra-passe do cliente."
"You saved the customer.","Gravou o cliente."
"Something went wrong while saving the customer.","Algo correu mal ao gravar o cliente."
"Page not found.","Página não encontrada."
"Customer has been unlocked successfully.","A conta do cliente foi desbloqueada com sucesso."
"Online Customers","Clientes Online"
"Customers Now Online","Clientes Online Neste Momento"
"Please define Wish List item ID.","Por favor defina o ID do item da Lista de Desejos."
"Please load Wish List item.","Por favor carregue o item da Lista de Desejos."
"Login successful.","Login bem sucedido."
"Invalid login or password.","Nome de utilizador ou palavra-passe errados."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 não estende \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","A conta está bloqueada."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Por favor, introduza uma palavra-passe com pelo menos %1 caracteres."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","O mínimo de classes de caracteres diferentes na palavra passe é %1. As classes de caracteres são: Minúsculas, Maiúsculas, Números, Caracteres Especiais."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","Já existe este cliente nesta loja."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Valor inválido de ""%value"" fornecido para o campo %fieldName."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","O código para repor a palavra-passe expirou."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" é um valor obrigatório."
"Global","Global"
"Per Website","Por Site"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Não partilhamos as contas de clientes globalmente quando as contas partilham endereços de e-mail idênticos em mais de um site."
"Billing Address","Morada de Faturação"
"Shipping Address","Morada de Envio"
"-- Please Select --","-- Por favor, selecione --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Administrador"
"ALL GROUPS","TODOS OS GRUPOS"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Nenhum entidade com %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","O ficheiro não pode ser gravado na pasta de destino."
"Unable to create directory %1.","Não é possível criar a pasta: %1."
"Destination folder is not writable or does not exists.","Pasta de destino não existe ou não é editável."
"Something went wrong while saving the file.","Algo correu mal durante a gravação do ficheiro."
"Attribute object is undefined","O objeto de atributo está indefinido"
"""%1"" invalid type entered.","""%1"" tipo inválido introduzido."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contém caracteres não-alfabéticos ou não-numéricos."
"""%1"" is an empty string.","""%1"" é uma String vazia."
"""%1"" contains non-numeric characters.","""%1"" contém caracteres não-numéricos."
"""%1"" contains non-alphabetic characters.","""%1"" contém caracteres não-alfabéticos."
"""%1"" is not a valid email address.","""%1"" não é um endereço de email válido."
"""%1"" is not a valid hostname.","""%1"" não é um hostname válido."
"""%1"" uses too many characters.","""%1"" utiliza demasiados caracteres."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' parece ser um endereço IP, e não é um formato aceitável."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' parece um hostname DNS mas contem um dash (hífen) numa posição inválida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' parece um hostname DNS mas não conseguimos fazer uma correspondência com o esquema de hostname para o domínio de topo (TLD) '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' parece um hostname DNS mas não foi possível extrair a parte do domínio de topo (TLD)."
"'%value%' does not look like a valid local network name.","'%value%' não parece ser um nome de rede local válido."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' parece ser um nome de rede local, que não é um formato aceitável."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' parece ser um hostname DNS, mas não foi possível descodificar a notação punycode."
"""%1"" is not a valid URL.","""%1"" não é um URL válido."
"""%1"" is not a valid date.","""%1"" não é uma data válida."
"""%1"" does not fit the entered date format.","""%1"" não corresponde ao formato da data inserida."
"Please enter a valid date between %1 and %2 at %3.","Por favor introduza uma data válida entre %1 e %2 às %3."
"Please enter a valid date equal to or greater than %1 at %2.","Por favor introduza uma data válida igual ou superior a %1 às %2."
"Please enter a valid date less than or equal to %1 at %2.","Por favor introduza uma data válida menor ou igual a %1 às %2."
"""%1"" is not a valid file extension.","""%1"" não é um formato de ficheiro válido."
"""%1"" is not a valid file.","""%1"" não é um ficheiro válido."
"""%1"" exceeds the allowed file size.","""%1"" excede a dimensão máxima de ficheiro permitida."
"""%1"" is not a valid image format.","""%1"" não é um formato de imagem válido."
"""%1"" width exceeds allowed value of %2 px.","""%1"" largura excede o valor permitido de %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" altura excede o valor permitido de %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" comprimento deve ser maior ou igual a %2 caracteres."
"""%1"" length must be equal or less than %2 characters.","""%1"" comprimento deve ser menor ou igual a %2 caracteres."
"label","etiqueta"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Grupos de Clientes"
"You can't delete group ""%1"".","Não pode eliminar o grupo ""%1""."
"Customer Group already exists.","O Grupo de Cliente já existe."
"Cannot delete group.","Não é possível apagar o grupo."
"Error during VAT Number verification.","Erro durante a verificação do NIF."
"PHP SOAP extension is required.","A extensão SOAP para PHP é necessária."
"VAT Number is valid.","O NIF é válido."
"Please enter a valid VAT number.","Por favor insira um NIF válido."
"Your VAT ID was successfully validated.","O seu NIF foi validado com sucesso."
"You will be charged tax.","Irão ser cobrados impostos."
"You will not be charged tax.","Não serão cobrados impostos."
"The VAT ID entered (%1) is not a valid VAT ID.","O NIF inserido (%1) não é um NIF válido."
"Your Tax ID cannot be validated.","Não conseguimos validar o seu NIF."
"If you believe this is an error, please contact us at %1","Se acredita que isto é um erro, por favor contacte-nos em %1"
"No such entity with %fieldName = %fieldValue","Nenhum entidade com %fieldName = %fieldValue"
"Male","Masculino"
"Female","Feminino"
"Not Specified","Não Especificado"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Mensagem da exceção"
"Validator Exception","Exceção do Validador"
"Localized Exception","Exceção Localizada"
"some error","algum erro"
"frontend_label","frontend_label"
"NOT LOGGED IN","NÃO LOGADOS"
"Please enter the state/province.","Por favor insira o distrito/concelho."
"region is a required field.","região é um campo de preenchimento obrigatório."
"regionId is a required field.","regionId is a required field."
"Label","Etiqueta"
"Select...","Selecione..."
"Edit","Editar"
"Visitor","Visitante"
"Customer","Cliente"
"No item specified.","Não item especificado."
"Are you sure you want to remove this item?","Tem a certeza que pretende remover este item?"
"Personal Information","Informação Pessoal"
"Last Logged In:","Último Login:"
"Last Logged In (%1):","Último Início de Sessão em (%1):"
"Account Lock:","Bloqueio de Conta:"
"Confirmed email:","Email confirmado:"
"Account Created:","Conta Criada:"
"Account Created on (%1):","Conta Criada em (%1):"
"Account Created in:","Conta Criada em:"
"Customer Group:","Grupo de Cliente:"
"Default Billing Address","Morada de Faturação Pré-definida"
"Sales Statistics","Estatísticas de vendas"
"Web Site","Website"
"Store","Loja"
"Store View","Vista da Loja"
"Lifetime Sales","Vendas desde sempre"
"Average Sale","Venda Média"
"All Store Views","Todas as Vistas de Loja"
"Change","Modificar"
"Manage Addresses","Gerir Moradas"
"Default Shipping Address","Morada de Envio Pré-definida"
"Contact Information","Informação de Contacto"
"Change Password","Alterar Palavra-passe"
"Newsletters","Newsletters"
"You are subscribed to ""General Subscription"".","Subscreveu ""Subscrição Geral""."
"or","ou"
"Default Addresses","Moradas Pré-definidas"
"Change Billing Address","Alterar Morada de Faturação"
"You have no default billing address in your address book.","Não tem nenhuma morada de faturação pré-definida no seu livro de endereços."
"Change Shipping Address","Alterar Morada de Envio"
"You have no default shipping address in your address book.","Não tem nenhuma morada de envio pré-definida no seu livro de endereços."
"Additional Address Entries","Entradas Adicionais da Morada"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","Não tem nenhuma outra morada no seu livro de endereços."
"* Required Fields","* Campos Obrigatórios"
"Address","Morada"
"Street Address","Morada"
"Street Address %1","Morada %1"
"VAT Number","Número de Contribuinte"
"City","Cidade"
"State/Province","Concelho/Distrito"
"Please select a region, state or province.","Por favor selecione a região, concelho ou distrito."
"Zip/Postal Code","Código Postal"
"Country","País"
"It's a default billing address.","É uma morada de faturação pré-definida."
"Use as my default billing address","Usar como morada de faturação pré-definida"
"It's a default shipping address.","É uma morada de envio pré-definida."
"Use as my default shipping address","Usar como morada de envio pré-definida"
"Save Address","Gravar Morada"
"Go back","Voltar"
"Please enter your email below and we will send you the confirmation link.","Por favor insira o seu email em baixo e enviar-lhe-emos o link de confirmação."
"Email","Correio electrónico"
"Send confirmation link","Enviar link de confirmação"
"Back to Sign In","Voltar ao Login"
"Change Email","Alterar Email"
"Change Email and Password","Alterar Email e Palavra-passe"
"Current Password","Palavra-passe Atual"
"New Password","Nova Password"
"Password Strength","Força da Palavra-Passe"
"No Password","Sem palavra-passe"
"Confirm New Password","Confirmar Nova Palavra-passe"
"Save","Gravar"
"Please enter your email address below to receive a password reset link.","Por favor insira o seu email em baixo para receber um link de reposição da sua palavra-passe."
"Reset My Password","Repor a minha Palavra-passe"
"Registered Customers","Clientes Registados"
"If you have an account, sign in with your email address.","Se possuir uma conta, inicie sessão com o seu email."
"Password","Palavra-passe"
"Forgot Your Password?","Esqueceu-se da Palavra-passe?"
"Subscription option","Opção de subscrição"
"General Subscription","Subscrição Geral"
"Sign Up for Newsletter","Subscreva a Newsletter"
"Address Information","Informação da Morada"
"Sign-in Information","Informação de Login"
"Confirm Password","Confirmar Palavra-passe"
"Create an Account","Criar uma Conta"
"Set a New Password","Definir uma Nova Palavra-passe"
"You have signed out and will go to our homepage in 5 seconds.","Saíu da sua conta e irá para a página principal dentro de 5 segundos."
"New Customers","Novos clientes"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Criar uma conta online tem muitas vantagens: finalizar as encomendas mais rapidamente, gravar mais que uma morada, seguir o estado das suas encomendas e muito mais."
"Company","Empresa"
"Fax","Fax"
"Gender","Sexo"
"Name","Nome"
"Tax/VAT number","Tax/VAT number"
"Phone Number","Número de Telefone"
"Welcome to %store_name","Bem-vindo(a) à %store_name"
"%name,","%name,"
"Welcome to %store_name.","Bem-vindo à %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para iniciar sessão no nosso site, use estas credenciais durante a compra ou na página <a href=""%customer_url"">A Minha Conta</a>:"
"Email:","E-mail:"
"Password:","Palavra-passe:"
"Password you set when creating account","Palavra-passe que definiu ao criar a sua conta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Esqueceu-se da palavra-passe? Clique <a href=""%reset_url"">aqui</a> para a redefinir."
"When you sign in to your account, you will be able to:","Quando iniciar sessão, vai poder:"
"Proceed through checkout faster","Finalizar a compra de forma mais rápida"
"Check the status of orders","Verificar o estado das encomendas"
"View past orders","Ver encomendas antigas"
"Store alternative addresses (for shipping to multiple family members and friends)","Guardar moradas alternativas (para enviar para familiares e amigos)"
"Please confirm your %store_name account","Por favor, confirme a sua conta na %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Tem de confirmar o seu email %customer_email antes de poder iniciar sessão (o link é apenas válido uma vez):"
"Confirm Your Account","Confirmar A Sua Conta"
"Thank you for confirming your %store_name account.","Obrigado por confirmar a sua conta %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Para iniciar sessão no nosso site e definir uma palavra-passe, clique no <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","O seu %store_name email foi alterado"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","Recebemos um pedido para alterar a informação seguinte associada à sua conta %store_name: e-mail."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Se não autorizou esta ação, por favor contacte-nos imediatamente através do email <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","O seu %store_name email e senha foram alterados"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Recebemos um pedido para alterar a informação seguinte associada à sua conta %store_name: e-mail, palavra-passe."
"Reset your %store_name password","Redefinir a sua %store_name senha"
"There was recently a request to change the password for your account.","Houve um pedido recente para alterar a palavra-passe da sua conta."
"If you requested this change, set a new password here:","Se solicitou esta alteração, defina a sua nova palavra-passe aqui:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Se não solicitou esta alteração, pode ignorar este email e a sua palavra-passe não será alterada."
"Your %store_name password has been changed","A sua %store_name senha foi alterada"
"We have received a request to change the following information associated with your account at %store_name: password.","Recebemos um pedido para alterar a informação seguinte associada à sua conta %store_name: palavra-passe."
"Checkout as a new customer","Finalizar compra como um novo cliente"
"Creating an account has many benefits:","Criar uma conta oferece muitas vantagens:"
"See order and shipping status","Ver encomenda e estado do envio"
"Track order history","Acompanhe o histórico da encomenda"
"Check out faster","Finalizar a compra mais rápido"
"Checkout using your account","Finalizar compra usando a sua conta"
"Email Address","Endereço de Email"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Are you sure you want to delete this address?","Tem a certeza que deseja apagar esta morada?"
"Weak","Fraca"
"Medium","Média"
"Strong","Forte"
"Very Strong","Muito Forte"
"Guest checkout is disabled.","O checkout para utilizadores não registados está desativado."
"All Customers","Todos os Clientes"
"Now Online","Online Agora"
"Customers Section","Secção de Clientes"
"Customer Configuration","Configuração do Cliente"
"Account Sharing Options","Opções de Partilha de Conta"
"Share Customer Accounts","Partilhar Contas de Cliente"
"Create New Account Options","Criar Novas Opções de Conta"
"Enable Automatic Assignment to Customer Group","Ativar Atribuição Automática a um Grupo de Clientes"
"Tax Calculation Based On","Cálculo de Impostos Baseado Em"
"Default Group","Grupo Pré-definido"
"Group for Valid VAT ID - Domestic","Grupo para NIF Válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo para NIF Válido - UE"
"Group for Invalid VAT ID","Grupo para NIF Inválido"
"Validation Error Group","Grupo de Erro de Validação"
"Validate on Each Transaction","Validar em Cada Transação"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor Pré-definido para Desativar Mudanças de Grupo Automáticas Baseadas em NIF"
"Show VAT Number on Storefront","Mostrar NIF na Loja"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Para mostrar o NIF na Loja, defina a opção Mostrar NIF na Loja para Sim."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Email de Boas Vindas Pré-definido"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O template de email é escolhido com base no tema de recurso quando a opção ""Default"" está selecionada."
"Default Welcome Email Without Password","Email de Boas Vindas Pré-definido Sem Palavra-passe"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Remetente de E-mail"
"Require Emails Confirmation","Exigir Confirmação de Emails"
"Confirmation Link Email","Email do Link de Confirmação"
"Welcome Email","Email de Boas Vindas"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Gerar ID de Cliente Fácil de Ler"
"Password Options","Opções de Palavra-passe"
"Forgot Email Template","Template de Email Esquecido"
"Remind Email Template","Template de Email para Lembretes"
"Reset Password Template","Template para Repor Palavra-passe"
"Password Template Email Sender","Remetente de Email para Template de Palavra-passe"
"Recovery Link Expiration Period (hours)","Validade do Link de Recuperação (horas)"
"Please enter a number 1 or greater in this field.","Por favor insira um número igual ou superior a 1 neste campo."
"Number of Required Character Classes","Número de Classes de Caracteres Exigido"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Número de classes de caracteres exigido na palavra-passe: Minúsculas, Maiúsculas, Números, Caracteres Especiais."
"Minimum Password Length","Comprimento Mínimo da Palavra-passe"
"Maximum Login Failures to Lockout Account","Número Máximo de Tentativas Falhadas de Login para Bloquear Conta"
"Use 0 to disable account locking.","Use 0 para desativar o bloqueio de conta."
"Lockout Time (minutes)","Tempo de Bloqueio (minutos)"
"Enable Autocomplete on login/forgot password forms","Ativar Auto-completar nos formulários de login/palavra-passe esquecida"
"Account Information Options","Opções de informação de conta"
"Change Email Template","Editar Template de Email"
"Change Email and Password Template","Alterar template de E-mail e Password"
"Name and Address Options","Nome e Opções de Morada"
"Number of Lines in a Street Address","Número de linhas numa Morada"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Mostrar Prefixo"
"The title that goes before name (Mr., Mrs., etc.)","O título que aparece antes do nome (Sr., Sra., Dr., Dra., etc.)"
"Prefix Dropdown Options","Opções de Menu de Prefixos"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Mostrar Nome do Meio (Inicial)"
"Always optional.","Sempre opcional."
"Show Suffix","Mostrar Sufixo"
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo que aparece depois do nome (Jr. Sr., etc.)"
"Suffix Dropdown Options","Opções de Menu de Sufixo"
"Show Date of Birth","Mostrar Data de Nascimento"
"Show Tax/VAT Number","Mostrar NIF"
"Show Gender","Mostrar Género"
"Show Telephone","Mostrar telefone"
"Show Company","Mostrar empresa"
"Show Fax","Mostrar Fax"
"Login Options","Opções de Login"
"Redirect Customer to Account Dashboard after Logging in","Redirecionar Cliente para Painel de Conta após Início de Sessão"
"Customer will stay on the current page if ""No"" is selected.","O cliente fica na página atual se ""Não"" estiver selecionado."
"Address Templates","Templates de Morada"
"Online Customers Options","Opções de Cliente Online"
"Online Minutes Interval","Intervalo de Minutos Online"
