"Sign Out","Odjavi se"
"Date of Birth","Datum rođenja"
"Bad request.","Loš zahtev."
"This confirmation key is invalid or has expired.","Ključ za potvrdu je neispravan ili je istekao."
"There was an error confirming the account","Došlo je do greške prilikom potvrđivanja Profila"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Ukoliko ste registrovani PDV kupac, molimo kliknite <a href=""%1"">ovde</a> da biste upisali svoju adresu za dostavu, za pravilnu PDV kalkulaciju."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Ukoliko ste registrovani VAT kupac, molimo kliknite <a href=""%1"">ovde</a> da biste upisali svoju adresu za naplatu, za pravilnu VAT kalkulaciju."
"Thank you for registering with %1.","Hvala Vam za registrovanje sa %1."
"Please check your email for confirmation key.","Molimo proverite mejl za potvrdni ključ."
"This email does not require confirmation.","Ovaj mejl ne zahteva potvrdu."
"Wrong email.","Pogrešan e-mail."
"Your password reset link has expired.","Link za oporavak vaše lozinke je istekao."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Morate potvrditi svoj Profil. Molimo proverite svoj email za link za potvrdu ili <a href=""%1"">kliknite ovde</a> za novi link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Već postoji Profil sa ovom email adresom. Ako ste sigurni da je ovo Vaša adresa, <a href=""%1"">kliknite ovde</a> da biste dobili lozinku i pristup svom Profilu."
"We can't save the customer.","Ovaj korisnik se ne može sačuvati."
"Please make sure your passwords match.","Proverite da li se vaše lozinke podudaraju."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Ukoliko ste registrovani VAT kupac, molimo <a href=""%1"">kliknite ovde</a> da biste upisali svoju adresu za dostavu, za pravilnu VAT kalkulaciju."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Ukoliko ste registrovani VAT kupac, molimo <a href=""%1"">kliknite ovde</a> da biste upisali svoju adresu za naplatu, za pravilnu VAT kalkulaciju."
"Account Information","Informacije o nalogu"
"You saved the account information.","Sačuvali ste korisničke podatke."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","Loyinka se ne poklapa sa prethodno unesenom."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","Nismo u mogućnosti poslati email za ponovno postavljanje lozinke."
"Please enter your email.","Molimo unesite Vaš email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ako postoji nalog povezan sa %1 vi ćete primiti e-mail sa Linkom da poništite lozinku."
"My Account","Moj nalog"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Profil nije potvrđen. <a href=""%1"">Kliknite ovde</a> da bismo Vam poslali potvrdni email."
"An unspecified error occurred. Please contact us for assistance.","Primećena je nedefinisana greška. Molimo kontaktirajte nas za pomoć."
"A login and a password are required.","Email i lozinka su obavezni."
"New Password and Confirm New Password values didn't match.","Vrednosti nove Lozinke i Potvrda Nove Lozinke se ne poklapaju."
"Please enter a new password.","Molimo upišite novu lozinku."
"You updated your password.","Ažurirali ste Loziku."
"Something went wrong while saving the new password.","Došlo je do greške prilikom snimanja nove Lozinke."
"You deleted the address.","Obrisali ste adresu."
"We can't delete the address right now.","Ne možete obrisati adresu."
"You saved the address.","Sačuvali ste adresu."
"We can't save the address.","Ne možemo sačuvati adresu."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","You have revoked the customer's tokens."
"We can't find a customer to revoke.","We can't find a customer to revoke."
"Something went wrong while saving file.","Something went wrong while saving file."
"You deleted the customer group.","You deleted the customer group."
"The customer group no longer exists.","The customer group no longer exists."
"Customers","Kupci"
"New Group","New Group"
"New Customer Groups","New Customer Groups"
"Edit Group","Edit Group"
"Edit Customer Groups","Edit Customer Groups"
"You saved the customer group.","You saved the customer group."
"Please select customer(s).","Molimo odaberite kupca(e)."
"Customer could not be deleted.","Kupac ne može biti obrisan."
"You deleted the customer.","Obrisali ste kupca."
"Something went wrong while editing the customer.","Došlo je do greške prilikom promene kupca."
"Manage Customers","Upravljanje Kupcima"
"Please correct the data sent.","Ispravite poslate podatke."
"A total of %1 record(s) were updated.","Ukupno %1 zapis(a) je ažurirano."
"A total of %1 record(s) were deleted.","Ukupno %1 zapis(a) je obrisano."
"The customer will receive an email with a link to reset password.","Kupac će dobiti mejl sa linkom za resetovanje šifre."
"Something went wrong while resetting customer password.","Došlo je do greške prilikom resetovanja lozinke kupca."
"You saved the customer.","You saved the customer."
"Something went wrong while saving the customer.","Something went wrong while saving the customer."
"Page not found.","Page not found."
"Customer has been unlocked successfully.","Customer has been unlocked successfully."
"Online Customers","Online Customers"
"Customers Now Online","Customers Now Online"
"Please define Wish List item ID.","Please define Wish List item ID."
"Please load Wish List item.","Please load Wish List item."
"Login successful.","Login successful."
"Invalid login or password.","Invalid login or password."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","Vaš Profil je zaključan."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Molimo unesite Lozinku sa najviše %1 karaktera."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimalno %1 različitih tipova karaktera u Lozinki. Klase karaktera: Mala Slova, Velika Slova, Brojevi, Specijalni Karakteri."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","Registrovani kupac već postoji."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Neispravna vrednost u ""%value"" obezbeđenoj za %fieldName polje."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Reset password token expired."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" je obavezna vrednost."
"Global","Globalno"
"Per Website","Po Web sajtu"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We can't share customer accounts globally when the accounts share identical email addresses on more than one website."
"Billing Address","Adresa za dostavu računa"
"Shipping Address","Adresa za dostavu"
"-- Please Select --","-- Molim odaberite --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Admin"
"ALL GROUPS","SVE GRUPE"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Ne postoji entitet sa %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Unable to create directory %1.","Unable to create directory %1."
"Destination folder is not writable or does not exists.","Destination folder is not writable or does not exists."
"Something went wrong while saving the file.","Something went wrong while saving the file."
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" uses too many characters.","""%1"" uses too many characters."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' looks like an IP address, which is not an acceptable format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' looks like a DNS hostname but contains a dash in an invalid position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' looks like a DNS hostname but cannot extract TLD part."
"'%value%' does not look like a valid local network name.","'%value%' does not look like a valid local network name."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' looks like a local network name, which is not an acceptable format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"label","oznaka"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Grupa kupaca"
"You can't delete group ""%1"".","You can't delete group ""%1""."
"Customer Group already exists.","Customer Group already exists."
"Cannot delete group.","Cannot delete group."
"Error during VAT Number verification.","Error during VAT Number verification."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"VAT Number is valid.","PIB broj je validan."
"Please enter a valid VAT number.","Molimo unesite ispravan PIB."
"Your VAT ID was successfully validated.","Vaš PIB je uspešno validiran."
"You will be charged tax.","Biće vam naplaćen porez."
"You will not be charged tax.","Neće vam biti naplaćen porez."
"The VAT ID entered (%1) is not a valid VAT ID.","Uneseni PIB (%1) nije validan."
"Your Tax ID cannot be validated.","Vaš poreski ID ne može biti validiran."
"If you believe this is an error, please contact us at %1","Ako verujete da je došlo do greške, molimo kontaktirajte nas na %1"
"No such entity with %fieldName = %fieldValue","Ne postoji entitet sa %fieldName = %fieldValue"
"Male","Muški"
"Female","Ženski"
"Not Specified","Nije Definisan"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Poruka o izuzeću"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","some error"
"frontend_label","frontend_label"
"NOT LOGGED IN","NOT LOGGED IN"
"Please enter the state/province.","Please enter the state/province."
"region is a required field.","region je obavezno polje."
"regionId is a required field.","regionId is a required field."
"Label","Oznaka"
"Select...","Izabrati..."
"Edit","Izmeni"
"Visitor","Visitor"
"Customer","Kupac"
"No item specified.","Nema označenih stavki."
"Are you sure you want to remove this item?","Jeste li sigurni da želite da uklonite ovaj artikal?"
"Personal Information","Personal Information"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Account Lock:","Account Lock:"
"Confirmed email:","Confirmed email:"
"Account Created:","Account Created:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Default Billing Address","Default Billing Address"
"Sales Statistics","Sales Statistics"
"Web Site","Web lokacija"
"Store","Prodavnica"
"Store View","Prikaz prodavnice"
"Lifetime Sales","Totalna rasprodaja"
"Average Sale","Average Sale"
"All Store Views","Svi pregledi prodavnica"
"Change","Promena"
"Manage Addresses","Upravljajte adresama"
"Default Shipping Address","Default Shipping Address"
"Contact Information","Contact Information"
"Change Password","Change Password"
"Newsletters","Newsletters"
"You are subscribed to ""General Subscription"".","You are subscribed to ""General Subscription""."
"or","or"
"Default Addresses","Default Addresses"
"Change Billing Address","Change Billing Address"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"Change Shipping Address","Change Shipping Address"
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"Additional Address Entries","Dodatni Unosi Adresa"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","Nemate više unosa u svom adresaru."
"* Required Fields","* Obavezna polja"
"Address","Address"
"Street Address","Adresa"
"Street Address %1","Ulica %1"
"VAT Number","PDV broj"
"City","Grad"
"State/Province","State/Province"
"Please select a region, state or province.","Molimo odaberite mesto."
"Zip/Postal Code","Poštanski broj"
"Country","Država"
"It's a default billing address.","To je podrazumevana adresa za naplatu."
"Use as my default billing address","Koristi kao moju podrazumevanu adresu za naplatu"
"It's a default shipping address.","To je podrazumevana adresa za dostavu."
"Use as my default shipping address","Koristi moju podrazumevanu adresu dostave"
"Save Address","Sačuvaj adresu"
"Go back","Nazad"
"Please enter your email below and we will send you the confirmation link.","Molimo unesite email i poslaćemo vam link za potvrdu."
"Email","E-pošta"
"Send confirmation link","Pošalji potvrdni link"
"Back to Sign In","Natrag na Prijavu"
"Change Email","Promeni Email"
"Change Email and Password","Promeni Email i Lozinku"
"Current Password","Trenutna lozinka"
"New Password","Nova lozinka"
"Password Strength","Jačina Lozinke"
"No Password","Nema lozinke"
"Confirm New Password","Potvrdite novu lozinku"
"Save","Sačuvaj"
"Please enter your email address below to receive a password reset link.","Molimo unesite email adresu ispod da biste dobili link za resetovanje lozinke."
"Reset My Password","Resetovanje Lozinke"
"Registered Customers","Registrovani Kupci"
"If you have an account, sign in with your email address.","Ako imate Profil, prijavite se sa emailom."
"Password","Lozinka"
"Forgot Your Password?","Zaboravili ste lozinku?"
"Subscription option","Opcije pretplate"
"General Subscription","Opšte Postavke"
"Sign Up for Newsletter","Prijavi se za Newsletter"
"Address Information","Informacija o Adresi"
"Sign-in Information","Informacije o Prijavi"
"Confirm Password","Potvrda lozinke"
"Create an Account","Napravite Profil"
"Set a New Password","Postavi novu lozinku"
"You have signed out and will go to our homepage in 5 seconds.","Odjavili ste se i bićete preusmereni na početnu stranicu za 5 sekundi."
"New Customers","Novi kupac"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Kreiranje Profila ima mnogo prednosti: brzu proveru, lak pristup prethodnim porudžbinama, mogućnost kreiranja spiska adresa i podešavanja."
"Company","Firma"
"Fax","Fax"
"Gender","Gender"
"Name","Ime"
"Tax/VAT number","Tax/VAT number"
"Phone Number","Broj telefona"
"Welcome to %store_name","Dobrodošli u %store_name"
"%name,","%naziv,"
"Welcome to %store_name.","Dobrodošli u %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Da biste se prijavili na naš sajt, koristite ove akreditive tokom provere ili na stranici <a href=""%customer_url"">Moj račun</a>:"
"Email:","E-mail:"
"Password:","Lozinka:"
"Password you set when creating account","Lozinka koju ste postavili prilikom kreiranja naloga"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zaboravili ste lozinku svog naloga? Kliknite <a href=""%reset_url""> ovde</a> da biste poništili to."
"When you sign in to your account, you will be able to:","Kada se prijavite na svoj nalog, moći ćete da:"
"Proceed through checkout faster","Nastavite brže kroz proveru"
"Check the status of orders","Proverite status porudžbine"
"View past orders","Vidi sve porudžbine"
"Store alternative addresses (for shipping to multiple family members and friends)","Alternativne adrese (za slanje članovima porodice ili prijateljima)"
"Please confirm your %store_name account","Molimo potvrdite svoj %store_name Profil"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Morate potvrditi %customer_email pre prijavljivanja (link je validan samo jednom):"
"Confirm Your Account","Potvrdite svoj Profil"
"Thank you for confirming your %store_name account.","Hvala Vam za potvrđivanje svog %store_name Profila."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Da biste se prijavili na naš saj i podesili Lozinku, kliknite na <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","Your %store_name email has been changed"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","We have received a request to change the following information associated with your account at %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","Your %store_name email and password has been changed"
"We have received a request to change the following information associated with your account at %store_name: email, password.","We have received a request to change the following information associated with your account at %store_name: email, password."
"Reset your %store_name password","Reset your %store_name password"
"There was recently a request to change the password for your account.","There was recently a request to change the password for your account."
"If you requested this change, set a new password here:","If you requested this change, set a new password here:"
"If you did not make this request, you can ignore this email and your password will remain the same.","If you did not make this request, you can ignore this email and your password will remain the same."
"Your %store_name password has been changed","Your %store_name password has been changed"
"We have received a request to change the following information associated with your account at %store_name: password.","We have received a request to change the following information associated with your account at %store_name: password."
"Checkout as a new customer","Checkout as a new customer"
"Creating an account has many benefits:","Creating an account has many benefits:"
"See order and shipping status","See order and shipping status"
"Track order history","Track order history"
"Check out faster","Check out faster"
"Checkout using your account","Checkout using your account"
"Email Address","Email Address"
"Are you sure you want to do this?","Jeste li sigurni da želite da uradite ovo?"
"Are you sure you want to delete this address?","Jeste li sigurni da želite da obrišete ovu adresu?"
"Weak","Weak"
"Medium","Medium"
"Strong","Strong"
"Very Strong","Very Strong"
"Guest checkout is disabled.","Guest checkout is disabled."
"All Customers","All Customers"
"Now Online","Now Online"
"Customers Section","Customers Section"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šalon e-pošte je izabran na osnovu teme kada je izabrana opcija „Zadata vrednost”."
"Default Welcome Email Without Password","Default Welcome Email Without Password"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Email Sender"
"Require Emails Confirmation","Zahtevaj Potvrdu Mejla"
"Confirmation Link Email","Link za Potvrdu Emaila"
"Welcome Email","Email Dobrodošlice"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Izbori lozinke"
"Forgot Email Template","Zaboravljeni predložak Emaila"
"Remind Email Template","Zaboravljeni predložak Emaila"
"Reset Password Template","Predložak za Resetovanje Password-a"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Vreme isteka linka za oporavak (sati)"
"Please enter a number 1 or greater in this field.","U ovo polje unesite broj 1 ili veći."
"Number of Required Character Classes","Number of Required Character Classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
"Minimum Password Length","Minimum Password Length"
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"Use 0 to disable account locking.","Use 0 to disable account locking."
"Lockout Time (minutes)","Lockout Time (minutes)"
"Enable Autocomplete on login/forgot password forms","Enable Autocomplete on login/forgot password forms"
"Account Information Options","Account Information Options"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Change Email and Password Template"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Always optional."
"Show Suffix","Show Suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Show Date of Birth"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show Gender","Show Gender"
"Show Telephone","Show Telephone"
"Show Company","Show Company"
"Show Fax","Show Fax"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","Customer Notification"
"Assign a Customer Group","Assign a Customer Group"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Customer Grid"
"Rebuild Customer grid index","Rebuild Customer grid index"
"Group","Group"
"Add New Customer","Add New Customer"
"Are you sure to delete selected customers?","Are you sure to delete selected customers?"
"Delete items","Delete items"
"Subscribe to Newsletter","Subscribe to Newsletter"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Unsubscribe from Newsletter","Unsubscribe from Newsletter"
"Phone","Telefon"
"ZIP","ZIP"
"Customer Since","Customer Since"
"Confirmed email","Confirmed email"
"Account Created in","Account Created in"
"Tax VAT Number","Tax VAT Number"
"Billing Firstname","Billing Firstname"
"Billing Lastname","Prezime za Naplatu"
"Account Lock","Account Lock"
"First Name","Ime"
"Last Name","Prezime"
"Last Activity","Last Activity"
"Type","Tip"
"Customer Information","Customer Information"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
"Disable Automatic Group Change Based on VAT ID","Disable Automatic Group Change Based on VAT ID"
"Send Welcome Email From","Send Welcome Email From"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
"Addresses","Addresses"
"Account Dashboard","Account Dashboard"
"Edit Account Information","Edit Account Information"
"Password forgotten","Password forgotten"
