"Sign Out","התנתק"
"Delete Customer Group","מחק קבוצת לקוחות"
"New Customer Group","קבוצת לקוח חדשה"
"Edit Customer Group ""%1""","ערוך קבוצת לקוחות ""%1"""
"Group Information","מידע קבוצה"
"Group Name","שם קבוצה"
"Maximum length must be less then %1 characters.","האורך המרבי חייב להכיל מספר תווים %1 או פחות."
"Tax Class","מחלקת/מדרגת מס"
"The customer is now assigned to Customer Group %s.","נכון לעכשיו הלקוח רשום בקבוצת לקוחות %s."
"Would you like to change the Customer Group for this order?","תרצה לשנות את קבוצת הלקוחות להזמנה זו?"
"The VAT ID is valid.","זיהוי מע""מ שהוזן תקין."
"The VAT ID entered (%s) is not a valid VAT ID.","מזהה מע״מ נכנס (%s) אינה מזהה מע״מ חוקי."
"The VAT ID is valid. The current Customer Group will be used.","מזהה מע""מ בתוקף לקבוצת הלקוחות הנוכחית."
"The VAT ID is valid but no Customer Group is assigned for it.","מזהה מע״מ הוא חוקי אבל אין קבוצת לקוחות מוקצה לזה."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","בהתבסס על מזהה מע״מ, הלקוח שייך %s לקבוצת לקוח."
"Something went wrong while validating the VAT ID.","משהו השתבש במהלך אימות מזהה המע״מ."
"The customer would belong to Customer Group %s.","הלקוח יהיה שייך לקבוצת לקוחות %s."
"There was an error detecting Customer Group.","אירעה שגיאה בהגדרת קבוצת הלקוחות."
"Validate VAT Number","אימות מספר מע״מ"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","תאריך לידה"
"Bad request.","בקשה שגויה."
"This confirmation key is invalid or has expired.","מספר אישור זה אינו חוקי או שפג תוקפו."
"There was an error confirming the account","אירעה שגיאה באימות החשבון"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","אם אתה לקוח מע״מ רשום, אנא לחץ <a href=""%1""> כאן</a> כדי להזין אותך לכתובת המשלוח עבור חישוב מע״מ נכונה."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","אם אתה לקוח מע״מ רשום, אנא לחץ <a href=""%1""> כאן</a> כדי להזין כתובת החיוב עבור חישוב מע״מ נכון."
"Thank you for registering with %1.","תודה על הרשמתך אל %1."
"Please check your email for confirmation key.","בבקשה, בדוק את הדואר האלקטרוני שלך עבור מספר אישור."
"This email does not require confirmation.","האימייל הזה אינו מחייב אישור."
"Wrong email.","הדוא""ל שגוי."
"Your password reset link has expired.","הקישור איפוס הסיסמה פג."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","עליך לאמת את החשבון שלך. נא בדוק את הדוא״ל שלך עבור קישור לאישור או <a href=""%1""> לחץ כאן</a> לקבלת קישור חדש."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","קיים כבר חשבון עם כתובת הדוא״ל. אם אתה בטוח כי זה כתובת הדואר האלקטרוני שלך, <a href=""%1""> לחץ כאן</a> כדי לקבל את הסיסמה שלך כדי לגשת לחשבון שלך."
"We can't save the customer.","איננו יכולים לשמור את הלקוח הזה."
"Please make sure your passwords match.","נא ודא שהסיסמאות שלך תואמות."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","אם אתה לקוח מע״מ רשום, אנא לחץ <a href=""%1""> כאן</a> כדי להזין אותך לכתובת המשלוח עבור חישוב מע״מ נכונה."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","אם אתה לקוח מע״מ רשום, אנא לחץ <a href=""%1""> כאן</a> כדי להזין אותך לכתובת חיוב עבור חישוב מע״מ נכונה."
"Account Information","פרטי חשבון"
"You saved the account information.","שמרת את פרטי החשבון."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","הסיסמה אינה תואמת הסיסמה שהוזנה."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","איננו יכולים לשלוח איפוס הסיסמה לדואר האלקטרוני."
"Please enter your email.","נא הזן את כתובת הדואר האלקטרוני שלך."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","אם יש חשבון המשויך %1 תקבל הודעת דוא״ל עם קישור לאיפוס הסיסמה שלך."
"My Account","החשבון שלי"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","חשבון זה אינו מאושר. "" ""<a href=""%1""> לחץ כאן</a> כדי לשלוח דוא״ל אישור מחדש."
"An unspecified error occurred. Please contact us for assistance.","אירעה שגיאה לא מוגדרת. אנא צרו קשר לקבלת סיוע."
"A login and a password are required.","הזן שם משתמש וסיסמה."
"New Password and Confirm New Password values didn't match.","הערך של סיסמה חדשה ואימות סיסמה חדשה אינם תואמים."
"Please enter a new password.","אנא הזן סיסמה חדשה."
"You updated your password.","עדכנת את סיסמתך."
"Something went wrong while saving the new password.","משהו השתבש בעת שמירת הסיסמה החדשה."
"You deleted the address.","מחקת את הכתובת."
"We can't delete the address right now.","איננו יכולים למחוק את הכתובת ברגע זה."
"You saved the address.","שמרת את הכתובת."
"We can't save the address.","איננו יכולים לשמור את הכתובת."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","אתה ביטלת את הטוקנים של הלקוחות."
"We can't find a customer to revoke.","איננו מסוגלים למצוא ללקוח לפעולת הביטול."
"Something went wrong while saving file.","Something went wrong while saving file."
"You deleted the customer group.","קבוצת לקוחות נמחקה."
"The customer group no longer exists.","קבוצת לקוחות זו אינה קיימת יותר."
"Customers","לקוחות"
"New Group","קבוצה חדשה"
"New Customer Groups","קבוצת לקוחות חדשה"
"Edit Group","ערוך קבוצה"
"Edit Customer Groups","ערוך קבוצת לקוחות"
"You saved the customer group.","קבוצת לקוחות נשמרה."
"Please select customer(s).","אנא בחר לקוח/ות."
"Customer could not be deleted.","לא ניתן למחוק לקוח זה."
"You deleted the customer.","לקוח זה נמחק."
"Something went wrong while editing the customer.","אירעה שגיאה במחיקת הלקוח."
"Manage Customers","ניהול לקוחות"
"Please correct the data sent.","נא תקן את הנתונים שנשלחו."
"A total of %1 record(s) were updated.","סך הכל מתוך %1 רשומה/ות עודכנו."
"A total of %1 record(s) were deleted.","סך הכל מתוך %1 רשומה/ות נמחקו."
"The customer will receive an email with a link to reset password.","הלקוח יקבל דוא""ל עם קישור לאיפוס הסיסמה."
"Something went wrong while resetting customer password.","אירעה שגיאה בעת איפוס סיסמת הלקוח."
"You saved the customer.","הלקוח נשמר."
"Something went wrong while saving the customer.","אירעה שגיאה בעת שמירת הלקוח."
"Page not found.","העמוד לא נמצא."
"Customer has been unlocked successfully.","נעילת הלקוח שוחררה בהצלחה."
"Online Customers","לקוחות מחוברים"
"Customers Now Online","לקוחות באתר"
"Please define Wish List item ID.","נא לטעון פריט מהמועדפים."
"Please load Wish List item.","אנא טען פריט מרשימת המשאלות."
"Login successful.","נכנסת בהצלחה."
"Invalid login or password.","משתמש או סיסמה שגויים."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1. לא מורחב \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","חשבון זה נעול."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","אנא הזן סיסמה המוגבלת לכל היותר ב- %1 תווים."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","מספר סוגי תווים מינימילי המותרים בסיסמה הינו %1. סוגי תווים: אותיות קטנות, אותיות גדולות, ספרות, תווים מיוחדים."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","לקוח זה כבר קיים בחנות זו."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","ערך לא חוקי של ""%value"" שסופק עבור השדה %fieldName."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Reset password token expired."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" הוא ערך הנדרש."
"Global","גלובלי"
"Per Website","לפי אתר"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","איננו יכולים לשתף חשבונות של כלל הלקוחות כאשר לחשבונות כתובות הדואר האלקטרוני זהים באתר אחד או יותר."
"Billing Address","כתובת חיוב"
"Shipping Address","כתובת למשלוח"
"-- Please Select --","-- אנא בחר --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","ממשק ניהול"
"ALL GROUPS","כל הקבוצות"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","No such entity with %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","לא ניתן לשמור את הקובץ לתיקיית היעד."
"Unable to create directory %1.","Unable to create directory %1."
"Destination folder is not writable or does not exists.","Destination folder is not writable or does not exists."
"Something went wrong while saving the file.","Something went wrong while saving the file."
"Attribute object is undefined","אובייקט התכונה אינו מוגדר"
"""%1"" invalid type entered.","""%1"" סוג לא חוקי שהוזן."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" מכיל תווים שאינם אלף-ביתיים או שאינם מספריים."
"""%1"" is an empty string.","""%1"" הוא מחרוזת ריקה."
"""%1"" contains non-numeric characters.","""%1"" מכיל תווים שאינם מספריים."
"""%1"" contains non-alphabetic characters.","""%1"" מכיל תווים שאינם אלף-ביתיים."
"""%1"" is not a valid email address.","""%1"" היא לא כתובת דואר אלקטרוני חוקית."
"""%1"" is not a valid hostname.","""%1"" אינה שם מחשב מארח חוקי."
"""%1"" uses too many characters.","""%1"" משתמש בתווים רבים מדי."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' נראה כמו כתובת IP, אשר אינו פורמט מקובל."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' נראה שם מארח DNS אך מכיל מקף במיקום לא חוקי."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' נראה כמו שם מארח DNS אבל אנחנו לא מזהים אותו כנגד סכימת ה-hostname עבור TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' נראה שם מארח DNS אך אין אפשרות לחלץ חלק TLD."
"'%value%' does not look like a valid local network name.","'%value%' לא נראה כמו שם רשת מקומית חוקי."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' נראה כמו שם הרשת המקומית, אשר אינו בפורמט המקובל."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' שנראה כמו שם מארח DNS, אך לא ניתן לפענח את הסימון punycode הנתון."
"""%1"" is not a valid URL.","""%1"" אינה כתובת URL חוקית."
"""%1"" is not a valid date.","""%1"" אינה תאריך חוקי."
"""%1"" does not fit the entered date format.","""%1"" אינו תואם את תבנית התאריך המוזן."
"Please enter a valid date between %1 and %2 at %3.","הזינו בבקשה את תאריך חוקי בין %1 ל- %2-%3."
"Please enter a valid date equal to or greater than %1 at %2.","הזינו בבקשה את תאריך חוקי שווה או גדול מ- %1-%2."
"Please enter a valid date less than or equal to %1 at %2.","נא להקליד תאריך פחות או שווה ל %1-%2."
"""%1"" is not a valid file extension.","""%1"" הוא לא סיומת קובץ חוקי."
"""%1"" is not a valid file.","""%1"" אינו קובץ חוקי."
"""%1"" exceeds the allowed file size.","""%1"" חורג מגודל הקובץ המותר."
"""%1"" is not a valid image format.","""%1"" הוא לא פורמט תמונה בתוקף."
"""%1"" width exceeds allowed value of %2 px.","רוחב ""%1"" עולה על הערך המותר של %2 פיקסל."
"""%1"" height exceeds allowed value of %2 px.","הגובה ""%1"" חורג מהערכים המותרים של %2 פיקסל."
"""%1"" length must be equal or greater than %2 characters.","אורך ""%1"" חייב להיות שווה או גדול מ- %2 תווים."
"""%1"" length must be equal or less than %2 characters.","אורך ""%1"" חייב להיות שווה או פחות %2 תווים."
"label","תווית"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","קבוצת לקוחות"
"You can't delete group ""%1"".","לא ניתן למחוק את הקבוצה \"%1\"."
"Customer Group already exists.","קבוצת הלקוחות כבר קיימת."
"Cannot delete group.","לא ניתן למחוק את הקבוצה."
"Error during VAT Number verification.","Error during VAT Number verification."
"PHP SOAP extension is required.","סיומת PHP SOAP נדרשת."
"VAT Number is valid.","מספר המע״מ אינו חוקי."
"Please enter a valid VAT number.","הזינו מספר מע״מ חוקי."
"Your VAT ID was successfully validated.","תעודה מזהה עבור המע״מ אומתה בהצלחה."
"You will be charged tax.","אתה תחוייב במס."
"You will not be charged tax.","אתה לא תחויב במס."
"The VAT ID entered (%1) is not a valid VAT ID.","מזהה מע״מ נכנס (%1) אינו מזהה מע״מ חוקי."
"Your Tax ID cannot be validated.","אין אפשרות לאמת את תעודת הזהות של המס שלך."
"If you believe this is an error, please contact us at %1","If you believe this is an error, please contact us at %1"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Male","זכר"
"Female","נקבה"
"Not Specified","לא מוגדר"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","הודעת חריגה"
"Validator Exception","Validator Exception"
"Localized Exception","חריגת שפה"
"some error","תקלה"
"frontend_label","frontend_label"
"NOT LOGGED IN","לא מחובר/ת"
"Please enter the state/province.","אנא הזינו מדינה/מחוז."
"region is a required field.","region is a required field."
"regionId is a required field.","regionId is a required field."
"Label","תווית"
"Select...","בחירה..."
"Edit","ערוך"
"Visitor","אורח"
"Customer","לקוח"
"No item specified.","לא צויין פריט."
"Are you sure you want to remove this item?","האם אתה בטוח שברצונך להסיר פריט זה?"
"Personal Information","פרטים אישיים"
"Last Logged In:","אחרון שהתחבר:"
"Last Logged In (%1):","אחרון שהתחבר תוך (%1):"
"Account Lock:","נעילת חשבון:"
"Confirmed email:","אישור דואר אלקטרוני:"
"Account Created:","חשבון נוצר:"
"Account Created on (%1):","החשבון נוצר ב (%1):"
"Account Created in:","החשבון נוצר ב:"
"Customer Group:","קבוצת לקוח:"
"Default Billing Address","כתובת ברירת המחדל לחיוב"
"Sales Statistics","סטטיסטיקת מכירות"
"Web Site","אתר"
"Store","חנות"
"Store View","תצוגת חנות"
"Lifetime Sales","מבצע קבוע"
"Average Sale","מכירה ממוצעת"
"All Store Views","כל תצוגות החנויות"
"Change","שינוי"
"Manage Addresses","נהל כתובות"
"Default Shipping Address","כתובת ברירת המחדל למשלוח"
"Contact Information","מידע ליצירת קשר"
"Change Password","שינוי סיסמה"
"Newsletters","ניוזלטר"
"You are subscribed to ""General Subscription"".","You are subscribed to ""General Subscription""."
"or","או"
"Default Addresses","כתובות ברירת מחדל"
"Change Billing Address","שנה כתובת לחיוב"
"You have no default billing address in your address book.","אין לך כתובת ברירת המחדל לחיוב."
"Change Shipping Address","שנה כתובת למשלוח"
"You have no default shipping address in your address book.","אין לך כתובת ברירת מחדל למשלוח בספר הכתובות."
"Additional Address Entries","ערכי כתובות נוספים"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","אין לך כתובות אחרות בספר הכתובות שלך."
"* Required Fields","* שדות חובה"
"Address","כתובת"
"Street Address","כתובת רחוב"
"Street Address %1","כתובת רחוב %1"
"VAT Number","מספר המע""מ"
"City","עיר"
"State/Province","מדינה/מחוז"
"Please select a region, state or province.","נא בחר מדינה, אזור או מחוז."
"Zip/Postal Code","מיקוד"
"Country","ארץ"
"It's a default billing address.","זוהי כתובת ברירת המחדל לחיוב."
"Use as my default billing address","קבע ככתובת ברירת המחדל לחיוב"
"It's a default shipping address.","זוהי כתובת ברירת המחדל למשלוח."
"Use as my default shipping address","קבע ככתובת ברירת המחדל למשלוח"
"Save Address","שמור כתובת"
"Go back","חזור"
"Please enter your email below and we will send you the confirmation link.","אנא הזן את הדואר האלקטרוני שלך, ואנו נשלח לך קישור לאימות."
"Email","דואר אלקטרוני"
"Send confirmation link","שלח קישור לאימות"
"Back to Sign In","חזרה להתחברות"
"Change Email","שנה כתובת דואר אלקטרוני"
"Change Email and Password","שינוי דואר אלקטרוני וסיסמה"
"Current Password","סיסמא נוכחית"
"New Password","סיסמה חדשה"
"Password Strength","חוזק סיסמה"
"No Password","אין סיסמה"
"Confirm New Password","אימות סיסמה חדשה"
"Save","שמור"
"Please enter your email address below to receive a password reset link.","נא להזין את כתובת המייל שלך כדי לקבל קישור לאיפוס סיסמה."
"Reset My Password","אפס את הסיסמה שלי"
"Registered Customers","לקוחות רשומים"
"If you have an account, sign in with your email address.","לקוחות רשומים, ניתן להכנס באמצעות כתובת דואר אלקטרוני."
"Password","סיסמה"
"Forgot Your Password?","שכחת סיסמה?"
"Subscription option","אפשרות מינוי"
"General Subscription","הרשמה כללית"
"Sign Up for Newsletter","הרשמה לניוזלטר"
"Address Information","מידע אודות כתובת"
"Sign-in Information","פרטי התחברות"
"Confirm Password","אימות סיסמה"
"Create an Account","יצירת חשבון"
"Set a New Password","הגדר סיסמה חדשה"
"You have signed out and will go to our homepage in 5 seconds.","תהליך התנתקות. אתה תועבר לדף הבית בעוד 5 שניות."
"New Customers","לקוחות חדשים"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","ביצירת חשבון יש יתרונות רבים: לבצע תשלום בצורה מהירה יותר, להזין מספר כתובות למשלוח, לעקוב אחר הזמנותיך וכו'."
"Company","חברה"
"Fax","פקס"
"Gender","מין"
"Name","שם"
"Tax/VAT number","Tax/VAT number"
"Phone Number","מספר טלפון"
"Welcome to %store_name","ברוכים הבאים ל-%store_name"
"%name,","%name,"
"Welcome to %store_name.","ברוכים הבאים ל-%store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","כדי להיכנס לאתר שלנו, השתמש בפרטי חיבור אלה במהלך הרכישה או בדף <a href=""%customer_url""> החשבון שלי</a>:"
"Email:","דואר אלקטרוני:"
"Password:","סיסמה:"
"Password you set when creating account","הסיסמה שהגדרת בעת יצירת החשבון"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","שכחת את הסיסמה לחשבון? לחצ/י <a href=""%reset_url"">כאן</a> כדי לאפס אותה."
"When you sign in to your account, you will be able to:","באמצעות התחברות לחשבונך, יתאפשר לך:"
"Proceed through checkout faster","המשך לקופה מהר יותר"
"Check the status of orders","בדוק את מצב הזמנות"
"View past orders","הצג הזמנות קודמות"
"Store alternative addresses (for shipping to multiple family members and friends)","אחסון כתובות חלופיות (עבור משלוח למספר מרובה של בני משפחה וחברים)"
"Please confirm your %store_name account","אנא אשרו את החשבון %store_name שלך"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","עליך לאשר את המייל שלך %customer_email לפני שתוכל להתחבר למערכת (קישור זה תקף לאיפוס חד-פעמי):"
"Confirm Your Account","לאשר את החשבון שלך"
"Thank you for confirming your %store_name account.","Thank you for confirming your %store_name account."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","Your %store_name email has been changed"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","We have received a request to change the following information associated with your account at %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","אם הבקשה לא נעשתה על ידייך, צרו איתנו קשר בכתובת <a href="""" mailto:%store_email""""="""">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","Your %store_name email and password has been changed"
"We have received a request to change the following information associated with your account at %store_name: email, password.","קיבלנו בקשה לשנות את הסיסמה של חשבונך ב- %store_name."
"Reset your %store_name password","איפוס סיסמה עבור %store_name"
"There was recently a request to change the password for your account.","לאחרונה הייתה בקשה לשנות את סיסמת החשבון שלך."
"If you requested this change, set a new password here:","אם ביקשת שינוי זה, אפס את הסיסמה שלך כאן:"
"If you did not make this request, you can ignore this email and your password will remain the same.","אם לא הגשה את הבקשה הזו, באפשרותך להתעלם מדוא""ל זה, והסיסמה שלך תישאר זהה."
"Your %store_name password has been changed","Your %store_name password has been changed"
"We have received a request to change the following information associated with your account at %store_name: password.","We have received a request to change the following information associated with your account at %store_name: password."
"Checkout as a new customer","Checkout as a new customer"
"Creating an account has many benefits:","ביצירת חשבון יש יתרונות רבים:"
"See order and shipping status","ראה מצב הזמנה ומשלוח"
"Track order history","מעקב אחר ההזמנה"
"Check out faster","רכישה מהירה יותר"
"Checkout using your account","Checkout using your account"
"Email Address","כתובת דוא""ל"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות את זה?"
"Are you sure you want to delete this address?","האם אתה בטוח שברצונך למחוק את הכתובת הזו?"
"Weak","חלש"
"Medium","בינוני"
"Strong","חזק"
"Very Strong","חזק מאוד"
"Guest checkout is disabled.","תשלום כאורח אינו זמין."
"All Customers","כל הלקוחות"
"Now Online","לקוחות באתר"
"Customers Section","Customers Section"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","שיתוף חשבונות לקוח"
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","אמת בכל עסקה"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","הצג את מספר מע""מ בקדמת החנות"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","בכדי להציג מספר מע""מ בקדמת החנות, יש לשנות את 'הצג מספר מע""מ בקדמת החנות' לכן."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","ברירת מחדל של הודעת ברוכים הבאים"
"Email template chosen based on theme fallback when ""Default"" option is selected.","תבנית המייל הנבחר בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"Default Welcome Email Without Password","ברירת המחדל של הודעת ברוכים הבאים ללא סיסמה"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","שולח דוא""ל"
"Require Emails Confirmation","דרוש אישור הודעות דואר אלקטרוני"
"Confirmation Link Email","הודעת קישור לאישור"
"Welcome Email","דוא""ל ברוכים הבאים"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","צור מזהה לקוח ידידותי למשתמש"
"Password Options","אפשרויות סיסמה"
"Forgot Email Template","תבנית ""שכחתי דוא""ל"""
"Remind Email Template","תבנית תזכורת דוא""ל"
"Reset Password Template","תבנית לאיפוס סיסמה"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","קישור שחזור התפוגה (שעות)"
"Please enter a number 1 or greater in this field.","אנא הזן מספר 1 או גדול יותר בשדה זה."
"Number of Required Character Classes","Number of Required Character Classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
"Minimum Password Length","אורך סיסמה מינימלי"
"Maximum Login Failures to Lockout Account","מספר ניסיונות כניסה כושלים מרבי עד לנעילת החשבון"
"Use 0 to disable account locking.","השתמש ב-0 בכדי לבטל את נעילת החשבון."
