"Sign Out","Sair"
"The VAT ID is valid. The current Customer Group will be used.","O CPF/CNPJ é válido. O Grupo de Clientes será usado."
"The VAT ID is valid but no Customer Group is assigned for it.","O CPF/CNPJ é válido mas nenhum Grupo de Cliente é atribuído a ele."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Baseado no CPF/CNPJ, o cliente pertence ao Grupo de Cliente %s."
"Something went wrong while validating the VAT ID.","Algum erro ocorreu ao validar o CPF/CNPJ."
"The customer would belong to Customer Group %s.","O cliente pertenceria ao Grupo de Clientes %s."
"There was an error detecting Customer Group.","Houve um erro detectado no Grupo de Cliente."
"Validate VAT Number","Validar número CPF/CNPJ"
"Customer Login","Login do Cliente"
"Create New Customer Account","Criar Nova Conta de Cliente"
"Date of Birth","Data de Nascimento"
"Bad request.","Pedido ruim."
"This confirmation key is invalid or has expired.","Esta senha de confirmação é invalida ou expirou."
"There was an error confirming the account","Ocorreu um erro ao confirmar sua conta"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Se você é um cliente registrado com CPF/CNPJ, por favor clique <a href=""%1"">aqui</a> para inserir seu endereço de entrega para o cálculo adequado do imposto."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Se você é um cliente registrado com CPF/CNPJ, por favor clique <a href=""%1"">aqui</a> para inserir seu endereço de cobrança para o cálculo adequado do imposto."
"Thank you for registering with %1.","Obrigado por registrar-se com %1."
"Please check your email for confirmation key.","Acesse sua caixa de entrada para realizar a confirmação do e-mail."
"This email does not require confirmation.","Este e-mail não requer confirmação."
"Wrong email.","E-mail errado."
"Your password reset link has expired.","Seu link de redefinição de senha expirou."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Você deve confirmar sua conta. Por favor, verifique seu e-mail para o link de confirmação ou <a href=""%1""> clique aqui</a> para um novo link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Já existe uma conta com este endereço de e-mail. Se você tem certeza que é o seu endereço de e-mail, <a href=""%1""> clique aqui</a> para obter sua senha e acessar a sua conta."
"We can't save the customer.","Não é possível salvar o cliente."
"Please make sure your passwords match.","Verifique se suas senhas estão iguais."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Se você é um cliente CPF/CNPJ registrado, por favor clique <a href=""%1"">aqui</a> para inserir seu endereço de cobrança para o cálculo adequado do imposto CPF/CNPJ."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Se você é um cliente registrado com CPF/CNPJ, por favor clique <a href=""%1"">aqui</a> para inserir seu endereço de cobrança para o cálculo adequado do imposto."
"Account Information","Informações de Conta"
"You saved the account information.","Você gravou as informações da conta."
"You did not sign in correctly or your account is temporarily disabled.","Você não digitou os dados corretamente ou a sua conta está temporariamente desativada."
"Password confirmation doesn't match entered password.","A confirmação da senha não corresponde à senha inserida."
"The password doesn't match this account.","A senha não coincide com esta conta."
"Please correct the email address.","Por favor, corrija o endereço de e-mail."
"We're unable to send the password reset email.","Não é possível enviar o e-mail para redefinição de senha."
"Please enter your email.","Por favor, digite o seu e-mail."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Se houver uma conta associada com %1, você receberá um e-mail com um link para redefinir sua senha."
"My Account","Minha Conta"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Sua conta não foi confirmada. <a href=""%1"">Clique aqui</a> para reenviar o e-mail de confirmação."
"An unspecified error occurred. Please contact us for assistance.","Um erro não especificado ocorreu. Por favor entre em contato com o administrador."
"A login and a password are required.","Um login e uma senha são necessários."
"New Password and Confirm New Password values didn't match.","Nova senha e Confirmar nova senha valores não coincidem."
"Please enter a new password.","Por favor, digite a nova senha."
"You updated your password.","Você atualizou sua senha."
"Something went wrong while saving the new password.","Problema ao tentar gravar a nova senha."
"You deleted the address.","Você excluiu o endereço."
"We can't delete the address right now.","Não é possível excluir o endereço agora."
"You saved the address.","Você salvou o endereço."
"We can't save the address.","Não é possível salvar o endereço."
"No customer ID defined.","Nenhum ID de cliente definido."
"Please correct the quote items and try again.","Por favor, corrija os itens citados e tente novamente."
"You have revoked the customer's tokens.","Você anulou seu Token de cliente."
"We can't find a customer to revoke.","Não encontramos o cliente para cancelar."
"Something went wrong while saving file.","Ao salvar o arquivo, algo deu errado."
"You deleted the customer group.","Você excluiu o grupo de cliente."
"The customer group no longer exists.","O grupo de cliente não existe."
"Customers","Clientes"
"New Group","Novo Grupo"
"New Customer Groups","Novo Grupo de Clientes"
"Edit Group","Editar Grupo"
"Edit Customer Groups","Editar Grupo de Clientes"
"You saved the customer group.","Você gravou o grupo de clientes."
"Please select customer(s).","Por favor, selecione o(s) cliente(s)."
"Customer could not be deleted.","Cliente não pode ser apagado."
"You deleted the customer.","Você excluiu o cliente."
"Something went wrong while editing the customer.","Problema ao editar o cliente."
"Manage Customers","Gerenciar Clientes"
"Please correct the data sent.","Por favor corrija o dado enviado."
"A total of %1 record(s) were updated.","Um total de %1 registro(s) foi(ram) atualizado(s)."
"A total of %1 record(s) were deleted.","Um total de %1 registro(s) foi(ram) removido(s)."
"The customer will receive an email with a link to reset password.","O cliente receberá um e-mail com o link para redefinir a senha."
"Something went wrong while resetting customer password.","Problema na redefinição da senha do cliente."
"You saved the customer.","Você gravou o cliente."
"Something went wrong while saving the customer.","Problema ao gravar o cliente."
"Page not found.","Página não encontrada."
"Customer has been unlocked successfully.","A conta do cliente foi desbloqueada com sucesso."
"Online Customers","Clientes On-line"
"Customers Now Online","Clientes On-line Agora"
"Please define Wish List item ID.","Por favor, escolha o ID do item na Lista de Desejos."
"Please load Wish List item.","Por favor, carregue o item da lista de desejos."
"Login successful.","Login efetuado."
"Invalid login or password.","Login ou senha inválida."
"""%1"" section source is not supported","Não há suporte para a fonte de seção ""%1"""
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 não se estende \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","Confirmação não necessária."
"Account already active","Conta já ativa"
"Invalid confirmation token","Token de confirmação inválido"
"The account is locked.","A conta está bloqueada."
"This account is not confirmed.","Essa conta não está confirmada."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Valor inválido ""% valor"" fornecido para o campo de %fieldName. Valores possíveis: %template1 ou %template2."
"Please enter a password with at most %1 characters.","Por favor, digite uma senha com pelo menos %1 caractere(s)."
"Please enter a password with at least %1 characters.","Por favor, digite uma senha com pelo menos %1 caractere(s)."
"The password can't begin or end with a space.","A senha não pode começar ou terminar com um espaço."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","O mínimo de classes de caracteres diferentes na palavra-passe é %1. As classes de caracteres são: Minúsculas, Maiúsculas, Números, Caracteres Especiais."
"Password cannot be the same as email address.","A senha não pode ser igual ao email."
"This customer already exists in this store.","Este cliente já existe nesta loja."
"A customer with the same email already exists in an associated website.","Um cliente com o mesmo e-mail já existe em um website associado."
"Invalid value of ""%value"" provided for the %fieldName field.","Valor inválido ""%value"" fornecido para o campo %fieldName."
"%fieldName is a required field.","%fieldName é um campo obrigatório."
"Reset password token mismatch.","Redefina a incompatibilidade de senha do Token."
"Reset password token expired.","Redefina a senha expirada do Token."
"Please correct the transactional account email type.","Por favor, corrija o tipo de e-mail em sua conta."
"""%1"" is a required value.","""%1"" é um valor necessário."
"Global","Global"
"Per Website","Por Website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Não podemos dividir contas de cliente globalmente quando contas compartilham endereço de e-mail idêntico e mais de um site."
"Billing Address","Endereço de Cobrança"
"Shipping Address","Endereço de entrega"
"-- Please Select --","-- Selecione uma opção --"
"Please enter a valid password reset token.","Por favor, insira senha válida de redefinição de Token."
"The password can not begin or end with a space.","A senha não pode começar ou terminar com um espaço."
"Admin","Administrador"
"ALL GROUPS","TODOS OS GRUPOS"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Não há tal entidade com %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Arquivo não pode ser salvo na pasta de destino."
"Unable to create directory %1.","Não foi possível criar o diretório %1"
"Destination folder is not writable or does not exists.","Pasta de destino não existe ou não é gravável."
"Something went wrong while saving the file.","Ocorreu algum problema ao salvar o arquivo."
"Attribute object is undefined","Atributo de objeto não definido"
"""%1"" invalid type entered.","""%1"" tipo inválido inserido."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contém caracteres não-alfabéticos ou não-numéricos."
"""%1"" is an empty string.","""%1"" é uma seqüência vazia."
"""%1"" contains non-numeric characters.","""%1"" contém caracteres não-numéricos."
"""%1"" contains non-alphabetic characters.","""%1"" contém caracteres não-alfabéticos."
"""%1"" is not a valid email address.","""%1"" não é um endereço de email válido."
"""%1"" is not a valid hostname.","""%1"" não é um hostname válido."
"""%1"" uses too many characters.","""%1"" usa muitos caracteres."
"'%value%' looks like an IP address, which is not an acceptable format.","""%value%"" o formato do endereço de IP informado não é aceitável."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' se parece com um nome de host DNS, mas contém um traço em uma posição inválida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' se parece com um nome de host DNS, mas nós não podemos combiná-lo contra o esquema de nome de host para TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' se parece com um nome de host DNS, mas não pode extrair parte TLD."
"'%value%' does not look like a valid local network name.","'%value%' não se parece com um nome válido de rede local."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' se parece com um nome de rede local, que não é um formato aceitável."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' parece ser um nome de host DNS, mas a notação de punycode determinado não pode ser decodificada."
"""%1"" is not a valid URL.","""%1"" não é uma URL válida."
"""%1"" is not a valid date.","""%1"" não é uma data válida."
"""%1"" does not fit the entered date format.","""%1"" não se encaixa no formato de data inserida."
"Please enter a valid date between %1 and %2 at %3.","Por favor introduza uma data válida entre %1 e %2 no %3."
"Please enter a valid date equal to or greater than %1 at %2.","Por favor introduza uma data válida igual ou maior que %1 em %2."
"Please enter a valid date less than or equal to %1 at %2.","Por favor introduza uma data válida menor ou igual a %1 em %2."
"""%1"" is not a valid file extension.","""%1"" não é uma extensão de arquivo válido."
"""%1"" is not a valid file.","""%1"" não é um arquivo válido."
"""%1"" exceeds the allowed file size.","""%1"" excede o tamanho de arquivo permitidos."
"""%1"" is not a valid image format.","""%1"" não é um formato de imagem válido."
"""%1"" width exceeds allowed value of %2 px.","""%1"" excede a largura permitida de %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" altura excede o valor permitido de %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" comprimento deve ser igual ou maior que %2 caracteres."
"""%1"" length must be equal or less than %2 characters.","""%1"" comprimento deve ser igual ou menor que %2 caracteres."
"label","rótulo"
"Please enter a customer email.","Por favor digite um e-mail de cliente."
"A customer website ID must be specified when using the website scope.","Um ID de usuário no website deve ser especificado ao usar o escopo website."
"Customer Group","Grupo de clientes"
"You can't delete group ""%1"".","Não é possível excluir grupo ""%1""."
"Customer Group already exists.","Grupo de Clientes já existente."
"Cannot delete group.","Não é possível excluir grupo."
"Error during VAT Number verification.","Erro durante verificação do CPF/CNPJ."
"PHP SOAP extension is required.","Extensão PHP SOAP é necessária."
"VAT Number is valid.","Número de CPF/CNPJ é válido."
"Please enter a valid VAT number.","Por favor, insira um número válido de CPF/CNPJ."
"Your VAT ID was successfully validated.","O seu CPF/CNPJ foi validado com êxito."
"You will be charged tax.","Você será cobrado imposto."
"You will not be charged tax.","Você não será cobrado imposto."
"The VAT ID entered (%1) is not a valid VAT ID.","O CPF/CNPJ informado (%1) não é um CPF/CNPJ válido."
"Your Tax ID cannot be validated.","Seu CPF não pode ser validado."
"If you believe this is an error, please contact us at %1","Se você encontrou um erro, entre em contato conosco %1"
"No such entity with %fieldName = %fieldValue","Não há tal entidade com %fieldName = %fieldValue"
"Male","Masculino"
"Female","Feminino"
"Not Specified","Não especificado"
"Thank you for registering with","Obrigado por se registar na loja virtual"
"enter your billing address for proper VAT calculation","informe seu endereço de faturamento para cálculo das taxas"
"enter your shipping address for proper VAT calculation","insira o seu endereço de envio para calcular as taxas"
"Please enter new password.","Por favor, digite a nova senha."
"message","mensagem"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exceção"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Mensagem de exceção"
"Validator Exception","Exceção do validador"
"Localized Exception","Exceção local (Localized Exception)"
"some error","algum erro"
"frontend_label","rótulo_frete_de_loja"
"NOT LOGGED IN","NÃO ESTÁ LOGADO"
"Please enter the state/province.","Por favor digite o estado/província."
"region is a required field.","região é um campo obrigatório."
"regionId is a required field.","região id é um campo obrigatório."
"Label","Título"
"Select...","Selecionar..."
"Edit","Editar"
"Visitor","Visitante"
"Customer","Cliente"
"No item specified.","Nenhum item especificado."
"Are you sure you want to remove this item?","Tem certeza que deseja remover este item?"
"Personal Information","Informações Pessoais"
"Last Logged In:","Último login em:"
"Last Logged In (%1):","Último login em (%1):"
"Account Lock:","Bloqueio de Conta:"
"Confirmed email:","Confirmar e-mail:"
"Account Created:","Conta criada:"
"Account Created on (%1):","Conta criada em (%1):"
"Account Created in:","Conta criada no:"
"Customer Group:","Grupo de clientes:"
"Default Billing Address","Endereço de cobrança padrão"
"Sales Statistics","Estatísticas de vendas"
"Web Site","Website"
"Store","Loja"
"Store View","Visão de Loja"
"Lifetime Sales","Vendas Acumuladas"
"Average Sale","Venda média"
"All Store Views","Todas as Visões de Loja"
"Change","Alterar"
"Manage Addresses","Gerenciar endereços"
"Default Shipping Address","Endereço de entrega padrão"
"Contact Information","Informações de Contato"
"Change Password","Alterar senha"
"Newsletters","Newsletter"
"You are subscribed to ""General Subscription"".","Você está inscrito na ""Assinatura Geral""."
"or","ou"
"Default Addresses","Endereços de padrão"
"Change Billing Address","Alterar endereço de cobrança"
"You have no default billing address in your address book.","Você não tem endereço de cobrança padrão no seu catalogo de endereço."
"Change Shipping Address","Altere seu endereço de entrega"
"You have no default shipping address in your address book.","Você não tem endereço de envio padrão em seu catalogo de endereço."
"Additional Address Entries","Endereço Adicional"
"Delete Address","Excluir endereço"
"You have no other address entries in your address book.","Você não tem outras entradas de endereços no catálogo de endereços."
"* Required Fields","* Campos Obrigatórios"
"Address","Endereço"
"Street Address","Rua"
"Street Address %1","Rua"
"VAT Number","CPF/CNPJ"
"City","Cidade"
"State/Province","Estado"
"Please select a region, state or province.","Por favor, selecione uma região, estado ou província."
"Zip/Postal Code","CEP"
"Country","País"
"It's a default billing address.","Isto é um padrão de endereço de cobrança."
"Use as my default billing address","Usar como meu endereço padrão de cobrança"
"It's a default shipping address.","Isto é um padrão de endereço de entrega."
"Use as my default shipping address","Usar como meu endereço padrão de entrega"
"Save Address","Salvar endereço"
"Go back","Retornar"
"Please enter your email below and we will send you the confirmation link.","Por favor, digite seu e-mail abaixo e nós lhe enviaremos o link de confirmação."
"Email","E-mail"
"Send confirmation link","Enviar link de confirmação"
"Back to Sign In","Voltar ao Login"
"Change Email","Alterar Email"
"Change Email and Password","Mudança de E-mail e senha"
"Current Password","Senha atual"
"New Password","Nova Senha"
"Password Strength","Força da senha"
"No Password","Sem senha"
"Confirm New Password","Confirmar nova senha"
"Save","Salvar"
"Please enter your email address below to receive a password reset link.","Por favor, digite seu endereço de e-mail abaixo para receber o link para redefinição de senha."
"Reset My Password","Redefinir Minha Senha"
"Registered Customers","Clientes Registrados"
"If you have an account, sign in with your email address.","Se você tiver uma conta, acesse com seu endereço de e-mail e senha."
"Password","Senha"
"Forgot Your Password?","Esqueceu a sua senha?"
"Subscription option","Opção de assinatura"
"General Subscription","Subscrição Geral"
"Sign Up for Newsletter","Assinar Newsletter"
"Address Information","Informações de Endereço"
"Sign-in Information","Informações de acesso"
"Confirm Password","Confirmar Senha"
"Create an Account","Criar Conta"
"Set a New Password","Definir uma nova senha"
"You have signed out and will go to our homepage in 5 seconds.","Você desconectou e irá retornar á nossa página em 5 segundos."
"New Customers","Novos Clientes"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Criar uma nova conta tem muitos benefícios: fechar pedidos mais rapidamente, registrar mais endereços, acompanhar pedidos e muito mais."
"Company","Empresa"
"Fax","Fax"
"Gender","Gênero"
"Name","Nome"
"Tax/VAT number","CPF/CNPJ"
"Phone Number","Número do Telefone"
"Welcome to %store_name","Bem-vindo a %store_name"
"%name,","%name,"
"Welcome to %store_name.","Bem-vindo a %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para efetuar login em nosso site, use suas credenciais durante pagamento ou na página <a href=""%customer_url"">Minha Conta</a>:"
"Email:","E-mail:"
"Password:","Senha:"
"Password you set when creating account","Senha que você definiu ao criar a conta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Esqueceu sua senha? Clique <a href=""%reset_url""> aqui</a> para redefinir."
"When you sign in to your account, you will be able to:","Ao fazer login na sua conta, você poderá:"
"Proceed through checkout faster","Continuar com checkout rápido"
"Check the status of orders","Verificar o status dos seus pedidos"
"View past orders","Ver os pedidos que você já realizou"
"Store alternative addresses (for shipping to multiple family members and friends)","Cadastre endereços alternativos (para entregas para vários parentes ou amigos)"
"Please confirm your %store_name account","Por favor, confirme a sua conta na %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Você precisa confirma seu %customer_email email antes de efetuar login (link de confirmação só poderá ser usado uma vez):"
"Confirm Your Account","Confirmar a sua conta"
"Thank you for confirming your %store_name account.","Obrigado por confirmar sua conta na %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Para entrar nosso site e criar uma senha, clique no <a href=""%create_password_url""> link</a>:"
"Your %store_name email has been changed","Mudou seu e-mail %store_name"
"Hello,","Olá,"
"We have received a request to change the following information associated with your account at %store_name: email.","Recebemos um pedido para alterar a seguinte informação associada a sua conta na %store_name: %changes."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Se não autorizou esta ação, por favor contacte-nos imediatamente através do email <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","ou ligue-nos para o número <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Obrigado,<br>%store_name"
"Your %store_name email and password has been changed","Seu %store_name e-mail e a senha foi alterada"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Recebemos um pedido para alterar as informações seguintes, associadas à sua conta no %store_name: email, senha."
"Reset your %store_name password","Redefinir sua senha %store_name"
"There was recently a request to change the password for your account.","Recentemente houve uma solicitação para alterar a senha da sua conta."
"If you requested this change, set a new password here:","Se você solicitou esta mudança, crie uma nova senha aqui:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Se você não fez esta solicitação, você pode ignorar este e-mail e sua senha permanecerá a mesma."
"Your %store_name password has been changed","Mudou sua senha %store_name"
"We have received a request to change the following information associated with your account at %store_name: password.","Recebemos um pedido para alterar as informações seguintes, associadas à sua conta no %store_name: email, senha."
"Checkout as a new customer","Faça o checkout com um novo cliente"
"Creating an account has many benefits:","Cria uma conta tem muitos benefícios:"
"See order and shipping status","Visualize seu pedido e o status da envio"
"Track order history","Acompanhe o histórico do pedido"
"Check out faster","Compra rápida"
"Checkout using your account","Faça o checkout usando sua conta"
"Email Address","Endereço de e-mail"
"Are you sure you want to do this?","Deseja realmente fazer isso?"
"Are you sure you want to delete this address?","Você tem certeza que deseja excluir este endereço?"
"Weak","Fraca"
"Medium","Média"
"Strong","Forte"
"Very Strong","Muito Forte"
"Guest checkout is disabled.","Compra como visitante está desabilitado."
"All Customers","Todos os Clientes"
"Now Online","Online Agora"
"Customers Section","Seção de clientes"
"Customer Configuration","Configurações de cliente"
"Account Sharing Options","Opções de compartilhamento de conta"
"Share Customer Accounts","Compartilhar contas de clientes"
"Create New Account Options","Criar Novas Opções de Conta"
"Enable Automatic Assignment to Customer Group","Ativar a Atribuição Automática para Grupo de Clientes"
"Tax Calculation Based On","Cálculo do imposto com base no"
"Default Group","Grupo padrão"
"Group for Valid VAT ID - Domestic","Grupo de CPF/CNPJ válidos - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo de CPF/CNPJ válidos - Intra-Union"
"Group for Invalid VAT ID","Grupo de CPF/CNPJ Inválido"
"Validation Error Group","Validar Erro de Grupo"
"Validate on Each Transaction","Validar em Cada Transação"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor Pré-definido para Desativar Mudanças de Grupo Automáticas Baseadas em NIF"
"Show VAT Number on Storefront","Mostrar CNPJ na Frente de Loja"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Para mostrar o CNPJ na Frente de Loja, configure o Mostrar CNPJ na Frente de Loja como Sim."
"Default Email Domain","Domínio de E-mail Padrão"
"Default Welcome Email","Email padrão de boas vindas"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O modelo de e-mail escolhido baseado no tema ""fallback"" quando a opção ""Padrão"" é selecionada."
"Default Welcome Email Without Password","Padrão de E-mail de Boas Vindas Sem Senha"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Este e-mail será enviado no lugar do E-mail Padrão de Boas Vindas, se o cliente foi adicionado sem senha. <br/><br/>
                        Template de e-mail escolhido baseado no padrão do tema quando a opção ""Padrão"" é selecionada."
"Email Sender","Remetente do e-mail"
"Require Emails Confirmation","Requerer Confirmação de E-mail"
"Confirmation Link Email","Link de Confirmação de E-mail"
"Welcome Email","Email de boas vindas"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Este e-mail será enviado no lugar do E-mail Padrão de Boas Vindas, após a confirmação da conta. <br /><br />
                        Template de e-mail escolhido baseado no padrão do tema quando a opção ""Padrão"" é selecionada."
"Generate Human-Friendly Customer ID","Gerar ID Amigável para Cliente"
"Password Options","Opções de Senha"
"Forgot Email Template","Modelo de E-mail de Recuperação de Senha"
"Remind Email Template","Lembrar Modelo de E-mail"
"Reset Password Template","Modelo de Redefinição de Senha"
"Password Template Email Sender","Modelo de Remetente de E-mail de Senha"
"Recovery Link Expiration Period (hours)","Período de Expiração do Link de Recuperação (em horas)"
"Please enter a number 1 or greater in this field.","Por favor, insira um número maior ou igual a 1 neste campo."
"Number of Required Character Classes","Número de Classes de Caracteres Exigido"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Número de classes de caracteres exigido na palavra-passe: Minúsculas, Maiúsculas, Números, Caracteres Especiais."
"Minimum Password Length","Comprimento mínimo da senha"
"Maximum Login Failures to Lockout Account","Máximo de Tentativas de Login para Bloquear Conta"
"Use 0 to disable account locking.","Use 0 para desativar o bloqueio de conta."
"Lockout Time (minutes)","Tempo de Bloqueio (minutos)"
"Enable Autocomplete on login/forgot password forms","Ativar AutoCompletar no form de login e form de recuperação de senha"
"Account Information Options","Opções de Informações da Conta"
"Change Email Template","Modelo de mudança de email"
"Change Email and Password Template","Modelo de mudança de email e senha"
"Name and Address Options","Opções de Nome e Endereço"
"Number of Lines in a Street Address","Numero de Linhas em Endereço"
"Valid range: 1-4","Intervalo válido 1-4"
"Show Prefix","Mostrar Prefixo"
"The title that goes before name (Mr., Mrs., etc.)","O titulo vem antes do nome (Mr., Mrs, etc.)"
"Prefix Dropdown Options","Opções de Prefixo de Menu Suspenso"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Ponto e vírgula (;) valores separados.<br/>Deixe em branco para o campo de texto."
"Show Middle Name (initial)","Mostrar Nome do Meio (initial)"
"Always optional.","Sempre opcional."
"Show Suffix","Mostrar Sufixo"
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo que vai depois de nome (Jr, Sr., etc)"
"Suffix Dropdown Options","Opções de Dropdown de Sufixo"
"Show Date of Birth","Mostrar Data de Nascimento"
"Show Tax/VAT Number","Mostrar CPF/CNPJ"
"Show Gender","Mostrar Gênero Sexual"
