"Sign Out","Đăng xuất"
"Add New Customer Group","Thêm nhóm khách hàng mới"
"Save Customer Group","Lưu nhóm khách hàng"
"Delete Customer Group","Xoá nhóm khách hàng"
"New Customer Group","Nhóm khách hàng mới"
"Edit Customer Group ""%1""","Chỉnh sửa nhóm khách hàng ""%1"""
"Group Information","Thông tin nhóm"
"Group Name","Tên nhóm"
"Maximum length must be less then %1 characters.","Chiều dài tối đa phải ít hơn %1 ký tự."
"Tax Class","Loại thuế"
"The customer is now assigned to Customer Group %s.","Khách hàng bây giờ đang được gán cho nhóm khách hàng %s."
"Would you like to change the Customer Group for this order?","Bạn có muốn thay đổi nhóm khách hàng cho các đơn đặt hàng này?"
"The VAT ID is valid.","ID thuế VAT là hợp lệ."
"The VAT ID entered (%s) is not a valid VAT ID.","ID thuế VAT được nhập (%s) không phải là một thuế VAT ID hợp lệ."
"The VAT ID is valid. The current Customer Group will be used.","ID thuế VAT là hợp lệ. Nhóm khách hàng hiện tại sẽ được sử dụng."
"The VAT ID is valid but no Customer Group is assigned for it.","ID thuế VAT là hợp lệ, nhưng nhóm khách hàng không được gán cho nó."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Dựa trên ID thuế VAT, khách hàng thuộc khách hàng nhóm %s."
"Something went wrong while validating the VAT ID.","Điều gì đó đã sai trong khi xác thực ID thuế VAT."
"The customer would belong to Customer Group %s.","Khách hàng sẽ thuộc về nhóm khách hàng %s."
"There was an error detecting Customer Group.","Đã có lỗi khi phát hiện các nhóm khách hàng."
"Validate VAT Number","Xác nhận số thuế GTGT"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","Ngày sinh"
"Bad request.","Yêu cầu bị lỗi."
"This confirmation key is invalid or has expired.","Phím xác nhận là không hợp lệ hoặc đã hết hạn."
"There was an error confirming the account","Đã có lỗi xác nhận tài khoản"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Nếu bạn là một khách hàng đã đăng ký thuế VAT, xin vui lòng bấm vào <a href=""%1""> đây</a> để nhập vào địa chỉ vận chuyển thích hợp để tính thuế VAT."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Nếu bạn là một khách hàng đã đăng ký thuế VAT, xin vui lòng bấm vào <a href=""%1""> đây</a> để nhập vào địa chỉ thanh toán thích hợp để tính thuế VAT."
"Thank you for registering with %1.","Cảm ơn bạn đã đăng ký với %1."
"Please check your email for confirmation key.","Xin vui lòng kiểm tra email để lấy khóa xác nhận."
"This email does not require confirmation.","Email này không yêu cầu xác nhận."
"Wrong email.","Email sai."
"Your password reset link has expired.","Liên kết đặt lại mật khẩu của bạn đã hết hạn."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Bạn phải xác nhận tài khoản của bạn. Vui lòng kiểm tra email của bạn để thấy liên kết xác nhận hoặc <a href=""%1""> bấm vào đây</a> để nhận một liên kết mới."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Hiện đã là một tài khoản với địa chỉ email này. Nếu bạn chắc chắn rằng nó là địa chỉ email của bạn, <a href=""%1""> Bấm vào đây</a> để có được mật khẩu của bạn và truy cập vào tài khoản của bạn."
"We can't save the customer.","Không thể lưu thông tin khách hàng."
"Please make sure your passwords match.","Hãy chắc chắn rằng mật khẩu của bạn phù hợp."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Nếu bạn là một khách hàng đã đăng ký thuế VAT, xin vui lòng bấm vào <a href=""%1""> đây</a> để nhập vào địa chỉ vận chuyển thích hợp để tính thuế VAT."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Nếu bạn là một khách hàng đã đăng ký thuế VAT, xin vui lòng bấm vào <a href=""%1""> đây</a> để nhập vào địa chỉ vận chuyển thích hợp để tính thuế VAT."
"Account Information","Thông tin tài khoản"
"You saved the account information.","Bạn đã lưu thông tin tài khoản."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","Mật khẩu Xác nhận không khớp với mật khẩu đã nhập."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","Chúng tôi không thể gửi email đặt lại mật khẩu."
"Please enter your email.","Vui lòng nhập email của bạn."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Nếu có một tài khoản liên kết với %1, bạn sẽ nhận được một email với một liên kết để đặt lại mật khẩu của bạn."
"My Account","Tài khoản của tôi"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Tài khoản này không được xác nhận.' ' <a href=""%1""> Bấm vào đây</a> để gửi lại email xác nhận."
"An unspecified error occurred. Please contact us for assistance.","Phat hiện một lỗi không xác định. Xin vui lòng liên hệ với chúng tôi để được hỗ trợ."
"A login and a password are required.","Một tên đăng nhập và mật khẩu được yêu cầu."
"New Password and Confirm New Password values didn't match.","Các giá trị mới của mật khẩu và xác nhận mật khẩu mới không khớp."
"Please enter a new password.","Vui lòng nhập mật khẩu mới."
"You updated your password.","Bạn đã cập nhật mật khẩu của bạn."
"Something went wrong while saving the new password.","Một cái gì đó đã đi sai trong khi lưu mật khẩu mới."
"You deleted the address.","Bạn đã xoá các địa chỉ."
"We can't delete the address right now.","Chúng tôi không thể xóa địa chỉ vào lúc này."
"You saved the address.","Bạn đã lưu các địa chỉ."
"We can't save the address.","Chúng tôi không thể lưu địa chỉ."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","Bạn đã thu hồi thẻ của khách hàng."
"We can't find a customer to revoke.","Chúng tôi không thể tìm thấy khách hàng để thu hồi."
"Something went wrong while saving file.","Something went wrong while saving file."
"You deleted the customer group.","Bạn đã xoá các nhóm khách hàng."
"The customer group no longer exists.","Nhóm khách hàng không còn tồn tại."
"Customers","Khách hàng"
"New Group","Nhóm Mới"
"New Customer Groups","Nhóm khách hàng mới"
"Edit Group","Chỉnh sửa Nhóm"
"Edit Customer Groups","Chỉnh sửa các nhóm khách hàng"
"You saved the customer group.","Bạn đã lưu các nhóm khách hàng."
"Please select customer(s).","Vui lòng chọn khách hàng."
"Customer could not be deleted.","Khách hàng không thể bị xóa bỏ."
"You deleted the customer.","Bạn đã xoá các khách hàng."
"Something went wrong while editing the customer.","Một cái gì đó đã đi sai trong khi chỉnh sửa các khách hàng."
"Manage Customers","Quản lý khách hàng"
"Please correct the data sent.","Xin vui lòng sửa các dữ liệu được gửi."
"A total of %1 record(s) were updated.","Tổng cộng %1 bản ghi đã được cập nhật."
"A total of %1 record(s) were deleted.","Tổng %1 bản ghi đã xóa."
"The customer will receive an email with a link to reset password.","Khách hàng sẽ nhận được một email với một liên kết để đặt lại mật khẩu."
"Something went wrong while resetting customer password.","Một cái gì đó đã đi sai trong khi đặt lại mật khẩu của khách hàng."
"You saved the customer.","Bạn đã lưu lại khách hàng này."
"Something went wrong while saving the customer.","Điều gì đó đã sai trong khi lưu lại khách hàng."
"Page not found.","Không tìm thấy trang."
"Customer has been unlocked successfully.","Khách hàng đã được mở khóa thành công."
"Online Customers","Khách hàng trực tuyến"
"Customers Now Online","Khách hàng đang trực tuyến"
"Please define Wish List item ID.","Hãy xác định ID sản phẩm trong danh sách yêu thích của bạn."
"Please load Wish List item.","Xin vui lòng tải sản phẩm trong danh sách yêu thích."
"Login successful.","Đăng nhập thành công."
"Invalid login or password.","Đăng nhập hoặc mật khẩu không hợp lệ."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 không phải là mở rộng của \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","Tài khoản này đã bị khóa."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Vui lòng nhập một mật khẩu với tại nhiều nhất %1 ký tự."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Tối thiểu của các nhóm khác nhau của các ký tự trong mật khẩu là %1. Các nhóm ký tự: chữ, chữ hoa, chữ số, ký tự đặc biệt."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","Khách hàng này đã tồn tại trong cửa hàng."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Không hợp lệ giá trị % giá trị"""" cung cấp cho các trường %fieldName."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Đặt lại thẻ mật khẩu hết hạn."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" là một giá trị bắt buộc."
"Global","Toàn cầu"
"Per Website","Mỗi trang web"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Chúng tôi không thể chia sẻ tài khoản khách hàng trên toàn hệ thống khi các tài khoản chia sẻ địa chỉ email giống nhau trên nhiều hơn một trang web."
"Billing Address","Địa chỉ thanh toán"
"Shipping Address","Địa chỉ giao hàng"
"-- Please Select --","-- Vui lòng chọn --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Quản trị"
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Không có thực thể như vậy với %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Tệp có thể không được lưu vào thư mục đích."
"Unable to create directory %1.","Unable to create directory %1."
"Destination folder is not writable or does not exists.","Destination folder is not writable or does not exists."
"Something went wrong while saving the file.","Something went wrong while saving the file."
"Attribute object is undefined","Thuộc tính đối tượng là không xác định"
"""%1"" invalid type entered.","""%1"" nhập vào loại không hợp lệ."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" có chứa không phải ký tự hoặc không phải là số."
"""%1"" is an empty string.","""%1"" là một chuỗi rỗng."
"""%1"" contains non-numeric characters.","""%1"" có chứa ký tự không phải là số."
"""%1"" contains non-alphabetic characters.","""%1"" có chứa các ký tự không phải ký tự."
"""%1"" is not a valid email address.","""%1"" không phải là một địa chỉ email hợp lệ."
"""%1"" is not a valid hostname.","""%1"" không phải là một tên máy hợp lệ."
"""%1"" uses too many characters.","""%1"" sử dụng quá nhiều ký tự."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' trông giống như một địa chỉ IP, mà không phải là một định dạng được chấp nhận."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' trông giống như một tên máy chủ DNS, nhưng bao gồm một dấu gạch ngang ở một vị trí không hợp lệ."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' trông giống như một tên máy chủ DNS, nhưng chúng tôi không thể kết hợp nó với giản đồ hostname cho tên miền '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' trông giống như một tên máy chủ DNS, nhưng không thể trích xuất một phần tên miền."
"'%value%' does not look like a valid local network name.","'%value%' không giống như một tên mạng địa phương hợp lệ."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' giống như một tên mạng lưới địa phương, mà không phải là một định dạng được chấp nhận."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' dường như là một tên máy chủ DNS, nhưng ký hiệu punycode nhất định không thể được giải mã."
"""%1"" is not a valid URL.","""%1"" không phải là một URL hợp lệ."
"""%1"" is not a valid date.","""%1"" không phải là một ngày hợp lệ."
"""%1"" does not fit the entered date format.","""%1"" không phù hợp với định dạng ngày."
"Please enter a valid date between %1 and %2 at %3.","Vui lòng nhập ngày hợp lệ giữa %1 và %2 tại %3."
"Please enter a valid date equal to or greater than %1 at %2.","Vui lòng nhập ngày hợp lệ bằng hoặc lớn hơn %1 tại %2."
"Please enter a valid date less than or equal to %1 at %2.","Vui lòng nhập ngày hợp lệ ít hơn hoặc bằng với %1 tại %2."
"""%1"" is not a valid file extension.","""%1"" không phải là một phần mở rộng tập tin hợp lệ."
"""%1"" is not a valid file.","""%1"" không phải là một tập tin hợp lệ."
"""%1"" exceeds the allowed file size.","""%1"" vượt quá kích thước tập tin cho phép."
"""%1"" is not a valid image format.","""%1"" không phải là một định dạng hình ảnh hợp lệ."
"""%1"" width exceeds allowed value of %2 px.","""%1"" chiều rộng vượt quá các giá trị cho phép của %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" chiều cao vượt quá các giá trị cho phép của %2 px."
"""%1"" length must be equal or greater than %2 characters.","độ dài ""%1"" phải bằng hoặc nhiều hơn với %2 ký tự."
"""%1"" length must be equal or less than %2 characters.","độ dài ""%1"" phải bằng hoặc ít hơn %2 ký tự."
"label","nhãn"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Nhóm khách hàng"
"You can't delete group ""%1"".","Bạn không thể xoá nhóm ""%1""."
"Customer Group already exists.","Nhóm Khách hàng đã tồn tại."
"Cannot delete group.","Không thể xoá nhóm."
"Error during VAT Number verification.","Lỗi trong quá trình xác minh số thuế GTGT."
"PHP SOAP extension is required.","Phần mở rộng SOAP PHP là bắt buộc."
"VAT Number is valid.","Số thuế GTGT là hợp lệ."
"Please enter a valid VAT number.","Vui lòng nhập một số thuế VAT hợp lệ."
"Your VAT ID was successfully validated.","ID VAT của bạn đã được xác nhận thành công."
"You will be charged tax.","Bạn sẽ phải trả thuế."
"You will not be charged tax.","Bạn sẽ không phải trả thuế."
"The VAT ID entered (%1) is not a valid VAT ID.","ID thuế VAT được nhập (%1) không phải là một ID thuế VAT hợp lệ."
"Your Tax ID cannot be validated.","ID Thuế của bạn không thể được xác nhận."
"If you believe this is an error, please contact us at %1","Nếu bạn thấy rằng đây là lỗi, xin vui lòng liên hệ với chúng tôi tại %1"
"No such entity with %fieldName = %fieldValue","Không có thực thể như vậy với %fieldName = %fieldValue"
"Male","Nam"
"Female","Nữ"
"Not Specified","Không xác định"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","Không có thực thể ngoại lệ như vậy"
"Exception","Exception"
"InputException.","InputException."
"InputException","Nhập ngoại lệ"
"Exception message","Tin nhắn ngoại lệ"
"Validator Exception","Ngoại lệ hợp lệ"
"Localized Exception","Yếu tố ngoại lệ cho bản địa"
"some error","có lỗi xảy ra"
"frontend_label","frontend_label"
"NOT LOGGED IN","CHƯA ĐĂNG NHẬP"
"Please enter the state/province.","Vui lòng nhập tiểu bang/tỉnh."
"region is a required field.","region is a required field."
"regionId is a required field.","regionId is a required field."
"Label","Nhãn"
"Select...","Lựa chọn..."
"Edit","Chỉnh sửa"
"Visitor","Lượt truy cập"
"Customer","Khách hàng"
"No item specified.","Không xác nhận sản phẩm."
"Are you sure you want to remove this item?","Bạn có chắc rằng bạn muốn xóa sản phẩm này?"
"Personal Information","Thông tin cá nhân"
"Last Logged In:","Đăng nhập lần cuối:"
"Last Logged In (%1):","Lần Cuối đăng nhập (%1):"
"Account Lock:","Khóa tài khoản:"
"Confirmed email:","Xác nhận địa chỉ email:"
"Account Created:","Tài khoản được tạo:"
"Account Created on (%1):","Tài khoản được tạo trên (%1):"
"Account Created in:","Tài khoản được tạo trong:"
"Customer Group:","Nhóm khách hàng:"
"Default Billing Address","Địa chỉ thanh toán mặc định"
"Sales Statistics","Số liệu thống kê bán hàng"
"Web Site","Trang Web"
"Store","Cửa hàng"
"Store View","Xem cửa hàng"
"Lifetime Sales","Khoảng đời doanh số"
"Average Sale","Doanh số trung bình"
"All Store Views","Tất cả lượt xem cửa hàng"
"Change","Thay đổi"
"Manage Addresses","Quản lý địa chỉ"
"Default Shipping Address","Địa chỉ giao hàng mặc định"
"Contact Information","Thông tin liên hệ"
"Change Password","Đổi mật khẩu"
"Newsletters","Bản tin"
"You are subscribed to ""General Subscription"".","You are subscribed to ""General Subscription""."
"or","hoặc"
"Default Addresses","Địa chỉ mặc định"
"Change Billing Address","Thay đổi địa chỉ thanh toán"
"You have no default billing address in your address book.","Bạn có không có địa chỉ thanh toán mặc định trong sổ địa chỉ của bạn."
"Change Shipping Address","Thay đổi địa chỉ vận chuyển"
"You have no default shipping address in your address book.","Bạn có không có địa chỉ nhận hàng mặc định trong sổ địa chỉ của bạn."
"Additional Address Entries","Thêm lối vào địa chỉ"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","Bạn có không địa chỉ khác trong sổ địa chỉ của bạn."
"* Required Fields","* Bắt buộc"
"Address","Địa chỉ"
"Street Address","Địa chỉ đường"
"Street Address %1","Địa chỉ đường phố %1"
"VAT Number","Số VAT"
"City","Thành phố"
"State/Province","Bang/tỉnh"
"Please select a region, state or province.","Vui lòng chọn khu vực, bang hay tỉnh."
"Zip/Postal Code","Mã bưu chính"
"Country","Quốc gia"
"It's a default billing address.","Đó là địa chỉ thanh toán mặc định."
"Use as my default billing address","Sử dụng như địa chỉ thanh toán mặc định của tôi"
"It's a default shipping address.","Đó là địa chỉ vận chuyển mặc định."
"Use as my default shipping address","Sử dụng như địa chỉ vận chuyển mặc định của tôi"
"Save Address","Lưu địa chỉ"
"Go back","Quay lại"
"Please enter your email below and we will send you the confirmation link.","Vui lòng nhập email của bạn dưới đây và chúng tôi sẽ gửi cho bạn liên kết xác nhận cho nó."
"Email","Email"
"Send confirmation link","Gửi liên kết xác nhận"
"Back to Sign In","Quay lại đăng nhập"
"Change Email","Thay đổi Email"
"Change Email and Password","Thay đổi Email và mật khẩu"
"Current Password","Mật khẩu hiện tại"
"New Password","Mật khẩu mới"
"Password Strength","Độ mạnh mật khẩu"
"No Password","Không có mật khẩu"
"Confirm New Password","Xác nhận Mật khẩu Mới"
"Save","Lưu lại"
"Please enter your email address below to receive a password reset link.","Vui lòng nhập địa chỉ email của bạn dưới đây để nhận được một liên kết đặt lại mật khẩu."
"Reset My Password","Đặt lại mật khẩu của tôi"
"Registered Customers","Khách hàng đã đăng ký"
"If you have an account, sign in with your email address.","Nếu bạn có một tài khoản, hãy đăng nhập bằng địa chỉ email của bạn."
"Password","Mật khẩu"
"Forgot Your Password?","Bạn quên mật khẩu?"
"Subscription option","Tùy chọn đăng ký"
"General Subscription","Đăng ký chung"
"Sign Up for Newsletter","Đăng ký nhận bản tin"
"Address Information","Thông tin địa chỉ"
"Sign-in Information","Thông tin đăng nhập"
"Confirm Password","Xác nhận mật khẩu"
"Create an Account","Tạo tài khoản"
"Set a New Password","Thiết lập một mật khẩu mới"
"You have signed out and will go to our homepage in 5 seconds.","Bạn đã đăng xuất và sẽ đi đến trang chủ của chúng tôi trong 5 giây."
"New Customers","Khách hàng mới"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Tạo một tài khoản có nhiều lợi ích: kiểm tra nhanh hơn, giữ nhiều hơn một địa chỉ, theo dõi các đơn đặt hàng và nhiều hơn nữa."
"Company","Công ty"
"Fax","Số Fax"
"Gender","Giới tính"
"Name","Tên"
"Tax/VAT number","Tax/VAT number"
"Phone Number","Số Điện thoại"
"Welcome to %store_name","Chào mừng đến với %store_name"
"%name,","%name,"
"Welcome to %store_name.","Chào mừng đến với %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Để đăng nhập vào trang web của chúng tôi, sử dụng các thông tin đăng nhập khi checkout hoặc trên trang<a href=""%customer_url""> Tài khoản của tôi</a>:"
"Email:","Email:"
"Password:","Mật khẩu:"
"Password you set when creating account","Mật khẩu bạn thiết lập khi tạo tài khoản"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Quên mật khẩu tài khoản? Bấm vào <a href=""%reset_url""> đây</a> để đặt lại nó."
"When you sign in to your account, you will be able to:","Khi bạn đăng nhập vào tài khoản, bạn có thể:"
"Proceed through checkout faster","Tiến hành checkout nhanh hơn"
"Check the status of orders","Kiểm tra tình trạng đơn hàng"
"View past orders","Xem các đơn hàng đã đặt"
"Store alternative addresses (for shipping to multiple family members and friends)","Lưu trữ các địa chỉ thay thế (để vận chuyển đến nhiều thành viên gia đình và bạn bè)"
"Please confirm your %store_name account","Vui lòng xác nhận tài khoản %store_name của bạn"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Bạn phải xác nhận email %customer_email của bạn trước khi đăng nhập (liên kết chỉ giá trị một lần):"
"Confirm Your Account","Xác nhận tài khoản của bạn"
"Thank you for confirming your %store_name account.","Cảm ơn bạn đã xác nhận tài khoản %store_name của bạn."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Để đăng nhập vào trang web của chúng tôi và thiết lập một mật khẩu, hãy nhấp vào <a href=""%create_password_url""> liên kết</a>:"
"Your %store_name email has been changed","Email %store_name của bạn đã bị thay đổi"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","Chúng tôi đã nhận được một yêu cầu để thay đổi các thông tin liên kết với tài khoản của bạn tại %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Nếu bạn không có quyền cho hành động này, xin vui lòng liên hệ với chúng tôi ngay lập tức tại <a href=""mailto:%store_email""> %store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","%store_name email và mật khẩu của bạn đã bị thay đổi"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Chúng tôi đã nhận được một yêu cầu để thay đổi các thông tin liên kết với tài khoản của bạn tại %store_name: email, mật khẩu."
"Reset your %store_name password","Đặt lại mật khẩu %store_name"
"There was recently a request to change the password for your account.","Có một yêu cầu thay đổi mật khẩu cho tài khoản của bạn gần đây."
"If you requested this change, set a new password here:","Nếu bạn yêu cầu thay đổi này, thiết lập một mật khẩu mới ở đây:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Nếu bạn đã không thực hiện yêu cầu này, bạn có thể bỏ qua, email và mật khẩu của bạn sẽ vẫn như cũ."
"Your %store_name password has been changed","%store_name mật khẩu của bạn đã bị thay đổi"
"We have received a request to change the following information associated with your account at %store_name: password.","Chúng tôi đã nhận được một yêu cầu để thay đổi các thông tin liên kết với tài khoản của bạn tại %store_name: mật khẩu."
"Checkout as a new customer","Checkout as a new customer"
"Creating an account has many benefits:","Tạo một tài khoản có nhiều lợi ích:"
"See order and shipping status","Xem trạng thái đơn đặt hàng và vận chuyển"
"Track order history","Theo dõi lịch sử đặt hàng"
"Check out faster","Kiểm tra nhanh hơn"
"Checkout using your account","Checkout using your account"
"Email Address","Địa chỉ email"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"Are you sure you want to delete this address?","Bạn có chắc bạn muốn xóa địa chỉ này?"
"Weak","Yếu kém"
"Medium","Trung bình"
"Strong","Mạnh mẽ"
"Very Strong","Rất mạnh"
"Guest checkout is disabled.","Thanh toán như khách đã bị tắt."
"All Customers","Tất cả khách hàng"
"Now Online","Đang trực tuyến"
"Customers Section","Mục Khách hàng"
"Customer Configuration","Cấu hình Khách hàng"
"Account Sharing Options","Tùy chọn chia sẻ Tài khoản"
"Share Customer Accounts","Chia sẻ tài khoản khách hàng"
"Create New Account Options","Tùy chọn Tạo mới tài khoản"
"Enable Automatic Assignment to Customer Group","Cho phép Tự động gán cho nhóm khách hàng"
"Tax Calculation Based On","Tính toán thuế dựa trên"
"Default Group","Nhóm mặc định"
"Group for Valid VAT ID - Domestic","Nhóm thuế VAT ID - trong nước hợp lệ"
"Group for Valid VAT ID - Intra-Union","Nhóm ID thuế VAT - nội công đoàn hợp lệ"
"Group for Invalid VAT ID","Nhóm ID thuế VAT không hợp lệ"
"Validation Error Group","Xác nhận lỗi nhóm"
"Validate on Each Transaction","Xác nhận trên mỗi giao dịch"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Giá trị mặc định cho thay đổi vô hiệu hoá tự động nhóm dựa trên ID thuế VAT"
