"Sign Out","Uitloggen"
"The customer would belong to Customer Group %s.","De klant zou behoren tot de groep Customer %s."
"There was an error detecting Customer Group.","Er is een fout opgetreden bij Klant Groep."
"Validate VAT Number","Valideer BTW-nummer"
"Date of Birth","Geboortedatum"
"Done","Done"
"Prev","Prev"
"Next","Next"
"Today","Today"
"Bad request.","Foute aanvraag"
"This confirmation key is invalid or has expired.","Deze bevestiging sleutel is ongeldig of is verlopen."
"There was an error confirming the account","Er is een fout opgetreden tijdens het bevestiging van het account"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Als je een geregistreerde BTW-klant bent, gelieve <a href=""%1""> hier te klikken </a> om je verzendadres in te voeren voor een juiste BTW-berekening."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Als je een geregistreerde BTW-klant bent, gelieve <a href=""%1""> hier te klikken </a> om je factuuradres in te voeren voor een juiste BTW-berekening."
"Thank you for registering with %1.","Bedankt voor je registratie bij %1."
"Please check your email for confirmation key.","Controleer je email voor de bevestigingscode."
"This email does not require confirmation.","Deze e-mail hoeft niet bevestigt te worden"
"Wrong email.","Onjuist e-mailadres."
"Your password reset link has expired.","Je wachtwoord-reset-link is verlopen"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"We can't save the customer.","We kunnen de klant niet opslaan."
"Please make sure your passwords match.","Zorg dat de wachtwoorden overeenkomen."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Als je een geregistreerde BTW-klant bent, gelieve <a href=""%1""> hier te klikken </a> om je verzendadres in te voeren voor een juiste BTW-berekening."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Als je een geregistreerde BTW-klant bent, gelieve <a href=""%1""> hier te klikken </a> om je factuuradres in te voeren voor een juiste BTW-berekening."
"You saved the account information.","Je hebt de accountgegevens opgeslagen."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"Password confirmation doesn't match entered password.","Wachtwoord-bevestiging komt niet overeen met ingegeven wachtwoord."
"The password doesn't match this account. Verify the password and try again.","The password doesn't match this account. Verify the password and try again."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"We're unable to send the password reset email.","We kunnen de wachtwoordherstel e-mail niet verzenden."
"Please enter your email.","Voer je e-mailadres in."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Als er een account is gekoppeld aan %1, ontvangt je een e-mail met een link om je wachtwoord opnieuw in te stellen."
"An unspecified error occurred. Please contact us for assistance.","Een niet nader gekende fout deed zich voor. Neem contact met ons op voor hulp."
"A login and a password are required.","Gebruikersnaam en wachtwoord zijn verplicht."
"New Password and Confirm New Password values didn't match.","Het nieuwe wachtwoord en de bevestiging van het nieuwe wachtwoord komen niet overeen."
"Please enter a new password.","Voer een nieuw wachtwoord."
"You updated your password.","Je wachtwoord is bijgewerkt."
"Something went wrong while saving the new password.","Er ging iets mis bij het opslaan van het nieuwe wachtwoord."
"You deleted the address.","Je hebt het adres verwijderd."
"We can't delete the address right now.","We kunnen het adres op dit moment niet verwijderen."
"No files for upload.","No files for upload."
"Address not found.","Address not found."
"You saved the address.","Je hebt het adres opgeslagen."
"We can't save the address.","We kunnen het adres niet opslaan."
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Page not found.","Pagina niet gevonden."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"You have revoked the customer's tokens.","Je hebt de klanten toegang ingetrokken voor de huidige sleutels."
"We can't find a customer to revoke.","We kunnen geen klant vinden om in te trekken."
"Something went wrong while saving file.","Er ging iets mis bij het opslaan van de bestanden."
"You deleted the customer group.","Je hebt de klantgroep verwijderd."
"The customer group no longer exists.","De klantgroep bestaat niet langer."
"Customers","Klanten"
"New Group","Nieuwe groep"
"New Customer Groups","Nieuwe klantgroepen"
"Edit Group","Groep bewerken"
"Edit Customer Groups","Klantgroepen bewerken"
"You saved the customer group.","Je hebt de klantgroep opgeslagen."
"Please select customer(s).","Selecteer klant(en)."
"Customer could not be deleted.","Klant kon niet verwijderd worden."
"You deleted the customer.","Klant verwijderd."
"Something went wrong while editing the customer.","Er ging iets mis tijdens het bewerken van de klant."
"Manage Customers","Klanten beheren"
"Please correct the data sent.","Corrigeer de gegevens die zijn verzonden."
"A total of %1 record(s) were updated.","In totaal zijn %1 record(s) bijgewerkt."
"A total of %1 record(s) were deleted.","Een totaal van %1 veld(en) werden verwijderd."
"The customer will receive an email with a link to reset password.","De klant ontvangt een e-mail met een link om het wachtwoord opnieuw instellen."
"Something went wrong while resetting customer password.","Er ging iets mis tijdens het opnieuw instellen van het wachtwoord van de klant."
"The Store View selected for sending Welcome email from is not related to the customer's associated website.","The Store View selected for sending Welcome email from is not related to the customer's associated website."
"You saved the customer.","Je hebt de klant opgeslagen."
"Something went wrong while saving the customer.","Er ging iets mis bij het opslaan van de klant."
"Customer has been unlocked successfully.","Klant is ontgrendeld."
"Online Customers","Online klanten"
"Customers Now Online","Klanten nu online"
"Please define Wish List item ID.","Geef verlanglijstje item-ID."
"Please load Wish List item.","Gelieve wens lijst item te laden. "
"Login successful.","Succesvol ingelogd."
"Invalid login or password.","Ongeldige gebruikersnaam en/of wachtwoord."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 is geen uitbreiding van \Magento\Customer\CustomerData\SectionSourceInterface"
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"The account is locked.","Account is vergrendeld."
"This account isn't confirmed. Verify and try again.","This account isn't confirmed. Verify and try again."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Voer een wachtwoord in met ten hoogste %1 tekens."
"The password needs at least %1 characters. Create a new password and try again.","The password needs at least %1 characters. Create a new password and try again."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum van verschillende klassen van tekens in wachtwoord is %1. Soorten tekens: kleine letters, hoofdletters, cijfers en speciale tekens."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
"This customer already exists in this store.","Deze klant bestaat al in deze winkel."
"A customer with the same email address already exists in an associated website.","A customer with the same email address already exists in an associated website."
"The store view is not in the associated website.","De winkelaanzicht is niet in de bijbehorende website."
"Invalid value of ""%value"" provided for the %fieldName field.","Ongeldige waarde voor ""% value"" opgegeven voor het %fieldName veld."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"Provided customer ID ""%customer_id"" isn't related to current customer address.","Provided customer ID ""%customer_id"" isn't related to current customer address."
"""%1"" is a required value.","""%1"" is een vereiste waarde."
"Global","Systeem"
"Per Website","Per website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We kunnen geen klanten accounts wereldwijd verspreiden indien de accounts identieke email adressen bevatten op meerdere websites."
"Billing Address","Factuuradres"
"Shipping Address","Bezorgadres"
"-- Please Select --","-- Selecteer --"
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"Admin","Beheerder"
"ALL GROUPS","ALLE GROEPEN"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Geen dergelijke entiteit met %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Bestand kan niet worden opgeslagen in de doelmap."
"Unable to create directory %1.","Niet mogelijk om folder aan te maken: %1."
"Destination folder is not writable or does not exists.","Doelmap is niet schrijfbaar of bestaat niet."
"Something went wrong while saving the file.","Er ging iets mis bij het opslaan van het bestand."
"Reset password token expired.","De code om het wachtwoord te resetten is verlopen."
"No such entity with rp_token = %value","No such entity with rp_token = %value"
"Attribute object is undefined","Attribuut object is niet opgegeven"
"""%1"" invalid type entered.","""%s"" ongeldige tekens ingevoerd."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" bevat niet-alfabetische of niet-numerieke tekens."
"""%1"" is an empty string.","""%1"" is een lege string."
"""%1"" contains non-numeric characters.","""%1"" bevat niet-numerieke tekens."
"""%1"" contains non-alphabetic characters.","""%1"" bevat niet-alfabetische tekens."
"""%1"" is not a valid email address.","""%s"" is geen geldig e-mailadres."
"""%1"" is not a valid hostname.","""%s"" is geen geldige hostnaam."
"""%1"" uses too many characters.","""%1"" te veel tekens worden gebruikt."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' ziet eruit als een IP-adres, dit is een onaanvaardbaar formaat."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' lijkt een DNS hostname maar bevat een streepje in een ongeldige positie."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' lijkt een DNS hostname maar we kunnen geen onvereenkomstige TLD vinden in het hostname schema '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' lijkt een DNS hostname maar er kan geen TLD ontleed worden."
"'%value%' does not look like a valid local network name.","'%value%' lijkt niet op een geldige lokale netwerknaam."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' lijkt op een lokale netwerknaam, dit formaat wordt niet aanvaard."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' lijkt een DNS-hostname te zijn, maar de opgegeven punycode notatie kan niet gedecodeerd worden."
"""%1"" is not a valid URL.","""%1"" is geen geldige URL."
"""%1"" is not a valid date.","""%1"" is geen geldige datum."
"""%1"" does not fit the entered date format.","""%1"" past niet in het ingevulde datum-formaat."
"Please enter a valid date between %1 and %2 at %3.","Voer een geldige datum in tussen %1 en %2 bij %3."
"Please enter a valid date equal to or greater than %1 at %2.","Voer een geldige datum gelijk aan of groter dan %1 bij %2."
"Please enter a valid date less than or equal to %1 at %2.","Voer een geldige datum in minder of gelijk aan %1 bij %2."
"""%1"" is not a valid file extension.","""%1"" is geen geldige bestandsextentie."
"""%1"" is not a valid file.","""%1"" is geen geldig bestand."
"""%1"" exceeds the allowed file size.","""%1"" overschrijdt de toegestane bestandsgrootte."
"""%1"" is not a valid image format.","""%1"" is geen geldig afbeeldingsformaat."
"""%1"" width exceeds allowed value of %2 px.","""%1"" breedte overschrijdt toegestane waarde van %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" hoogte overschrijdt toegestane waarde van %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" lengte moet minimaal %2 karakters zijn."
"""%1"" length must be equal or less than %2 characters.","""%1"" lengte mag maximaal %2 karakters zijn."
"Could not delete customer group website with ID: %1","Could not delete customer group website with ID: %1"
"Could not save customer group website to exclude with ID: %1","Could not save customer group website to exclude with ID: %1"
"label","label"
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"The specified customer group id does not exist.","The specified customer group id does not exist."
"Customer Group","Klantengroep"
"You can't delete group ""%1"".","Je kan groep ""%1"" niet verwijderen."
"Could not save customer group website to exclude from customer group: ""%1""","Could not save customer group website to exclude from customer group: ""%1"""
"Could not retrieve excluded customer group websites by customer group: ""%1""","Could not retrieve excluded customer group websites by customer group: ""%1"""
"Could not retrieve all excluded customer group websites.","Could not retrieve all excluded customer group websites."
"Could not delete customer group with its excluded websites.","Could not delete customer group with its excluded websites."
"Could not delete customer group excluded website by id.","Could not delete customer group excluded website by id."
"Customer Group already exists.","Klantgroep bestaat reeds."
"Cannot delete group.","Kan groep niet verwijderen."
"The session has expired, please login again.","The session has expired, please login again."
"Something went wrong.","Something went wrong."
"Error during VAT Number verification.","Fout tijdens verificatie van het BTW-nummer."
"PHP SOAP extension is required.","PHP SOAP extensie is nodig."
"VAT Number is valid.","Het BTW nummer is geldig."
"Please enter a valid VAT number.","Voer een geldig BTW nummer in."
"Your VAT ID was successfully validated.","Je BTW-nummer is met succes gevalideerd."
"You will be charged tax.","Er zal BTW gerekend worden."
"You will not be charged tax.","Er zal geen BTW gerekend worden."
"The VAT ID entered (%1) is not a valid VAT ID.","Het ingevulde BTW-nummer (%1) is geen geldig BTW-nummer."
"Your Tax ID cannot be validated.","Je BTW-nummer kan niet gevalideerd worden."
"If you believe this is an error, please contact us at %1","Als je denkt dat dit niet juist is, neem je dan contact met ons op via %1"
"This website is excluded from customer's group.","This website is excluded from customer's group."
"No such entity with %fieldName = %fieldValue","Geen dergelijke entiteit met %fieldName = %fieldValue"
"Male","Man"
"Female","Vrouw"
"Not Specified","Niet Gespecificeerd"
"NoSuchEntityException","NoSuchEntityException"
"EmailNotConfirmedException","EmailNotConfirmedException"
"AuthenticationException","AuthenticationException"
"UserLockedException","UserLockedException"
"InputException","Invoer uitzondering"
"Exception message","Foutmelding"
"Validator Exception","Validatie Fout"
"Localized Exception","Localizatie Fout"
"some error","een fout"
"Street","Street"
"frontend_label","frontend_label"
"NOT LOGGED IN","NIET INGELOGD"
"File with an extension php is protected and cannot be uploaded","File with an extension php is protected and cannot be uploaded"
"Please enter the state/province.","Vul de provincie in."
"region is a required field.","regio is een verplicht veld."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Customer does not exist","Customer does not exist"
"Something went wrong","Something went wrong"
"Label","label"
"Select...","Selecteer..."
"Edit","Bewerken"
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Visitor","Bezoeker"
"Customer","Klant"
"No item specified.","Geen artikel gespecificeerd."
"Are you sure you want to remove this item?","Weet je zeker dat je dit product wilt wissen?"
"Personal Information","Persoonlijke informatie"
"Last Logged In:","Laatst ingelogd"
"Last Logged In (%1):","Laatst ingelogd (%1):"
"Account Lock:","Account geblokkeerd:"
"Confirmed email:","Bevestigde email:"
"Account Created:","Account aangemaakt:"
"Account Created on (%1):","Account aangemaakt op (%1):"
"Account Created in:","Account gemaakt in:"
"Customer Group:","Klantgroep:"
"Default Billing Address","Standaard factuuradres"
"Sales Statistics","Verkoopstatistiek"
"Web Site","Website"
"Store","Winkel"
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"Average Sale","Gemiddeld bedrag"
"All Store Views","Alle Winkelaanzichten"
"Change","Verander"
"Manage Addresses","Beheer adressen"
"Default Shipping Address","Standaard verzendadres"
"Account Information","Account Gegevens"
"Contact Information","Contactgegevens"
"Change Password","Wachtwoord wijzigen"
"Newsletters","Nieuwsbrieven"
"You are subscribed to ""General Subscription"".","Je hebt je geabonneerd op de nieuwsbrief."
"or","of"
"My Account","Account"
"Default Addresses","Standaard adres"
"Change Billing Address","Verander Factuuradres"
"You have no default billing address in your address book.","Je hebt geen standaard factuuradres in je adresboek."
"Change Shipping Address","Verzendadres wijzigen"
"You have no default shipping address in your address book.","Je hebt geen standaard verzendadres in je adresboek"
"* Required Fields","* Verplichte velden"
"Address","Adres"
"Street Address: Line %1","Street Address: Line %1"
"Street Address %1","Adresregel %1"
"City","Plaatsnaam"
"It's a default billing address.","Het is een standaard factuuradres."
"Use as my default billing address","Gebruik als standaard factuuradres"
"It's a default shipping address.","Het is een standaard leveringsadres."
"Use as my default shipping address","Gebruik als standaard verzendadres"
"Save Address","Adres opslaan"
"Go back","Terug"
"Additional Address Entries","Additionele Adresgegevens"
"Additional addresses","Additional addresses"
"First Name","Voornaam"
"Last Name","Achternaam"
"Street Address","Adres"
"Country","Land"
"State","State"
"Zip/Postal Code","Postcode"
"Phone","Telefoonnummer"
"Actions","Actions"
"You have no other address entries in your address book.","Je hebt geen andere adressen ingevoerd in jeadresboek."
"Please enter your email below and we will send you the confirmation link.","Voer hieronder je e-mailadres in en wij zullen je een bevestigingslink sturen."
"Email","E-mail"
"Send confirmation link","stuur bevestigingslink"
"Back to Sign In","Terug naar inloggen"
"Change Email","E-mailadres wijzigen"
"Change Email and Password","Wijzig E-Mail en wachtwoord"
"Current Password","Huidig wachtwoord"
"New Password","Nieuw wachtwoord"
"Password Strength","Wachtwoordsterkte"
"No Password","Geen wachtwoord"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Please enter your email address below to receive a password reset link.","Voer je e-mailadres hieronder in om een wachtwoord reset link te ontvangen."
"Reset My Password","Wachtwoord resetten"
"Registered Customers","Geregistreerde klanten"
"If you have an account, sign in with your email address.","Als je een account hebt, meld je dan aan met je e-mailadres."
"Password","Wachtwoord"
"Forgot Your Password?","Wachtwoord vergeten?"
"Subscription option","Abonnementoptie"
"General Subscription","Algemene inschrijving"
"Sign Up for Newsletter","Aanmelden voor de nieuwsbrief"
"Address Information","Adres Gegevens"
"Please select a region, state or province.","Selecteer regio, staat of provincie."
"Sign-in Information","Inloggegevens"
"Confirm Password","Bevestig wachtwoord"
"Create an Account","Account aanmaken"
"Set a New Password","Een nieuw wachtwoord instellen"
"You have signed out and will go to our homepage in 5 seconds.","Je hebt je afgemeld en zal over 5 seconden naar de homepage doorgestuurd worden."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Deze account is niet bevestigd. <a href=""%1"">Klik hier</a> om de bevestigingsmail opnieuw te verzenden."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Je moet je account bevestigen. Controleer je email voor de bevestigingslink of <a href=""%1""> Klik hier</a> voor een nieuwe link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Er is al een account met dit e-mailadres. Als je zeker weet dat is het je e-mailadres is, <a href=""%1"">kun je een nieuw wachtwoord aanvragen</a>."
"New Customers","Nieuwe klanten"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Het aanmaken van een account heeft vele voordelen: sneller afhandelen, meer dan één adres registreren, volgen van bestellingen en meer."
"Company","Bedrijf"
"Fax","Fax"
"Name","Naam"
"Phone Number","Telefoonnummer"
"Welcome to %store_name","Welkom bij %store_name"
"%name,","%name,"
"Welcome to %store_name.","Welkom op %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Om in te loggen op onze website, gebruik deze gegevens tijdens het betalen of op de <a href=""%customer_url"">Mijn Account</a> pagina:"
"Email:","E-mail:"
"Password:","Wachtwoord:"
"Password you set when creating account","Opgegeven wachtwoord tijdens aanmaken van account"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Wachtwoord vergeten? Klik <a href=""%reset_url"">hier</a> om het opnieuw in te stellen."
"When you sign in to your account, you will be able to:","Wanneer je inlogt op je account kunt u:"
"Proceed through checkout faster","Sneller betalen"
"Check the status of orders","Orderstatus controleren"
"View past orders","Orderhistorie bekijken"
"Store alternative addresses (for shipping to multiple family members and friends)","Meerdere adressen opslaan (om bijvoorbeeld bestellingen naar vrienden en familie te sturen)"
"Please confirm your %store_name account","Bevestig je %store_name account"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Bevestig je e-mailadres %customer_email om in te kunnen loggen (u kan deze link slecht één keer gebruiken):"
"Confirm Your Account","Je account bevestigen"
"Thank you for confirming your %store_name account.","Bedankt voor het bevestigen van je %store_name account."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Om in te loggen op onze website en een wachtwoord in te stellen, klik op deze <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","Je %store_name e-mail is veranderd"
"We have received a request to change the following information associated with your account at %store_name: email.","Wij hebben een verzoek ontvangen om de volgende informatie gekoppeld aan je account op %store_name te wijzigen: e-mail."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Als je geen toestemming voor deze actie gegeven hebt, neem onmiddellijk contact met ons op <a href=""mailto:%store_email"">%store_email</a>"
"Your %store_name email and password has been changed","Je %store_name e-mail en wachtwoord is veranderd"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Wij hebben een verzoek ontvangen om de volgende informatie gekoppeld aan je account op %store_name te wijzigen: e-mail, wachtwoord."
"Reset your %store_name password","Je %store_name wachtwoord resetten"
"There was recently a request to change the password for your account.","Er was onlangs een aanvraag om het wachtwoord van je account te wijzigen."
"If you requested this change, set a new password here:","Wanneer je deze wijziging hebt aangevraagd, kan je hier een nieuw wachtwoord instellen:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Wanneer je deze aanvraag niet hebt ingediend, kan je deze email negeren en je wachtwoord zal ongewijzigd blijven."
"Your %store_name password has been changed","Je %store_name wachtwoord is veranderd"
"We have received a request to change the following information associated with your account at %store_name: password.","Wij hebben een verzoek ontvangen om de volgende informatie gekoppeld aan je account op %store_name te wijzigen: wachtwoord."
"Checkout as a new customer","Afrekenen als een nieuwe klant"
"Creating an account has many benefits:","Het aanmaken van een account heeft vele voordelen:"
"See order and shipping status","Bekijk bestelling en verzendstatus"
"Track order history","Bekijk bestelgeschiedenis"
"Check out faster","Reken sneller af"
"Checkout using your account","Reken af met je account"
"Email Address","E-mail adres"
"Show Password","Show Password"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Sorry, there has been an error processing your request. Please try again later.","Sorry, there has been an error processing your request. Please try again later."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Are you sure you want to delete this address?","Weet je zeker dat je het adres wilt verwijderen?"
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"Weak","Zwak"
"Medium","Gemiddeld"
"Strong","Sterk"
"Very Strong","Zeer Sterk"
"Invalid date","Invalid date"
"The Date of Birth should not be greater than today.","The Date of Birth should not be greater than today."
"Guest checkout is disabled.","Gast-kassa is uitgeschakeld."
"All Customers","Alle Klanten"
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Now Online","Nu online"
"Customers Section","Klanten sectie"
"Customer Configuration","Klant-configuratie"
"Account Sharing Options","Opties account delen"
