"Sign Out","Выход"
"There was an error confirming the account","Там была ошибка подтверждение учетной записи"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation."
"Thank you for registering with %1.","Благодарим вас за регистрацию %1."
"Please check your email for confirmation key.","Пожалуйста проверьте свой адрес электронной почты для подтверждения."
"This email does not require confirmation.","Это письмо не требует подтверждения."
"Wrong email.","Неправильный адрес электронной почты."
"Your password reset link has expired.","Истекает ссылка на сброс пароля."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Вы должны подтвердить свою учетную запись. Пожалуйста, проверьте адрес электронной почты для подтверждения или <a href=""%1""> нажмите здесь</a> для новой ссылки."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"We can't save the customer.","We can't save the customer."
"Please make sure your passwords match.","Убедитесь, что ваши пароли совпадают."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation."
"Account Information","Данные учётной записи"
"You saved the account information.","Вы сохранили информацию об учетной записи."
"You did not sign in correctly or your account is temporarily disabled.","Вы не вошли в систему правильно или ваша учетная запись временно отключена."
"Password confirmation doesn't match entered password.","Подтверждение пароля не соответствует введенный пароль."
"The password doesn't match this account.","Пароль не соответствует этой учетной записи."
"Please correct the email address.","Пожалуйста, исправьте адрес электронной почты."
"We're unable to send the password reset email.","Не могу отправить email для сброса пароля."
"Please enter your email.","Введите свой адрес электронной почты."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Если есть учетная запись, связанная с %1 вы получите электронное письмо со ссылкой для сброса пароля."
"My Account","Моя учётная запись"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email."
"An unspecified error occurred. Please contact us for assistance.","Произошла неуказанная ошибка. Пожалуйста свяжитесь с нами для помощи."
"A login and a password are required.","Требуется логин и пароль."
"New Password and Confirm New Password values didn't match.","Hовый пароль и Подтвердите новый пароль значения не совпадают."
"Please enter a new password.","Пожалуйста, введите новый пароль."
"You updated your password.","Вы обновили ваш пароль."
"Something went wrong while saving the new password.","Что-то пошло не так сохраняя новый пароль."
"You deleted the address.","Вы удалили адрес."
"We can't delete the address right now.","We can't delete the address right now."
"You saved the address.","Вы сохранили адрес."
"We can't save the address.","We can't save the address."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Исправьте элементы котировки и повторите попытку."
"You have revoked the customer's tokens.","You have revoked the customer's tokens."
"We can't find a customer to revoke.","We can't find a customer to revoke."
"Something went wrong while saving file.","При сохранении файла произошла ошибка."
"You deleted the customer group.","Вы удалили Клиент группа."
"The customer group no longer exists.","Клиент группы больше не существует."
"Customers","Покупатели"
"New Group","Новая группа"
"New Customer Groups","Новые группы клиентов"
"Edit Group","Редактировать группу"
"Edit Customer Groups","Редактировать группы клиентов"
"You saved the customer group.","Вы сохранили группу клиентов."
"Please select customer(s).","Пожалуйста, выберите клиента."
"Customer could not be deleted.","Клиент не удалось удалить."
"You deleted the customer.","Вы удалили клиента."
"Something went wrong while editing the customer.","Что-то пошло не так при редактировании клиента."
"Manage Customers","Управление клиентами"
"Please correct the data sent.","Пожалуйста, исправьте отправленные данные."
"A total of %1 record(s) were updated.","В общей сложности обновлено %1 записи(ей)."
"A total of %1 record(s) were deleted.","В общей сложности %1 записи было удалено."
"The customer will receive an email with a link to reset password.","Клиент получит электронное письмо с ссылкой для сброса пароля."
"Something went wrong while resetting customer password.","Что-то пошло не так во время изменения пароля."
"You saved the customer.","Вы сохранили клиента."
"Something went wrong while saving the customer.","Что-то пошло не так при сохранении клиента."
"Page not found.","Страница не найдена."
"Customer has been unlocked successfully.","Клиент был успешно разблокирован."
"Online Customers","Онлайн Посетители"
"Customers Now Online","Клиенты сейчас в сети"
"Please define Wish List item ID.","Просьба указать ID элемента списка пожеланий."
"Please load Wish List item.","Please load Wish List item."
"Login successful.","Вход успешен."
"Invalid login or password.","Неверный логин или пароль."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","Профиль заблокирован."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Недопустимое значение «%» для поля ieldName %f. Возможные значения: %template1 и %template2."
"Please enter a password with at most %1 characters.","Please enter a password with at most %1 characters."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","Пароль не может начинаться или заканчиваться пробелом."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Минимум различных классов символов в пароле — %1. Классы символов: нижний регистр, верхний регистр, цифры, Специальные символы."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","Этот клиент уже существует в этом магазине."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Недопустимое значение «%value» для поля %fieldName."
"%fieldName is a required field.","%fieldName является обязательным полем."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Reset password token expired."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" is a required value."
"Global","Глобальнo"
"Per Website","Per Website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We can't share customer accounts globally when the accounts share identical email addresses on more than one website."
"Billing Address","Адрес для выставления счета"
"Shipping Address","Адрес доставки"
"-- Please Select --","-- Выберите --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","Пароль не может начинаться или заканчивается пробелом."
"Admin","Администратор"
"ALL GROUPS","ВСЕ ГРУППЫ"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","No such entity with %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Файл не может быть сохранен в папку назначения."
"Unable to create directory %1.","Не удалось создать каталог %1."
"Destination folder is not writable or does not exists.","Папка назначения недоступна для записи или не существует."
"Something went wrong while saving the file.","При сохранении файла что-то пошло не так."
"Attribute object is undefined","Объект атрибута не определен"
"""%1"" invalid type entered.","""%1"" введен неверный тип."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" содержит неалфавитные или нечисловые символы."
"""%1"" is an empty string.","""%1"" пустая строка."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" не является действительным адресом электронной почты."
"""%1"" is not a valid hostname.","""%1"" не является допустимым именем хоста."
"""%1"" uses too many characters.","""%1"" uses too many characters."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' looks like an IP address, which is not an acceptable format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' looks like a DNS hostname but contains a dash in an invalid position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' looks like a DNS hostname but cannot extract TLD part."
"'%value%' does not look like a valid local network name.","'%value%' does not look like a valid local network name."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' looks like a local network name, which is not an acceptable format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" не является допустимым URL."
"""%1"" is not a valid date.","""%1"" не является допустимой датой."
"""%1"" does not fit the entered date format.","""%1"" не подходит формат введенной даты."
"Please enter a valid date between %1 and %2 at %3.","Укажите действительную дату между %1 и %2 в %3."
"Please enter a valid date equal to or greater than %1 at %2.","Укажите действительную дату, равную или превышающую %1 в %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" не является допустимым расширением файла."
"""%1"" is not a valid file.","""%1"" не является допустимым файлом."
"""%1"" exceeds the allowed file size.","""%1"" превышает размер допустимого файла."
"""%1"" is not a valid image format.","""%1"" не является допустимым форматом изображения."
"""%1"" width exceeds allowed value of %2 px.","""%1"" ширина превышает допустимое значение %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" высота превышает допустимое значение %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"label","метка"
"Please enter a customer email.","Введите адрес электронной почты клиента."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Группы клиентов"
"You can't delete group ""%1"".","Вы не можете удалить группу ""%1""."
"Customer Group already exists.","Клиент Группа уже существует."
"Cannot delete group.","Не удается удалить группу."
"Error during VAT Number verification.","Ошибка при проверке номера НДС."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"VAT Number is valid.","Номер НДС является допустимым."
"Please enter a valid VAT number.","Пожалуйста, введите действительный номер НДС."
"Your VAT ID was successfully validated.","Your VAT ID was successfully validated."
"You will be charged tax.","Вам будет взиматься налог."
"You will not be charged tax.","Вам не взимается налог."
"The VAT ID entered (%1) is not a valid VAT ID.","The VAT ID entered (%1) is not a valid VAT ID."
"Your Tax ID cannot be validated.","Your Tax ID cannot be validated."
"If you believe this is an error, please contact us at %1","Если вы считаете, что это ошибка, пожалуйста, свяжитесь с нами по %1"
"No such entity with %fieldName = %fieldValue","Нет такого объекта с %fieldName = %fieldValue"
"Male","Мужчина"
"Female","Женщина"
"Not Specified","Not Specified"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Пожалуйста, введите новый пароль."
"message","сообщение"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Исключение"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Сообщение об исключении"
"Validator Exception","Исключение валидатора"
"Localized Exception","Локализованное исключение"
"some error","некоторая ошибка"
"frontend_label","внешнийинтерфейс_метка"
"NOT LOGGED IN","НЕ ВОШЛИ В СИСТЕМУ"
"Please enter the state/province.","Укажите штат/провинцию."
"region is a required field.","pегион является обязательным полем."
"regionId is a required field.","regionId - обязательное поле."
"Label","Метка"
"Select...","Выберите..."
"Edit","Редактировать"
"Visitor","Посетитель"
"Customer","Клиент"
"No item specified.","Нет указанных элементов."
"Are you sure you want to remove this item?","Вы действительно хотите удалить этот элемент?"
"Personal Information","Персональные данные"
"Last Logged In:","Последнее посещение:"
"Last Logged In (%1):","Последнее посещение (%1):"
"Account Lock:","Account Lock:"
"Confirmed email:","Подтвержденный email:"
"Account Created:","Учётная запись создана:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Учетная запись, созданная в:"
"Customer Group:","Группа клиента:"
"Default Billing Address","Адрес выставления счета по умолчанию"
"Sales Statistics","Статистика продаж"
"Web Site","Веб-сайт"
"Store","Магазин"
"Store View","Представление магазина"
"Lifetime Sales","Всего продаж"
"Average Sale","Average Sale"
"All Store Views","Хранилище всех просмотров"
"Change","Изменить"
"Manage Addresses","Управление адресами"
"Default Shipping Address","Default Shipping Address"
"Contact Information","Контактная информация"
"Change Password","Сменить пароль"
"Newsletters","Newsletters"
"You are subscribed to ""General Subscription"".","Вы подписаны на ""Общая подписка""."
"or","или"
"Default Addresses","Адреса по умолчанию"
"Change Billing Address","Изменить платежный адрес"
"You have no default billing address in your address book.","У вас нет настроек по умолчанию платежный адрес в адресной книге."
"Change Shipping Address","Изменить адрес доставки"
"You have no default shipping address in your address book.","У вас нет доставки по умолчанию адрес в адресной книге."
"Additional Address Entries","Дополнительные адреса"
"Delete Address","Удалить адрес"
"You have no other address entries in your address book.","You have no other address entries in your address book."
"* Required Fields","* Обязательные поля"
"Address","Адрес"
"Street Address","Адрес улицы"
"Street Address %1","Street Address %1"
"VAT Number","Номер НДС"
"City","Город"
"State/Province","Область"
"Please select a region, state or province.","Пожалуйста, выберите регион, штат или провинцию."
"Zip/Postal Code","Почтовый индекс"
"Country","Страна"
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default shipping address."
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Сохранить адрес"
"Go back","Назад"
"Please enter your email below and we will send you the confirmation link.","Пожалуйста, введите свой адрес электронной почты ниже и мы вышлем вам ссылку для подтверждения."
"Email","Электронная почта"
"Send confirmation link","Отправить ссылку для подтверждения"
"Back to Sign In","Вернуться к войти в систему"
"Change Email","Сменить имейл"
"Change Email and Password","Изменить адрес электронной почты и пароль"
"Current Password","Tекущий пароль"
"New Password","Новый пароль"
"Password Strength","Надежность Пароля"
"No Password","Без пароля"
"Confirm New Password","Введите пароль ещё раз"
"Save","Сохранить"
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
"Reset My Password","Reset My Password"
"Registered Customers","Зарегистрированные клиенты"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
"Password","Пароль"
"Forgot Your Password?","Забыли Ваш пароль?"
"Subscription option","Subscription option"
"General Subscription","General Subscription"
"Sign Up for Newsletter","Подписаться на новости"
"Address Information","Информация об адресе"
"Sign-in Information","Sign-in Information"
"Confirm Password","Подтверждение пароля"
"Create an Account","Создать учетную запись"
"Set a New Password","Введите новый пароль"
"You have signed out and will go to our homepage in 5 seconds.","You have signed out and will go to our homepage in 5 seconds."
"New Customers","Новый клиент"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creating an account has many benefits: check out faster, keep more than one address, track orders and more."
"Company","Компания"
"Fax","Факс"
"Gender","Пол"
"Name","Название"
"Tax/VAT number","Номер НДС/Налога"
"Phone Number","Номер телефона"
"Welcome to %store_name","Добро пожаловать в %store_name"
"%name,","%name,"
"Welcome to %store_name.","Добро пожаловать на %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Для входа на наш сайт, используйте эти учетные данные во время проверки или на странице Мой аккаунт</a> <a href=""%customer_url"">:"
"Email:","Электронная почта:"
"Password:","Пароль:"
"Password you set when creating account","Пароль, заданный при создании учетной записи"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Забыл пароль учетной записи? Нажмите <a href=""%reset_url""> здесь</a>, чтобы сбросить его."
"When you sign in to your account, you will be able to:","Когда вы войдёте в свой аккаунт, вы будет иметь возможность:"
"Proceed through checkout faster","Пройти через проверку быстрее"
"Check the status of orders","Проверить статус заказов"
"View past orders","Просмотр предыдущих заказов"
"Store alternative addresses (for shipping to multiple family members and friends)","Store alternative addresses (for shipping to multiple family members and friends)"
"Please confirm your %store_name account","Please confirm your %store_name account"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","You must confirm your %customer_email email before you can sign in (link is only valid once):"
"Confirm Your Account","Подтвердите учетную запись"
"Thank you for confirming your %store_name account.","Thank you for confirming your %store_name account."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","Your %store_name email has been changed"
"Hello,","Привет,"
"We have received a request to change the following information associated with your account at %store_name: email.","We have received a request to change the following information associated with your account at %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Спасибо,<br>%store_name"
"Your %store_name email and password has been changed","Your %store_name email and password has been changed"
"We have received a request to change the following information associated with your account at %store_name: email, password.","We have received a request to change the following information associated with your account at %store_name: email, password."
"Reset your %store_name password","Reset your %store_name password"
"There was recently a request to change the password for your account.","There was recently a request to change the password for your account."
"If you requested this change, set a new password here:","If you requested this change, set a new password here:"
"If you did not make this request, you can ignore this email and your password will remain the same.","If you did not make this request, you can ignore this email and your password will remain the same."
"Your %store_name password has been changed","Your %store_name password has been changed"
"We have received a request to change the following information associated with your account at %store_name: password.","We have received a request to change the following information associated with your account at %store_name: password."
"Checkout as a new customer","Оформить заказ как новый клиент"
"Creating an account has many benefits:","Создание учетной записи имеет множество плюсов:"
"See order and shipping status","Смотрите доставку и ее статус"
"Track order history","Отследить историю заказов"
"Check out faster","Check out faster"
"Checkout using your account","Checkout using your account"
"Email Address","Адрес электронной почты"
"Are you sure you want to do this?","Вы уверены, что вы хотите это сделать?"
"Are you sure you want to delete this address?","Вы уверены, что хотите удалить этот адрес?"
"Weak","Слабый"
"Medium","Средний"
"Strong","Надежный"
"Very Strong","Очень надежный"
"Guest checkout is disabled.","Guest checkout is disabled."
"All Customers","Все покупатели"
"Now Online","Сейчас в сети"
"Customers Section","Раздел клиентов"
"Customer Configuration","Конфигурация клиента"
"Account Sharing Options","Параметры совместного доступа к учетной записи"
"Share Customer Accounts","Share Customer Accounts"
"Create New Account Options","Создание новых параметров учетной записи"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Расчет налога основан на"
"Default Group","Группы по умолчанию"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон E-mail выбран на основе темы резервного варианта при выборе параметра «По умолчанию»."
"Default Welcome Email Without Password","Default Welcome Email Without Password"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Это письмо будет отправлено вместо приветственной электронной почты по умолчанию, если клиент был создан без пароля. <br /><br /> 
						Шаблон электронной почты, выбранный на основе резервной копии темы, когда выбрана опция «По умолчанию»."
"Email Sender","Отправитель электронной почты"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Письмо Приветствия"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Это электронное письмо будет отправлено вместо приветственной электронной почты по умолчанию после подтверждения учетной записи. <br /><br />
						Шаблон электронной почты, выбранный на основе резервной копии темы, когда выбрана опция «По умолчанию»."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Параметры пароля"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Восстановление срока действия ссылки (в часах)"
"Please enter a number 1 or greater in this field.","Пожалуйста, введите число 1 и больше."
"Number of Required Character Classes","Number of Required Character Classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
"Minimum Password Length","Минимальная длина пароля"
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"Use 0 to disable account locking.","Use 0 to disable account locking."
"Lockout Time (minutes)","Lockout Time (minutes)"
"Enable Autocomplete on login/forgot password forms","Enable Autocomplete on login/forgot password forms"
"Account Information Options","Account Information Options"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Change Email and Password Template"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Отображать префиксы"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Всегда необязательно."
"Show Suffix","Показать суффикс"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Show Date of Birth"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show Gender","Показывать пол"
"Show Telephone","Показывать номер телефона"
"Show Company","Показывать компанию"
"Show Fax","Показывать факс"
"Login Options","Параметры входа"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","Уведомления для покупателя"
"Assign a Customer Group","Assign a Customer Group"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Customer Grid"
"Rebuild Customer grid index","Rebuild Customer grid index"
"Group","Группа"
"Add New Customer","Добавление нового клиента"
"Are you sure to delete selected customers?","Are you sure to delete selected customers?"
"Delete items","Удаление объектов"
"Subscribe to Newsletter","Подписаться на рассылку"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Unsubscribe from Newsletter","Unsubscribe from Newsletter"
"Phone","Номер телефона"
"ZIP","Индекс"
"Customer Since","Клиент с"
"Confirmed email","Подтвержденный email"
"Account Created in","Учетная запись, созданная в"
"Tax VAT Number","Номер НДС/Налога"
"Billing Firstname","Billing Firstname"
"Billing Lastname","Billing Lastname"
"Account Lock","Блокировка учетной записи"
"First Name","Имя"
"Last Name","Фамилия"
"Last Activity","Последняя активность"
"Type","Тип"
"Customer Information","Информация клиента"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
"Disable Automatic Group Change Based on VAT ID","Disable Automatic Group Change Based on VAT ID"
"Send Welcome Email From","Send Welcome Email From"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
"Addresses","Адреса"
"Account Dashboard","Панель управления"
"Edit Account Information","Изменить сведения об учетной записи"
"Password forgotten","Пароль забыт"
"My Dashboard","My Dashboard"
