"Sign Out","خروج"
"Group Information","اطلاعات گروه"
"Group Name","نام گروه"
"Maximum length must be less then %1 characters.","حداکثر طول باید کمتر از%1 کاراکتر باشد."
"Tax Class","کلاس مالیاتی"
"The customer is now assigned to Customer Group %s.","این مشتری در حال حاضر به گروه %s تعلق دارد."
"Would you like to change the Customer Group for this order?","آیا می خواهید برای این سفارش گروه مشتری را تغییر دهید؟"
"The VAT ID is valid.","شناسه مالیات بر ارزش افزوده معتبر است."
"The VAT ID entered (%s) is not a valid VAT ID.","شناسه ماليات وارد شده (%s) نامعتبر است."
"The VAT ID is valid. The current Customer Group will be used.","شناسه مالياتی معتبر است. گروه مشتری فعلی مورد استفاده قرار خواهد گرفت."
"The VAT ID is valid but no Customer Group is assigned for it.","شناسه مالیات بر ارزش افزوده معتبر است، اما هیچ گروه مشتری برای آن تعریف نشده است."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","بر اساس شناسه مالیات بر ارزش افزوده، این مشتری متعلق به گروه مشتری %s است."
"Something went wrong while validating the VAT ID.","هنگام تأیید شناسه مالیات بر ارزش افزوده، خطایی رخ داده است."
"The customer would belong to Customer Group %s.","مشتری به گروه مشتری %s تعلق دارد."
"There was an error detecting Customer Group.","خطایی در شناسایی گروه مشتری رخ داده است."
"Validate VAT Number","تأیید اعتبار شماره ماليات بر ارزش افزوده"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","تاریخ تولد"
"Bad request.","درخواست بد."
"This confirmation key is invalid or has expired.","این کلید تأیید نامعتبر است یا منقضی شده است."
"There was an error confirming the account","خطایی در تأیید حساب کاربری وجود داشته است"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","اگر شما یک مشتری مالیاتی ثبت شده هستید، لطفا برای وارد کردن آدرس ارسال خود جهت محاسبه مالیات بر ارزش افزوده <a href=""%1"">اینجا</a> را کلیک کنید."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","اگر شما یک مشتری مالیاتی ثبت شده هستید، لطفا برای وارد کردن آدرس صورتحساب خود جهت محاسبه مالیات بر ارزش افزوده <a href=""%1"">اینجا</a> را کلیک کنید."
"Thank you for registering with %1.","با تشکر از شما برای ثبت نام در %1."
"Please check your email for confirmation key.","لطفا برای مشاهده کلید تأییدیه، ایمیل خود را بررسی کنید."
"This email does not require confirmation.","این ایمیل نیازی به تأییدیه ندارد."
"Wrong email.","ایمیل اشتباه."
"Your password reset link has expired.","لینک بازیابی پسورد منقضی شده است"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","شما باید حساب کاربری خود را تأیید کنید. لطفا برای مشاهده لینک تأییدیه ایمیل خود را بررسی کنید و یا برای ایجاد یک لینک جدید <a href=""%1"">اینجا</a> کلیک کنید."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","در حال حاضر یک حساب کاربری با این آدرس ایمیل وجود دارد. اگر مطمئن هستید که این ایمیل متعلق به شماست، برای دریافت کلمه عبور و دسترسی به حساب خود <a href=""%1"">اینجا</a> کلیک کنید."
"We can't save the customer.","نمی‌توان مشتری را ذخیره کرد."
"Please make sure your passwords match.","لطفا مطمئن شوید با کلمات عبور شما مطابقت دارد."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","اگر شما یک مشتری مالیاتی ثبت شده هستید، لطفا برای وارد کردن آدرس ارسال خود جهت محاسبه مالیات بر ارزش افزوده <a href=""%1"">اینجا</a> را کلیک کنید."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","اگر شما یک مشتری مالیاتی ثبت شده هستید، لطفا برای وارد کردن آدرس صورتحساب خود جهت محاسبه مالیات بر ارزش افزوده <a href=""%1"">اینجا</a> را کلیک کنید."
"Account Information","اطلاعات حساب کاربری"
"You saved the account information.","اطلاعات حساب شما ذخیره شد."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","تأییدیه کلمه عبور با کلمه عبور وارد شده مطابقت ندارد."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","ما نمیتوانیم ایمیل بازنشانی رمز عبور را ارسال کنیم."
"Please enter your email.","لطفا ایمیل خود را وارد نمایید."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","اگر یک حساب کاربری مرتبط با %1 وجود داشته باشد، ایمیلی حاوی یک لینک برای تنظیم مجدد کلمه عبور خود دریافت خواهید کرد."
"My Account","حساب کاربری من"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","این حساب کاربری تأیید نشده است. برای ارسال مجدد ایمیل تأییدیه <a href=""%1"">اینجا</a> کلیک کنید."
"An unspecified error occurred. Please contact us for assistance.","یک خطای نامشخص رخ داده است. اگر به کمک نیاز دارید، با ما تماس بگیرید."
"A login and a password are required.","باید وارد شوید و به کلمه عبور نیاز دارید."
"New Password and Confirm New Password values didn't match.","کلمه عبور جدید و تکرار کلمه عبور مطابقت ندارند."
"Please enter a new password.","لطفا یک کلمه عبور جدید وارد کنید."
"You updated your password.","کلمه عبور خود را به روز کردید."
"Something went wrong while saving the new password.","هنگام ذخیره کلمه عبور جدید خطایی رخ داده است."
"You deleted the address.","آدرس را حذف کردید."
"We can't delete the address right now.","ما اکنون نمی توانیم آدرس را حذف کنیم."
"You saved the address.","آدرس را ذخیره کردید."
"We can't save the address.","ما نمی توانیم آدرس را ذخیره کنیم."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","شما علائم مشتری را لغو کرده اید."
"We can't find a customer to revoke.","ما نمیتوانیم مشتری را برای لغو پیدا کنیم."
"Something went wrong while saving file.","هنگام ذخیره فایل خطایی رخ داده است."
"You deleted the customer group.","شما گروه مشتری را حذف کردید."
"The customer group no longer exists.","گروه مشتری دیگر وجود ندارد."
"Customers","مشتریان"
"New Group","گروه جدید"
"New Customer Groups","گروه‌ های مشتری جدید"
"Edit Group","ویرایش گروه"
"Edit Customer Groups","ویرایش گروه‌ های مشتری"
"You saved the customer group.","گروه مشتری را ذخیره کرده اید."
"Please select customer(s).","لطفا مشتری (ها) را انتخاب نمایید."
"Customer could not be deleted.","مشتری نمی تواند حذف شود."
"You deleted the customer.","شما مشتری را حذف کردید."
"Something went wrong while editing the customer.","در هنگام ویرایش مشتری خطایی رخ داده است."
"Manage Customers","مدیریت مشتریان"
"Please correct the data sent.","لطفا داده های ارسال شده را اصلاح کنید."
"A total of %1 record(s) were updated.","%1 رکورد به روز رسانی شد."
"A total of %1 record(s) were deleted.","%1 رکورد حذف شد."
"The customer will receive an email with a link to reset password.","مشتری ایمیلی حاوی یک لینک برای تنظیم مجدد کلمه عبور دریافت خواهد کرد."
"Something went wrong while resetting customer password.","در هنگام تنظیم مجدد کلمه عبور مشتری خطایی رخ داده است."
"You saved the customer.","شما مشتری را ذخیره کرده اید."
"Something went wrong while saving the customer.","هنگام ذخیره کردن مشتری، خطایی رخ داد."
"Page not found.","صفحه یافت نشد."
"Customer has been unlocked successfully.","مشتری با موفقیت فعال شد."
"Online Customers","مشتریان آنلاین"
"Customers Now Online","مشتریان در حال حاضر آنلاین"
"Please define Wish List item ID.","لطفا شناسه موارد لیست علاقه مندی را تعریف کنید."
"Please load Wish List item.","لطفا موارد لیست علاقه مندی را بارگذاری کنید."
"Login successful.","با موفقیت وارد شدید."
"Invalid login or password.","ورود به سیستم و یا کلمه عبور نامعتبر است."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 گسترش نمیدهد \ Magento \ Customer \ CustomerData \ SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","حساب کاربری قفل شده است."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","لطفایک کلمه عبور با حداکثر %1 کاراکتر وارد کنید."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","حداقل کلاس های مختلف از کاراکترها در رمز عبور%1 است. کلاس هایی از کاراکترها: مورد پایین، مورد بالا، رقم، کاراکترهای خاص."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","این مشتری در حال حاضر در این فروشگاه وجود دارد."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","مقدار نامعتبر ""%value"" برای فیلد %fieldName ارائه شده است."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","تنظیم مجدد رمز عبور منقضی شده است."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" یک مقدار الزامی است."
"Global","سراسری"
"Per Website","در هر وب سایت"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","ما نمی توانیم حساب های مشتریان را در سطح جهانی به اشتراک بگذاریم، زمانی که حساب ها و آدرس ایمیل های یکسان در بیش از یک وب سایت داشته باشند."
"Billing Address","آدرس صورتحساب"
"Shipping Address","آدرس ارسال"
"-- Please Select --","-- لطفا انتخاب کنيد --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","مدير"
"ALL GROUPS","همه‌ گروه‌ ها"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","این ورودی وجود ندارد %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","فایل را نمی توان در پوشه مقصد ذخیره کرد."
"Unable to create directory %1.","ایجاد پوشه %1 امکان پذیر نیست."
"Destination folder is not writable or does not exists.","پوشه مقصد قابل ویرایش نیست و یا وجود ندارد."
"Something went wrong while saving the file.","هنگام ذخیره کردن پرونده، خطایی رخ داد."
"Attribute object is undefined","ویژگی تعريف نشده است"
"""%1"" invalid type entered.","""%1"" نوع نامعتبر وارد شده است."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" حاوی کاراکترهای غیر الفبایی یا غیر عددی است."
"""%1"" is an empty string.","""%1"" یک رشته خالی است."
"""%1"" contains non-numeric characters.","""%1"" شامل کاراکترهای غیر عددی است."
"""%1"" contains non-alphabetic characters.","""%1"" شامل کاراکتر های غیر الفبایی می باشد."
"""%1"" is not a valid email address.","""%1"" یک آدرس ایمیل معتبر نیست."
"""%1"" is not a valid hostname.","""%1"" یک نام هاست معتبر نیست."
"""%1"" uses too many characters.","""%1"" از تعداد زیادی کاراکتر استفاده می کند."
"'%value%' looks like an IP address, which is not an acceptable format.","به نظر می رسد '%value%' یک آدرس IP است، که یک فرمت قابل قبول نیست."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","به نظر می رسد '%value%' یک نام هاست DNS است، اما حاوی یک خط تیره در موقعیتی نادرست است."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","به نظر می رسد '%value%' نام یک هاست DNS است، اما ما نمی توانیم آن را با طرح نام هاست برای TLD '%tld%'مطابقت دهیم."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","به نظر می رسد '%value%' نام یک هاست DNS است ولی نمی تواند بخش TLD را استخراج کند."
"'%value%' does not look like a valid local network name.","'%value%' مانند یک نام شبکه محلی معتبر نیست."
"'%value%' looks like a local network name, which is not an acceptable format.","به نظر می رسد '%value%' نام یک شبکه محلی است، که یک فرمت قابل قبول نیست."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' ظاهرا یک نام هاست DNS است، اما علامت punycode داده شده قابل رمزگشایی نیست."
"""%1"" is not a valid URL.","""%1"" یک URL معتبر نیست."
"""%1"" is not a valid date.","""%1"" یک تاریخ معتبر نیست."
"""%1"" does not fit the entered date format.","""%1"" متناسب با فرمت تاریخ وارد شده نیست."
"Please enter a valid date between %1 and %2 at %3.","لطفا یک تاریخ معتبر بین %1 و %2 را در %3 وارد کنید."
"Please enter a valid date equal to or greater than %1 at %2.","لطفا یک تاریخ معتبر برابر یا بیشتر از %1 را در %2 وارد کنید."
"Please enter a valid date less than or equal to %1 at %2.","لطفا یک تاریخ معتبر که کمتر یا برابر %1 باشد را در %2 وارد کنید."
"""%1"" is not a valid file extension.","""%1"" یک فرمت فایل معتبر نیست."
"""%1"" is not a valid file.","""%1"" یک فایل معتبر نیست."
"""%1"" exceeds the allowed file size.","""%1"" بیش از اندازه مجاز فایل است."
"""%1"" is not a valid image format.","فرمت تصویر ""%1"" معتبر نیست."
"""%1"" width exceeds allowed value of %2 px.","عرض ""%1"" بیش از مقدار مجاز %2 پیکسل است."
"""%1"" height exceeds allowed value of %2 px.","ارتفاع ""%1"" بیش از مقدار مجاز %2 پیکسل است."
"""%1"" length must be equal or greater than %2 characters.","طول ""%1"" باید برابر یا بیشتر از %2 کاراکتر باشد."
"""%1"" length must be equal or less than %2 characters.","طول ""%1"" باید برابر یا کمتر از %2 کاراکتر باشد."
"label","برچسب"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","گروه مشتری"
"You can't delete group ""%1"".","شما نمی توانید گروه ""%1"" را حذف کنید."
"Customer Group already exists.","گروه مشتری در حال حاضر وجود دارد."
"Cannot delete group.","گروه را نمی توان حذف کرد."
"Error during VAT Number verification.","خطا در تأیید شماره مالیات بر ارزش افزوده."
"PHP SOAP extension is required.","فرمت PHP SOAP مورد نیاز است."
"VAT Number is valid.","شماره مالیات بر ارزش افزوده معتبر است."
"Please enter a valid VAT number.","لطفا یک شماره مالیات بر ارزش افزوده معتبر وارد کنید."
"Your VAT ID was successfully validated.","شناسه ماليات شما با موفقيت مورد تأييد قرار گرفت."
"You will be charged tax.","ماليات شما شارژ خواهد شد."
"You will not be charged tax.","شما مالیات نخواهید داشت."
"The VAT ID entered (%1) is not a valid VAT ID.","شناسه مالیات بر ارزش افزوده وارد شده (%1) معتبر نیست."
"Your Tax ID cannot be validated.","شناسه مالياتی شما نمي تواند تأیید اعتبار شود."
"If you believe this is an error, please contact us at %1","اگر فکر می کنید این یک خطا است، لطفا با ما تماس بگیرید %1"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue وجود ندارد"
"Male","مرد"
"Female","زن"
"Not Specified","نامشخص"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","ورودی استثنا"
"Exception message","پیغام استثنا"
"Validator Exception","اعتبار سنج استثنا"
"Localized Exception","استثناء محلی"
"some error","چند خطا"
"frontend_label","frontend_label"
"NOT LOGGED IN","وارد نشده اید"
"Please enter the state/province.","لطفا استان / شهرستان را وارد كنيد."
"region is a required field.","منطقه فیلد الزامی می باشد."
"regionId is a required field.","regionId is a required field."
"Label","برچسب"
"Select...","انتخاب..."
"Edit","ويرايش"
"Visitor","بازدید کننده"
"Customer","مشتری"
"No item specified.","هیچ محصولی مشخص نشده است."
"Are you sure you want to remove this item?","آیا مطمئن هستید که می خواهید این مورد را حذف کنید?"
"Personal Information","اطلاعات شخصی"
"Last Logged In:","آخرین ورود:"
"Last Logged In (%1):","آخرین ورود (%1):"
"Account Lock:","قفل حساب:"
"Confirmed email:","ایمیل تأیید شده:"
"Account Created:","حساب کاربری ایجاد شد:"
"Account Created on (%1):","حساب کاربری ایجاد شده در (%1):"
"Account Created in:","حساب کاربری ایجاد شده در:"
"Customer Group:","گروه مشتری:"
"Default Billing Address","آدرس صورتحساب پیش فرض"
"Sales Statistics","آمار فروش‌ها"
"Web Site","وب سایت"
"Store","فروشگاه"
"Store View","نمای فروشگاه"
"Lifetime Sales","تمام فروش‌ ها تاکنون"
"Average Sale","میانگین فروش"
"All Store Views","همه‌ی نماهای فروشگاه"
"Change","تغییر"
"Manage Addresses","مدیریت آدرس‌ ها"
"Default Shipping Address","آدرس ارسال پیش فرض"
"Contact Information","اطلاعات تماس"
"Change Password","تغییر کلمه عبور"
"Newsletters","خبرنامه‌ ها"
"You are subscribed to ""General Subscription"".","شما در ""عضویت عمومی"" عضو شده اید."
"or","یا"
"Default Addresses","آدرس‌ های پیش فرض"
"Change Billing Address","تغییر آدرس صورتحساب"
"You have no default billing address in your address book.","شما آدرس صورتحساب پیش فرضی در دفترچه آدرستان ندارید."
"Change Shipping Address","تغییر آدرس ارسال"
"You have no default shipping address in your address book.","شما آدرس ارسال پیش فرضی در دفترچه آدرستان ندارید."
"Additional Address Entries","ورودی های آدرس اضافی"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","شما هیچ نشانی دیگری در دفترچه آدرس خود ندارید."
"* Required Fields","* زمينه هاي مورد نياز"
"Address","آدرس"
"Street Address","خیابان"
"Street Address %1","خیابان %1"
"VAT Number","شماره مالیات بر ارزش افزوده"
"City","شهر"
"State/Province","استان / شهرستان"
"Please select a region, state or province.","لطفا یک منطقه، استان یا شهرستان انتخاب کنید."
"Zip/Postal Code","کد پستی"
"Country","كشور"
"It's a default billing address.","این یک آدرس صورتحساب پیش فرض است."
"Use as my default billing address","استفاده به عنوان آدرس صورتحساب پیش فرض"
"It's a default shipping address.","این یک آدرس ارسال پیش فرض است."
"Use as my default shipping address","استفاده به عنوان آدرس ارسال پیش فرض‌"
"Save Address","ذخیره‌ آدرس"
"Go back","بازگشت"
"Please enter your email below and we will send you the confirmation link.","لطفا ایمیل خود را در زیر وارد کنید. لینک تأیید برای شما ارسال خواهد شد."
"Email","ايميل"
"Send confirmation link","ارسال لینک تأیید"
"Back to Sign In","بازگشت به ورود به سیستم"
"Change Email","تعویض ایمیل"
"Change Email and Password","تغییر ایمیل و کلمه عبور"
"Current Password","کلمه عبور فعلی"
"New Password","کلمه عبور جدید"
"Password Strength","قدرت کلمه عبور"
"No Password","بدون کلمه عبور"
"Confirm New Password","تأیید کلمه عبور جدید"
"Save","ذخيره"
"Please enter your email address below to receive a password reset link.","لطفا آدرس ایمیل خود را در زیر وارد کنید تا لینک تنظیم مجدد کلمه عبور را دریافت کنید."
"Reset My Password","تنظیم مجدد کلمه عبور"
"Registered Customers","مشتریان ثبت نام شده"
"If you have an account, sign in with your email address.","اگر حساب کاربری دارید، با آدرس ایمیل خود وارد شوید."
"Password","کلمه عبور"
"Forgot Your Password?","کلمه عبور خود را فراموش کرده اید؟"
"Subscription option","گزینه عضویت"
"General Subscription","عضویت عمومی"
"Sign Up for Newsletter","ثبت نام برای خبرنامه"
"Address Information","اطلاعات آدرس"
"Sign-in Information","اطلاعات ورود"
"Confirm Password","تأیید کلمه عبور"
"Create an Account","ایجاد حساب کاربری"
"Set a New Password","انتخاب یک کلمه عبور جدید"
"You have signed out and will go to our homepage in 5 seconds.","شما خارج شده‌ اید و ظرف مدت 5 ثانیه دوباره به صفحه‌ی اصلی ما هدایت خواهید شد."
"New Customers","مشتریان جدید"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","مزایای ایجاد حساب کاربری: سریعتر پرداخت کنید، بیش از یک آدرس ثبت کنید، سفارشاتتان را پیگیری کنید و..."
"Company","شركت"
"Fax","فكس"
"Gender","جنسیت"
"Name","نام"
"Tax/VAT number","Tax/VAT number"
"Phone Number","شماره تلفن"
"Welcome to %store_name","به %store_name خوش آمدید"
"%name,","%name"
"Welcome to %store_name.","به %store_name خوش آمدید."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","برای ورود به سایت از این مشخصات برای احراز هویت در قسمت پرداخت نهایی یا صفحه <a href=""%customer_url"">حساب کاربری</a> استفاده کنید:"
"Email:","ایمیل:"
"Password:","کلمه عبور:"
"Password you set when creating account","کلمه عبوری که هنگام ایجاد حساب کاربری تعیین کردید"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","کلمه عبور حساب کاربری خود را فراموش کرده اید؟ را برای تنظیم مجدد آن <a href=""٪reset_url""> اینجا </a> کلیک کنید."
"When you sign in to your account, you will be able to:","وقتی وارد حساب کاربری خود شدید، می توانید:"
"Proceed through checkout faster","سریع تر پرداخت کنید"
"Check the status of orders","وضعیت سفارشات را بررسی کنید"
"View past orders","مشاهده سفارشات قبلی"
"Store alternative addresses (for shipping to multiple family members and friends)","آدرس های جایگزین فروشگاه (برای ارسال به اعضای خانواده و دوستان)"
"Please confirm your %store_name account","لطفا حساب کاربری %store_name خود را تأیید کنید"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","قبل از اینکه بتوانید وارد سیستم شوید، باید ایمیل %customer_email خود را تأیید کنید (این لینک فقط برای یک بار معتبر است):"
"Confirm Your Account","حساب کاربری خود را تأیید کنید"
"Thank you for confirming your %store_name account.","با تشکر از شما برای تأیید حساب کاربری %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","برای ورود به سایت و تنظیم یک کلمه عبور، بر روی این <a href=""%create_password_url"">لینک</a> کلیک کنید:"
"Your %store_name email has been changed","ایمیل %store_name شما تغییر کرده است"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","ما درخواستی برای تغییر اطلاعات مرتبط با حساب کاربری شما در ایمیل %store_name: دریافت کرده ایم."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","اگر این عمل را تأیید نکردید، لطفا بلافاصله با ما تماس بگیرید <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","ایمیل و کلمه عبور %store_name شما تغییر کرده است"
"We have received a request to change the following information associated with your account at %store_name: email, password.","ما درخواستی برای تغییر اطلاعات مرتبط با حساب کاربری شما در %store_name: برای ایمیل و کلمه عبور دریافت کرده ایم."
"Reset your %store_name password","کلمه عبور %store_name را مجددا تنظیم کنید"
"There was recently a request to change the password for your account.","اخیرا یک درخواست تغییر کلمه عبور برای حساب کاربری شما دریافت شده است."
"If you requested this change, set a new password here:","اگر مایل به تغییر هستید، یک کلمه عبور جدید در اینجا تنظیم کنید:"
"If you did not make this request, you can ignore this email and your password will remain the same.","اگر این درخواست شما نبوده است، می توانید این ایمیل را نادیده بگیرید و کلمه عبور شما تغییر نخواهد کرد."
"Your %store_name password has been changed","کلمه عبور %store_name شما تغییر کرده است"
"We have received a request to change the following information associated with your account at %store_name: password.","ما درخواستی برای تغییر اطلاعات مرتبط با حساب کاربری شما در %store_name: برای کلمه عبور دریافت کرده ایم."
"Checkout as a new customer","پرداخت نهایی به عنوان یک مشتری جدید"
"Creating an account has many benefits:","مزایای ایجاد یک حساب کاربری:"
"See order and shipping status","مشاهده وضعیت سفارش و ارسال"
"Track order history","پیگیری تاریخچه سفارش"
"Check out faster","پرداخت سریع"
"Checkout using your account","پرداخت نهایی با استفاده از حساب کاربری"
"Email Address","آدرس ايمميل"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Are you sure you want to delete this address?","آیا مطمئن هستید که میخواهید این آدرس را حذف کنید؟"
"Weak","ضعیف"
"Medium","متوسط"
"Strong","قوی"
"Very Strong","بسیار قوی"
"Guest checkout is disabled.","پرداخت مهمان غیرفعال است."
"All Customers","تمام مشتریان"
"Now Online","در حال حاضر آنلاین"
"Customers Section","بخش مشتریان"
"Customer Configuration","تنظیمات مشتری"
"Account Sharing Options","گزینه‌ های سهم بندی حساب کاربری"
"Share Customer Accounts","تسهیم حساب‌ های کاربری مشتری"
"Create New Account Options","گزینه‌ های ایجاد حساب کاربری جدید"
"Enable Automatic Assignment to Customer Group","فعالسازی انتساب اتوماتيك به گروه مشتری"
"Tax Calculation Based On","محاسبه مالیات بر اساس"
"Default Group","گروه پیش فرض"
"Group for Valid VAT ID - Domestic","گروه برای شناسه مالياتی معتبر - داخلی"
"Group for Valid VAT ID - Intra-Union","گروه برای شناسه مالياتی معتبر - داخل صنفی"
