"Sign Out","サインアウト"
"Password confirmation doesn't match entered password.","パスワードの確認が入力されたパスワードと一致しません。"
"The password doesn't match this account.","パスワードはこのアカウントとマッチしません。"
"Please correct the email address.","Eメールアドレスを修正してください"
"We're unable to send the password reset email.","パスワードリセットEメールが送信できません。"
"Please enter your email.","メールアドレスを入力してください。"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","%1と関連するアカウントがあれば、あなたのパスワードをリセットするためのリンクが添付されたEメールが届きます。"
"My Account","マイアカウント"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","このアカウントは確認できません。 <a href=""%1"">ここをクリック</a>して確認メールを再送してください。"
"An unspecified error occurred. Please contact us for assistance.","エラーが発生しました。管理者にお問い合わせください。"
"A login and a password are required.","ログインとパスワードは必須です。"
"New Password and Confirm New Password values didn't match.","新しいパスワードと確認パスワードが合致しませんでした"
"Please enter a new password.","新しいパスワードを入力してください。"
"You updated your password.","パスワードを更新しました。"
"Something went wrong while saving the new password.","新しいパスワードを保存中に問題が発生しました。"
"You deleted the address.","住所を削除しました。"
"We can't delete the address right now.","住所を現在削除できません"
"You saved the address.","住所を保存しました。"
"We can't save the address.","住所を保存できませんでした。"
"No customer ID defined.","顧客IDが定義されていません"
"Please correct the quote items and try again.","クオート商品を修正して再度試して下さい。"
"You have revoked the customer's tokens.","カスタマートークンを剥奪しました。"
"We can't find a customer to revoke.","排除する顧客を見つけれませんでした"
"Something went wrong while saving file.","ファイルの保存中に何か問題が発生しました。"
"You deleted the customer group.","顧客グループを削除しました。"
"The customer group no longer exists.","この顧客グループは存在しません"
"Customers","顧客"
"New Group","新規グループ"
"New Customer Groups","新規顧客グループ"
"Edit Group","グループの編集"
"Edit Customer Groups","顧客グループを編集"
"You saved the customer group.","顧客グループを保存しました。"
"Please select customer(s).","顧客を選択してください。"
"Customer could not be deleted.","顧客は削除できませんでした。"
"You deleted the customer.","顧客を削除しました。"
"Something went wrong while editing the customer.","顧客の編集中に問題が発生しました。"
"Manage Customers","顧客管理"
"Please correct the data sent.","送信データを修正してください。"
"A total of %1 record(s) were updated.","合計 %1 のレコードがアップデートされました。"
"A total of %1 record(s) were deleted.","合計 %1のレコードが削除されました。"
"The customer will receive an email with a link to reset password.","顧客にはパスワードをリセットするリンク付きのEメールが送られます。"
"Something went wrong while resetting customer password.","顧客パスワードリセット中に問題が発生しました。"
"You saved the customer.","顧客を保存しました"
"Something went wrong while saving the customer.","顧客保存中に問題が発生しました。"
"Page not found.","ページが見つかりません。"
"Customer has been unlocked successfully.","顧客のロックが解除されました。"
"Online Customers","接続中の顧客"
"Customers Now Online","現在オンラインの顧客"
"Please define Wish List item ID.","ほしい物リストのアイテムIDを定義してください"
"Please load Wish List item.","ほしい物リストアイテムをロードしてください"
"Login successful.","ログインに成功しました"
"Invalid login or password.","ログイン名かパスワードが違います。"
"""%1"" section source is not supported","""%1""セクションソースがサポートされていません"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 は \Magento\Customer\CustomerData\SectionSourceInterface　を展開しません。"
"No confirmation needed.","確認の必要がありません"
"Account already active","アカウントはすでにアクティブです。"
"Invalid confirmation token","不正な確認トークン"
"The account is locked.","アカウントはロックされています。"
"This account is not confirmed.","このアカウントは認証されていません。"
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","%fieldNameフィールドに指定された ""%value"" の値が無効です。可能な値: %template1 または %template2"
"Please enter a password with at most %1 characters.","%1 文字以下のパスワードを入力してください。"
"Please enter a password with at least %1 characters.","少なくとも%1文字のパスワードを入力してください。"
"The password can't begin or end with a space.","パスワードの始まりと終わりはスペースであってはなりません。"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","パスワードには最低でも %1種類の文字を含めてください。文字の種類は次のとおりです: 小文字, 大文字, 数字, 記号"
"Password cannot be the same as email address.","パスワードはメールアドレスと同じにすることはできません"
"This customer already exists in this store.","この顧客はすでにストア内で存在します。"
"A customer with the same email already exists in an associated website.","顧客と同じE-メールがすでに関連するウェブサイトに存在します。"
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldNameフィールドに指定された ""%value"" の値が無効です。"
"%fieldName is a required field.","%fieldNameは必須フィールドです。"
"Reset password token mismatch.","リセットパスワードトークンが合致しません"
"Reset password token expired.","リセットパスワードトークンが期限切れです"
"Please correct the transactional account email type.","トランザクションアカウントのEメールタイプを修正してください。"
"""%1"" is a required value.","""%1""は必要な値です。"
"Global","グローバル"
"Per Website","ウェブサイトごと"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","アカウント達が同一のEメールアドレスを1つ以上のウェブサイトでシェアする時には顧客アカウントをグローバルにシェアすることはできません。"
"Billing Address","請求先住所"
"Shipping Address","お届け先住所"
"-- Please Select --","-- 選択してください --"
"Please enter a valid password reset token.","有効なパスワードのリセットトークンを入力してください。"
"The password can not begin or end with a space.","パスワードの始まりと終わりはスペースにはできません"
"Admin","管理者"
"ALL GROUPS","全てのグループ"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","そのようなエンティティはありません %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","ファイルを保存先フォルダに保存することはできません。"
"Unable to create directory %1.","ディレクトリ %1 を作成できません。"
"Destination folder is not writable or does not exists.","宛先フォルダが書き込み可能でないか、存在しません。"
"Something went wrong while saving the file.","ファイルの保存中に何か問題が発生しました。"
"Attribute object is undefined","属性オブジェクトが未定義です"
"""%1"" invalid type entered.","""%1""不正なタイプが入力された"
"""%1"" contains non-alphabetic or non-numeric characters.","""%1""はアルファベットでも数字でもない字を含んでいます"
"""%1"" is an empty string.","""%1""は空の文字列"
"""%1"" contains non-numeric characters.","""%1""は数字でないキャラクターを含んでいます"
"""%1"" contains non-alphabetic characters.","""%1""はアルファベットでないキャラクターを含んでいます"
"""%1"" is not a valid email address.","%1""""は正しいメールアドレスではありません"
"""%1"" is not a valid hostname.","""%1"" は有効なホストネームではない"
"""%1"" uses too many characters.","""%1"" は文字数が多すぎです"
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%'はIPアドレスのようですが適切なフォーマットではありません"
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%'はDNSホストネームのようですがダッシュが不正な位置にあります"
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' はDNSホストネームのようですがTLD '%tld%'のホストネームスキーマにマッチできません"
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%'はDNSホストネームのようですがTLD部分を抽出できません"
"'%value%' does not look like a valid local network name.","'%value%'は有効なローカルネットワーク名ではありません"
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' はローカルホストネームのようですが受けれられるフォーマットではありません。"
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' はDNSホストネームのようですが渡されたピューニーノーテーションは解読できません。"
"""%1"" is not a valid URL.","""%1""は有効なURLではありません"
"""%1"" is not a valid date.","""%1""は有効な日付ではありません"
"""%1"" does not fit the entered date format.","""%1""は入力された日付のフォーマットに合致しません"
"Please enter a valid date between %1 and %2 at %3.","有効な日付を%3に%1から%2の間で入力してください"
"Please enter a valid date equal to or greater than %1 at %2.","%2に有効な日付を%1と同じか以降で入力してください"
"Please enter a valid date less than or equal to %1 at %2.","%2に有効な日付を%1と同じか以前で入力してください"
"""%1"" is not a valid file extension.","""%1""は有効なファイル拡張子ではありません"
"""%1"" is not a valid file.","""%1""は有効なファイルではありません"
"""%1"" exceeds the allowed file size.","""%1""は与えられたファイルのサイズを超えています"
"""%1"" is not a valid image format.","""%1""は有効なイメージのフォーマットではありません"
"""%1"" width exceeds allowed value of %2 px.","""%1""幅は与えられた値を%2 px超えています"
"""%1"" height exceeds allowed value of %2 px.","""%1""高さは与えられた値を%2 px超えています"
"""%1"" length must be equal or greater than %2 characters.","""%1""の長さは%2 文字数と同じかそれ以上でなければなりません"
"""%1"" length must be equal or less than %2 characters.","""%1""の長さは%2文字数と同じかそれ以下でなければなりません"
"label","ラベル"
"Please enter a customer email.","顧客Eメールを入力してください。"
"A customer website ID must be specified when using the website scope.","ウェブサイトスコープを使用する時、顧客ウェブサイトIDは指定されなければなりません。"
"Customer Group","顧客グループ"
"You can't delete group ""%1"".","グループ""%1""は削除できません。"
"Customer Group already exists.","顧客グループは既に存在します"
"Cannot delete group.","グループを削除できない"
"Error during VAT Number verification.","VATナンバー認証中にエラー発生"
"PHP SOAP extension is required.","PHP SOAPエクステンションが必要です。"
"VAT Number is valid.","VATナンバーは有効です。"
"Please enter a valid VAT number.","有効なVATナンバーを入力してください。"
"Your VAT ID was successfully validated.","VAT IDは問題なく認証されました。"
"You will be charged tax.","税が加算されます。"
"You will not be charged tax.","税が加算されません。"
"The VAT ID entered (%1) is not a valid VAT ID.","入力されたVAT ID(%1)は有効なVAT IDではありません。"
"Your Tax ID cannot be validated.","税IDは承認できません。"
"If you believe this is an error, please contact us at %1","エラーであれば、%1で我々に連絡願います。"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValueのエンティティはありません"
"Male","男性"
"Female","女性"
"Not Specified","未指定"
"Thank you for registering with","登録ありがとうございます"
"enter your billing address for proper VAT calculation","正しいVAT計算のために請求住所を入力してください"
"enter your shipping address for proper VAT calculation","正しいVAT計算のために送付住所を入力してください"
"Please enter new password.","新しいパスワードを入力してください。"
"message","メッセージ"
"NoSuchEntityException","NoSuchEntityException"
"Exception","例外"
"InputException.","InputException."
"InputException","InputException"
"Exception message","例外メッセージ"
"Validator Exception","認証例外"
"Localized Exception","ローカライズ例外"
"some error","なんらかのエラー"
"frontend_label","frontend_label"
"NOT LOGGED IN","ログインしていません"
"Please enter the state/province.","都道府県を入力してください。"
"region is a required field.","地域は必須項目です。"
"regionId is a required field.","地域IDは必須項目です。"
"Label","ラベル"
"Select...","選択..."
"Edit","編集"
"Visitor","訪問者"
"Customer","顧客"
"No item specified.","アイテムが指定されていません。"
"Are you sure you want to remove this item?","このアイテムを削除してもよろしいですか？"
"Personal Information","個人情報"
"Last Logged In:","最終ログイン日:"
"Last Logged In (%1):","前回ログイン(%1):"
"Account Lock:","アカウントロック:"
"Confirmed email:","確認メール:"
"Account Created:","アカウント作成:"
"Account Created on (%1):","作成されたアカウント（%1）："
"Account Created in:","作成されたアカウント:"
"Customer Group:","顧客グループ:"
"Default Billing Address","標準ご連絡先住所"
"Sales Statistics","売上情報"
"Web Site","ウェブサイト"
"Store","店舗"
"Store View","ストアビュー"
"Lifetime Sales","セール期間"
"Average Sale","平均売上"
"All Store Views","全てのストアビュー"
"Change","変更"
"Manage Addresses","住所管理"
"Default Shipping Address","標準配送先住所"
"Contact Information","連絡先情報"
"Change Password","パスワード変更"
"Newsletters","ニュースレター"
"You are subscribed to ""General Subscription""."," ""全般購読""を購読しています。"
"or","または"
"Default Addresses","標準住所"
"Change Billing Address","ご連絡先住所変更"
"You have no default billing address in your address book.","標準のご連絡先住所がアドレス帳にありません。"
"Change Shipping Address","配送先住所変更"
"You have no default shipping address in your address book.","標準の配送先がアドレス帳にありません。"
"Additional Address Entries","追加住所情報"
"Delete Address","住所を削除"
"You have no other address entries in your address book.","住所一覧に他の住所のエントリーがありません。"
"* Required Fields","* 必須項目"
"Address","住所"
"Street Address","住所"
"Street Address %1","番地 %1"
"VAT Number","VAT番号"
"City","市区町村"
"State/Province","都道府県"
"Please select a region, state or province.","都道府県を選択してください"
"Zip/Postal Code","郵便番号"
"Country","国"
"It's a default billing address.","標準の請求先"
"Use as my default billing address","標準ご連絡先住所として使用する"
"It's a default shipping address.","標準の配送先"
"Use as my default shipping address","標準の配送先として使用する"
"Save Address","住所を保存"
"Go back","戻る"
"Please enter your email below and we will send you the confirmation link.","Eメールを下に入力してください。確認リンクを送付します。"
"Email","Eメール"
"Send confirmation link","確認リンクを送信する"
"Back to Sign In","サインインに戻る"
"Change Email","メールアドレスを変更"
"Change Email and Password","メールアドレスとパスワードを変更する"
"Current Password","現在のパスワード"
"New Password","新パスワード"
"Password Strength","パスワードの強度"
"No Password","パスワード無し"
"Confirm New Password","新パスワード確認"
"Save","保存"
"Please enter your email address below to receive a password reset link.","Eメールアドレスを下記に入力してパスワードリセットリンクを受け取ってください。"
"Reset My Password","パスワードをリセットする"
"Registered Customers","既にご登録いただいているお客様"
"If you have an account, sign in with your email address.","ご登録済みのお客様は、こちらからログインください。"
"Password","パスワード"
"Forgot Your Password?","パスワードをお忘れですか？"
"Subscription option","購読オプション"
"General Subscription","総合情報"
"Sign Up for Newsletter","ニュースレターを購読"
"Address Information","住所情報"
"Sign-in Information","サインイン情報"
"Confirm Password","パスワード再確認"
"Create an Account","アカウント作成"
"Set a New Password","新規パスワードセット"
"You have signed out and will go to our homepage in 5 seconds.","サインアウトしました。5秒後にTOPページに移動します。"
"New Customers","まだご登録いただいていないお客様"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","会員登録いただくと、次のメリットがあります: 簡単にご購入いただけます、ご住所の登録ができます、ご注文内容をあとから確認いただけます。"
"Company","会社名"
"Fax","FAX"
"Gender","性別"
"Name","名前"
"Tax/VAT number","納税者番号"
"Phone Number","電話番号"
"Welcome to %store_name","%store_name へようこそ"
"%name,","%名前,"
"Welcome to %store_name.","ようこそ %store_name へ"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","サイトにサインインするには、これらの身分証明をチェックアウト時か <a href=""%customer_url"">マイアカウント</a> ページにて使用してください:"
"Email:","メール:"
"Password:","パスワード:"
"Password you set when creating account","アカウント作成時に設定したパスワード"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","パスワードをお忘れですか？<a href=""%reset_url"">ここ</a>をクリックしてリセットしてください。"
"When you sign in to your account, you will be able to:","アカウントにサインインすると以下のことができます:"
"Proceed through checkout faster","チェックアウトを通して早く処理する"
"Check the status of orders","注文のステータスを確認"
"View past orders","過去の注文を表示"
"Store alternative addresses (for shipping to multiple family members and friends)","店舗の別住所 (複数の家族メンバーと友達のために)"
"Please confirm your %store_name account","%store_nameアカウントを確認してください"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","サインイン前に%customer_emailメールを確認してください。 (リンクは一度きり有効です):"
"Confirm Your Account","アカウントを確認してください"
"Thank you for confirming your %store_name account.","%store_name accountをご確認ありがとうございます。"
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","サイトにサインインしてパスワードを設定するには、 <a href=""%create_password_url"">リンク</a>をクリックしてください:"
"Your %store_name email has been changed","%store_name のメールアドレスが変更されました"
"Hello,","こんにちは、"
"We have received a request to change the following information associated with your account at %store_name: email.","お客様のアカウントに関連付けられている以下の情報を %store_name: emailで変更するリクエストを受け取りました。"
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","この操作を承認していない場合は、すぐに<a href=""mailto:%store_email"">%store_email </a>までご連絡ください。"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","あるいは<a href=""tel:%store_phone"">%store_phone</a>までお電話ください"
"Thanks,<br>%store_name","ありがとうございます, <br>%store_name"
"Your %store_name email and password has been changed","%store_name のメールアドレスとパスワードが変更されました"
"We have received a request to change the following information associated with your account at %store_name: email, password.","お客様のアカウントに関連付けられている以下の情報を %store_name: email、passwordに変更するリクエストを受け取りました。"
"Reset your %store_name password","%store_name passwordパスワードをリセットする"
"There was recently a request to change the password for your account.","あなたのアカウントに対するパスワード再設定のリクエストが送信されました。"
"If you requested this change, set a new password here:","新しいパスワードは下記のボタンをクリックすると設定できます:"
"If you did not make this request, you can ignore this email and your password will remain the same.","もしお心当たりがない場合は、このメールを無視していただければパスワードは変更されません。"
"Your %store_name password has been changed","%store_name のパスワードが変更されました"
"We have received a request to change the following information associated with your account at %store_name: password.","お客様のアカウントに関連付けられている以下の情報を %store_name: passwordに変更するリクエストを受け取りました。"
"Checkout as a new customer","会員登録して購入する"
"Creating an account has many benefits:","アカウントを作成いただくと、多くのメリットがあります:"
"See order and shipping status","ご注文と配送の状況を見る"
"Track order history","ご注文履歴の確認"
"Check out faster","より早くご購入"
"Checkout using your account","ご登録済みのアカウントでご購入"
"Email Address","メールアドレス"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Are you sure you want to delete this address?","この住所を削除してもよろしいですか？"
"Weak","弱い"
"Medium","ミディアム"
"Strong","強い"
"Very Strong","とても強い"
"Guest checkout is disabled.","ゲスト購入は無効です。"
"All Customers","全ての顧客"
"Now Online","現在オンライン中の顧客"
"Customers Section","顧客セクション"
"Customer Configuration","顧客設定"
"Account Sharing Options","アカウント設定オプション"
"Share Customer Accounts","顧客アカウントを共有"
"Create New Account Options","新規アカウント作成オプション"
"Enable Automatic Assignment to Customer Group","自動グループ割当を有効にする"
"Tax Calculation Based On","税計算基準"
"Default Group","標準のグループ"
"Group for Valid VAT ID - Domestic","正規VAT番号グループ - 国内"
"Group for Valid VAT ID - Intra-Union","正規VAT番号グループ - 国際"
"Group for Invalid VAT ID","不正なVAT番号です"
"Validation Error Group","エラーグループ検証"
"Validate on Each Transaction","各トランザクションごとに検証する"
"Default Value for Disable Automatic Group Changes Based on VAT ID","VAT IDに基づくグループ自動割り当てを無効にする"
"Show VAT Number on Storefront","VAT番号をストアで表示"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","ストアでVAT番号表示するには、 Show VAT Number on Storefront オプションをYesに設定。"
"Default Email Domain","標準のメールアドレスドメイン"
"Default Welcome Email","標準のウェルカムメール"
"Email template chosen based on theme fallback when ""Default"" option is selected."," ""デフォルト""オプションが選択された時、Eメールのテンプレートはテーマの代替を元に選ばれます。 "
"Default Welcome Email Without Password","デフォルトのパスワード無しようこそEメール"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","もし顧客がパスワードなしで作成されると、このEメールはデフォルトようこそメールが代わりに送られます。 <br /><br />
                        ""Default""オプションが選ばれた時、テーマ代替に基づくEメールテンプレートが選ばれます。"
"Email Sender","メール送信者"
"Require Emails Confirmation","メールによる確認を行う"
"Confirmation Link Email","確認リンクEメール"
"Welcome Email","ウェルカムメール"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","アカウントが確認された後に、このEメールがデフォルトのようこそメールの代わりに送られます。 <br /><br />
                        ""Default""オプションが選ばれた時、テーマ代替に基づくEメールテンプレートが選ばれます。"
"Generate Human-Friendly Customer ID","人間にわかりやすい顧客IDを生成する"
"Password Options","パスワードオプション"
"Forgot Email Template","リマインダーテンプレート"
"Remind Email Template","リマインダーメールテンプレート"
"Reset Password Template","リセットパスワードテンプレート"
"Password Template Email Sender","パスワードテンプレートEメール送信者"
"Recovery Link Expiration Period (hours)","パスワード再設定リンクの有効期限(時間)"
"Please enter a number 1 or greater in this field.","1またはそれ以上の数字を入力してください。"
"Number of Required Character Classes","必須にする文字種の数"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","パスワードに要求する文字種の種類: 大文字;小文字, 数字, 記号"
"Minimum Password Length","最短パスワード文字数"
"Maximum Login Failures to Lockout Account","アカウントロックをするログイン失敗回数"
"Use 0 to disable account locking.","0を指定するとアカウントロックを無効化します。"
"Lockout Time (minutes)","ロックアウト時間 (分)"
"Enable Autocomplete on login/forgot password forms","ログイン/パスワード忘れフォームにて自動入力補正を有効化"
"Account Information Options","アカウント情報のオプション"
"Change Email Template","メールテンプレートの変更"
"Change Email and Password Template","メールアドレスとパスワードテンプレートを変更する"
"Name and Address Options","名前と住所のオプション"
"Number of Lines in a Street Address","番地での行数"
"Valid range: 1-4","使用可能な範囲：1-4"
"Show Prefix","称号を表示"
"The title that goes before name (Mr., Mrs., etc.)","名前の前につけるタイトル (Mr., Mrs., など)"
"Prefix Dropdown Options","称号の候補"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","セミコロン（;）で区切られた値。<br/>オープンテキストフィールドには空のままにします。"
"Show Middle Name (initial)","ミドルネームを表示する（イニシャル）"
"Always optional.","常に任意"
"Show Suffix","敬称を表示"
"The suffix that goes after name (Jr., Sr., etc.)","名前に続くサフィックスが必要 (Jr., Sr., など)"
"Suffix Dropdown Options","サフィックスドロップダウンオプション"
"Show Date of Birth","誕生日を表示"
"Show Tax/VAT Number","税/VAT番号を表示"
"Show Gender","性別を表示する"
"Show Telephone","テンプレートの表示"
"Show Company","会社の表示"
"Show Fax","Faxの表示"
"Login Options","ログインオプション"
"Redirect Customer to Account Dashboard after Logging in","ログイン後にマイページにリダイレクトする"
"Customer will stay on the current page if ""No"" is selected.","もし、""いいえ""が選択された場合、顧客は現在のページから移動しません。"
"Address Templates","住所表記テンプレート"
"Online Customers Options","オンライン顧客オプション"
"Online Minutes Interval","オンライン分間隔"
"Leave empty for default (15 minutes).","空白の場合は、初期値(15分)になります。"
"Customer Data Lifetime","顧客データの有効期限"
"Please specify value in minutes.","値を分単位で指定してください。"
"Customer Notification","顧客通知"
"Assign a Customer Group","顧客グループに割り当てる"
"Are you sure to assign selected customers to new group?","本当に選択した顧客を新しいグループにアサインしますか？"
"Customer Grid","顧客グリッド"
"Rebuild Customer grid index","顧客グリッドインデックスの再構築"
"Group","グループ"
"Add New Customer","新規顧客の追加"
"Are you sure to delete selected customers?","本当に選択した顧客を削除しますか？"
"Delete items","商品削除"
"Subscribe to Newsletter","ニュースレター購読"
"Are you sure to unsubscribe selected customers from newsletter?","本当に選択した顧客のニュースレターの購読を解除しますか？"
"Unsubscribe from Newsletter","ニュースレターを購読解除する"
"Phone","電話"
"ZIP","郵便番号"
"Customer Since","顧客作成日"
"Confirmed email","Eメール確認"
"Account Created in","アカウント作成日"
"Tax VAT Number","税VAT番号"
"Billing Firstname","支払人の名"
"Billing Lastname","支払人の姓"
"Account Lock","アカウントロック"
"First Name","名"
"Last Name","姓"
"Last Activity","最近の行動"
"Type","種別"
"Customer Information","顧客情報"
