"Sign Out","Wyloguj się"
"Locked","Zablokowane"
"Deleted Stores","Usunięte sklepy"
"Add Locale","Dodawanie ustawień regionalnych"
"Add Date","Dodaj datę"
"Days in Wish List","Dni w liście życzeń"
"Unlock","Odblokuj"
"No","Nie"
"Yes","Tak"
"Delete File","Usuń plik"
"Download","Pobierz"
"Delete Image","Usuń obraz"
"View Full Size","Zobacz pełen rozmiar"
"All countries","Wszystkie kraje"
"Customer Groups","Grupy klientów"
"Add New Customer Group","Dodaj grupę klientów"
"Save Customer Group","Zapisz grupę klienta"
"Delete Customer Group","Usuń grupę klientów"
"New Customer Group","Nowa grupa klienta"
"Edit Customer Group ""%1""","Edytuj grupę klientów ""%1"""
"Group Information","Informacje o grupie"
"Group Name","Nazwa grupy"
"Maximum length must be less then %1 characters.","Maksymalna długość musi być mniejsza niż %1 znaków."
"Tax Class","Klasa podatku"
"The customer is now assigned to Customer Group %s.","Klient jest teraz przypisany do grupy klientów %s."
"Would you like to change the Customer Group for this order?","Czy chces zmienić grupę klientów dla tego zamówienia?"
"The VAT ID is valid.","Identyfikator VAT jest poprawny."
"The VAT ID entered (%s) is not a valid VAT ID.","Podany numer (%s) nie jest prawidłowym numerem VAT."
"The VAT ID is valid. The current Customer Group will be used.","Numer VAT jest poprawny. Aktualna grupa klientów zostanie użyta."
"The VAT ID is valid but no Customer Group is assigned for it.","VAT jest prawidłowy, ale nie jest przypisana do niego grupa klientów."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","W oparciu o VAT UE, klient powinien należeć do grupy klientów %s."
"Something went wrong while validating the VAT ID.","Coś się zepsuło podczas sprawdzania poprawności numeru VAT."
"The customer would belong to Customer Group %s.","Klient należy do grupy klientów %s."
"There was an error detecting Customer Group.","Wystąpił błąd podczas wykrywania grupy klientów."
"Validate VAT Number","Sprawdza poprawność numeru VAT"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","Data urodzenia"
"Bad request.","Złe zapytanie."
"This confirmation key is invalid or has expired.","To klucz potwierdzenia jest nieprawidłowy lub wygasły."
"There was an error confirming the account","Wystąpił błąd podczas potwierdzanie konta"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Jeśli jesteś zarejestrowanym płatnikiem VAT, proszę <a href=""%1""> kliknij tutaj,</a> aby wprowadzić swój adres do właściwego obliczenia podatku VAT."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Jeśli jesteś zarejestrowanym płatnikiem VAT, proszę <a href=""%1""> kliknij tutaj,</a> aby wprowadzić swój adres do właściwego obliczenia podatku VAT."
"Thank you for registering with %1.","Dziękujemy za rejestrację w %1."
"Please check your email for confirmation key.","Prosimy sprawdzić skrzynkę e-mail, powinien już tam czekać klucz potwierdzający."
"This email does not require confirmation.","Ten adres e-mail nie wymaga potwierdzenia."
"Wrong email.","Błędny e-mail."
"Your password reset link has expired.","Link resetowania hasła utracił ważność."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Musisz potwierdzić swoje konto. Proszę sprawdzić pocztę czy przyszedł link potwierdzający lub <a href=""%1""> kliknij tutaj,</a> aby wysłać nowy link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Istnieje już konto z takim adresem e-mail. Jeśli masz pewność, że to twój adres, <a href=""%1"">kliknij tutaj</a>, zresetuj hasło aby odzyskać dostęp do konta."
"We can't save the customer.","Nie możemy zapisać klienta."
"Please make sure your passwords match.","Prosimy upewnić się, że podane hasła są identyczne."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Jeśli jesteś zarejestrowanym płatnikiem VAT, proszę <a href=""%1""> kliknij tutaj,</a> aby wprowadzić swój adres do właściwego obliczenia podatku VAT."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Jeśli jesteś zarejestrowanym płatnikiem VAT, proszę <a href=""%1""> kliknij tutaj,</a> aby wprowadzić swój adres do właściwego obliczenia podatku VAT."
"Account Information","Dane konta"
"You saved the account information.","Dane konta zostały zapisane."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","Potwierdzone hasło nie jest identyczne z wprowadzonym."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","Jesteśmy w stanie wysłać e-maila resetowania hasła."
"Please enter your email.","Prosimy wpisać adres e-mail"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Na twój adres email wysłaliśmy link do zresetowania hasła."
"My Account","Moje konto"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","To konto nie jest potwierdzone. "" ""<a href=""%1""> kliknij tutaj,</a> aby wysłać e-mail z potwierdzeniem."
"An unspecified error occurred. Please contact us for assistance.","Wystąpił nieokreślony błąd. Skontaktuj się z nami o pomoc."
"A login and a password are required.","Login i hasło jest wymagane."
"New Password and Confirm New Password values didn't match.","Nowe hasło i Potwierdź nowe hasło nie są identyczne."
"Please enter a new password.","Proszę wprowadzić nowe hasło."
"You updated your password.","Zaktualizowałeś swoje hasło."
"Something went wrong while saving the new password.","Coś poszło nie tak podczas zapisywania nowego hasła."
"You deleted the address.","Usunąłeś adres."
"We can't delete the address right now.","Nie możemy teraz usunąć adresu."
"You saved the address.","Adres został zapisany."
"We can't save the address.","Nie możemy zapisać adresu."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","Unieważniłeś token klienta."
"We can't find a customer to revoke.","Nie możemy znaleźć klienta do odwołania."
"Something went wrong while saving file.","Coś się zepsuło podczas zapisywania."
"You deleted the customer group.","Usunięto grupę klientów."
"The customer group no longer exists.","Grupa klientów już nie istnieje."
"Customers","Klienci"
"New Group","Nowa grupa"
"New Customer Groups","Nowe grupy klientów"
"Edit Group","Edytuj grupę"
"Edit Customer Groups","Edycja grup klientów"
"You saved the customer group.","Zapisałeś grupę klientów."
"Please select customer(s).","Wybierz klientów."
"Customer could not be deleted.","Nie można usunąć klienta."
"You deleted the customer.","Usunąłeś klienta."
"Something went wrong while editing the customer.","Coś poszło nie tak podczas edycji klienta."
"Manage Customers","Zarządzaj klientami"
"Please correct the data sent.","Proszę poprawić wprowadzone dane."
"A total of %1 record(s) were updated.","(%1) wpisów zostało zaktualizowanych."
"A total of %1 record(s) were deleted.","Usunięto %1 wpis(ów)."
"The customer will receive an email with a link to reset password.","Klient otrzyma e-mail z linkiem do resetowania hasła."
"Something went wrong while resetting customer password.","Coś się zepsuło podczas resetowania hasła klienta."
"You saved the customer.","Użytkownik zapisany."
"Something went wrong while saving the customer.","Coś poszło nie tak podczas edycji klienta."
"Page not found.","Nie znaleziono strony."
"Customer has been unlocked successfully.","Klient został pomyślnie odblokowany."
"Online Customers","Klienci online"
"Customers Now Online","Klienci Online"
"Please define Wish List item ID.","Proszę określić identyfikator elementu listy życzeń."
"Please load Wish List item.","Proszę załadować elementy listy życzeń."
"Login successful.","Logowanie udane."
"Invalid login or password.","Nieprawidłowa nazwa użytkownika lub hasło."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 nie rozszerza \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","To konto jest zablokowane."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Proszę wprowadzić hasło z co najmniej %1 znaków."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimalna różność klas w haśle to %1. Klasy postaci: małe znaki, wielkie znaki, cyfry, znaki specjalne."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","Klient już istnieje w tym sklepie."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Nieprawidłowa wartość ""%value"" przewidziana polu %fieldname."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Token resetowania hasła wygasł."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" jest polem wymaganym."
"Global","Globalny"
"Per Website","Na witrynę"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Nie możemy współdzielić globalnie kont klienta kiedy te konta mają ten sam adres email na więcej niż jednej stronie internetowej."
"Billing Address","Adres rozliczeniowy"
"Shipping Address","Adres wysyłki"
"-- Please Select --","-- Prosimy wybrać --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Administrator"
"ALL GROUPS","WSZYSTKIE GRUPY"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Nie znaleziono wpisu %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Nie można zapisać plików w folderze docelowym."
"Unable to create directory %1.","Nie udało się utworzyć katalogu: %1."
"Destination folder is not writable or does not exists.","Folder docelowy nie jest zapisywalny lub nie istnieje."
"Something went wrong while saving the file.","Coś się zepsuło podczas zapisywania plików."
"Attribute object is undefined","Obiekt cechy jest niezdefiniowany"
"""%1"" invalid type entered.","""%1"" wpisany nieprawidłowy typ."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" zawiera znaki spoza alfabetu lub nieliczbowe."
"""%1"" is an empty string.","""%1"" jest pustym ciągiem znaków."
"""%1"" contains non-numeric characters.","""%1"" zawiera znaki nieliczbowe."
"""%1"" contains non-alphabetic characters.","""%1"" zawiera znaki spoza alfabetu."
"""%1"" is not a valid email address.","""%1"" nie jest prawidłowym adresem e-mail."
"""%1"" is not a valid hostname.","""%1"" nie jest prawidłową nazwą hosta."
"""%1"" uses too many characters.","""%1"" używa zbyt wiele znaków."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' wygląda jak adres IP, który ma niedopuszczalny format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' wygląda jak nazwa hosta DNS ale zawiera kreski w nieprawidłowej pozycji."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' wygląda jak nazwa hosta DNS, ale nie można dopasować go do schematu nazwy hosta dla TDU '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' wygląda jak nazwa hosta DNS, ale nie można wyodrębnić części TLD."
"'%value%' does not look like a valid local network name.","'%value%' nie wygląda jak nazwa sieci lokalnej."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' wygląda jak nazwa sieci lokalnej, która ma nie dopuszczalny format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' zdaje się być nazwą hosta DNS ale zawiera kreskę w niewłaściwym miejscu."
"""%1"" is not a valid URL.","""%1"" nie jest poprawnym adresem URL."
"""%1"" is not a valid date.","""%1"" nie jest prawidłową datą."
"""%1"" does not fit the entered date format.","""%1"" nie pasuje do wpisanego formatu daty."
"Please enter a valid date between %1 and %2 at %3.","Prosimy o wprowadzenie poprawnej daty pomiędzy %1 i %2 w %3."
"Please enter a valid date equal to or greater than %1 at %2.","Prosimy o wprowadzenie poprawnej daty równej lub większej niż %1 na %2."
"Please enter a valid date less than or equal to %1 at %2.","Prosimy o wprowadzenie poprawnej daty mniejszej lub równej niż %1 na %2."
"""%1"" is not a valid file extension.","""%1"" nie jest prawidłowym rozszerzeniem pliku."
"""%1"" is not a valid file.","""%1"" nie jest prawidłowym plikiem."
"""%1"" exceeds the allowed file size.","""%1"" przekracza dozwoloną wielkość pliku."
"""%1"" is not a valid image format.","""%1"" nie jest prawidłowym formatem pliku obrazu."
"""%1"" width exceeds allowed value of %2 px.","""%1"" szerokość przekracza dozwoloną wartość %2 px."
"""%1"" height exceeds allowed value of %2 px.","Wysokość ""%1"" przekracza dozwoloną wartość %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" długość musi być równa lub większa niż %2 znaków."
"""%1"" length must be equal or less than %2 characters.","""%1"" długość musi być równa lub mniejsza niż %2 znaków."
"label","etykieta"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Grupa klienta"
"You can't delete group ""%1"".","Nie można usunąć grupy ""%1""."
"Customer Group already exists.","Grupa klientów już istnieje."
"Cannot delete group.","Nie można usunąć grupy."
"Error during VAT Number verification.","Błąd podczas weryfikacji numeru VAT."
"PHP SOAP extension is required.","Rozszerzenie PHP SOAP jest wymagane."
"VAT Number is valid.","Numer NIP jest poprawny."
"Please enter a valid VAT number.","Proszę podać prawidłowy numer NIP."
"Your VAT ID was successfully validated.","Twój numer VAT został zweryfikowany."
"You will be charged tax.","Zostanie doliczony podatek"
"You will not be charged tax.","Nie zostanie doliczony podatek"
"The VAT ID entered (%1) is not a valid VAT ID.","Podany numer (%1) nie jest prawidłowym numerem VAT."
"Your Tax ID cannot be validated.","Twój numer VAT nie może zostać zweryfikowany."
"If you believe this is an error, please contact us at %1","Jeśli uważasz, że to błąd, skontaktuj się z nami - %1"
"No such entity with %fieldName = %fieldValue","Nie znaleziono %fieldName = %fieldValue"
"Male","Mężczyzna"
"Female","Kobieta"
"Not Specified","Nie określono"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Komunikat wyjątku"
"Validator Exception","Walidator wyjątku"
"Localized Exception","Zlokalizowanie wyjątku"
"some error","błąd"
"frontend_label","frontend_label"
"NOT LOGGED IN","NIE ZALOGOWANY"
"Please enter the state/province.","Prosimy wpisać region/województwo."
"region is a required field.","pole Region jest wymagane."
"regionId is a required field.","regionId is a required field."
"Label","Etykieta"
"Select...","Wybierz..."
"Edit","Edytuj"
"Visitor","Odwiedzający"
"Customer","Klient"
"No item specified.","Nie wybrano produktu."
"Are you sure you want to remove this item?","Czy na pewno chcesz usunąć tę pozycję?"
"Personal Information","Dane osobiste"
"Last Logged In:","Ostatnio zalogowano:"
"Last Logged In (%1):","Ostatnio zalogowano w (%1):"
"Account Lock:","Blokada konta:"
"Confirmed email:","Potwierdzony e-mail:"
"Account Created:","Konto założone:"
"Account Created on (%1):","Miejsce utworzenia (%1):"
"Account Created in:","Miejsce utworzenia:"
"Customer Group:","Grupa klienta:"
"Default Billing Address","Domyślny adres rozliczeniowy"
"Sales Statistics","Statystyki sprzedaży"
"Web Site","Witryna"
"Store","Sklep"
"Store View","Widok sklepu"
"Lifetime Sales","Całkowita wartość sprzedaży"
"Average Sale","Średnia sprzedaż"
"All Store Views","Wszystkie widoki sklepu"
"Change","Zmień"
"Manage Addresses","Zarządzaj adresami"
"Default Shipping Address","Domyślny adres dostawy"
"Contact Information","Informacje kontaktowe"
"Change Password","Zmień hasło"
"Newsletters","Newslettery"
"You are subscribed to ""General Subscription"".","Jesteś zapisany do ""Ogólna subskrypcja""."
"or","lub"
"Default Addresses","Domyślne adresy"
"Change Billing Address","Zmień adres rozliczeniowy"
"You have no default billing address in your address book.","Nie masz podstawowego adresu płatnika w książce adresowej."
"Change Shipping Address","Zmień adres dla dostawy"
"You have no default shipping address in your address book.","Nie masz podstawowego adresu wysyłki w książce adresowej."
"Additional Address Entries","Dodatkowe adresy"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","Nie masz innych wpisów adresów w swojej książce adresowej."
"* Required Fields","* pola wymagane"
"Address","Adres"
"Street Address","Ulica i numer"
"Street Address %1","Ulica i numer %1"
"VAT Number","Numer NIP (VAT UE)"
"City","Miasto"
"State/Province","Województwo"
"Please select a region, state or province.","Wybierz województwo lub region."
"Zip/Postal Code","Kod pocztowy"
"Country","Kraj"
"It's a default billing address.","Jest to domyślny adres rozliczeniowy."
"Use as my default billing address","Użyj jako domyślnego adresu rozliczeniowego"
"It's a default shipping address.","Jest to domyślny adres wysyłkowy."
"Use as my default shipping address","Użyj jako domyślnego adresu dostawy"
"Save Address","Zapisz adres"
"Go back","Powrót"
"Please enter your email below and we will send you the confirmation link.","Proszę o wprowadzenie Twojego adresu e-mail, na ten adres przesłany zostanie link potwierdzający."
"Email","E-mail"
"Send confirmation link","Wyślij link potwierdzający"
"Back to Sign In","Powrót do logowania"
"Change Email","Zmień adres email"
"Change Email and Password","Zmień adres E-mail i hasło"
"Current Password","Bieżące hasło"
"New Password","Nowe hasło"
"Password Strength","Siła hasła"
"No Password","Bez hasła"
"Confirm New Password","Potwierdź nowe hasło"
"Save","Zapisz"
"Please enter your email address below to receive a password reset link.","Podaj swój adres e-mail poniżej, aby otrzymać link do zresetowania hasła."
"Reset My Password","Zresetuj moje hasło"
"Registered Customers","Zarejestrowani klienci"
"If you have an account, sign in with your email address.","Jeśli posiadasz już konto, możesz zalogować się przy użyciu adresu e-mail."
"Password","Hasło"
"Forgot Your Password?","Nie pamiętasz hasła?"
"Subscription option","Opcje subskrypcji"
"General Subscription","Ogólny newsletter"
"Sign Up for Newsletter","Zapisz się, aby otrzymywać newsletter"
"Address Information","Informacje o adresie"
"Sign-in Information","Informacje logowania"
"Confirm Password","Potwierdź hasło"
"Create an Account","Utwórz konto"
"Set a New Password","Ustaw nowe hasło"
"You have signed out and will go to our homepage in 5 seconds.","Wylogowałeś się i zostaniesz przekierowany na stronę główną w ciągu 5 sekund."
"New Customers","Nowi klienci"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Posiadanie konta ma wiele zalet. Szybszy proces składania zamówienia, możliwość zapisywania swoich adresów i śledzenie stanu zamówień to tylko niektóre z nich."
"Company","Firma"
"Fax","Faks"
"Gender","Płeć"
"Name","Nazwa"
"Tax/VAT number","Tax/VAT number"
"Phone Number","Numer telefonu"
"Welcome to %store_name","Witamy w %store_name"
"%name,","%name,"
"Welcome to %store_name.","Witamy w %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Aby zalogować się na naszej stronie, Użyj tych poświadczeń podczas realizacji zamówienia lub na stronie <a href=""%customer_url"">Moje konto</a>:"
"Email:","E-mail:"
"Password:","Hasło:"
"Password you set when creating account","Hasło, które można ustawić podczas tworzenia konta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zapomniałeś swoje hasło? Kliknij <a href=""%reset_url""> tutaj</a> aby je zresetować."
"When you sign in to your account, you will be able to:","Gdy zalogujesz się na swoje konto, będziesz mógł:"
"Proceed through checkout faster","Przejdź szybciej przez proces zakupowy"
"Check the status of orders","Sprawdź status zamówienia"
"View past orders","Przeglądania historii zamówień"
"Store alternative addresses (for shipping to multiple family members and friends)","Wielu adresów dostawy (np. jeśli często wysyłasz coś do rodziny i znajomych)"
"Please confirm your %store_name account","Proszę potwierdzić swoje konto %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Musisz potwierdzić e-mail %customer_email przed możesz zalogować (link obowiązuje tylko raz):"
"Confirm Your Account","Potwierdź konto"
"Thank you for confirming your %store_name account.","Dziękuję za potwierdzenie konta na %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Zaloguj się na naszej stronie i ustaw hasło, kliknij na ten <a href=""%create_password_url""> link</a>:"
"Your %store_name email has been changed","Twój e-mail %store_name został zmieniony"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","Otrzymaliśmy prośbę o zmianę następujących informacji na Twoim koncie %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Jeżeli nie możesz wykonać tej akcji, proszę skontaktuj się natychmiastowo z nami na <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","Twój %store_name e-mail i hasło zostały zmienione"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Otrzymaliśmy informację z prośbą o zmiane następujących informacji na Twoim koncie %store_name: email, hasło."
"Reset your %store_name password","Resetowanie hasła w %store_name"
"There was recently a request to change the password for your account.","Otrzymaliśmy żądanie zmiany hasła dla Twojego konta."
"If you requested this change, set a new password here:","Jeśli zażądałeś tej zmiany, ustaw swoje hasło tutaj:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Jeśli nie chcesz zmieniać hasła, możesz zignorować ten komunikat i hasło pozostanie takie samo."
"Your %store_name password has been changed","Zmieniono hasło dla konta %store_name"
"We have received a request to change the following information associated with your account at %store_name: password.","Otrzymaliśmy informację z prośbą o zmianę następujących informacji na Twoim koncie %store_name: hasło."
"Checkout as a new customer","Kontynuuj Podsumowanie jako nowy klient"
"Creating an account has many benefits:","Stworzenie konta ma wiele korzyści:"
"See order and shipping status","Zobacz zamówienie i stan wysyłki"
"Track order history","Śledzenie historii zamówień"
"Check out faster","Zamawiaj szybciej"
"Checkout using your account","Kontynuuj Podsumowanie używając swojego konta"
"Email Address","Adres e-mail"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Are you sure you want to delete this address?","Czy na pewno chcesz usunąć ten adres?"
"Weak","Słaby"
"Medium","Średni"
"Strong","Silny"
"Very Strong","Bardzo silne"
"Guest checkout is disabled.","Możliwość składania zamówień przez użytkowników niezalogowanych jest wyłączona."
"All Customers","Lista klientów"
"Now Online","Obecnie zalogowani"
"Customers Section","Sekcja klientów"
"Customer Configuration","Konfiguracja klienta"
"Account Sharing Options","Opcje udostępniania konta"
"Share Customer Accounts","Udostępniaj konta klientów"
"Create New Account Options","Opcje tworzenia nowego konta"
"Enable Automatic Assignment to Customer Group","Włącz automatyczne przydzielanie do grup klientów"
"Tax Calculation Based On","Obliczanie podatku oparte na"
"Default Group","Domyślna grupa"
"Group for Valid VAT ID - Domestic","Grupa dla poprawnych numerów VAT UE - krajowe"
"Group for Valid VAT ID - Intra-Union","Grupa dla poprawnych numerów VAT UE - wewnątrzwspólnotowe"
"Group for Invalid VAT ID","Grupa dla nieprawdiłowych numerów VAT UE"
"Validation Error Group","Grup niepoprawnych numerów"
"Validate on Each Transaction","Sprawdzaj poprawność podczas każdej transakcji"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Domyślna wartość Wyłączania automatycznego zmieny grup w oparciu o VAT UE"
"Show VAT Number on Storefront","Pokaż numer VAT na Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Aby wyświetlić numer VAT na sklepu, ustaw ""Pokaż numer VAT"" na Storefront."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Domyślny e-mail powitalny"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Wybrany szablon e-mail oparty na temacie fallback po wybraniu opcji ""Default""."
"Default Welcome Email Without Password","Ustaw domyślną powitalną wiadomość Email bez hasła"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Nadawca"
"Require Emails Confirmation","Wymagaj potwierdzenia przez e-mail"
"Confirmation Link Email","E-mail z linkiem potwierdzającym"
"Welcome Email","E-mail powitalny"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Wygeneruj przyjazny ID klienta"
"Password Options","Opcje hasła"
"Forgot Email Template","Szablon wiadomości przypominającej o e-mailu"
"Remind Email Template","Szablon e-maila przypominającego"
"Reset Password Template","Resetowanie hasła szablon"
"Password Template Email Sender","Szablon email wysyłki hasła"
"Recovery Link Expiration Period (hours)","Okres ważności linka odzyskującego (godziny)"
"Please enter a number 1 or greater in this field.","Prosimy o podanie cyfry 1 lub większej w tym polu."
"Number of Required Character Classes","Liczba wymaganych znaków klas"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Liczba znaków różnych klas wymaganych w haśle: małe, wielkich liter, cyfr, znaków specjalnych."
"Minimum Password Length","minimalna długość hasła"
"Maximum Login Failures to Lockout Account","Maxymalna liczba nieudanych prób logowania do blokady konta"
"Use 0 to disable account locking.","Użyj 0 aby wyłączyć blokowanie konta."
"Lockout Time (minutes)","Czas blokady (w minutach)"
"Enable Autocomplete on login/forgot password forms","Włącz autouzupełnianie na formularzach logowania/przywracania hasła"
"Account Information Options","Account Information Options"
"Change Email Template","Zmień email"
"Change Email and Password Template","Zmień adres E-mail i hasło"
