"Sign Out","Keluar"
"The VAT ID entered (%s) is not a valid VAT ID.","VAT ID yang dimasukkan (%s) bukan VAT ID yang benar."
"The VAT ID is valid. The current Customer Group will be used.","PPN ID adalah valid. Saat ini Kelompok Pelanggan yang akan digunakan."
"The VAT ID is valid but no Customer Group is assigned for it.","VAT ID benar tetapi belum dimasukkan kedalam grup pelanggan."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Sesuai dengan VT ID, pelanggan tergabung dalam Grup Pelanggan %s."
"Something went wrong while validating the VAT ID.","Ada yang salah ketika mengesahkan ID PPN."
"The customer would belong to Customer Group %s.","Pelanggan ini akan dimasukkan ke grup Pelanggan %s."
"There was an error detecting Customer Group.","Terjadi kesalahan waktu mencari grup pelanggan."
"Validate VAT Number","Mensahkan nomor PPN"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","Tanggal lahir"
"Bad request.","Permintaan salah."
"This confirmation key is invalid or has expired.","Kunci ini tidak sah atau sudah kadaluarsa."
"There was an error confirming the account","Ada masalah saat mengkonfirmasi akun"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Jika anda terdaftar sebagai pelanggan PPN, Mohon tekan <a href=""%1"">disini</a>masukkan alamat pengiriman agar perhitungan PPN tepat."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Anda adalah pelanggan PPN yang terdaftar, silakan klik <a href=""%1""> di sini </a> untuk memasukkan alamat penagihan anda untuk perhitungan PPN yang benar."
"Thank you for registering with %1.","Terima kasih telah mendaftar %1."
"Please check your email for confirmation key.","Silahkan cek email Kamu untuk mendapatkan kunci konfirmasi."
"This email does not require confirmation.","Email ini tidak memerlukan konfirmasi."
"Wrong email.","Email yang salah."
"Your password reset link has expired.","Tautan aturl ulang sandi anda telah kedaluwarsa."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Anda harus mengkonfirmasi akun anda. Silakan cek email anda untuk tautan konfirmasi atau <a href=""%1"">klik disini</a>uuntuk tautan baru."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Sudah ada akun dengan alamat email ini. Jika anda yakin itu adalah alamat email anda, <a href=""%1"">klik disini</a> untuk mendapatkan kata sandi dan mengakses akun anda."
"We can't save the customer.","Kami tidak bisa menyimpan pelanggan."
"Please make sure your passwords match.","Pastikan kata sandi anda benar."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Jika anda adalah pelanggan terdaftar PPN, silahkan <a href=""%1"">klik disini</a> untuk memasukkan alamat pengiriman anda untuk perhitungan PPN yang tepat."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Jika anda adalah pelanggan PPN terdaftar, silahkan<a href=""%1"">klik disini</a> untuk memasukkan alamat penagihan anda untuk perhitungan PPN yang tepat."
"Account Information","Informasi Akun"
"You saved the account information.","Anda menyimpan Informasi akun."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","Konfirmasi kata sandi tidak cocok dengan kata sandi yang dimasukkan."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","Kami tidak dapat mengirim email penyetelan ulang kata sandi."
"Please enter your email.","Silahkan masukkan email anda."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Jika ada akun yang terkait dengan %1 anda akan menerima email dengan link untuk mengatur ulang kata sandi anda."
"My Account","Akun Saya"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Akun ini tidak dikonfirmasi. <a href=""%1"">klil disini</a> untuk mengirim ulang email konfirmasi."
"An unspecified error occurred. Please contact us for assistance.","Terjadi kesalahan yang tidak ditentukan. Silahkan hubungi kami untuk bantuan."
"A login and a password are required.","Masuk dan kata sandi diperlukan."
"New Password and Confirm New Password values didn't match.","Kata Sandi Baru dan Konfirmasi nilai Sandi Baru tidak cocok."
"Please enter a new password.","Mohon masukan sandi baru."
"You updated your password.","Anda memperbarui kata sandi anda."
"Something went wrong while saving the new password.","Ada yang tidak benar saat menyimpan kata sandi baru."
"You deleted the address.","Anda menghapus alamatnya."
"We can't delete the address right now.","Kami tidak dapat menghapus alamat sekarang."
"You saved the address.","Anda menyimpan alamatnya."
"We can't save the address.","Kami tidak bisa menyimpan alamat."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","Anda telah mencabut token pelanggan."
"We can't find a customer to revoke.","Kami tidak dapat menemukan pelanggan untuk mencabut."
"Something went wrong while saving file.","Ada yang tidak benar saat menyimpan file."
"You deleted the customer group.","Anda menghapus grup pelanggan."
"The customer group no longer exists.","Grup pelanggan sudah tidak ada lagi."
"Customers","Pelanggan"
"New Group","Grup Baru"
"New Customer Groups","Grup Pelanggan Baru"
"Edit Group","Atur Grup"
"Edit Customer Groups","Atur Pelanggan Grup"
"You saved the customer group.","Anda simpan pelanggan grup."
"Please select customer(s).","Silahkan pilih pelanggan(s)."
"Customer could not be deleted.","Pelanggan tidak dapat dihapus."
"You deleted the customer.","Anda menghapus pelanggan."
"Something went wrong while editing the customer.","Ada yang tidak benar saat mengedit pelanggan."
"Manage Customers","Kelola Pelanggan"
"Please correct the data sent.","Silahkan perbaiki data yang dikirim."
"A total of %1 record(s) were updated.","Sebanyak %1 rekaman(s) telah diperbarui."
"A total of %1 record(s) were deleted.","Sebanyak %1 rekaman(s) telah dihapus."
"The customer will receive an email with a link to reset password.","Pelanggan akan menerima email dengan tautan untuk mengatur ulang sandi."
"Something went wrong while resetting customer password.","Ada yang tidak benar saat menyetel ulang kata sandi pelanggan."
"You saved the customer.","Anda menyimpan pelanggan."
"Something went wrong while saving the customer.","Ada yang salah ketika menyimpan pelanggan."
"Page not found.","Halaman tidak ditemukan."
"Customer has been unlocked successfully.","Pelanggan telah berhasil dibuka."
"Online Customers","Pelanggan online"
"Customers Now Online","Pelanggan Sekarang Online"
"Please define Wish List item ID.","Silakan menentukan Wish List item ID."
"Please load Wish List item.","Silahkan beban Wish List item."
"Login successful.","Login berhasil."
"Invalid login or password.","Tidak valid login atau kata sandi anda."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 tidak memperpanjang \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","Akun terkunci."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Tolong masukkan kata sandi dengan banyak %1 karakter."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimal kelas yang berbeda karakter dalam password adalah %1. Kelas karakter: huruf kecil, huruf, digit dan karakter khusus."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","Pelanggan ini sudah ada di toko ini."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Nilai tidak benar ''%value'' yang diberikan untuk %f nama bidang."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Atur ulang sandi yang kadaluarsa."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" nilai yang dibutuhkan."
"Global","Global"
"Per Website","Per Website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Kami tidak dapat berbagi akun pelanggan secara global saat akun berbagi alamat email yang sama di lebih dari satu situs web."
"Billing Address","Alamat tagihan"
"Shipping Address","Alamat Pengiriman"
"-- Please Select --","-- Tolong Pilih --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Admin"
"ALL GROUPS","Semua grup"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Tidak ada benda dengan %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Berkas tidak bisa disimpan ke folder tujuan."
"Unable to create directory %1.","Direktori tidak bisa dibuat %1."
"Destination folder is not writable or does not exists.","Folder tujuan tidak dapat ditulis atau tidak ada."
"Something went wrong while saving the file.","Ada masalah waktu menyimpan berkas."
"Attribute object is undefined","Sifat objek tidak diketahui"
"""%1"" invalid type entered.","''%1'' salah ketikan."
"""%1"" contains non-alphabetic or non-numeric characters.","''%1'' berisi karakter non-huruf atau non-angka."
"""%1"" is an empty string.","''%1'' merupakan baris kosong."
"""%1"" contains non-numeric characters.","''%1'' berisi karakter-karakter non-angka."
"""%1"" contains non-alphabetic characters.","''%1'' berisi karakter-karakter non-huruf."
"""%1"" is not a valid email address.","''%1'' bukan alamat email yang benar."
"""%1"" is not a valid hostname.","''%1'' bukan hostname yang benar."
"""%1"" uses too many characters.","''%1'' menggunakan terlalu banyan karakter."
"'%value%' looks like an IP address, which is not an acceptable format.","%value% terlihat seperti alamat IP, tetapi bukan format yang dapat diterima."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' tampak seperti DNS hostname tetapi berisi tanda hubung pada posisi yang tidak benar."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' tampak seperti DNS hostname tetapi tidak bisa cocokkan dengan skema hostname untuk TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' tampak seperti DNS hostname tetapi tidak dapat mengambil bgian TLD."
"'%value%' does not look like a valid local network name.","'%value%' tidak terlihat seperti nama jaringan lokal yang benar."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' terlihat seperti nama jaringan lokal, tetapi formatnya tidak dapat diterima."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' muncul sebagai DNS hostname, tetapi notasi punycode yang diberikan tidak bisa diterjemahkan."
"""%1"" is not a valid URL.","""%1"" bukan URL yang benar."
"""%1"" is not a valid date.","""%1"" bukan tanggal yang benar."
"""%1"" does not fit the entered date format.","""%1"" tidak sesuai dengan format tanggal yang dimasukkan."
"Please enter a valid date between %1 and %2 at %3.","Harap masukkan tanggal yang benar antara %1 dan %2 ke %3."
"Please enter a valid date equal to or greater than %1 at %2.","Harap masukkan tanggal yang benar sama dengan atau lebih dari %1 ke %2."
"Please enter a valid date less than or equal to %1 at %2.","Harap masukkan tanggal yang benar kurang dari atau sama dengan %1 ke %2."
"""%1"" is not a valid file extension.","''%1'' bukan berkas ekstensi yang benar."
"""%1"" is not a valid file.","''%1'' buan berkas yang benar."
"""%1"" exceeds the allowed file size.","''%1'' melebihi ukuran berkas yang diperbolehkan."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" lebar melebihi nilai yang diperbolehkan %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" tinggi melibihi nilai yang diperbolehkan dari %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" panjang harus sama atau lebih dari %2 karakter."
"""%1"" length must be equal or less than %2 characters.","""%1"" panjang harus sama atau kurang dari %2 karakter."
"label","lebel"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Kelompok pelanggan"
"You can't delete group ""%1"".","Kamu tidak bisa menghapus grup ""%1""."
"Customer Group already exists.","Grup pelanggan sudah ada."
"Cannot delete group.","Cannot delete group."
"Error during VAT Number verification.","Error during VAT Number verification."
"PHP SOAP extension is required.","Customer website ID must be specified when using the website scope."
"VAT Number is valid.","VAT Number is valid."
"Please enter a valid VAT number.","Silahkan masukkan nomor VAT yang sah."
"Your VAT ID was successfully validated.","ID PPN berhasil divalidasi."
"You will be charged tax.","Anda akan dikenakan biaya pajak."
"You will not be charged tax.","Anda tidak akan dikenakan pajak."
"The VAT ID entered (%1) is not a valid VAT ID.","The VAT ID entered (%1) is not a valid VAT ID."
"Your Tax ID cannot be validated.","ID Pajak tidak dapat divalidasi."
"If you believe this is an error, please contact us at %1","If you believe this is an error, please contact us at %1"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Male","Male"
"Female","Female"
"Not Specified","Not Specified"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Pesan pengecualian"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","beberapa kesalahan"
"frontend_label","frontend_label"
"NOT LOGGED IN","BELUM MASUK"
"Please enter the state/province.","Silahkan masukkan negara/propinsi."
"region is a required field.","wilayah adalah bidang yang diperlukan."
"regionId is a required field.","regionId is a required field."
"Label","Lebel"
"Select...","Pilih..."
"Edit","Ubah"
"Visitor","Pengunjung"
"Customer","Pelanggan"
"No item specified.","Tidak ada item yang ditentukan."
"Are you sure you want to remove this item?","Apakah anda yakin ingin menghapus barang ini?"
"Personal Information","Informasi perseorangan"
"Last Logged In:","Terakhir Masuk:"
"Last Logged In (%1):","Last Logged In (%1):"
"Account Lock:","Kunci Akun:"
"Confirmed email:","Email yang dikonfirmasi:"
"Account Created:","Akun telah dibuat:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Akun Dibuat dalam:"
"Customer Group:","Grup Pelanggan:"
"Default Billing Address","Alamat Penagihan Default"
"Sales Statistics","Statistik Penjualan"
"Web Site","Situs Web"
"Store","Toko"
"Store View","Tampilan toko"
"Lifetime Sales","Penjualan Seumur Hidup"
"Average Sale","Penjualan rata-rata"
"All Store Views","Semua Tampilan Store"
"Change","Perubahan"
"Manage Addresses","Mengatur Alamat-alamat"
"Default Shipping Address","Alamat Default Pengiriman"
"Contact Information","Kontak Informasi"
"Change Password","Mengubah Kata sandi"
"Newsletters","Laporan berkala"
"You are subscribed to ""General Subscription"".","Anda akan berlangganan ""Umum Berlangganan""."
"or","atau"
"Default Addresses","Alamat default"
"Change Billing Address","Mengubah Alamat Billing"
"You have no default billing address in your address book.","Anda tidak punya alamat default penagihan di buku alamat anda."
"Change Shipping Address","Ganti alamat pengiriman"
"You have no default shipping address in your address book.","Anda tidak memiliki default alamat pengiriman di buku alamat anda."
"Additional Address Entries","Masukkan Alamat Tambahan"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","Anda tidak memiliki alamat lain entri dalam buku alamat anda."
"* Required Fields","* Bidang yang harus Diisi"
"Address","Alamat"
"Street Address","Alamat Jalan"
"Street Address %1","Alamat jalan %1"
"VAT Number","Nomor VAT"
"City","Kota"
"State/Province","Negara/Provinsi"
"Please select a region, state or province.","Silakan pilih wilayah, negara bagian atau provinsi."
"Zip/Postal Code","Zip/Kode Pos"
"Country","Negara"
"It's a default billing address.","Itu default alamat penagihan."
"Use as my default billing address","Gunakan sebagai default alamat penagihan"
"It's a default shipping address.","Itu default alamat pengiriman."
"Use as my default shipping address","Gunakan sebagai default alamat pengiriman"
"Save Address","Simpan Alamat"
"Go back","Kembali"
"Please enter your email below and we will send you the confirmation link.","Silahkan masukkan email anda di bawah ini dan kami akan mengirimkan link konfirmasi."
"Email","Email"
"Send confirmation link","Kirim link konfirmasi"
"Back to Sign In","Kembali ke Sign In"
"Change Email","Ganti email"
"Change Email and Password","Gnti Email dan Kata sandi"
"Current Password","Kata sandi saat ini"
"New Password","Kata sandi baru"
"Password Strength","Kekuatan Kata sandi"
"No Password","Tidak ada Kata sandi"
"Confirm New Password","Konfirmasi Kata sandi Baru"
"Save","Simpan"
"Please enter your email address below to receive a password reset link.","Harap masukkan alamat email anda di bawah ini untuk menerima link atur ulang sandi."
"Reset My Password","Atur ulang Kata sandi Saya"
"Registered Customers","Pelanggan-pelanggan yang terdaftar"
"If you have an account, sign in with your email address.","Jika anda memiliki akun, masuk dengan email Anda."
"Password","Sandi"
"Forgot Your Password?","Lupa sandi?"
"Subscription option","Pilihan subskripsi"
"General Subscription","Subskripsi Umum"
"Sign Up for Newsletter","Sign Up untuk Laporan berkala"
"Address Information","Informasi Alamat"
"Sign-in Information","Informasi Masuk"
"Confirm Password","Konfirmasi sandi"
"Create an Account","Buat sebuah akun"
"Set a New Password","Tetapkan Sandi Baru"
"You have signed out and will go to our homepage in 5 seconds.","Anda telah keluar dan akan pergi ke halaman utama kami dalam 5 detik."
"New Customers","Pelanggan baru"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Membuat akun punya banyak manfaat: memeriksa lebih cepat, bisa menyimpan lebih dari satu alamat, melacak pesanan dan lainnya."
"Company","Perusahaan"
"Fax","Fax"
"Gender","Jenis kelamin"
"Name","Nama"
"Tax/VAT number","Tax/VAT number"
"Phone Number","Nomor telepon"
"Welcome to %store_name","Welcome to %store_name"
"%name,","%nama"
"Welcome to %store_name.","Selamat datang di% store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Untuk masuk ke situs kami, gunakan kredensial ini saat checkout atau di halaman <a href=""%customer_url""> Akun Saya </a>:"
"Email:","E-mail:"
"Password:","Kata sandi:"
"Password you set when creating account","Password yang anda set saat membuat akun"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Lupa kata sandi akun anda? Klik <a href=""%reset_url""> di sini </a> untuk mengatur ulangnya."
"When you sign in to your account, you will be able to:","Ketika anda masuk ke akun anda, anda akan dapat:"
"Proceed through checkout faster","Lanjutkan melalui checkout lebih cepat"
"Check the status of orders","Memeriksa keadaan pesanan"
"View past orders","Lihat pesanan terakhir"
"Store alternative addresses (for shipping to multiple family members and friends)","Alamat alternatif toko (untuk pengiriman ke beberapa anggota keluarga dan teman)"
"Please confirm your %store_name account","Harap konfirmasikan akun% store_name Anda"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Anda harus mengonfirmasi email% customer_email sebelum masuk (tautan hanya valid satu kali):"
"Confirm Your Account","Konfirmasi akun anda"
"Thank you for confirming your %store_name account.","Terima kasih telah mengonfirmasi akun toko_nama Anda."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Untuk masuk ke situs kami dan menetapkan kata sandi, klik tautan <a href=""%create_password_url""> </a>:"
"Your %store_name email has been changed","Your %store_name email has been changed"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","Kami telah menerima permintaan untuk mengubah informasi berikut yang terkait dengan akun Anda di% store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Jika Anda belum mengizinkan tindakan ini, segera hubungi kami di <a href=""mailto:%store_email"">% store_email </a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","Email dan sandi% store_name Anda telah diubah"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Kami telah menerima permintaan untuk mengubah informasi berikut yang terkaitan dengan akun anda di %snama_toko: email, sandi."
"Reset your %store_name password","Setel ulang sandi %snama_toko anda"
"There was recently a request to change the password for your account.","Baru-baru ini ada permintaan mengganti sandi untuk akun anda."
"If you requested this change, set a new password here:","Jika anda meminta perubahan ini, isi sandi baru di sini:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Jika anda tidak mengajukan permintaan ini, anda dapat mengabaikan email ini dan sandi anda akan tetap sama."
"Your %store_name password has been changed","Password store_name% Anda telah diubah"
"We have received a request to change the following information associated with your account at %store_name: password.","Kami telah menerima permintaan untuk mengubah informasi berikut yang terkait dengan akun Anda di% store_name: kata sandi."
"Checkout as a new customer","Checkout sebagai pelanggan baru"
"Creating an account has many benefits:","Membuat akun punya banyak mamfaat:"
"See order and shipping status","Lihat status pemesanan dan pengiriman"
"Track order history","Lacak riwayat pemesanan"
"Check out faster","Periksaan keluar lebih cepat"
"Checkout using your account","Checkout menggunakan akun anda"
"Email Address","Alamat Email"
"Are you sure you want to do this?","Apakah anda yakin ingin melakukan ini?"
"Are you sure you want to delete this address?","Anda yakin menghapus alamat ini?"
"Weak","Lemah"
"Medium","Sedang"
"Strong","Kuat"
"Very Strong","Sangat kuat"
"Guest checkout is disabled.","Tamu checkout dinonaktifkan."
"All Customers","Semua pelanggan"
"Now Online","Sekarang Online"
"Customers Section","Bagian pelanggan"
"Customer Configuration","Konfigurasi pelanggan"
"Account Sharing Options","Pilihan Berbagi Akun"
"Share Customer Accounts","Bagikan Akun Pelanggan"
"Create New Account Options","Buat Akun Baru Pilihan"
"Enable Automatic Assignment to Customer Group","Aktifkan penugasan otomatis ke grup pelanggan"
"Tax Calculation Based On","Perhitungan Pajak Berdasarkan"
"Default Group","Grup Default"
"Group for Valid VAT ID - Domestic","Kelompokkan Nomor PPN yang Berlaku - Domestik"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Grup Kesalahan Validasi"
"Validate on Each Transaction","Validasi pada Setiap Transaksi"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Nilai Default untuk Menonaktifkan Otomatis Kelompok Didasarkan pada Perubahan PPN ID"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Untuk menunjukkan jumlah PPN pada Etalase, set Menunjukkan Jumlah PPN pada Etalase opsi Ya."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template yang dipilih berdasarkan tema mundur ketika ""Default"" opsi yang dipilih."
"Default Welcome Email Without Password","Default Selamat Datang Email Tanpa Kata Sandi"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Pengirim Email"
"Require Emails Confirmation","Membutuhkan Email konfirmasi"
"Confirmation Link Email","Konfirmasi Tautan Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Buat ID Pelanggan yang Ramah Manusia"
"Password Options","Pengaturan kata sandi"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Pemulihan Periode link Kadaluarsa (jam)"
"Please enter a number 1 or greater in this field.","Harap masukkan angka 1 atau lebih pada bidang ini."
"Number of Required Character Classes","Jumlah kelas karakter yang dibutuhkan"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Banyak karakter yang berbeda yang dibutuhkan dalam kata sandi: huruf kecil, huruf besar, digit, karakter khusus."
"Minimum Password Length","Panjang minimum sandi"
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"Use 0 to disable account locking.","Gunakan 0 untuk menonaktifkan penguncian akun."
"Lockout Time (minutes)","Waktu terkunci (menit)"
"Enable Autocomplete on login/forgot password forms","Enable Autocomplete on login/forgot password forms"
"Account Information Options","Pilihan informasi akun"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Change Email and Password Template"
"Name and Address Options","Pilihan nama dan alamat"
"Number of Lines in a Street Address","Jumlah baris pada alamat jalan"
