"Sign Out","Esci"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Devi confermare il tuo account. Controlla la tua email per il link di conferma o <a href=""%1"">clicca qui</a> per un nuovo link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Esiste già un account con questo indirizzo email. Se sei certo che sia il tuo indirizzo email, <a href=""%1""> clicca qui</a> per ottenere la password e accedere al tuo account."
"We can't save the customer.","Non è possibile salvare il cliente."
"Please make sure your passwords match.","Verificare che le password coincidano."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Se sei un cliente registrato con P.IVA, fai click <a href=""%1"">qui</a> per inserire il tuo indirizzo di spedizione per il calcolo corretto delle tasse."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Se sei un cliente registrato con P.IVA, fai click <a href=""%1"">qui</a> per inserire il tuo indirizzo di fatturazione per il calcolo corretto delle tasse."
"Account Information","Informazioni sull'account"
"You saved the account information.","Hai salvato le informazioni sull'account."
"You did not sign in correctly or your account is temporarily disabled.","Non hai eseguito l'accesso correttamente o il tuo account è temporaneamente disattivato."
"Password confirmation doesn't match entered password.","La conferma password non corrisponde alla password immessa."
"The password doesn't match this account.","La password non corrisponde a questo account."
"Please correct the email address.","Si prega di correggere l'indirizzo di posta elettronica."
"We're unable to send the password reset email.","Impossibile inviare l'email per il reset della password."
"Please enter your email.","Inserisci la tua email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Se c'è un account associato con %1 riceverai un'email con il link per reimpostare la password."
"My Account","Il mio Account"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Questo account non è confermato. <a href=""%1"">Clicca qui</a> per reinviare l'email di conferma."
"An unspecified error occurred. Please contact us for assistance.","Si è verificato un errore non specificato. Contattaci."
"A login and a password are required.","Login e password sono obbligatori."
"New Password and Confirm New Password values didn't match.","I valori della nuova password e della conferma della nuova password non corrispondono."
"Please enter a new password.","Inserisci la nuova password."
"You updated your password.","Hai aggiornato la tua password."
"Something went wrong while saving the new password.","Qualcosa è andato storto durante il salvataggio della nuova password."
"You deleted the address.","È stato eliminato l'indirizzo."
"We can't delete the address right now.","Non possiamo eliminare l'indirizzo in questo momento."
"You saved the address.","Hai salvato l'indirizzo."
"We can't save the address.","Impossibile salvare l'indirizzo."
"No customer ID defined.","Nessun ID cliente definito."
"Please correct the quote items and try again.","Correggi gli elementi del preventivo e riprova."
"You have revoked the customer's tokens.","Hai revocato i token del cliente."
"We can't find a customer to revoke.","Non riusciamo a trovare un cliente per la revoca."
"Something went wrong while saving file.","Errore durante il salvataggio file."
"You deleted the customer group.","Hai eliminato il gruppo clienti."
"The customer group no longer exists.","Il gruppo clienti non esiste più."
"Customers","Clienti"
"New Group","Nuovo gruppo"
"New Customer Groups","Nuovi gruppi Clienti"
"Edit Group","Modifica Gruppo"
"Edit Customer Groups","Modifica i gruppi clienti"
"You saved the customer group.","Hai salvato il gruppo clienti."
"Please select customer(s).","Seleziona i clienti."
"Customer could not be deleted.","Impossibile eliminare il cliente."
"You deleted the customer.","Hai eliminato il cliente."
"Something went wrong while editing the customer.","Qualcosa è andato storto durante la modifica del cliente."
"Manage Customers","Gestisci Clienti"
"Please correct the data sent.","Si prega di correggere i dati inviati."
"A total of %1 record(s) were updated.","Un totale di %1 record(s) sono stati aggiornati."
"A total of %1 record(s) were deleted.","%1 record eliminato/i."
"The customer will receive an email with a link to reset password.","Il cliente riceverà un'email con un link per reimpostare la password."
"Something went wrong while resetting customer password.","Qualcosa è andato storto durante la reimpostazione della password del cliente."
"You saved the customer.","Hai salvato il cliente."
"Something went wrong while saving the customer.","Qualcosa è andato storto durante il salvataggio del cliente."
"Page not found.","Pagina non trovata."
"Customer has been unlocked successfully.","Il cliente è stato sbloccato con successo."
"Online Customers","Clienti online"
"Customers Now Online","Clienti ora online"
"Please define Wish List item ID.","Specifica l'ID dell'elemento della lista desideri."
"Please load Wish List item.","Carica l'elemento della lista desideri"
"Login successful.","Login effettuato."
"Invalid login or password.","Login o password non validi."
"""%1"" section source is not supported","Il sorgente della sezione ""%1"" non è supportato"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 non estende \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","Nessuna conferma necessaria."
"Account already active","Account già attivo"
"Invalid confirmation token","Token di conferma non valido"
"The account is locked.","L'account è bloccato."
"This account is not confirmed.","Questo account non è stato confermato."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Il valore ""%value"" non è valido per il campo %fieldName. Valori utilizzabili: %template1 o %template2."
"Please enter a password with at most %1 characters.","Inserisci una password con almeno %1 caratteri."
"Please enter a password with at least %1 characters.","Inserisci una password con almeno %1 caratteri."
"The password can't begin or end with a space.","La password non può iniziare o terminare con uno spazio."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Il numero minimo di diverse classi di caratteri nella password è %1. Classi di caratteri: lettere minuscole, lettere maiuscole, cifre e caratteri speciali."
"Password cannot be the same as email address.","La Password non può essere la stessa dell'indirizzo di posta elettronica."
"This customer already exists in this store.","Questo cliente esiste già in questo negozio."
"A customer with the same email already exists in an associated website.","Un cliente con lo stesso indirizzo email esiste già nel website associato."
"Invalid value of ""%value"" provided for the %fieldName field.","Il valore ""%value"" fornito per il campo %fieldName non è valido."
"%fieldName is a required field.","%fieldName è un campo obbligatorio."
"Reset password token mismatch.","Mancata corrispondenza del token per il reset della password."
"Reset password token expired.","Token di reset della password scaduto."
"Please correct the transactional account email type.","Correggi il tipo di account email transazionale."
"""%1"" is a required value.","""%1"" è un valore obbligatorio."
"Global","Globale"
"Per Website","Per website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Non è possibile condividere gli account dei clienti a livello globale quando gli account condividono indirizzi email identici su più website."
"Billing Address","Indirizzo di Fatturazione"
"Shipping Address","Indirizzo di Spedizione"
"-- Please Select --","-- Seleziona --"
"Please enter a valid password reset token.","Inserisci un token di reset della password valido."
"The password can not begin or end with a space.","La password non può iniziare o terminare con uno spazio."
"Admin","Amministratore"
"ALL GROUPS","TUTTI I GRUPPI"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Nessun tale entità con %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Il file non può essere salvato nella cartella di destinazione."
"Unable to create directory %1.","Impossibile creare la directory: %1."
"Destination folder is not writable or does not exists.","La cartella di destinazione non è scrivibile o non esiste."
"Something went wrong while saving the file.","Errore durante il salvataggio del file."
"Attribute object is undefined","L'oggetto attributo non è definito"
"""%1"" invalid type entered.","E' stato inserito un tipo non valido ""%1"" "
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contiene caratteri non alfabetici o non numerici."
"""%1"" is an empty string.","""%1"" è una stringa vuota."
"""%1"" contains non-numeric characters.","""%1"" contiene caratteri non numerici."
"""%1"" contains non-alphabetic characters.","""%1"" contiene caratteri non alfabetici."
"""%1"" is not a valid email address.","""%1"" non è un indirizzo email valido."
"""%1"" is not a valid hostname.","""%1"" non è un hostname valido."
"""%1"" uses too many characters.","""%1"" utilizza troppi caratteri."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' si presenta come un indirizzo IP, il che non è un formato accettabile."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' sembra un hostname DNS, ma contiene un trattino in una posizione non valida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' sembra un hostname DNS, ma non è possibile abbinarlo rispetto allo schema di hostname per TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' sembra un hostname DNS ma non è possibile estrarre la parte TLD."
"'%value%' does not look like a valid local network name.","'%value%' non sembra un nome di rete locale valido."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' si presenta come un nome di rete locale, che non è un formato accettabile."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' sembra essere un hostname DNS, ma la notazione punycode specificato non può essere decodificata."
"""%1"" is not a valid URL.","""%1"" non è un URL valido."
"""%1"" is not a valid date.","""%1"" non è una data valida."
"""%1"" does not fit the entered date format.","""%1"" non si adatta il formato data immessa."
"Please enter a valid date between %1 and %2 at %3.","Inserisci una data valida tra %1 e %2 a %3."
"Please enter a valid date equal to or greater than %1 at %2.","Inserisci una data valida uguale o maggiore di %1 a %2."
"Please enter a valid date less than or equal to %1 at %2.","Inserisci una data valida minore o uguale a %1 a %2."
"""%1"" is not a valid file extension.","""%1"" non è un'estensione file valida."
"""%1"" is not a valid file.","""%1"" non è un file valido."
"""%1"" exceeds the allowed file size.","""%1"" supera la dimensione consentita per i file."
"""%1"" is not a valid image format.","""%1"" non è un formato di immagine valido."
"""%1"" width exceeds allowed value of %2 px.","La larghezza ""%1"" supera il valore consentito di %2 px."
"""%1"" height exceeds allowed value of %2 px.","L'altezza ""%1"" supera il valore consentito di %2 px."
"""%1"" length must be equal or greater than %2 characters.","La lunghezza ""%1"" deve essere uguale o maggiore di %2 caratteri."
"""%1"" length must be equal or less than %2 characters.","La lunghezza ""%1"" deve essere uguale o minore di %2 caratteri."
"label","etichetta"
"Please enter a customer email.","Inserisci un'email cliente."
"A customer website ID must be specified when using the website scope.","ID del website del cliente deve essere specificato quando si utilizza il campo di applicazione del website."
"Customer Group","Gruppo Cliente"
"You can't delete group ""%1"".","Non è possibile eliminare il gruppo ""%1""."
"Customer Group already exists.","Il gruppo cliente esiste già."
"Cannot delete group.","Non è possibile eliminare il gruppo."
"Error during VAT Number verification.","Errore durante la verifica del numero di partita IVA."
"PHP SOAP extension is required.","L'estensione PHP SOAP è obbligatoria."
"VAT Number is valid.","La partita IVA è valida."
"Please enter a valid VAT number.","Inserisci un numero di partita IVA valido."
"Your VAT ID was successfully validated.","La tua partita Iva è stata validata correttamente."
"You will be charged tax.","Verranno addebitate le tasse."
"You will not be charged tax.","Non verranno addebitate le tasse."
"The VAT ID entered (%1) is not a valid VAT ID.","La partita IVA inserita (%1) non è una partita IVA valida."
"Your Tax ID cannot be validated.","Il tuo codice fiscale non può essere convalidato."
"If you believe this is an error, please contact us at %1","Se credete che questo sia un errore, contattaci a %1"
"No such entity with %fieldName = %fieldValue","Nessun valore del tipo %fieldName = %fieldValue"
"Male","Uomo"
"Female","Donna"
"Not Specified","Non specificato"
"Thank you for registering with","Grazie per esserti registrato con"
"enter your billing address for proper VAT calculation","inserisci il tuo indirizzo di fatturazione per il corretto calcolo delle tasse"
"enter your shipping address for proper VAT calculation","inserisci il tuo indirizzo di spedizione per il corretto calcolo delle tasse"
"Please enter new password.","Inserisci la nuova password."
"message","messaggio"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Eccezione"
"InputException.","InputEccezione."
"InputException","InputException"
"Exception message","Messaggio di eccezione"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","qualche errore"
"frontend_label","frontend_label"
"NOT LOGGED IN","NON LOGGATO"
"Please enter the state/province.","Inserisci la provincia."
"region is a required field.","la regione è un campo obbligatorio."
"regionId is a required field.","l'id regione è un campo obbligatorio."
"Label","Etichetta"
"Select...","Seleziona..."
"Edit","Modifica"
"Visitor","Visitatore"
"Customer","Cliente"
"No item specified.","Nessun elemento specificato."
"Are you sure you want to remove this item?","Sei sicuro di voler eliminare questo elemento?"
"Personal Information","Informazioni personali"
"Last Logged In:","Ultimo accesso:"
"Last Logged In (%1):","Ultimo accesso in (%1):"
"Account Lock:","Blocco dell'account:"
"Confirmed email:","Conferma email:"
"Account Created:","Account creato:"
"Account Created on (%1):","Account creato su (%1):"
"Account Created in:","Account creato in:"
"Customer Group:","Gruppo clienti:"
"Default Billing Address","Indirizzo di fatturazione predefinito"
"Sales Statistics","Statistiche di vendita"
"Web Site","Website"
"Store","Negozio"
"Store View","Vista Negozio"
"Lifetime Sales","Vendite totali"
"Average Sale","Vendita media"
"All Store Views","Tutte le Viste Negozio"
"Change","Modifica"
"Manage Addresses","Gestisci Indirizzi"
"Default Shipping Address","Indirizzo di spedizione predefinito"
"Contact Information","Informazioni di Contatto"
"Change Password","Cambia Password"
"Newsletters","Newsletter"
"You are subscribed to ""General Subscription"".","Sei iscritto a ""Iscrizioni Generali""."
"or","o"
"Default Addresses","Indirizzi predefiniti"
"Change Billing Address","Cambia indirizzo di fatturazione"
"You have no default billing address in your address book.","Non hai nessun indirizzo di fatturazione predefinito nella tua rubrica."
"Change Shipping Address","Cambia Indirizzo di spedizione"
"You have no default shipping address in your address book.","Non hai nessun indirizzo di spedizione predefinito nella tua rubrica."
"Additional Address Entries","Voci indirizzo aggiuntivi"
"Delete Address","Elimina indirizzo"
"You have no other address entries in your address book.","Non hai ulteriori indirizzi nella tua rubrica."
"* Required Fields","* Campi obbligatori"
"Address","Indirizzo"
"Street Address","Indirizzo"
"Street Address %1","Indirizzo %1"
"VAT Number","Partita Iva"
"City","Città"
"State/Province","Provincia/Regione"
"Please select a region, state or province.","Seleziona la regione, stato o provincia."
"Zip/Postal Code","CAP"
"Country","Nazione"
"It's a default billing address.","È un indirizzo di fatturazione predefinito."
"Use as my default billing address","Usa come indirizzo di fatturazione predefinito"
"It's a default shipping address.","È un indirizzo di spedizione predefinito."
"Use as my default shipping address","Usa come indirizzo di spedizione predefinito"
"Save Address","Salva indirizzo"
"Go back","Indietro"
"Please enter your email below and we will send you the confirmation link.","Inserisci il tuo indirizzo email qui sotto e ti invieremo il link di conferma."
"Email","Email"
"Send confirmation link","Invia il link di conferma"
"Back to Sign In","Torna alla registrazione"
"Change Email","Cambia email"
"Change Email and Password","Cambia E-mail e Password"
"Current Password","Password attuale"
"New Password","Nuova Password"
"Password Strength","Sicurezza della password"
"No Password","Nessuna Password"
"Confirm New Password","Conferma nuova Password"
"Save","Salva"
"Please enter your email address below to receive a password reset link.","Inserisci il tuo indirizzo email qui sotto per ricevere un link di reimpostazione della password."
"Reset My Password","Resetta la mia password"
"Registered Customers","Clienti registrati"
"If you have an account, sign in with your email address.","Se hai un account, accedi con il tuo indirizzo email."
"Password","Password"
"Forgot Your Password?","Hai dimenticato la password?"
"Subscription option","Opzioni di iscrizione"
"General Subscription","Abbonamento generale"
"Sign Up for Newsletter","Iscriviti alla Newsletter"
"Address Information","Informazioni indirizzo"
"Sign-in Information","Informazioni di accesso"
"Confirm Password","Conferma password"
"Create an Account","Crea un Account"
"Set a New Password","Imposta una nuova Password"
"You have signed out and will go to our homepage in 5 seconds.","Ti sei disconnesso e verrai reindirizzato alla homepage entro 5 secondi."
"New Customers","Nuovi Clienti"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","La creazione di un account ha molti vantaggi: check-out veloce, salvare più di un indirizzo, tenere traccia degli ordini e altro ancora."
"Company","Azienda"
"Fax","Fax"
"Gender","Sesso"
"Name","Nome"
"Tax/VAT number","Partita IVA"
"Phone Number","Numero di telefono"
"Welcome to %store_name","Benvenuto a %store_name"
"%name,","%name,"
"Welcome to %store_name.","Benvenuto su %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Per accedere al nostro sito, è necessario utilizzare queste credenziali durante il checkout o sulla pagina <a href=""%customer_url""> Mio Account</a>:"
"Email:","Email:"
"Password:","Password:"
"Password you set when creating account","Password impostata durante la creazione account"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Hai dimenticato la password dell'account? Clicca <a href=""%reset_url"">qui</a> per reimpostarla."
"When you sign in to your account, you will be able to:","Accedendo al tuo account, sarai in grado di:"
"Proceed through checkout faster","Procedere velocemente attraverso il checkout"
"Check the status of orders","Controllare lo stato degli ordini"
"View past orders","Visualizzare gli ordini precedenti"
"Store alternative addresses (for shipping to multiple family members and friends)","Aggiungere indirizzi alternativi (per la spedizione a più membri della famiglia e agli amici)"
"Please confirm your %store_name account","Si prega di confermare il tuo account %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","È necessario confermare il tuo indirizzo email %customer_email prima di poter accedere (il link è valido solo una volta):"
"Confirm Your Account","Conferma il tuo Account"
"Thank you for confirming your %store_name account.","Grazie per aver confermato il tuo account %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Per accedere al nostro sito e impostare una password, clicca sul <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","È stato modificato il tuo indirizzo email %store_name"
"Hello,","Ciao,"
"We have received a request to change the following information associated with your account at %store_name: email.","Abbiamo ricevuto una richiesta per modificare le seguenti informazioni, associate al tuo account presso %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Se non hai autorizzato questa operazione, contattaci immediatamente al %store_email"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o chiamaci al <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Grazie, <br>%store_name"
"Your %store_name email and password has been changed","L'email di %store_name e password sono  stati modificati"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Abbiamo ricevuto una richiesta per modificare le seguenti informazioni, associate al tuo account presso %store_name: email, password."
"Reset your %store_name password","Reimpostare la password di %store_name"
"There was recently a request to change the password for your account.","C'è stata recentemente una richiesta per modificare la password per il tuo account."
"If you requested this change, set a new password here:","Se hai richiesto questa modifica, imposta una nuova password qui:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Se non hai fatto questa richiesta, è possibile ignorare questa email e la tua password rimarrà immutata."
"Your %store_name password has been changed","È stata modificata la password di %store_name"
"We have received a request to change the following information associated with your account at %store_name: password.","Abbiamo ricevuto una richiesta per modificare le seguenti informazioni, associate al tuo account presso %store_name: password."
"Checkout as a new customer","Esegui il checkout come nuovo cliente"
"Creating an account has many benefits:","La creazione di un account ha molti vantaggi:"
"See order and shipping status","Vedere lo stato dell'ordine e della spedizione"
"Track order history","Cronologia ordini"
"Check out faster","Checkout più veloce"
"Checkout using your account","Esegui il checkout utilizzando il tuo account"
"Email Address","Indirizzo email"
"Are you sure you want to do this?","Sicuro di volerlo fare?"
"Are you sure you want to delete this address?","Sei sicuro di voler eliminare questo indirizzo?"
"Weak","Debole"
"Medium","Medio"
"Strong","Sicura"
"Very Strong","Molto Sicura"
"Guest checkout is disabled.","Il checkout come ospite è disabilitato."
"All Customers","Tutti i clienti"
"Now Online","Ora Online"
"Customers Section","Sezione clienti"
"Customer Configuration","Configurazione cliente"
"Account Sharing Options","Opzioni di condivisione account"
"Share Customer Accounts","Condividi l'account cliente"
"Create New Account Options","Opzioni Crea nuovo Account"
"Enable Automatic Assignment to Customer Group","Abilita l'assegnazione automatica al gruppo di clienti"
"Tax Calculation Based On","Calcolo dell'imposta basato su"
"Default Group","Gruppo predefinito"
"Group for Valid VAT ID - Domestic","Gruppo per P. IVA valida - Domestico"
"Group for Valid VAT ID - Intra-Union","Gruppo per P. IVA valida - Intra-Unione"
"Group for Invalid VAT ID","Gruppo per P. IVA non valda"
"Validation Error Group","Errore validazione gruppo"
"Validate on Each Transaction","Convalida per ogni transazione"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valore predefinito per Disattiva modifiche gruppo automatiche basate su partita IVA"
"Show VAT Number on Storefront","Mostra Partita IVA sul frontend"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Per mostrare il numero di partita IVA nel frontend, imposta l'opzione Mostra Partita IVA sul frontend su Sì."
"Default Email Domain","Dominio email predefinito"
"Default Welcome Email","Email di benvenuto predefinita"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Il template email scelto basato su fallback del tema quando è selezionata l'opzione ""Predefinito""."
"Default Welcome Email Without Password","Email di benvenuto senza password predefinita"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Questa email sarà inviata al posto dell'Email di benvenuto predefinita, se un cliente è stato creato senza password.<br/><br/>
                        Il template email scelto è basato sul fallback del tema quando è selezionata l'opzione ""Predefinito""."
"Email Sender","Mittente email"
"Require Emails Confirmation","Richiede Conferma Email"
"Confirmation Link Email","Link di conferma"
"Welcome Email","Email di benvenuto"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Questa email sarà inviata al posto dell'Email di benvenuto predefinita, dopo la conferma dell'account.<br/><br/>
                        Il template email scelto è basato sul fallback del tema quando è selezionata l'opzione ""Predefinito""."
"Generate Human-Friendly Customer ID","Generare ID cliente Human-Friendly"
"Password Options","Opzioni password"
"Forgot Email Template","Template email dimenticata"
"Remind Email Template","Template email remind"
"Reset Password Template","Template reset password"
"Password Template Email Sender","Template email password mittente"
"Recovery Link Expiration Period (hours)","Periodo di scadenza per il Recupero Link (ore)"
"Please enter a number 1 or greater in this field.","Inserire un numero maggiore o uguale a 1 in questo campo."
"Number of Required Character Classes","Numero di Classi di Caratteri Richieste"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Numero di classi di caratteri diversi richieste nella password: lettere minuscole, maiuscole, cifre e caratteri speciali."
"Minimum Password Length","Lunghezza minima della password"
"Maximum Login Failures to Lockout Account","Numero massimo di accessi non riusciti per il blocco dell'account"
"Use 0 to disable account locking.","Usa 0 per disattivare il blocco account."
"Lockout Time (minutes)","Tempo di blocco (minuti)"
"Enable Autocomplete on login/forgot password forms","Attiva il completamento automatico si form di login/password dimenticata"
"Account Information Options","Opzioni informazioni account"
"Change Email Template","Cambia modello email"
"Change Email and Password Template","Cambia template email e password"
"Name and Address Options","Nome e opzioni indirizzo"
"Number of Lines in a Street Address","Numero di righe per l'indirizzo"
"Valid range: 1-4","Intervallo valido: 1-4"
"Show Prefix","Mostra prefisso"
"The title that goes before name (Mr., Mrs., etc.)","Il titolo che precede il nome (Sig., Sig.a., ecc.)"
"Prefix Dropdown Options","Opzioni menu a tendina prefisso"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Punto e virgola (;) valori separati.<br/>lasciare vuoto per il campo di testo aperti."
"Show Middle Name (initial)","Visualizza il secondo nome (iniziale)"
"Always optional.","Sempre facoltativo."
"Show Suffix","Mostra suffisso"
"The suffix that goes after name (Jr., Sr., etc.)","Il suffisso che va dopo il nome (Jr., Sr., ecc.)"
"Suffix Dropdown Options","Opzioni menu a tendina suffisso"
"Show Date of Birth","Mostra data di nascita"
"Show Tax/VAT Number","Mostra partita IVA"
"Show Gender","Mostra genere"
"Show Telephone","Visualizza Telefono"
"Show Company","Visualizza azienda"
"Show Fax","Visualizza Fax"
"Login Options","Opzioni login"
